Absolutely	absolut	Absolutely
everything	everyth	everything
about	about	about
the	the	the
story	stori	story
of	of	of
Brock	brock	Brock
Turner	turner	Turner
,	,	,
the	the	the
convicted	convict	convicted
Stanford	stanford	Stanford
swim	swim	swim
team	team	team
rapist	rapist	rapist
,	,	,
is	is	is
gag	gag	gag
-worthy	-worthi	-worthy
.	.	.
He	he	He
received	receiv	received
a	a	a
particularly	particular	particularly
light	light	light
sentence	sentenc	sentence
more	more	more
on	on	on
that	that	that
in	in	in
a	a	a
bit	bit	bit
,	,	,
his	his	his
father	father	father
thought	thought	thought
he	he	he
shouldn	shouldn	shouldn
t	t	t
have	have	have
had	had	had
any	ani	any
sentence	sentenc	sentence
because	becaus	because
it	it	it
was	was	wa
just	just	just
20	20	20
minutes	minut	minute
of	of	of
action	action	action
.	.	.
Now	now	Now
,	,	,
a	a	a
friend	friend	friend
of	of	of
Turner	turner	Turner
has	has	ha
spoken	spoken	spoken
and	and	and
her	her	her
yes	yes	yes
her	her	her
attitude	attitud	attitude
is	is	is
that	that	that
we	we	we
are	are	are
being	be	being
way	way	way
too	too	too
politically	polit	politically
correct	correct	correct
because	becaus	because
well	well	well
,	,	,
he	he	he
s	s	s
in	in	in
college	colleg	college
,	,	,
or	or	or
something	someth	something
like	like	like
that	that	that
.	.	.
Apparently	appar	Apparently
,	,	,
according	accord	according
to	to	to
Turner	turner	Turner
s	s	s
childhood	childhood	childhood
friend	friend	friend
,	,	,
Leslie	lesli	Leslie
Rasmussen	rasmussen	Rasmussen
,	,	,
a	a	a
rapist	rapist	rapist
isn	isn	isn
t	t	t
really	realli	really
a	a	a
rapist	rapist	rapist
when	when	when
it	it	it
happens	happen	happens
on	on	on
a	a	a
college	colleg	college
campus	campus	campus
I	i	I
don	don	don
t	t	t
think	think	think
it	it	it
s	s	s
fair	fair	fair
to	to	to
base	base	base
the	the	the
fate	fate	fate
of	of	of
the	the	the
next	next	next
ten	ten	ten
years	year	year
of	of	of
his	his	his
life	life	life
on	on	on
the	the	the
decision	decis	decision
of	of	of
a	a	a
girl	girl	girl
who	who	who
doesn	doesn	doesn
t	t	t
remember	rememb	remember
anything	anyth	anything
but	but	but
the	the	the
amount	amount	amount
she	she	she
drank	drank	drank
to	to	to
press	press	press
charges	charg	charge
against	against	against
him	him	him
.	.	.
I	i	I
am	am	am
not	not	not
blaming	blame	blaming
her	her	her
directly	direct	directly
for	for	for
this	this	this
,	,	,
because	becaus	because
that	that	that
isn	isn	isn
t	t	t
right	right	right
.	.	.
But	but	But
where	where	where
do	do	do
we	we	we
draw	draw	draw
the	the	the
line	line	line
and	and	and
stop	stop	stop
worrying	worri	worrying
about	about	about
being	be	being
politically	polit	politically
correct	correct	correct
every	everi	every
second	second	second
of	of	of
the	the	the
day	day	day
and	and	and
see	see	see
that	that	that
rape	rape	rape
on	on	on
campuses	campus	campus
isn	isn	isn
t	t	t
always	alway	always
because	becaus	because
people	peopl	people
are	are	are
rapists	rapist	rapist
.	.	.
Then	then	Then
,	,	,
the	the	the
obligatory	obligatori	obligatory
victim	victim	victim
blaming	blame	blaming
This	this	This
is	is	is
completely	complet	completely
different	differ	different
from	from	from
a	a	a
woman	woman	woman
getting	get	getting
kidnapped	kidnap	kidnapped
and	and	and
raped	rape	raped
as	as	a
she	she	she
is	is	is
walking	walk	walking
to	to	to
her	her	her
car	car	car
in	in	in
a	a	a
parking	park	parking
lot	lot	lot
.	.	.
That	that	That
is	is	is
a	a	a
rapist	rapist	rapist
.	.	.
These	these	These
are	are	are
not	not	not
rapists	rapist	rapist
.	.	.
These	these	These
are	are	are
idiot	idiot	idiot
boys	boy	boy
and	and	and
girls	girl	girl
having	have	having
too	too	too
much	much	much
to	to	to
drink	drink	drink
and	and	and
not	not	not
being	be	being
aware	awar	aware
of	of	of
their	their	their
surroundings	surround	surroundings
and	and	and
having	have	having
clouded	cloud	clouded
judgement	judgement	judgement
.	.	.
No	no	No
,	,	,
this	this	this
was	was	wa
not	not	not
a	a	a
case	case	case
of	of	of
two	two	two
drunk	drunk	drunk
kids	kid	kid
taking	take	taking
things	thing	thing
a	a	a
little	littl	little
too	too	too
far	far	far
.	.	.
This	this	This
was	was	wa
a	a	a
violent	violent	violent
sexual	sexual	sexual
assault	assault	assault
.	.	.
Here	here	Here
s	s	s
just	just	just
some	some	some
of	of	of
it	it	it
,	,	,
as	as	a
retold	retold	retold
by	by	by
the	the	the
victim	victim	victim
He	he	He
said	said	said
he	he	he
had	had	had
asked	ask	asked
if	if	if
I	i	I
wanted	want	wanted
to	to	to
dance	danc	dance
.	.	.
Apparently	appar	Apparently
I	i	I
said	said	said
yes	yes	yes
.	.	.
He	he	He
d	d	d
asked	ask	asked
if	if	if
I	i	I
wanted	want	wanted
to	to	to
go	go	go
to	to	to
his	his	his
dorm	dorm	dorm
,	,	,
I	i	I
said	said	said
yes	yes	yes
.	.	.
Then	then	Then
he	he	he
asked	ask	asked
if	if	if
he	he	he
could	could	could
finger	finger	finger
me	me	me
and	and	and
I	i	I
said	said	said
yes	yes	yes
.	.	.
Most	most	Most
guys	guy	guy
don	don	don
t	t	t
ask	ask	ask
,	,	,
can	can	can
I	i	I
finger	finger	finger
you	you	you
?	?	?
Usually	usual	Usually
there	there	there
s	s	s
a	a	a
natural	natur	natural
progression	progress	progression
of	of	of
things	thing	thing
,	,	,
unfolding	unfold	unfolding
consensually	consensu	consensually
,	,	,
not	not	not
a	a	a
Q	q	Q
and	and	and
A	a	A
.	.	.
But	but	But
apparently	appar	apparently
I	i	I
granted	grant	granted
full	full	full
permission	permiss	permission
.	.	.
He	he	He
s	s	s
in	in	in
the	the	the
clear	clear	clear
.	.	.
Even	even	Even
in	in	in
his	his	his
story	stori	story
,	,	,
I	i	I
only	onli	only
said	said	said
a	a	a
total	total	total
of	of	of
three	three	three
words	word	word
,	,	,
yes	yes	yes
yes	yes	yes
yes	yes	yes
,	,	,
before	befor	before
he	he	he
had	had	had
me	me	me
half	half	half
naked	nake	naked
on	on	on
the	the	the
ground	ground	ground
.	.	.
Future	futur	Future
reference	refer	reference
,	,	,
if	if	if
you	you	you
are	are	are
confused	confus	confused
about	about	about
whether	whether	whether
a	a	a
girl	girl	girl
can	can	can
consent	consent	consent
,	,	,
see	see	see
if	if	if
she	she	she
can	can	can
speak	speak	speak
an	an	an
entire	entir	entire
sentence	sentenc	sentence
.	.	.
You	you	You
couldn	couldn	couldn
t	t	t
even	even	even
do	do	do
that	that	that
.	.	.
Just	just	Just
one	one	one
coherent	coher	coherent
string	string	string
of	of	of
words	word	word
.	.	.
Where	where	Where
was	was	wa
the	the	the
confusion	confus	confusion
?	?	?
This	this	This
is	is	is
common	common	common
sense	sens	sense
,	,	,
human	human	human
decency	decenc	decency
.	.	.
According	accord	According
to	to	to
him	him	him
,	,	,
the	the	the
only	onli	only
reason	reason	reason
we	we	we
were	were	were
on	on	on
the	the	the
ground	ground	ground
was	was	wa
because	becaus	because
I	i	I
fell	fell	fell
down	down	down
.	.	.
Note	note	Note
;	;	;
if	if	if
a	a	a
girl	girl	girl
falls	fall	fall
down	down	down
help	help	help
her	her	her
get	get	get
back	back	back
up	up	up
.	.	.
If	if	If
she	she	she
is	is	is
too	too	too
drunk	drunk	drunk
to	to	to
even	even	even
walk	walk	walk
and	and	and
falls	fall	fall
down	down	down
,	,	,
do	do	do
not	not	not
mount	mount	mount
her	her	her
,	,	,
hump	hump	hump
her	her	her
,	,	,
take	take	take
off	off	off
her	her	her
underwear	underwear	underwear
,	,	,
and	and	and
insert	insert	insert
your	your	your
hand	hand	hand
inside	insid	inside
her	her	her
vagina	vagina	vagina
.	.	.
If	if	If
a	a	a
girl	girl	girl
falls	fall	fall
down	down	down
help	help	help
her	her	her
up	up	up
.	.	.
If	if	If
she	she	she
is	is	is
wearing	wear	wearing
a	a	a
cardigan	cardigan	cardigan
over	over	over
her	her	her
dress	dress	dress
don	don	don
t	t	t
take	take	take
it	it	it
off	off	off
so	so	so
that	that	that
you	you	you
can	can	can
touch	touch	touch
her	her	her
breasts	breast	breast
.	.	.
Maybe	mayb	Maybe
she	she	she
is	is	is
cold	cold	cold
