In	in	In
the	the	the
world	world	world
of	of	of
politics	polit	politics
there	there	there
are	are	are
going	go	going
to	to	to
be	be	be
scandals	scandal	scandal
.	.	.
It	it	It
s	s	s
just	just	just
a	a	a
fact	fact	fact
.	.	.
There	there	There
s	s	s
no	no	no
way	way	way
around	around	around
it	it	it
.	.	.
They	they	They
can	can	can
be	be	be
true	true	true
or	or	or
they	they	they
can	can	can
be	be	be
false	fals	false
,	,	,
but	but	but
they	they	they
are	are	are
going	go	going
to	to	to
happen	happen	happen
no	no	no
matter	matter	matter
who	who	who
you	you	you
are	are	are
.	.	.
What	what	What
s	s	s
important	import	important
,	,	,
however	howev	however
,	,	,
is	is	is
how	how	how
one	one	one
handles	handl	handle
the	the	the
scandals	scandal	scandal
,	,	,
and	and	and
so	so	so
far	far	far
Republican	republican	Republican
presidential	presidenti	presidential
candidate	candid	candidate
Ted	ted	Ted
Cruz	cruz	Cruz
has	has	ha
shown	shown	shown
that	that	that
he	he	he
can	can	can
t	t	t
handle	handl	handle
much	much	much
of	of	of
anything	anyth	anything
thrown	thrown	thrown
his	his	his
way	way	way
.	.	.
With	with	With
The	the	The
National	nation	National
Enquirer	enquir	Enquirer
printing	print	printing
a	a	a
story	stori	story
that	that	that
alleges	alleg	alleges
Cruz	cruz	Cruz
s	s	s
involved	involv	involved
with	with	with
five	five	five
different	differ	different
women	women	woman
other	other	other
than	than	than
his	his	his
wife	wife	wife
,	,	,
#CruzSexScandal	#cruzsexscand	#CruzSexScandal
quickly	quick	quickly
started	start	started
to	to	to
take	take	take
over	over	over
social	social	social
media	media	medium
and	and	and
the	the	the
national	nation	national
conversation	convers	conversation
.	.	.
Is	is	Is
the	the	the
story	stori	story
true	true	true
?	?	?
Who	who	Who
knows	know	know
,	,	,
really	realli	really
.	.	.
But	but	But
at	at	at
this	this	this
point	point	point
it	it	it
doesn	doesn	doesn
t	t	t
really	realli	really
matter	matter	matter
,	,	,
because	becaus	because
it	it	it
s	s	s
out	out	out
there	there	there
.	.	.
Now	now	Now
,	,	,
Cruz	cruz	Cruz
could	could	could
simply	simpli	simply
shrug	shrug	shrug
off	off	off
these	these	these
allegations	alleg	allegation
,	,	,
or	or	or
even	even	even
laugh	laugh	laugh
at	at	at
them	them	them
for	for	for
how	how	how
ridiculous	ridicul	ridiculous
they	they	they
may	may	may
be	be	be
,	,	,
but	but	but
instead	instead	instead
he	he	he
chose	chose	chose
to	to	to
throw	throw	throw
a	a	a
ginormous	ginorm	ginormous
hissy	hissi	hissy
fit	fit	fit
on	on	on
Facebook	facebook	Facebook
and	and	and
blames	blame	blame
the	the	the
entire	entir	entire
thing	thing	thing
on	on	on
Donald	donald	Donald
Trump	trump	Trump
.	.	.
And	and	And
who	who	who
knows	know	know
,	,	,
maybe	mayb	maybe
Trump	trump	Trump
is	is	is
to	to	to
blame	blame	blame
.	.	.
However	howev	However
,	,	,
how	how	how
Cruz	cruz	Cruz
is	is	is
handling	handl	handling
all	all	all
of	of	of
this	this	this
shows	show	show
how	how	how
he	he	he
may	may	may
handle	handl	handle
times	time	time
of	of	of
trouble	troubl	trouble
,	,	,
and	and	and
let	let	let
s	s	s
just	just	just
say	say	say
,	,	,
it	it	it
ain	ain	ain
t	t	t
pretty	pretti	pretty
.	.	.
Cruz	cruz	Cruz
wrote	wrote	wrote
on	on	on
Facebook	facebook	Facebook
I	i	I
want	want	want
to	to	to
be	be	be
crystal	crystal	crystal
clear	clear	clear
these	these	these
attacks	attack	attack
are	are	are
garbage	garbag	garbage
.	.	.
For	for	For
Donald	donald	Donald
J	j	J
.	.	.
Trump	trump	Trump
to	to	to
enlist	enlist	enlist
his	his	his
friends	friend	friend
at	at	at
the	the	the
National	nation	National
Enquirer	enquir	Enquirer
and	and	and
his	his	his
political	polit	political
henchmen	henchmen	henchman
to	to	to
do	do	do
his	his	his
bidding	bid	bidding
shows	show	show
you	you	you
that	that	that
there	there	there
is	is	is
no	no	no
low	low	low
Donald	donald	Donald
won	won	won
t	t	t
go	go	go
.	.	.
These	these	These
smears	smear	smear
are	are	are
completely	complet	completely
false	fals	false
,	,	,
they	they	they
re	re	re
offensive	offens	offensive
to	to	to
Heidi	heidi	Heidi
and	and	and
me	me	me
,	,	,
they	they	they
re	re	re
offensive	offens	offensive
to	to	to
our	our	our
daughters	daughter	daughter
,	,	,
and	and	and
they	they	they
re	re	re
offensive	offens	offensive
to	to	to
everyone	everyon	everyone
Donald	donald	Donald
continues	continu	continues
to	to	to
personally	person	personally
attack	attack	attack
.	.	.
Donald	donald	Donald
Trump	trump	Trump
s	s	s
consistently	consist	consistently
disgraceful	disgrac	disgraceful
behavior	behavior	behavior
is	is	is
beneath	beneath	beneath
the	the	the
office	offic	office
we	we	we
are	are	are
seeking	seek	seeking
and	and	and
we	we	we
are	are	are
not	not	not
going	go	going
to	to	to
follow	follow	follow
.	.	.
!	!	!
CDATA	cdata	CDATA
!	!	!
CDATA	cdata	CDATA
!	!	!
CDATA	cdata	CDATA
!	!	!
CDATA	cdata	CDATA
!	!	!
CDATA	cdata	CDATA
!	!	!
CDATA	cdata	CDATA
!	!	!
CDATA	cdata	CDATA
function	function	function
d	d	d
,	,	,
s	s	s
,	,	,
id	id	id
var	var	var
js	js	j
,	,	,
fjs	fjs	fjs
d	d	d
.	.	.
getElementsByTagName	getelementsbytagnam	getElementsByTagName
s	s	s
0	0	0
;	;	;
if	if	if
d	d	d
.	.	.
getElementById	getelementbyid	getElementById
id	id	id
return	return	return
;	;	;
js	js	j
d	d	d
.	.	.
createElement	createel	createElement
s	s	s
;	;	;
js	js	j
.	.	.
id	id	id
id	id	id
;	;	;
js	js	j
.	.	.
src	src	src
connect	connect	connect
.	.	.
facebook	facebook	facebook
.	.	.
net	net	net
en_US	en_us	en_US
sdk	sdk	sdk
.	.	.
js	js	j
"#xfbml=1&#038;version=v2.3"";"	"#xfbml=1&#038;version=v2.3"";"	"#xfbml=1&#038;version=v2.3"";"
fjs	fjs	fjs
.	.	.
parentNode	parentnod	parentNode
.	.	.
insertBefore	insertbefor	insertBefore
js	js	j
,	,	,
