Tell	tell	Tell
us	us	u
Susan	susan	Susan
what	what	what
s	s	s
worse	wors	worse
,	,	,
Iran	iran	Iran
with	with	with
a	a	a
nuclear	nuclear	nuclear
weapon	weapon	weapon
and	and	and
billions	billion	billion
of	of	of
dollars	dollar	dollar
to	to	to
help	help	help
fund	fund	fund
muslim	muslim	muslim
terrorists	terrorist	terrorist
or	or	or
Iran	iran	Iran
with	with	with
a	a	a
nuclear	nuclear	nuclear
weapon	weapon	weapon
and	and	and
frozen	frozen	frozen
assets	asset	asset
?	?	?
President	presid	President
Obama	obama	Obama
s	s	s
National	nation	National
Security	secur	Security
Advisor	advisor	Advisor
,	,	,
Susan	susan	Susan
Rice	rice	Rice
,	,	,
told	told	told
CNN	cnn	CNN
s	s	s
Wolf	wolf	Wolf
Blitzer	blitzer	Blitzer
on	on	on
Wednesday	wednesday	Wednesday
that	that	that
we	we	we
should	should	should
expect	expect	expect
Iran	iran	Iran
to	to	to
use	use	use
the	the	the
money	money	money
it	it	it
gets	get	get
under	under	under
sanctions	sanction	sanction
relief	relief	relief
for	for	for
military	militari	military
and	and	and
even	even	even
terrorist	terrorist	terrorist
operations	oper	operation
.	.	.
As	as	As
part	part	part
of	of	of
Obama	obama	Obama
s	s	s
nuclear	nuclear	nuclear
agreement	agreement	agreement
with	with	with
Iran	iran	Iran
,	,	,
tens	ten	ten
of	of	of
billions	billion	billion
of	of	of
dollars	dollar	dollar
frozen	frozen	frozen
as	as	a
part	part	part
of	of	of
the	the	the
sanctions	sanction	sanction
on	on	on
Iran	iran	Iran
will	will	will
be	be	be
released	releas	released
over	over	over
time	time	time
provided	provid	provided
Iran	iran	Iran
complies	compli	complies
with	with	with
a	a	a
list	list	list
of	of	of
deadlines	deadlin	deadline
outlined	outlin	outlined
in	in	in
the	the	the
agreement	agreement	agreement
.	.	.
What	what	What
do	do	do
we	we	we
think	think	think
they	they	they
ll	ll	ll
spend	spend	spend
that	that	that
money	money	money
on	on	on
?	?	?
We	we	We
think	think	think
,	,	,
for	for	for
the	the	the
most	most	most
part	part	part
,	,	,
they	they	they
re	re	re
going	go	going
to	to	to
need	need	need
to	to	to
spend	spend	spend
it	it	it
on	on	on
the	the	the
Iranian	iranian	Iranian
people	peopl	people
and	and	and
their	their	their
economy	economi	economy
which	which	which
has	has	ha
tanked	tank	tanked
,	,	,
she	she	she
told	told	told
Blitzer	blitzer	Blitzer
.	.	.
Of	of	Of
course	cours	course
,	,	,
murderous	murder	murderous
regimes	regim	regime
like	like	like
Iran	iran	Iran
don	don	don
t	t	t
generally	general	generally
limit	limit	limit
themselves	themselv	themselves
to	to	to
domestic	domest	domestic
infrastructure	infrastructur	infrastructure
projects	project	project
and	and	and
welfare	welfar	welfare
schemes	scheme	scheme
,	,	,
which	which	which
Rice	rice	Rice
quickly	quick	quickly
acknowledged	acknowledg	acknowledged
.	.	.
But	but	But
yes	yes	yes
,	,	,
it	it	it
is	is	is
real	real	real
,	,	,
it	it	it
is	is	is
possible	possibl	possible
,	,	,
and	and	and
,	,	,
in	in	in
fact	fact	fact
,	,	,
we	we	we
should	should	should
expect	expect	expect
that	that	that
some	some	some
portion	portion	portion
of	of	of
that	that	that
money	money	money
would	would	would
go	go	go
to	to	to
the	the	the
Iranian	iranian	Iranian
military	militari	military
and	and	and
could	could	could
potentially	potenti	potentially
be	be	be
used	use	used
for	for	for
the	the	the
kinds	kind	kind
of	of	of
bad	bad	bad
behavior	behavior	behavior
that	that	that
we	we	we
have	have	have
seen	seen	seen
in	in	in
the	the	the
region	region	region
up	up	up
until	until	until
now	now	now
,	,	,
she	she	she
said	said	said
.	.	.
By	by	By
bad	bad	bad
behavior	behavior	behavior
Rice	rice	Rice
is	is	is
presumably	presum	presumably
referring	refer	referring
to	to	to
Iran	iran	Iran
s	s	s
funding	fund	funding
of	of	of
terrorist	terrorist	terrorist
organizations	organ	organization
,	,	,
and	and	and
its	it	it
expanding	expand	expanding
military	militari	military
operations	oper	operation
throughout	throughout	throughout
areas	area	area
such	such	such
as	as	a
Yemen	yemen	Yemen
.	.	.
Despite	despit	Despite
the	the	the
fact	fact	fact
that	that	that
the	the	the
Obama	obama	Obama
administration	administr	administration
fully	fulli	fully
expects	expect	expects
Iran	iran	Iran
to	to	to
use	use	use
its	it	it
newly	newli	newly
released	releas	released
billions	billion	billion
to	to	to
fund	fund	fund
terrorism	terror	terrorism
,	,	,
Rice	rice	Rice
told	told	told
Blitzer	blitzer	Blitzer
those	those	those
concerns	concern	concern
didn	didn	didn
t	t	t
play	play	play
an	an	an
important	import	important
role	role	role
in	in	in
negotiations	negoti	negotiation
.	.	.
The	the	The
goal	goal	goal
here	here	here
,	,	,
Wolf	wolf	Wolf
,	,	,
was	was	wa
never	never	never
,	,	,
and	and	and
was	was	wa
not	not	not
designed	design	designed
to	to	to
prevent	prevent	prevent
them	them	them
from	from	from
engaging	engag	engaging
in	in	in
bad	bad	bad
behavior	behavior	behavior
in	in	in
the	the	the
region	region	region
.	.	.
They	they	They
re	re	re
doing	do	doing
that	that	that
today	today	today
,	,	,
she	she	she
said	said	said
.	.	.
The	the	The
goal	goal	goal
is	is	is
to	to	to
ensure	ensur	ensure
that	that	that
they	they	they
don	don	don
t	t	t
have	have	have
a	a	a
nuclear	nuclear	nuclear
weapon	weapon	weapon
,	,	,
and	and	and
therefore	therefor	therefore
,	,	,
when	when	when
they	they	they
are	are	are
engaging	engag	engaging
in	in	in
that	that	that
bad	bad	bad
