Recently	recent	Recently
,	,	,
Donald	donald	Donald
Trump	trump	Trump
shocked	shock	shocked
even	even	even
his	his	his
critics	critic	critic
by	by	by
openly	open	openly
offering	offer	offering
to	to	to
destroy	destroy	destroy
a	a	a
Texas	texa	Texas
state	state	state
senator	senat	senator
for	for	for
a	a	a
Sheriff	sheriff	Sheriff
who	who	who
didn	didn	didn
t	t	t
like	like	like
his	his	his
opposition	opposit	opposition
to	to	to
the	the	the
corrupt	corrupt	corrupt
practice	practic	practice
of	of	of
civil	civil	civil
asset	asset	asset
forfeiture	forfeitur	forfeiture
that	that	that
s	s	s
when	when	when
police	polic	police
can	can	can
take	take	take
your	your	your
stuff	stuff	stuff
regardless	regardless	regardless
of	of	of
whether	whether	whether
or	or	or
not	not	not
you	you	you
have	have	have
been	been	been
convicted	convict	convicted
of	of	of
a	a	a
crime	crime	crime
and	and	and
you	you	you
often	often	often
have	have	have
to	to	to
prove	prove	prove
your	your	your
possessions	possess	possession
innocent	innoc	innocent
to	to	to
get	get	get
them	them	them
back	back	back
.	.	.
After	after	After
Rockwall	rockwal	Rockwall
County	counti	County
,	,	,
Texas	texa	Texas
,	,	,
Sheriff	sheriff	Sheriff
Harold	harold	Harold
Eavenson	eavenson	Eavenson
,	,	,
told	told	told
Trump	trump	Trump
about	about	about
a	a	a
lawmaker	lawmak	lawmaker
who	who	who
had	had	had
proposed	propos	proposed
asset	asset	asset
forfeiture	forfeitur	forfeiture
legislation	legisl	legislation
he	he	he
thinks	think	think
would	would	would
aid	aid	aid
drug	drug	drug
cartels	cartel	cartel
,	,	,
Trump	trump	Trump
straight	straight	straight
-up	-up	-up
offered	offer	offered
to	to	to
destroy	destroy	destroy
the	the	the
guy	guy	guy
Who	who	Who
is	is	is
the	the	the
state	state	state
senator	senat	senator
?	?	?
Do	do	Do
you	you	you
want	want	want
to	to	to
give	give	give
his	his	his
name	name	name
?	?	?
We	we	We
ll	ll	ll
destroy	destroy	destroy
his	his	his
career	career	career
.	.	.
The	the	The
room	room	room
erupted	erupt	erupted
in	in	in
nervous	nervous	nervous
laughter	laughter	laughter
,	,	,
but	but	but
Eavenson	eavenson	Eavenson
refused	refus	refused
to	to	to
name	name	name
names	name	name
.	.	.
I	i	I
m	m	m
not	not	not
into	into	into
assassinating	assassin	assassinating
his	his	his
character	charact	character
,	,	,
he	he	he
said	said	said
.	.	.
Sheriff	sheriff	Sheriff
tells	tell	tell
Trump	trump	Trump
that	that	that
state	state	state
senator	senat	senator
is	is	is
doing	do	doing
something	someth	something
he	he	he
doesn't	doesn't	doesn't
likeTrump	liketrump	likeTrump
Do	do	Do
you	you	you
want	want	want
to	to	to
give	give	give
his	his	his
name	name	name
?	?	?
We'll	we'll	We'll
destroy	destroy	destroy
his	his	his
career	career	career
.	.	.
pic.twitter.com/75y3t9zc54	pic.twitter.com/75y3t9zc54	pic.twitter.com/75y3t9zc54
Steve	steve	Steve
Kopack	kopack	Kopack
@SteveKopack	@stevekopack	@SteveKopack
February	februari	February
7	7	7
,	,	,
2017Currently	2017current	2017Currently
,	,	,
the	the	the
only	onli	only
lawmaker	lawmak	lawmaker
in	in	in
Texas	texa	Texas
to	to	to
propose	propos	propose
eliminating	elimin	eliminating
the	the	the
corrupt	corrupt	corrupt
practice	practic	practice
is	is	is
Senator	senat	Senator
Konni	konni	Konni
Burton	burton	Burton
a	a	a
woman	woman	woman
and	and	and
a	a	a
conservative	conserv	conservative
though	though	though
others	other	others
,	,	,
Republicans	republican	Republicans
Don	don	Don
Huffines	huffin	Huffines
and	and	and
Bob	bob	Bob
Hall	hall	Hall
,	,	,
are	are	are
on	on	on
record	record	record
as	as	a
opposing	oppos	opposing
asset	asset	asset
forfeiture	forfeitur	forfeiture
.	.	.
Ultimately	ultim	Ultimately
,	,	,
it	it	it
appears	appear	appears
that	that	that
Trump	trump	Trump
s	s	s
sheriff	sheriff	sheriff
was	was	wa
lying	lie	lying
to	to	to
him	him	him
.	.	.
Whether	whether	Whether
or	or	or
not	not	not
Trump	trump	Trump
s	s	s
buddy	buddi	buddy
was	was	wa
lying	lie	lying
,	,	,
one	one	one
state	state	state
senator	senat	senator
from	from	from
Pennsylvania	pennsylvania	Pennsylvania
who	who	who
also	also	also
opposes	oppos	opposes
the	the	the
practice	practic	practice
has	has	ha
something	someth	something
to	to	to
say	say	say
to	to	to
Trump	trump	Trump
Bring	bring	Bring
it	it	it
.	.	.
Hey	hey	Hey
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
I	i	I
oppose	oppos	oppose
civil	civil	civil
asset	asset	asset
forfeiture	forfeitur	forfeiture
too	too	too
!	!	!
Democratic	democrat	Democratic
Senator	senat	Senator
Daylin	daylin	Daylin
Leach	leach	Leach
wrote	wrote	wrote
on	on	on
Tuesday	tuesday	Tuesday
.	.	.
Why	whi	Why
don	don	don
t	t	t
you	you	you
try	tri	try
to	to	to
destroy	destroy	destroy
my	my	my
career	career	career
you	you	you
fascist	fascist	fascist
,	,	,
loofa	loofa	loofa
-faced	-face	-faced
,	,	,
shit	shit	shit
-gibbon	-gibbon	-gibbon
!	!	!
Hey	hey	Hey
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
I	i	I
oppose	oppos	oppose
civil	civil	civil
asset	asset	asset
forfeiture	forfeitur	forfeiture
too	too	too
!	!	!
Why	whi	Why
don't	don't	don't
you	you	you
try	tri	try
to	to	to
destroy	destroy	destroy
my	my	my
career	career	career
you	you	you
fascist	fascist	fascist
,	,	,
loofa	loofa	loofa
-faced	-face	-faced
,	,	,
shit	shit	shit
-gibbon	-gibbon	-gibbon
!	!	!
Daylin	daylin	Daylin
Leach	leach	Leach
@daylinleach	@daylinleach	@daylinleach
February	februari	February
7	7	7
,	,	,
2017Leach	2017leach	2017Leach
was	was	wa
flooded	flood	flooded
with	with	with
praise	prais	praise
following	follow	following
his	his	his
challenge	challeng	challenge
to	to	to
The	the	The
Orange	orang	Orange
One	one	One
and	and	and
he	he	he
just	just	just
ate	ate	ate
it	it	it
up	up	up
@Inovog61	@inovog61	@Inovog61
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
I	i	I
do	do	do
indeed	inde	indeed
rock	rock	rock
.	.	.
Daylin	daylin	Daylin
Leach	leach	Leach
@daylinleach	@daylinleach	@daylinleach
February	februari	February
8	8	8
,	,	,
2017	2017	2017
@itsangelbitchz	@itsangelbitchz	@itsangelbitchz
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
LOL	lol	LOL
Be	be	Be
careful	care	careful
what	what	what
you	you	you
wish	wish	wish
for	for	for
Daylin	daylin	Daylin
Leach	leach	Leach
@daylinleach	@daylinleach	@daylinleach
February	februari	February
8	8	8
,	,	,
2017	2017	2017
@NDLevinson	@ndlevinson	@NDLevinson
@maddow	@maddow	@maddow
@TuesdaysToomey	@tuesdaystoomey	@TuesdaysToomey
I'm	i'm	I'm
open	open	open
to	to	to
offers	offer	offer
.	.	.
But	but	But
I'll	i'll	I'll
need	need	need
only	onli	only
green	green	green
M	m	M
Ms	ms	Ms
in	in	in
my	my	my
dressing	dress	dressing
room	room	room
.	.	.
Daylin	daylin	Daylin
Leach	leach	Leach
@daylinleach	@daylinleach	@daylinleach
February	februari	February
8	8	8
,	,	,
2017	2017	2017
@bgerh	@bgerh	@bgerh
Well	well	Well
,	,	,
I	i	I
think	think	think
its	it	it
fair	fair	fair
to	to	to
say	say	say
my	my	my
fan	fan	fan
-worship	-worship	-worship
doesn't	doesn't	doesn't
go	go	go
overboard	overboard	overboard
.	.	.
Daylin	daylin	Daylin
Leach	leach	Leach
@daylinleach	@daylinleach	@daylinleach
February	februari	February
7	7	7
,	,	,
2017	2017	2017
@ckk0703	@ckk0703	@ckk0703
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
It's	it	It's
like	like	like
a	a	a
cockwomble	cockwombl	cockwomble
,	,	,
only	onli	only
less	less	le
appealing	appeal	appealing
.	.	.
Daylin	daylin	Daylin
Leach	leach	Leach
@daylinleach	@daylinleach	@daylinleach
February	februari	February
9	9	9
,	,	,
2017	2017	2017
@daylinleach	@daylinleach	@daylinleach
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
I	i	I
humbly	humbl	humbly
bow	bow	bow
to	to	to
