No	no	No
time	time	time
to	to	to
waste	wast	waste
we've	we'v	we've
got	got	got
to	to	to
fight	fight	fight
with	with	with
everything	everyth	everything
we've	we'v	we've
got	got	got
to	to	to
#DefendDACA.	#defenddaca.	#DefendDACA.
Thanks	thank	Thanks
,	,	,
@jorgeramosnews	@jorgeramosnew	@jorgeramosnews
,	,	,
for	for	for
sharing	share	sharing
these	these	these
powerful	power	powerful
stories	stori	story
.	.	.
https://t.co/rNtZZ4ONBy	https://t.co/rntzz4onbi	https://t.co/rNtZZ4ONBy
Hillary	hillari	Hillary
Clinton	clinton	Clinton
@HillaryClinton	@hillaryclinton	@HillaryClinton
September	septemb	September
4	4	4
,	,	,
2017Mediaite	2017mediait	2017Mediaite
But	but	But
what	what	what
about	about	about
the	the	the
interview	interview	interview
Hillary	hillari	Hillary
did	did	did
with	with	with
CNN	cnn	CNN
s	s	s
Christiane	christian	Christiane
Amanpour	amanpour	Amanpour
to	to	to
promote	promot	promote
her	her	her
previous	previous	previous
book	book	book
,	,	,
Hard	hard	Hard
Choices	choic	Choices
?	?	?
A	a	A
video	video	video
has	has	ha
emerged	emerg	emerged
showing	show	showing
the	the	the
interview	interview	interview
where	where	where
Hillary	hillari	Hillary
told	told	told
Amanpour	amanpour	Amanpour
that	that	that
she	she	she
believed	believ	believed
the	the	the
DACA	daca	DACA
kids	kid	kid
should	should	should
be	be	be
sent	sent	sent
back	back	back
.	.	.
During	dure	During
the	the	the
exchange	exchang	exchange
,	,	,
Clinton	clinton	Clinton
had	had	had
some	some	some
tough	tough	tough
words	word	word
for	for	for
the	the	the
children	children	child
of	of	of
illegal	illeg	illegal
immigrants	immigr	immigrant
,	,	,
including	includ	including
waves	wave	wave
of	of	of
unaccompanied	unaccompani	unaccompanied
minors	minor	minor
coming	come	coming
in	in	in
2014	2014	2014
telling	tell	telling
Amanpour	amanpour	Amanpour
that	that	that
the	the	the
United	unit	United
States	state	States
was	was	wa
a	a	a
nation	nation	nation
of	of	of
laws	law	law
and	and	and
that	that	that
they	they	they
probably	probabl	probably
had	had	had
to	to	to
go	go	go
.	.	.
Watch	watch	Watch
at	at	at
the	the	the
2	2	2
20	20	20
mark	mark	mark
The	the	The
exchange	exchang	exchange
went	went	went
like	like	like
this	this	this
AMANPOUR	amanpour	AMANPOUR
So	so	So
,	,	,
you	you	you
re	re	re
saying	say	saying
they	they	they
should	should	should
be	be	be
sent	sent	sent
back	back	back
now	now	now
?	?	?
CLINTON	clinton	CLINTON
Well	well	Well
,	,	,
they	they	they
should	should	should
be	be	be
sent	sent	sent
back	back	back
as	as	a
soon	soon	soon
as	as	a
it	it	it
can	can	can
be	be	be
determined	determin	determined
who	who	who
responsible	respons	responsible
adults	adult	adult
in	in	in
their	their	their
families	famili	family
are	are	are
,	,	,
because	becaus	because
there	there	there
are	are	are
concerns	concern	concern
whether	whether	whether
all	all	all
of	of	of
them	them	them
should	should	should
be	be	be
sent	sent	sent
back	back	back
.	.	.
But	but	But
I	i	I
think	think	think
all	all	all
of	of	of
them	them	them
who	who	who
can	can	can
be	be	be
should	should	should
be	be	be
reunited	reunit	reunited
with	with	with
their	their	their
families	famili	family
.	.	.
And	and	And
just	just	just
as	as	a
Vice	vice	Vice
President	presid	President
Biden	biden	Biden
is	is	is
arguing	argu	arguing
today	today	today
in	in	in
Central	central	Central
America	america	America
,	,	,
we	we	we
ve	ve	ve
got	got	got
to	to	to
do	do	do
more	more	more
.	.	.
I	i	I
started	start	started
this	this	this
when	when	when
I	i	I
was	was	wa
secretary	secretari	secretary
to	to	to
deal	deal	deal
with	with	with
the	the	the
violence	violenc	violence
in	in	in
this	this	this
region	region	region
to	to	to
deal	deal	deal
with	with	with
border	border	border
security	secur	security
.	.	.
But	but	But
we	we	we
have	have	have
so	so	so
to	to	to
send	send	send
a	a	a
clear	clear	clear
message	messag	message
,	,	,
just	just	just
because	becaus	because
your	your	your
child	child	child
gets	get	get
across	across	across
the	the	the
border	border	border
,	,	,
that	that	that
doesn	doesn	doesn
t	t	t
mean	mean	mean
the	the	the
child	child	child
gets	get	get
to	to	to
stay	stay	stay
.	.	.
So	so	So
,	,	,
we	we	we
don	don	don
t	t	t
want	want	want
to	to	to
send	send	send
a	a	a
message	messag	message
that	that	that
is	is	is
contrary	contrari	contrary
to	to	to
our	our	our
laws	law	law
or	or	or
will	will	will
encourage	encourag	encourage
more	more	more
children	children	child
