Without	without	Without
even	even	even
mentioning	mention	mentioning
Donald	donald	Donald
Trump	trump	Trump
s	s	s
name	name	name
former	former	former
First	first	First
Lady	ladi	Lady
Michelle	michell	Michelle
Obama	obama	Obama
opened	open	opened
a	a	a
can	can	can
of	of	of
whoop	whoop	whoop
ass	ass	as
on	on	on
his	his	his
administration	administr	administration
Thursday	thursday	Thursday
,	,	,
saying	say	saying
that	that	that
the	the	the
White	white	White
House	hous	House
is	is	is
currently	current	currently
being	be	being
led	led	led
by	by	by
fear	fear	fear
.	.	.

Mrs	mrs	Mrs
Obama	obama	Obama
was	was	wa
speaking	speak	speaking
at	at	at
a	a	a
tech	tech	tech
conference	confer	conference
in	in	in
Utah	utah	Utah
,	,	,
and	and	and
said	said	said
that	that	that
her	her	her
husband	husband	husband
s	s	s
presidency	presid	presidency
was	was	wa
built	built	built
on	on	on
hope	hope	hope
,	,	,
while	while	while
Trump	trump	Trump
s	s	s
is	is	is
being	be	being
led	led	led
with	with	with
fear	fear	fear
,	,	,
according	accord	according
to	to	to
The	the	The
Salt	salt	Salt
Lake	lake	Lake
Tribune	tribun	Tribune
.	.	.

It	it	It
isn	isn	isn
t	t	t
just	just	just
us	us	u
first	first	first
,	,	,
she	she	she
said	said	said
,	,	,
referring	refer	referring
to	to	to
Trump	trump	Trump
s	s	s
America	america	America
first	first	first
agenda	agenda	agenda
.	.	.

We	we	We
live	live	live
in	in	in
a	a	a
big	big	big
country	countri	country
and	and	and
a	a	a
big	big	big
world	world	world
,	,	,
she	she	she
said	said	said
.	.	.

You	you	You
can	can	can
t	t	t
just	just	just
want	want	want
to	to	to
help	help	help
someone	someon	someone
in	in	in
a	a	a
hurricane	hurrican	hurricane
and	and	and
not	not	not
make	make	make
sure	sure	sure
they	they	they
can	can	can
go	go	go
to	to	to
the	the	the
doctor	doctor	doctor
when	when	when
they	they	they
re	re	re
sick	sick	sick
.	.	.

At	at	At
the	the	the
United	unit	United
Nations	nation	Nations
,	,	,
Trump	trump	Trump
again	again	again
reiterated	reiter	reiterated
his	his	his
America	america	America
First	first	First
policies	polici	policy
.	.	.

As	as	As
president	presid	president
of	of	of
the	the	the
United	unit	United
States	state	States
,	,	,
I	i	I
will	will	will
always	alway	always
put	put	put
America	america	America
first	first	first
,	,	,
just	just	just
like	like	like
you	you	you
as	as	a
the	the	the
leaders	leader	leader
of	of	of
your	your	your
countries	countri	country
will	will	will
always	alway	always
