For	for	For
someone	someon	someone
that	that	that
ran	ran	ran
on	on	on
the	the	the
Drain	drain	Drain
the	the	the
Swamp	swamp	Swamp
platform	platform	platform
,	,	,
the	the	the
current	current	current
occupant	occup	occupant
of	of	of
the	the	the
White	white	White
House	hous	House
has	has	ha
a	a	a
funny	funni	funny
way	way	way
of	of	of
showing	show	showing
it	it	it
.	.	.
Donald	donald	Donald
Trump	trump	Trump
Jr	jr	Jr
.	.	.
has	has	ha
found	found	found
himself	himself	himself
in	in	in
the	the	the
middle	middl	middle
of	of	of
an	an	an
email	email	email
scandal	scandal	scandal
the	the	the
irony	ironi	irony
is	is	is
palpable	palpabl	palpable
,	,	,
isn	isn	isn
t	t	t
it	it	it
?	?	?
in	in	in
which	which	which
he	he	he
included	includ	included
Trump	trump	Trump
s	s	s
son	son	son
-in-law	-in-law	-in-law
Jared	jare	Jared
Kushner	kushner	Kushner
and	and	and
former	former	former
campaign	campaign	campaign
manager	manag	manager
Paul	paul	Paul
Manafort	manafort	Manafort
in	in	in
the	the	the
messages	messag	message
.	.	.
Junior	junior	Junior
wanted	want	wanted
to	to	to
gather	gather	gather
damaging	damag	damaging
information	inform	information
in	in	in
2016	2016	2016
against	against	against
his	his	his
Dad	dad	Dad
s	s	s
opponent	oppon	opponent
,	,	,
Hillary	hillari	Hillary
Clinton	clinton	Clinton
.	.	.
The	the	The
problem	problem	problem
is	is	is
that	that	that
he	he	he
sought	sought	sought
to	to	to
collude	collud	collude
with	with	with
a	a	a
hostile	hostil	hostile
foreign	foreign	foreign
government	govern	government
to	to	to
get	get	get
that	that	that
info	info	info
in	in	in
order	order	order
to	to	to
get	get	get
his	his	his
father	father	father
elected	elect	elected
.	.	.
It	it	It
s	s	s
unethical	uneth	unethical
and	and	and
possibly	possibl	possibly
illegal	illeg	illegal
.	.	.
But	but	But
,	,	,
to	to	to
Donald	donald	Donald
Trump	trump	Trump
that	that	that
s	s	s
politics	polit	politics
!	!	!
Which	which	Which
brings	bring	brings
us	us	u
full	full	full
circle	circl	circle
back	back	back
to	to	to
that	that	that
drain	drain	drain
the	the	the
swamp	swamp	swamp
campaign	campaign	campaign
vow	vow	vow
the	the	the
former	former	former
reality	realiti	reality
show	show	show
star	star	star
made	made	made
.	.	.
Most	most	Most
politicians	politician	politician
would	would	would
have	have	have
gone	gone	gone
to	to	to
a	a	a
meeting	meet	meeting
like	like	like
the	the	the
one	one	one
Don	don	Don
jr	jr	jr
attended	attend	attended
in	in	in
order	order	order
to	to	to
get	get	get
info	info	info
on	on	on
an	an	an
opponent	oppon	opponent
.	.	.
That	that	That
s	s	s
politics	polit	politics
!	!	!
It	it	It
tweeted	tweet	tweeted
.	.	.
Most	most	Most
politicians	politician	politician
would	would	would
have	have	have
gone	gone	gone
to	to	to
a	a	a
meeting	meet	meeting
like	like	like
