Wow	wow	Wow
!	!	!

If	if	If
I	i	I
were	were	were
Hillary	hillari	Hillary
,	,	,
I	i	I
d	d	d
stop	stop	stop
sending	send	sending
people	peopl	people
to	to	to
her	her	her
website	websit	website
during	dure	during
the	the	the
debates	debat	debate
as	as	a
a	a	a
way	way	way
to	to	to
deflect	deflect	deflect
from	from	from
actual	actual	actual
issues	issu	issue
.	.	.

They	they	They
may	may	may
find	find	find
out	out	out
something	someth	something
pretty	pretti	pretty
horrifying	horrifi	horrifying
like	like	like
maybe	mayb	maybe
a	a	a
TRILLION	trillion	TRILLION
dollar	dollar	dollar
tax	tax	tax
hike	hike	hike
!	!	!

Trillion	trillion	Trillion
dollar	dollar	dollar
tax	tax	tax
hike	hike	hike
Hillary	hillari	Hillary
s	s	s
tax	tax	tax
hike	hike	hike
proposals	propos	proposal
will	will	will
raise	rais	raise
taxes	tax	tax
on	on	on
the	the	the
American	american	American
people	peopl	people
by	by	by
over	over	over
1	1	1
,	,	,
000	000	000
,	,	,
000	000	000
,	,	,
000	000	000
,	,	,
000	000	000
over	over	over
the	the	the
next	next	next
ten	ten	ten
years	year	year
,	,	,
based	base	based
on	on	on
her	her	her
campaign	campaign	campaign
s	s	s
own	own	own
numbers	number	number
.	.	.
Payroll	payrol	Payroll
Tax	tax	Tax
Hike	hike	Hike
Hillary	hillari	Hillary
said	said	said
she	she	she
would	would	would
not	not	not
veto	veto	veto
a	a	a
payroll	payrol	payroll
tax	tax	tax
increase	increas	increase
on	on	on
all	all	all
Americans	american	Americans
should	should	should
such	such	such
a	a	a
bill	bill	bill
reach	reach	reach
her	her	her
desk	desk	desk
.	.	.

She	she	She
said	said	said
she	she	she
would	would	would
set	set	set
her	her	her
middle	middl	middle
class	class	class
tax	tax	tax
pledge	pledg	pledge
aside	asid	aside
.	.	.

This	this	This
took	took	took
place	place	place
Jan	jan	Jan
.	.	.

12	12	12
in	in	in
Iowa	iowa	Iowa
,	,	,
and	and	and
it	it	it
s	s	s
on	on	on
video	video	video
Moderator	moder	Moderator
Democrats	democrat	Democrats
have	have	have
introduced	introduc	introduced
a	a	a
plan	plan	plan
that	that	that
Senator	senat	Senator
Sanders	sander	Sanders
supports	support	support
that	that	that
you	you	you
ve	ve	ve
come	come	come
out	out	out
against	against	against
because	becaus	because
it	it	it
is	is	is
funded	fund	funded
by	by	by
a	a	a
payroll	payrol	payroll
tax	tax	tax
.	.	.

If	if	If
that	that	that
were	were	were
to	to	to
reach	reach	reach
your	your	your
desk	desk	desk
as	as	a
President	presid	President
,	,	,
would	would	would
you	you	you
veto	veto	veto
it	it	it
in	in	in
order	order	order
to	to	to
make	make	make
good	good	good
on	on	on
your	your	your
tax	tax	tax
pledge	pledg	pledge
?	?	?

Hillary	hillari	Hillary
Clinton	clinton	Clinton
No	no	No
.	.	.
No	no	No
.	.	.
Soda	soda	Soda
Tax	tax	Tax
Hike	hike	Hike
Hillary	hillari	Hillary
endorsed	endors	endorsed
a	a	a
steep	steep	steep
new	new	new
soda	soda	soda
pop	pop	pop
tax	tax	tax
in	in	in
Philadelphia	philadelphia	Philadelphia
.	.	.

This	this	This
will	will	will
cost	cost	cost
