During	dure	During
an	an	an
interview	interview	interview
on	on	on
ABC	abc	ABC
s	s	s
This	this	This
Week	week	Week
,	,	,
Republican	republican	Republican
presidential	presidenti	presidential
candidate	candid	candidate
Donald	donald	Donald
Trump	trump	Trump
was	was	wa
questioned	question	questioned
by	by	by
the	the	the
show	show	show
s	s	s
host	host	host
,	,	,
George	georg	George
Stephanopoulos	stephanopoulo	Stephanopoulos
,	,	,
about	about	about
Russia	russia	Russia
s	s	s
involvement	involv	involvement
with	with	with
Crimea	crimea	Crimea
.	.	.

Trump	trump	Trump
s	s	s
answer	answer	answer
is	is	is
so	so	so
completely	complet	completely
ignorant	ignor	ignorant
that	that	that
it	it	it
definitively	definit	definitively
proves	prove	prof
that	that	that
Trump	trump	Trump
has	has	ha
a	a	a
childlike	childlik	childlike
understanding	understand	understanding
of	of	of
current	current	current
foreign	foreign	foreign
affairs	affair	affair
.	.	.
While	while	While
being	be	being
questioned	question	questioned
about	about	about
Vladamir	vladamir	Vladamir
Putin	putin	Putin
and	and	and
the	the	the
GOP	gop	GOP
s	s	s
stance	stanc	stance
regarding	regard	regarding
Ukraine	ukrain	Ukraine
,	,	,
Trump	trump	Trump
insisted	insist	insisted
that	that	that
Putin	putin	Putin
is	is	is
not	not	not
moving	move	moving
into	into	into
Crimea	crimea	Crimea
despite	despit	despite
the	the	the
fact	fact	fact
that	that	that
Putin	putin	Putin
had	had	had
already	alreadi	already
moved	move	moved
into	into	into
Crimea	crimea	Crimea
in	in	in
2014	2014	2014
.	.	.

He	he	He
s	s	s
not	not	not
going	go	going
into	into	into
Ukraine	ukrain	Ukraine
,	,	,
OK	ok	OK
,	,	,
just	just	just
so	so	so
you	you	you
understand	understand	understand
.	.	.

He	he	He
s	s	s
not	not	not
going	go	going
to	to	to
go	go	go
into	into	into
Ukraine	ukrain	Ukraine
,	,	,
all	all	all
right	right	right
?	?	?

You	you	You
can	can	can
mark	mark	mark
it	it	it
down	down	down
.	.	.

You	you	You
can	can	can
put	put	put
it	it	it
down	down	down
.	.	.

You	you	You
can	can	can
take	take	take
it	it	it
anywhere	anywher	anywhere
you	you	you
want	want	want
,	,	,
Trump	trump	Trump
said	said	said
.	.	.

Well	well	Well
,	,	,
he	he	he
s	s	s
already	alreadi	already
there	there	there
,	,	,
isn	isn	isn
t	t	t
he	he	he
?	?	?

Stephanopoulos	stephanopoulo	Stephanopoulos
responded	respond	responded
.	.	.
Trump	trump	Trump
said	said	said
OK	ok	OK
well	well	well
,	,	,
he	he	he
s	s	s
there	there	there
in	in	in
a	a	a
certain	certain	certain
way	way	way
.	.	.

But	but	But
I	i	I
m	m	m
not	not	not
