Yesterday	yesterday	Yesterday
,	,	,
an	an	an
eight	eight	eight
-year-old	-year-old	-year-old
girl	girl	girl
from	from	from
Flint	flint	Flint
,	,	,
Michigan	michigan	Michigan
got	got	got
a	a	a
response	respons	response
from	from	from
President	presid	President
Barack	barack	Barack
Obama	obama	Obama
that	that	that
she	she	she
ll	ll	ll
never	never	never
forget	forget	forget
.	.	.
Mari	mari	Mari
Copeny	copeni	Copeny
,	,	,
also	also	also
known	known	known
around	around	around
her	her	her
town	town	town
as	as	a
Little	littl	Little
Miss	miss	Miss
Flint	flint	Flint
,	,	,
had	had	had
written	written	written
to	to	to
Obama	obama	Obama
about	about	about
Flint	flint	Flint
s	s	s
water	water	water
crisis	crisi	crisis
,	,	,
which	which	which
had	had	had
been	been	been
poisoned	poison	poisoned
and	and	and
contaminated	contamin	contaminated
with	with	with
lead	lead	lead
thanks	thank	thanks
to	to	to
corruption	corrupt	corruption
and	and	and
negligence	neglig	negligence
by	by	by
the	the	the
state	state	state
s	s	s
Republican	republican	Republican
administration	administr	administration
.	.	.

In	in	In
her	her	her
message	messag	message
to	to	to
the	the	the
President	presid	President
,	,	,
Copeny	copeni	Copeny
spoke	spoke	spoke
up	up	up
for	for	for
many	mani	many
children	children	child
growing	grow	growing
up	up	up
in	in	in
Flint	flint	Flint
when	when	when
she	she	she
wrote	wrote	wrote
I	i	I
am	am	am
one	one	one
of	of	of
the	the	the
children	children	child
that	that	that
is	is	is
affected	affect	affected
by	by	by
this	this	this
water	water	water
,	,	,
and	and	and
I	i	I
ve	ve	ve
been	been	been
doing	do	doing
my	my	my
best	best	best
to	to	to
march	march	march
in	in	in
protest	protest	protest
and	and	and
to	to	to
speak	speak	speak
out	out	out
for	for	for
all	all	all
the	the	the
kids	kid	kid
that	that	that
live	live	live
here	here	here
in	in	in
Flint	flint	Flint
.	.	.

Copeny	copeni	Copeny
also	also	also
mentioned	mention	mentioned
that	that	that
she	she	she
would	would	would
be	be	be
in	in	in
Washington	washington	Washington
,	,	,
DC	dc	DC
this	this	this
week	week	week
to	to	to
watch	watch	watch
the	the	the
congressional	congression	congressional
hearings	hear	hearing
of	of	of
our	our	our
Governor	governor	Governor
Rick	rick	Rick
Snyder	snyder	Snyder
and	and	and
wanted	want	wanted
to	to	to
meet	meet	meet
the	the	the
President	presid	President
and	and	and
First	first	First
Lady	ladi	Lady
Michelle	michell	Michelle
Obama	obama	Obama
despite	despit	despite
the	the	the
fact	fact	fact
that	that	that
My	my	My
mom	mom	mom
said	said	said
chances	chanc	chance
are	are	are
you	you	you
will	will	will
be	be	be
too	too	too
busy	busi	busy
with	with	with
more	more	more
important	import	important
things	thing	thing
.	.	.

Copeny	copeni	Copeny
was	was	wa
hopeful	hope	hopeful
,	,	,
but	but	but
she	she	she
didn	didn	didn
t	t	t
expect	expect	expect
a	a	a
prompt	prompt	prompt
response	respons	response
from	from	from
the	the	the
busy	busi	busy
commander	command	commander
-in-chief	-in-chief	-in-chief
.	.	.

Little	littl	Little
did	did	did
she	she	she
know	know	know
,	,	,
her	her	her
request	request	request
was	was	wa
about	about	about
to	to	to
be	be	be
fulfilled	fulfil	fulfilled
in	in	in
a	a	a
major	major	major
way	way	way
.	.	.

Obama	obama	Obama
wrote	wrote	wrote
back	back	back
,	,	,
and	and	and
his	his	his
response	respons	response
was	was	wa
nothing	noth	nothing
short	short	short
of	of	of
the	the	the
amazing	amaz	amazing
warm	warm	warm
-heartedness	-hearted	-heartedness
that	that	that
we	we	we
ve	ve	ve
come	come	come
to	to	to
expect	expect	expect
from	from	from
our	our	our
President	presid	President
Thank	thank	Thank
you	you	you
for	for	for
writing	write	writing
to	to	to
me	me	me
.	.	.

You	you	You
re	re	re
right	right	right
that	that	that
Presidents	presid	Presidents
are	are	are
often	often	often
busy	busi	busy
,	,	,
but	but	but
the	the	the
truth	truth	truth
is	is	is
,	,	,
in	in	in
America	america	America
,	,	,
there	there	there
is	is	is
no	no	no
more	more	more
important	import	important
title	titl	title
than	than	than
