Noam	noam	Noam
Chomsky	chomski	Chomsky
desperately	desper	desperately
wants	want	want
America	america	America
to	to	to
wake	wake	wake
up	up	up
and	and	and
see	see	see
how	how	how
destructive	destruct	destructive
Republican	republican	Republican
values	valu	value
are	are	are
to	to	to
the	the	the
future	futur	future
of	of	of
this	this	this
country	countri	country
.	.	.
In	in	In
an	an	an
interview	interview	interview
with	with	with
DemocracyNow	democracynow	DemocracyNow
,	,	,
the	the	the
world	world	world
-renowned	-renown	-renowned
political	polit	political
theorist	theorist	theorist
didn	didn	didn
t	t	t
mince	minc	mince
his	his	his
words	word	word
when	when	when
he	he	he
said	said	said
the	the	the
GOP	gop	GOP
could	could	could
very	veri	very
well	well	well
be	be	be
the	the	the
most	most	most
dangerous	danger	dangerous
organization	organ	organization
in	in	in
human	human	human
history	histori	history
.	.	.
When	when	When
DemocracyNow	democracynow	DemocracyNow
s	s	s
Amy	ami	Amy
Goodman	goodman	Goodman
asked	ask	asked
Chomsky	chomski	Chomsky
what	what	what
he	he	he
thought	thought	thought
about	about	about
Donald	donald	Donald
Trump	trump	Trump
s	s	s
unexpected	unexpect	unexpected
rise	rise	rise
as	as	a
the	the	the
presumptive	presumpt	presumptive
Republican	republican	Republican
nominee	nomine	nominee
,	,	,
Chomsky	chomski	Chomsky
explained	explain	explained
that	that	that
the	the	the
Trump	trump	Trump
phenomenon	phenomenon	phenomenon
was	was	wa
simply	simpli	simply
an	an	an
extreme	extrem	extreme
version	version	version
of	of	of
something	someth	something
that	that	that
s	s	s
been	been	been
going	go	going
on	on	on
just	just	just
for	for	for
years	year	year
in	in	in
the	the	the
Republican	republican	Republican
primaries	primari	primary
.	.	.
Every	everi	Every
time	time	time
a	a	a
candidate	candid	candidate
came	came	came
up	up	up
from	from	from
the	the	the
base	base	base
Bachmann	bachmann	Bachmann
,	,	,
McCain	mccain	McCain
,	,	,
Santorum	santorum	Santorum
,	,	,
Huckabee	huckabe	Huckabee
,	,	,
one	one	one
crazier	crazier	crazier
than	than	than
the	the	the
other	other	other
every	everi	every
time	time	time
one	one	one
rose	rose	rose
from	from	from
the	the	the
base	base	base
,	,	,
the	the	the
Republican	republican	Republican
establishment	establish	establishment
sought	sought	sought
to	to	to
beat	beat	beat
them	them	them
down	down	down
and	and	and
get	get	get
their	their	their
own	own	own
get	get	get
their	their	their
own	own	own
man	man	man
you	you	you
know	know	know
,	,	,
Romney	romney	Romney
.	.	.
And	and	And
they	they	they
succeeded	succeed	succeeded
,	,	,
until	until	until
this	this	this
year	year	year
.	.	.
This	this	This
year	year	year
the	the	the
same	same	same
thing	thing	thing
happened	happen	happened
,	,	,
and	and	and
they	they	they
didn	didn	didn
t	t	t
succeed	succeed	succeed
.	.	.
The	the	The
pressure	pressur	pressure
from	from	from
the	the	the
base	base	base
was	was	wa
too	too	too
great	great	great
for	for	for
them	them	them
to	to	to
beat	beat	beat
it	it	it
back	back	back
.	.	.
Chomsky	chomski	Chomsky
expertly	expert	expertly
pointed	point	pointed
out	out	out
that	that	that
this	this	this
kind	kind	kind
of	of	of
extremism	extrem	extremism
could	could	could
be	be	be
traced	trace	traced
all	all	all
the	the	the
way	way	way
back	back	back
to	to	to
the	the	the
Reagan	reagan	Reagan
administration	administr	administration
,	,	,
and	and	and
that	that	that
today	today	today
s	s	s
Republicans	republican	Republicans
have	have	have
taken	taken	taken
the	the	the
party	parti	party
s	s	s
close	close	close
-minded	-mind	-minded
values	valu	value
to	to	to
an	an	an
entirely	entir	entirely
different	differ	different
level	level	level
.	.	.
This	this	This
has	has	ha
been	been	been
going	go	going
on	on	on
for	for	for
a	a	a
generation	generat	generation
.	.	.
And	and	And
while	while	while
this	this	this
has	has	ha
been	been	been
happening	happen	happening
,	,	,
there	there	there
s	s	s
a	a	a
kind	kind	kind
of	of	of
a	a	a
vicious	vicious	vicious
cycle	cycl	cycle
.	.	.
You	you	You
have	have	have
more	more	more
concentration	concentr	concentration
of	of	of
wealth	wealth	wealth
,	,	,
concentration	concentr	concentration
of	of	of
political	polit	political
power	power	power
,	,	,
legislation	legisl	legislation
to	to	to
increase	increas	increase
concentration	concentr	concentration
of	of	of
wealth	wealth	wealth
and	and	and
power	power	power
,	,	,
and	and	and
so	so	so
on	on	on
.	.	.
T	t	T
he	he	he
parties	parti	party
have	have	have
shifted	shift	shifted
so	so	so
far	far	far
to	to	to
the	the	the
right	right	right
that	that	that
the	the	the
today	today	today
s	s	s
mainstream	mainstream	mainstream
Democrats	democrat	Democrats
are	are	are
pretty	pretti	pretty
much	much	much
what	what	what
used	use	used
to	to	to
be	be	be
called	call	called
moderate	moder	moderate
Republicans	republican	Republicans
.	.	.
Now	now	Now
,	,	,
the	the	the
Republicans	republican	Republicans
are	are	are
just	just	just
off	off	off
the	the	the
spectrum	spectrum	spectrum
.	.	.
Making	make	Making
sure	sure	sure
to	to	to
highlight	highlight	highlight
just	just	just
how	how	how
important	import	important
this	this	this
election	elect	election
is	is	is
,	,	,
and	and	and
what	what	what
dire	dire	dire
consequences	consequ	consequence
America	america	America
might	might	might
be	be	be
faced	face	faced
with	with	with
under	under	under
a	a	a
Republican	republican	Republican
president	presid	president
like	like	like
Donald	donald	Donald
Trump	trump	Trump
,	,	,
Chomsky	chomski	Chomsky
told	told	told
Goodman	goodman	Goodman
that	that	that
today	today	today
s	s	s
GOPers	goper	GOPers
are	are	are
so	so	so
ignorant	ignor	ignorant
,	,	,
they	they	they
re	re	re
basically	basic	basically
making	make	making
it	it	it
their	their	their
mission	mission	mission
to	to	to
make	make	make
the	the	the
future	futur	future
worse	wors	worse
for	for	for
everyone	everyon	everyone
who	who	who
has	has	ha
to	to	to
live	live	live
in	in	in
it	it	it
T	t	T
he	he	he
fact	fact	fact
of	of	of
the	the	the
matter	matter	matter
is	is	is
that	that	that
today	today	today
s	s	s
Republican	republican	Republican
Party	parti	Party
qualify	qualifi	qualify
as	as	a
candidates	candid	candidate
for	for	for
the	the	the
most	most	most
dangerous	danger	dangerous
organization	organ	organization
in	in	in
human	human	human
history	histori	history
.	.	.
Just	just	Just
take	take	take
their	their	their
position	posit	position
on	on	on
the	the	the
two	two	two
major	major	major
issues	issu	issue
that	that	that
face	face	face
us	us	u
climate	climat	climate
change	chang	change
,	,	,
nuclear	nuclear	nuclear
war	war	war
.	.	.
On	on	On
climate	climat	climate
change	chang	change
,	,	,
it	it	it
s	s	s
not	not	not
even	even	even
debatable	debat	debatable
.	.	.
They	they	They
re	re	re
saying	say	saying
,	,	,
Let	let	Let
s	s	s
race	race	race
to	to	to
the	the	the
precipice	precipic	precipice
.	.	.
Let	let	Let
s	s	s
make	make	make
sure	sure	sure
that	that	that
our	our	our
grandchildren	grandchildren	grandchild
have	have	have
the	the	the
worst	worst	worst
possible	possibl	possible
life	life	life
.	.	.
Chomsky	chomski	Chomsky
also	also	also
noted	note	noted
that	that	that
the	the	the
GOP	gop	GOP
s	s	s
call	call	call
for	for	for
increased	increas	increased
militarization	militar	militarization
when	when	when
it	it	it
came	came	came
to	to	to
nuclear	nuclear	nuclear
war	war	war
was	was	wa
something	someth	something
that	that	that
needed	need	needed
to	to	to
be	be	be
confronted	confront	confronted
,	,	,
ASAP	asap	ASAP
.	.	.
He	he	He
said	said	said
,	,	,
There	there	There
s	s	s
been	been	been
nothing	noth	nothing
this	this	this
literally	liter	literally
,	,	,
this	this	this
dangerous	danger	dangerous
,	,	,
if	if	if
you	you	you
think	think	think
about	about	about
it	it	it
,	,	,
to	to	to
the	the	the
species	speci	specie
,	,	,
really	realli	really
,	,	,
ever	ever	ever
.	.	.
We	we	We
should	should	should
face	face	face
that	that	that
.	.	.
Chomsky	chomski	Chomsky
s	s	s
comments	comment	comment
are	are	are
dead	dead	dead
on	on	on
the	the	the
Republican	republican	Republican
party	parti	party
has	has	ha
never	never	never
been	been	been
more	more	more
anti	anti	anti
-humanity	-human	-humanity
than	than	than
it	it	it
is	is	is
right	right	right
now	now	now
.	.	.
One	one	One
of	of	of
the	the	the
most	most	most
vile	vile	vile
,	,	,
racist	racist	racist
,	,	,
misogynistic	misogynist	misogynistic
,	,	,
ignorant	ignor	ignorant
members	member	member
of	of	of
society	societi	society
is	is	is
now	now	now
the	the	the
GOP	gop	GOP
s	s	s
presumptive	presumpt	presumptive
nominee	nomine	nominee
,	,	,
and	and	and
the	the	the
rest	rest	rest
of	of	of
the	the	the
party	parti	party
continues	continu	continues
to	to	to
threaten	threaten	threaten
the	the	the
human	human	human
rights	right	right
of	of	of
minorities	minor	minority
,	,	,
women	women	woman
and	and	and
the	the	the
LGBT	lgbt	LGBT
community	communiti	community
on	on	on
a	a	a
daily	daili	daily
basis	basi	basis
.	.	.
This	this	This
is	is	is
a	a	a
party	parti	party
that	that	that
is	is	is
blinded	blind	blinded
by	by	by
ignorance	ignor	ignorance
and	and	and
cannot	cannot	cannot
move	move	move
forward	forward	forward
,	,	,
but	but	but
is	is	is
hellbent	hellbent	hellbent
on	on	on
making	make	making
life	life	life
worse	wors	worse
for	for	for
the	the	the
rest	rest	rest
of	of	of
us	us	u
.	.	.
Their	their	Their
fear	fear	fear
-mongering	-monger	-mongering
and	and	and
rhetoric	rhetor	rhetoric
is	is	is
dangerous	danger	dangerous
,	,	,
and	and	and
now	now	now
it	it	it
is	is	is
threatening	threaten	threatening
to	to	to
destroy	destroy	destroy
the	the	the
country	countri	country
.	.	.
And	and	And
thanks	thank	thanks
to	to	to
decades	decad	decade
of	of	of
these	these	these
horrific	horrif	horrific
attitudes	attitud	attitude
,	,	,
a	a	a
racist	racist	racist
reality	realiti	reality
television	televis	television
star	star	star
is	is	is
competing	compet	competing
for	for	for
the	the	the
White	white	White
House	hous	House
.	.	.
It	it	It
is	is	is
a	a	a
f	f	f
cking	cking	cking
disgrace	disgrac	disgrace
.	.	.
You	you	You
can	can	can
listen	listen	listen
to	to	to
Chomsky	chomski	Chomsky
call	call	call
out	out	out
the	the	the
GOP	gop	GOP
at	at	at
the	the	the
17	17	17
-minute	-minut	-minute
mark	mark	mark
in	in	in
the	the	the
video	video	video
below	below	below
Featured	featur	Featured
image	imag	image
via	via	via
William	william	William
B	b	B
.	.	.
Plowman	plowman	Plowman
,	,	,
Eduardo	eduardo	Eduardo
Munoz	munoz	Munoz
Alvarez	alvarez	Alvarez
Getty	getti	Getty
Images	imag	Images
