When	when	When
Donald	donald	Donald
Trump	trump	Trump
heard	heard	heard
the	the	the
news	news	news
that	that	that
Hillary	hillari	Hillary
Clinton	clinton	Clinton
was	was	wa
going	go	going
to	to	to
back	back	back
Jill	jill	Jill
Stein	stein	Stein
s	s	s
recount	recount	recount
efforts	effort	effort
in	in	in
three	three	three
separate	separ	separate
states	state	state
,	,	,
he	he	he
didn	didn	didn
t	t	t
take	take	take
it	it	it
too	too	too
well	well	well
.	.	.
Trump	trump	Trump
proceeded	proceed	proceeded
to	to	to
flaunt	flaunt	flaunt
his	his	his
rage	rage	rage
by	by	by
having	have	having
a	a	a
full	full	full
-blown	-blown	-blown
meltdown	meltdown	meltdown
on	on	on
Twitter	twitter	Twitter
,	,	,
because	becaus	because
of	of	of
course	cours	course
he	he	he
did	did	did
.	.	.
What	what	What
remains	remain	remains
of	of	of
Clinton	clinton	Clinton
s	s	s
campaign	campaign	campaign
team	team	team
is	is	is
finally	final	finally
responding	respond	responding
to	to	to
Trump	trump	Trump
s	s	s
hysterics	hyster	hysteric
.	.	.
Christina	christina	Christina
Reynolds	reynold	Reynolds
,	,	,
who	who	who
was	was	wa
the	the	the
Clinton	clinton	Clinton
campaign	campaign	campaign
s	s	s
deputy	deputi	deputy
communications	communic	communication
director	director	director
,	,	,
addressed	address	addressed
Trump	trump	Trump
s	s	s
Twitter	twitter	Twitter
rant	rant	rant
in	in	in
a	a	a
few	few	few
tweets	tweet	tweet
of	of	of
her	her	her
own	own	own
.	.	.
She	she	She
specifically	specif	specifically
took	took	took
on	on	on
Trump	trump	Trump
s	s	s
claim	claim	claim
that	that	that
he	he	he
had	had	had
lost	lost	lost
the	the	the
popular	popular	popular
vote	vote	vote
only	onli	only
because	becaus	because
of	of	of
millions	million	million
of	of	of
people	peopl	people
who	who	who
voted	vote	voted
illegally	illeg	illegally
.	.	.
Winning	win	Winning
the	the	the
electoral	elector	electoral
college	colleg	college
won	won	won
him	him	him
the	the	the
presidency	presid	presidency
,	,	,
so	so	so
Trump	trump	Trump
s	s	s
excuses	excus	excuse
on	on	on
why	whi	why
he	he	he
lost	lost	lost
the	the	the
popular	popular	popular
vote	vote	vote
by	by	by
millions	million	million
are	are	are
just	just	just
small	small	small
and	and	and
sad	sad	sad
.	.	.
Christina	christina	Christina
Reynolds	reynold	Reynolds
@creynoldsnc	@creynoldsnc	@creynoldsnc
November	novemb	November
28	28	28
,	,	,
2016To	2016to	2016To
my	my	my
knowledge	knowledg	knowledge
,	,	,
the	the	the
very	veri	very
very	veri	very
rare	rare	rare
cases	case	case
of	of	of
people	peopl	people
voting	vote	voting
illegally	illeg	illegally
found	found	found
so	so	so
far	far	far
were	were	were
Trump	trump	Trump
voters	voter	voter
.	.	.
https://t.co/Bc7AEFEFbU	https://t.co/bc7aefefbu	https://t.co/Bc7AEFEFbU
Christina	christina	Christina
Reynolds	reynold	Reynolds
@creynoldsnc	@creynoldsnc	@creynoldsnc
November	novemb	November
28	28	28
,	,	,
2016Marc	2016marc	2016Marc
Elias	elia	Elias
,	,	,
Clinton	clinton	Clinton
s	s	s
campaign	campaign	campaign
lawyer	lawyer	lawyer
,	,	,
was	was	wa
responsible	respons	responsible
for	for	for
writing	write	writing
the	the	the
post	post	post
on	on	on
Medium	medium	Medium
which	which	which
announced	announc	announced
Clinton	clinton	Clinton
s	s	s
support	support	support
for	for	for
Stein	stein	Stein
s	s	s
recount	recount	recount
efforts	effort	effort
in	in	in
Wisconsin	wisconsin	Wisconsin
,	,	,
Pennsylvania	pennsylvania	Pennsylvania
,	,	,
and	and	and
Michigan	michigan	Michigan
.	.	.
He	he	He
also	also	also
took	took	took
to	to	to
Twitter	twitter	Twitter
regarding	regard	regarding
Trump	trump	Trump
s	s	s
attacks	attack	attack
.	.	.
We	we	We
are	are	are
getting	get	getting
attacked	attack	attacked
for	for	for
participating	particip	participating
in	in	in
a	a	a
recount	recount	recount
that	that	that
we	we	we
didn	didn	didn
t	t	t
ask	ask	ask
for	for	for
by	by	by
the	the	the
man	man	man
who	who	who
won	won	won
election	elect	election
but	but	but
thinks	think	think
there	there	there
was	was	wa
massive	massiv	massive
fraud	fraud	fraud
Marc	marc	Marc
E	e	E
.	.	.
Elias	elia	Elias
@marceelias	@marceelia	@marceelias
November	novemb	November
28	28	28
,	,	,
2016So	2016so	2016So
far	far	far
,	,	,
Clinton	clinton	Clinton
herself	herself	herself
has	has	ha
not	not	not
addressed	address	addressed
the	the	the
recounts	recount	recount
at	at	at
all	all	all
.	.	.
Stein	stein	Stein
,	,	,
who	who	who
was	was	wa
the	the	the
candidate	candid	candidate
of	of	of
the	the	the
Green	green	Green
Party	parti	Party
,	,	,
has	has	ha
lead	lead	lead
the	the	the
efforts	effort	effort
and	and	and
has	has	ha
raised	rais	raised
over	over	over
6	6	6
million	million	million
to	to	to
cover	cover	cover
the	the	the
cost	cost	cost
of	of	of
the	the	the
recounts	recount	recount
.	.	.
Clinton	clinton	Clinton
s	s	s
team	team	team
has	has	ha
been	been	been
cautious	cautious	cautious
,	,	,
making	make	making
sure	sure	sure
it	it	it
is	is	is
