Token	Stem	Lemma
Trump	trump	Trump
s	s	s
new	new	new
UN	un	UN
Ambassador	ambassador	Ambassador
Nikki	nikki	Nikki
Haley	haley	Haley
just	just	just
held	held	held
her	her	her
first	first	first
press	press	press
conference	confer	conference
following	follow	following
the	the	the
UN	un	UN
Security	secur	Security
Council	council	Council
s	s	s
monthly	month	monthly
meeting	meet	meeting
on	on	on
Middle	middl	Middle
East	east	East
issues	issu	issue
and	and	and
this	this	this
was	was	wa
NO	no	NO
ordinary	ordinari	ordinary
press	press	press
conference	confer	conference
After	after	After
watching	watch	watching
this	this	this
video	video	video
it	it	it
s	s	s
easy	easi	easy
to	to	to
see	see	see
why	whi	why
President	presid	President
Trump	trump	Trump
chose	chose	chose
her	her	her
to	to	to
represent	repres	represent
the	the	the
US	us	US
in	in	in
hopes	hope	hope
of	of	of
redefining	redefin	redefining
our	our	our
support	support	support
for	for	for
democracy	democraci	democracy
in	in	in
the	the	the
Middle	middl	Middle
East	east	East
while	while	while
identifying	identifi	identifying
nations	nation	nation
who	who	who
support	support	support
terrorism	terror	terrorism
Here	here	Here
s	s	s
an	an	an
excerpt	excerpt	excerpt
of	of	of
her	her	her
speech	speech	speech
to	to	to
the	the	the
press	press	press
The	the	The
Security	secur	Security
Council	council	Council
just	just	just
finished	finish	finished
its	it	it
regular	regular	regular
monthly	month	monthly
meeting	meet	meeting
on	on	on
Middle	middl	Middle
East	east	East
issues	issu	issue
It	it	It
s	s	s
the	the	the
first	first	first
meeting	meet	meeting
like	like	like
that	that	that
that	that	that
I	i	I
ve	ve	ve
attended	attend	attended
and	and	and
I	i	I
have	have	have
to	to	to
say	say	say
it	it	it
was	was	wa
a	a	a
bit	bit	bit
strange	strang	strange
The	the	The
Security	secur	Security
Council	council	Council
is	is	is
supposed	suppos	supposed
to	to	to
discuss	discuss	discus
how	how	how
to	to	to
maintain	maintain	maintain
international	intern	international
peace	peac	peace
and	and	and
security	secur	security
But	but	But
in	in	in
our	our	our
meeting	meet	meeting
on	on	on
the	the	the
