Apparently	appar	Apparently
,	,	,
Donald	donald	Donald
Trump	trump	Trump
s	s	s
precious	precious	precious
little	littl	little
girl	girl	girl
is	is	is
sick	sick	sick
of	of	of
mean	mean	mean
old	old	old
Congressman	congressman	Congressman
Ted	ted	Ted
Lieu	lieu	Lieu
saying	say	saying
mean	mean	mean
things	thing	thing
about	about	about
her	her	her
daddy	daddi	daddy
.	.	.
Yes	yes	Yes
,	,	,
she	she	she
may	may	may
be	be	be
a	a	a
senior	senior	senior
White	white	White
House	hous	House
official	offici	official
,	,	,
but	but	but
Ivanka	ivanka	Ivanka
doesn	doesn	doesn
t	t	t
think	think	think
Congress	congress	Congress
has	has	ha
a	a	a
right	right	right
to	to	to
see	see	see
her	her	her
tweets	tweet	tweet
well	well	well
,	,	,
she	she	she
doesn	doesn	doesn
t	t	t
think	think	think
Congressman	congressman	Congressman
Ted	ted	Ted
Lieu	lieu	Lieu
does	doe	doe
,	,	,
anyway	anyway	anyway
.	.	.
On	on	On
Sunday	sunday	Sunday
,	,	,
Lieu	lieu	Lieu
tweeted	tweet	tweeted
a	a	a
screenshot	screenshot	screenshot
showing	show	showing
that	that	that
Ivanka	ivanka	Ivanka
had	had	had
blocked	block	blocked
him	him	him
.	.	.

Hey	hey	Hey
look	look	look
,	,	,
a	a	a
senior	senior	senior
White	white	White
House	hous	House
official	offici	official
is	is	is
afraid	afraid	afraid
of	of	of
tweets	tweet	tweet
from	from	from
a	a	a
Congressman	congressman	Congressman
.	.	.

Ivanka	ivanka	Ivanka
blocked	block	blocked
me	me	me
,	,	,
he	he	he
wrote	wrote	wrote
.	.	.

Also	also	Also
,	,	,
why	whi	why
is	is	is
she	she	she
in	in	in
the	the	the
White	white	White
House	hous	House
?	?	?

Hey	hey	Hey
look	look	look
,	,	,
a	a	a
senior	senior	senior
White	white	White
House	hous	House
official	offici	official
is	is	is
afraid	afraid	afraid
of	of	of
tweets	tweet	tweet
from	from	from
a	a	a
Congressman	congressman	Congressman
.	.	.

Ivanka	ivanka	Ivanka
blocked	block	blocked
me	me	me
.	.	.

Also	also	Also
,	,	,
why	whi	why
is	is	is
she	she	she
in	in	in
the	the	the
White	white	White
House	hous	House
?	?	?

pic.twitter.com/hTaagBF7MM	pic.twitter.com/htaagbf7mm	pic.twitter.com/hTaagBF7MM
Ted	ted	Ted
Lieu	lieu	Lieu
@tedlieu	@tedlieu	@tedlieu
August	august	August
13	13	13
,	,	,
2017It	2017it	2017It
s	s	s
unclear	unclear	unclear
when	when	when
Ivanka	ivanka	Ivanka
blocked	block	blocked
him	him	him
,	,	,
but	but	but
a	a	a
federal	feder	federal
judge	judg	judge
recently	recent	recently
ruled	rule	ruled
that	that	that
it	it	it
s	s	s
unconstitutional	unconstitut	unconstitutional
for	for	for
public	public	public
officials	offici	official
like	like	like
most	most	most
of	of	of
the	the	the
Trump	trump	Trump
family	famili	family
to	to	to
block	block	block
American	american	American
citizens	citizen	citizen
.	.	.

Lieu	lieu	Lieu
posted	post	posted
the	the	the
screenshot	screenshot	screenshot
shortly	short	shortly
after	after	after
he	he	he
called	call	called
Trump	trump	Trump
a	a	a
coward	coward	coward
for	for	for
refusing	refus	refusing
to	to	to
condemn	condemn	condemn
the	the	the
Nazis	nazi	Nazis
who	who	who
showed	show	showed
up	up	up
in	in	in
Charlottesville	charlottesvill	Charlottesville
,	,	,
so	so	so
it	it	it
s	s	s
probably	probabl	probably
related	relat	related
to	to	to
that	that	that
Having	have	Having
reflected	reflect	reflected
,	,	,
I	i	I
have	have	have
now	now	now
concluded	conclud	concluded
the	the	the
#Charlottesville	#charlottesvill	#Charlottesville
speech	speech	speech
by	by	by
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
shows	show	show
he	he	he
is	is	is
a	a	a
coward	coward	coward
.	.	.

Hope	hope	Hope
he	he	he
finds	find	find
some	some	some
courage	courag	courage
soon	soon	soon
Ted	ted	Ted
Lieu	lieu	Lieu
@tedlieu	@tedlieu	@tedlieu
August	august	August
13	13	13
,	,	,
2017Ivanka	2017ivanka	2017Ivanka
Trump	trump	Trump
,	,	,
like	like	like
pretty	pretti	pretty
much	much	much
everyone	everyon	everyone
in	in	in
the	the	the
Trump	trump	Trump
family	famili	family
save	save	save
Barron	barron	Barron
,	,	,
is	is	is
an	an	an
absolute	absolut	absolute
coward	coward	coward
unworthy	unworthi	unworthy
of	of	of
any	ani	any
position	posit	position
that	that	that
involves	involv	involves
leadership	leadership	leadership
especially	especi	especially
in	in	in
government	govern	government
.	.	.
Ivanka	ivanka	Ivanka
Trump	trump	Trump
know	know	know
what	what	what
everyone	everyon	everyone
else	els	else
knows	know	know
her	her	her
father	father	father
s	s	s
time	time	time
in	in	in
the	the	the
White	white	White
House	hous	House
is	is	is
coming	come	coming
to	to	to
a	a	a
close	close	close
and	and	and
has	has	ha
ruined	ruin	ruined
any	ani	any
chance	chanc	chance
for	for	for
anyone	anyon	anyone
with	with	with
the	the	the
last	last	last
name	name	name
Trump	trump	Trump
to	to	to
find	find	find
respect	respect	respect
from	from	from
another	anoth	another
human	human	human
being	be	being
for	for	for
the	the	the
rest	rest	rest
of	of	of
their	their	their
lives	live	life
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Getty	getti	Getty
Images	imag	Images
Chip	chip	Chip
Somodevilla	somodevilla	Somodevilla
screengrab	screengrab	screengrab

