A	a	A
Republican	republican	Republican
member	member	member
of	of	of
the	the	the
Electoral	elector	Electoral
College	colleg	College
representing	repres	representing
Texas	texa	Texas
,	,	,
Art	art	Art
Sisneros	sisnero	Sisneros
,	,	,
wrote	wrote	wrote
on	on	on
Saturday	saturday	Saturday
that	that	that
he	he	he
will	will	will
resign	resign	resign
and	and	and
turn	turn	turn
his	his	his
position	posit	position
over	over	over
to	to	to
an	an	an
alternate	altern	alternate
elector	elector	elector
.	.	.

Sisneros	sisnero	Sisneros
has	has	ha
previously	previous	previously
been	been	been
skeptical	skeptic	skeptical
of	of	of
throwing	throw	throwing
his	his	his
support	support	support
behind	behind	behind
Donald	donald	Donald
Trump	trump	Trump
but	but	but
now	now	now
,	,	,
he	he	he
says	say	say
he	he	he
would	would	would
rather	rather	rather
resign	resign	resign
than	than	than
to	to	to
vote	vote	vote
against	against	against
his	his	his
conscience	conscienc	conscience
.	.	.
In	in	In
August	august	August
,	,	,
Sisneros	sisnero	Sisneros
thought	thought	thought
of	of	of
participating	particip	participating
as	as	a
a	a	a
faithless	faithless	faithless
elector	elector	elector
,	,	,
but	but	but
in	in	in
a	a	a
largely	larg	largely
unnoticed	unnot	unnoticed
blog	blog	blog
post	post	post
over	over	over
the	the	the
weekend	weekend	weekend
he	he	he
wrote	wrote	wrote
that	that	that
he	he	he
cannot	cannot	cannot
bring	bring	bring
himself	himself	himself
to	to	to
vote	vote	vote
for	for	for
Trump	trump	Trump
,	,	,
so	so	so
he	he	he
decided	decid	decided
to	to	to
resign	resign	resign
from	from	from
his	his	his
role	role	role
as	as	a
an	an	an
elector	elector	elector
,	,	,
according	accord	according
to	to	to
Politico	politico	Politico
.	.	.

The	the	The
Electoral	elector	Electoral
College	colleg	College
was	was	wa
corrupted	corrupt	corrupted
from	from	from
its	it	it
original	origin	original
intent	intent	intent
once	onc	once
states	state	state
started	start	started
dictating	dictat	dictating
the	the	the
votes	vote	vote
of	of	of
the	the	the
Electors	elector	Electors
,	,	,
he	he	he
writes	write	writes
.	.	.

If	if	If
Trump	trump	Trump
is	is	is
not	not	not
qualified	qualifi	qualified
