Token	Stem	Lemma
When	when	When
four	four	four
Chicago	chicago	Chicago
thugs	thug	thug
videotaped	videotap	videotaped
the	the	the
brutal	brutal	brutal
tortured	tortur	tortured
a	a	a
young	young	young
mentally	mental	mentally
disabled	disabl	disabled
man	man	man
they	they	they
kidnapped	kidnap	kidnapped
in	in	in
a	a	a
live	live	live
Facebook	facebook	Facebook
video	video	video
Americans	american	Americans
were	were	were
stunned	stun	stunned
Almost	almost	Almost
immediately	immedi	immediately
after	after	after
the	the	the
discovery	discoveri	discovery
was	was	wa
made	made	made
the	the	the
spokesperson	spokesperson	spokesperson
for	for	for
the	the	the
Chicago	chicago	Chicago
Police	polic	Police
Department	depart	Department
called	call	called
it	it	it
a	a	a
stupid	stupid	stupid
mistake	mistak	mistake
The	the	The
superintendent	superintend	superintendent
of	of	of
the	the	the
building	build	building
where	where	where
the	the	the
torture	tortur	torture
took	took	took
place	place	place
shrugged	shrug	shrugged
off	off	off
the	the	the
horrific	horrif	horrific
event	event	event
by	by	by
simply	simpli	simply
saying	say	saying
Kids	kid	Kids
make	make	make
stupid	stupid	stupid
mistakes	mistak	mistake
It	it	It
looks	look	look
like	like	like
not	not	not
much	much	much
has	has	ha
changed	chang	changed
in	in	in
the	the	the
attitudes	attitud	attitude
of	of	of
Chicago	chicago	Chicago
officials	offici	official
tasked	task	tasked
with	with	with
holding	hold	holding
criminals	crimin	criminal
accountable	account	accountable
especially	especi	especially
in	in	in
the	the	the
case	case	case
of	of	of
four	four	four
repulsive	repuls	repulsive
young	young	young
thugs	thug	thug
who	who	who
scalped	scalp	scalped
the	the	the
young	young	young
18	18	18
-year	-year	-year
old	old	old
man	man	man
made	made	made
him	him	him
drink	drink	drink
from	from	from
a	a	a
toilet	toilet	toilet
forced	forc	forced
him	him	him
to	to	to
yell	yell	yell
F	f	F
ck	ck	ck
Trump	trump	Trump
and	and	and
F	f	F
ck	ck	ck
white	white	white
people	peopl	people
and	and	and
repeatedly	repeat	repeatedly
hit	hit	hit
him	him	him
while	while	while
his	his	his
hands	hand	hand
were	were	were
tied	tie	tied
and	and	and
his	his	his
mouth	mouth	mouth
was	was	wa
covered	cover	covered
with	with	with
duct	duct	duct
tape	tape	tape
The	the	The
video	video	video
is	is	is
hard	hard	hard
to	to	to
watch	watch	watch
but	but	but
is	is	is
an	an	an
honest	honest	honest
look	look	look
at	at	at
the	the	the
anti	anti	anti
-Trump	-trump	-Trump
and	and	and
racist	racist	racist
monsters	monster	monster
who	who	who
ve	ve	ve
been	been	been
given	given	given
a	a	a
pass	pass	pas
by	by	by
our	our	our
media	media	medium
Go	go	Go
HERE	here	HERE
to	to	to
watch	watch	watch
the	the	the
disturbing	disturb	disturbing
video	video	video
Warning	warn	Warning
the	the	the
video	video	video
is	is	is
very	veri	very
graphic	graphic	graphic
It	it	It
was	was	wa
just	just	just
announced	announc	announced
that	that	that
in	in	in
a	a	a
plea	plea	plea
deal	deal	deal
Brittany	brittani	Brittany
Covington	covington	Covington
19	19	19
the	the	the
narrator	narrat	narrator
of	of	of
the	the	the
video	video	video
who	who	who
had	had	had
been	been	been
held	held	held
at	at	at
the	the	the
Cook	cook	Cook
County	counti	County
Jail	jail	Jail
without	without	without
bond	bond	bond
since	sinc	since
January	januari	January
will	will	will
be	be	be
the	the	the
first	first	first
of	of	of
the	the	the
four	four	four
to	to	to
be	be	be
released	releas	released
In	in	In
a	a	a
shocking	shock	shocking
case	case	case
of	of	of
injustice	injustic	injustice
the	the	the
plea	plea	plea
deal	deal	deal
states	state	state
that	that	that
Covington	covington	Covington
will	will	will
remain	remain	remain
on	on	on
probation	probat	probation
for	for	for
four	four	four
years	year	year
and	and	and
is	is	is
barred	bar	barred
from	from	from
contact	contact	contact
with	with	with
2	2	2
of	of	of
the	the	the
other	other	other
3	3	3
co	co	co
-criminals	-crimin	-criminals
Cooper	cooper	Cooper
and	and	and
Hill	hill	Hill
the	the	the
Chicago	chicago	Chicago
Sun	sun	Sun
-Times	-time	-Times
is	is	is
reporting	report	reporting
Other	other	Other
terms	term	term
of	of	of
the	the	the
plea	plea	plea
agreement	agreement	agreement
bars	bar	bar
Covington	covington	Covington
from	from	from
using	use	using
social	social	social
media	media	medium
for	for	for
four	four	four
years	year	year
the	the	the
Cook	cook	Cook
County	counti	County
State	state	State
s	s	s
Attorney	attorney	Attorney
s	s	s
Office	offic	Office
tells	tell	tell
CBS	cbs	CBS
2	2	2
Brittany	brittani	Brittany
