One	one	One
way	way	way
or	or	or
another	anoth	another
,	,	,
the	the	the
passing	pass	passing
of	of	of
Supreme	suprem	Supreme
Court	court	Court
Justice	justic	Justice
Antonin	antonin	Antonin
Scalia	scalia	Scalia
will	will	will
change	chang	change
the	the	the
course	cours	course
of	of	of
American	american	American
history	histori	history
.	.	.
Scalia	scalia	Scalia
s	s	s
death	death	death
leaves	leav	leaf
the	the	the
court	court	court
with	with	with
eight	eight	eight
justices	justic	justice
,	,	,
four	four	four
liberal	liber	liberal
and	and	and
four	four	four
conservative	conserv	conservative
.	.	.
The	the	The
next	next	next
justice	justic	justice
appointment	appoint	appointment
has	has	ha
the	the	the
potential	potenti	potential
to	to	to
determine	determin	determine
the	the	the
nature	natur	nature
of	of	of
the	the	the
court	court	court
for	for	for
years	year	year
to	to	to
come	come	come
.	.	.
While	while	While
a	a	a
liberal	liber	liberal
justice	justic	justice
will	will	will
tip	tip	tip
the	the	the
balance	balanc	balance
in	in	in
favor	favor	favor
of	of	of
progressive	progress	progressive
and	and	and
liberal	liber	liberal
ideas	idea	idea
,	,	,
a	a	a
conservative	conserv	conservative
justice	justic	justice
,	,	,
like	like	like
Scalia	scalia	Scalia
or	or	or
worse	wors	worse
,	,	,
will	will	will
tip	tip	tip
the	the	the
balance	balanc	balance
in	in	in
the	the	the
opposite	opposit	opposite
direction	direct	direction
.	.	.
As	as	As
we	we	we
ve	ve	ve
seen	seen	seen
in	in	in
recent	recent	recent
years	year	year
,	,	,
decisions	decis	decision
made	made	made
the	the	the
Supreme	suprem	Supreme
Court	court	Court
impact	impact	impact
the	the	the
lives	live	life
of	of	of
American	american	American
citizens	citizen	citizen
in	in	in
critical	critic	critical
ways	way	way
.	.	.
While	while	While
there	there	there
are	are	are
an	an	an
infinite	infinit	infinite
number	number	number
of	of	of
reasons	reason	reason
that	that	that
we	we	we
need	need	need
a	a	a
liberal	liber	liberal
court	court	court
,	,	,
here	here	here
are	are	are
the	the	the
top	top	top
ten	ten	ten
issues	issu	issue
most	most	most
likely	like	likely
to	to	to
be	be	be
impacted	impact	impacted
by	by	by
a	a	a
change	chang	change
in	in	in
the	the	the
political	polit	political
balance	balanc	balance
of	of	of
the	the	the
court	court	court
in	in	in
the	the	the
near	near	near
future1	future1	future1
.	.	.
LaborLabor	laborlabor	LaborLabor
unions	union	union
and	and	and
the	the	the
rights	right	right
of	of	of
American	american	American
workers	worker	worker
are	are	are
facing	face	facing
constant	constant	constant
attacks	attack	attack
,	,	,
both	both	both
from	from	from
billion	billion	billion
-dollar	-dollar	-dollar
corporations	corpor	corporation
and	and	and
the	the	the
right	right	right
-wing	-wing	-wing
state	state	state
politicians	politician	politician
who	who	who
represent	repres	represent
their	their	their
interests	interest	interest
.	.	.
In	in	In
the	the	the
immediate	immedi	immediate
future	futur	future
,	,	,
a	a	a
liberal	liber	liberal
court	court	court
could	could	could
influence	influenc	influence
the	the	the
outcome	outcom	outcome
of	of	of
Friedrichs	friedrich	Friedrichs
v	v	v
.	.	.
California	california	California
Teachers	teacher	Teachers
Association	associ	Association
,	,	,
a	a	a
case	case	case
which	which	which
has	has	ha
the	the	the
potential	potenti	potential
to	to	to
cripple	crippl	cripple
organized	organ	organized
labor	labor	labor
in	in	in
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
The	the	The
was	was	wa
argued	argu	argued
before	befor	before
the	the	the
Supreme	suprem	Supreme
Court	court	Court
in	in	in
January	januari	January
,	,	,
2016	2016	2016
,	,	,
but	but	but
a	a	a
ruling	rule	ruling
has	has	ha
not	not	not
been	been	been
handed	hand	handed
down	down	down
by	by	by
the	the	the
court	court	court
.	.	.
In	in	In
the	the	the
case	case	case
that	that	that
the	the	the
court	court	court
s	s	s
ruling	rule	ruling
was	was	wa
a	a	a
5	5	5
-4	-4	-4
decision	decis	decision
,	,	,
the	the	the
case	case	case
will	will	will
have	have	have
to	to	to
be	be	be
heard	heard	heard
again	again	again
,	,	,
once	onc	once
a	a	a
replacement	replac	replacement
for	for	for
Scalia	scalia	Scalia
has	has	ha
been	been	been
appointed	appoint	appointed
.	.	.
2	2	2
.	.	.
Separation	separ	Separation
of	of	of
Church	church	Church
and	and	and
StateOn	stateon	StateOn
Tuesday	tuesday	Tuesday
,	,	,
February	februari	February
9	9	9
,	,	,
Rabbi	rabbi	Rabbi
Adele	adel	Adele
Plotkin	plotkin	Plotkin
was	was	wa
removed	remov	removed
from	from	from
a	a	a
meeting	meet	meeting
of	of	of
the	the	the
Chino	chino	Chino
Valley	valley	Valley
,	,	,
Arizona	arizona	Arizona
City	citi	City
Council	council	Council
.	.	.
His	his	His
crime	crime	crime
?	?	?
Protesting	protest	Protesting
the	the	the
council	council	council
s	s	s
on	on	on
-going	-go	-going
prayers	prayer	prayer
in	in	in
the	the	the
name	name	name
of	of	of
Jesus	jesus	Jesus
.	.	.
In	in	In
defense	defens	defense
of	of	of
their	their	their
actions	action	action
,	,	,
the	the	the
council	council	council
cited	cite	cited
the	the	the
Supreme	suprem	Supreme
Court	court	Court
s	s	s
ruling	rule	ruling
