First	first	First
he	he	he
said	said	said
wages	wage	wage
were	were	were
too	too	too
high	high	high
,	,	,
then	then	then
he	he	he
said	said	said
he	he	he
d	d	d
work	work	work
to	to	to
raise	rais	raise
the	the	the
minimum	minimum	minimum
wage	wage	wage
,	,	,
and	and	and
now	now	now
Donald	donald	Donald
Trump	trump	Trump
seems	seem	seems
to	to	to
be	be	be
implying	impli	implying
that	that	that
he	he	he
wants	want	want
to	to	to
abolish	abolish	abolish
the	the	the
federal	feder	federal
minimum	minimum	minimum
wage	wage	wage
altogether	altogeth	altogether
.	.	.
Appearing	appear	Appearing
on	on	on
Meet	meet	Meet
the	the	the
Press	press	Press
,	,	,
Trump	trump	Trump
advocated	advoc	advocated
allowing	allow	allowing
the	the	the
states	state	state
to	to	to
set	set	set
the	the	the
standard	standard	standard
,	,	,
not	not	not
the	the	the
federal	feder	federal
government	govern	government
I	i	I
like	like	like
the	the	the
idea	idea	idea
of	of	of
let	let	let
the	the	the
states	state	state
decide	decid	decide
.	.	.
But	but	But
I	i	I
think	think	think
people	peopl	people
should	should	should
get	get	get
more	more	more
.	.	.
I	i	I
think	think	think
they	they	they
re	re	re
out	out	out
there	there	there
.	.	.
They	they	They
re	re	re
working	work	working
.	.	.
It	it	It
is	is	is
a	a	a
very	veri	very
low	low	low
number	number	number
.	.	.
When	when	When
asked	ask	asked
if	if	if
the	the	the
federal	feder	federal
government	govern	government
show	show	show
play	play	play
a	a	a
part	part	part
in	in	in
establishing	establish	establishing
a	a	a
floor	floor	floor
of	of	of
where	where	where
to	to	to
start	start	start
with	with	with
in	in	in
regards	regard	regard
of	of	of
the	the	the
minimum	minimum	minimum
wage	wage	wage
,	,	,
Trump	trump	Trump
said	said	said
no	no	no
,	,	,
and	and	and
that	that	that
I	i	I
d	d	d
rather	rather	rather
have	have	have
the	the	the
states	state	state
go	go	go
out	out	out
and	and	and
do	do	do
what	what	what
they	they	they
have	have	have
to	to	to
do	do	do
.	.	.
And	and	And
the	the	the
states	state	state
compete	compet	compete
with	with	with
each	each	each
other	other	other
,	,	,
not	not	not
only	onli	only
other	other	other
countries	countri	country
,	,	,
but	but	but
they	they	they
compete	compet	compete
with	with	with
each	each	each
other	other	other
.	.	.
He	he	He
went	went	went
on	on	on
record	record	record
saying	say	saying
I	i	I
don	don	don
t	t	t
know	know	know
how	how	how
you	you	you
live	live	live
on	on	on
7	7	7
.	.	.
25	25	25
an	an	an
hour	hour	hour
.	.	.
But	but	But
I	i	I
would	would	would
say	say	say
let	let	let
the	the	the
states	state	state
decide	decid	decide
.	.	.
So	so	So
he	he	he
admits	admit	admits
people	peopl	people
are	are	are
suffering	suffer	suffering
on	on	on
poverty	poverti	poverty
wages	wage	wage
,	,	,
but	but	but
he	he	he
wants	want	want
to	to	to
allow	allow	allow
Republican	republican	Republican
-led	-led	-led
states	state	state
like	like	like
Wisconsin	wisconsin	Wisconsin
and	and	and
Kansas	kansa	Kansas
to	to	to
decide	decid	decide
their	their	their
fates	fate	fate
.	.	.
And	and	And
,	,	,
in	in	in
typical	typic	typical
Trump	trump	Trump
fashion	fashion	fashion
,	,	,
he	he	he
admitted	admit	admitted
he	he	he
didn	didn	didn
t	t	t
have	have	have
a	a	a
plan	plan	plan
in	in	in
place	place	place
about	about	about
what	what	what
to	to	to
do	do	do
with	with	with
the	the	the
people	peopl	people
struggling	struggl	struggling
to	to	to
make	make	make
ends	end	end
meet	meet	meet
,	,	,
saying	say	saying
I	i	I
haven	haven	haven
t	t	t
decided	decid	decided
in	in	in
terms	term	term
of	of	of
numbers	number	number
.	.	.
But	but	But
I	i	I
think	think	think
people	peopl	people
have	have	have
to	to	to
get	get	get
more	more	more
.	.	.
Like	like	Like
everything	everyth	everything
else	els	else
,	,	,
he	he	he
hasn	hasn	hasn
t	t	t
thought	thought	thought
anything	anyth	anything
through	through	through
,	,	,
and	and	and
has	has	ha
relied	reli	relied
on	on	on
talking	talk	talking
points	point	point
to	to	to
get	get	get
him	him	him
attention	attent	attention
and	and	and
votes	vote	vote
.	.	.
While	while	While
running	run	running
an	an	an
analysis	analysi	analysis
of	of	of
his	his	his
core	core	core
supporters	support	supporter
,	,	,
the	the	the
Atlantic	atlant	Atlantic
found	found	found
Full	full	Full
-year	-year	-year
employment	employ	employment
rate	rate	rate
of	of	of
men	men	men
without	without	without
a	a	a
bachelor	bachelor	bachelor
s	s	s
degree	degre	degree
fell	fell	fell
from	from	from
76	76	76
percent	percent	percent
in	in	in
1990	1990	1990
to	to	to
68	68	68
percent	percent	percent
in	in	in
2013	2013	2013
.	.	.
While	while	While
real	real	real
wages	wage	wage
have	have	have
grown	grown	grown
for	for	for
men	men	men
and	and	and
women	women	woman
with	with	with
a	a	a
four	four	four
-year	-year	-year
degree	degre	degree
or	or	or
better	better	better
in	in	in
the	the	the
last	last	last
25	25	25
years	year	year
,	,	,
they	they	they
ve	ve	ve
fallen	fallen	fallen
meaningfully	meaning	meaningfully
for	for	for
non	non	non
-college	-colleg	-college
men	men	men
.	.	.
Uneducated	uneduc	Uneducated
men	men	men
,	,	,
a	a	a
serious	serious	serious
chunk	chunk	chunk
of	of	of
Trump	trump	Trump
s	s	s
supporters	support	supporter
who	who	who
also	also	also
mostly	most	mostly
live	live	live
in	in	in
red	red	red
states	state	state
,	,	,
are	are	are
seeing	see	seeing
their	their	their
wages	wage	wage
decrease	decreas	decrease
.	.	.
And	and	And
yet	yet	yet
their	their	their
messiah	messiah	messiah
doesn	doesn	doesn
t	t	t
want	want	want
to	to	to
raise	rais	raise
their	their	their
minimum	minimum	minimum
wage	wage	wage
or	or	or
takes	take	take
the	the	the
