Democratic	democrat	Democratic
Rep	rep	Rep
.	.	.
Maxine	maxin	Maxine
Waters	water	Waters
D	d	D
-CA	-ca	-CA
got	got	got
super	super	super
candid	candid	candid
when	when	when
she	she	she
made	made	made
several	sever	several
bombshell	bombshel	bombshell
statements	statement	statement
about	about	about
the	the	the
future	futur	future
of	of	of
Trump	trump	Trump
s	s	s
time	time	time
in	in	in
the	the	the
White	white	White
House	hous	House
on	on	on
MSNBC	msnbc	MSNBC
.	.	.
In	in	In
an	an	an
interview	interview	interview
,	,	,
Waters	water	Waters
flat	flat	flat
-out	-out	-out
said	said	said
that	that	that
there	there	there
was	was	wa
a	a	a
VERY	veri	VERY
good	good	good
chance	chanc	chance
Trump	trump	Trump
will	will	will
not	not	not
last	last	last
his	his	his
full	full	full
term	term	term
even	even	even
though	though	though
he	he	he
for	for	for
some	some	some
reason	reason	reason
thinks	think	think
he	he	he
s	s	s
going	go	going
to	to	to
last	last	last
8	8	8
years	year	year
like	like	like
highly	high	highly
respected	respect	respected
former	former	former
President	presid	President
Barack	barack	Barack
Obama	obama	Obama
.	.	.
As	as	As
new	new	new
polls	poll	poll
have	have	have
just	just	just
been	been	been
released	releas	released
that	that	that
report	report	report
half	half	half
of	of	of
Americans	american	Americans
want	want	want
Trump	trump	Trump
to	to	to
be	be	be
impeached	impeach	impeached
,	,	,
Waters	water	Waters
words	word	word
are	are	are
particularly	particular	particularly
timely	time	timely
.	.	.
Waters	water	Waters
made	made	made
several	sever	several
legitimate	legitim	legitimate
,	,	,
solid	solid	solid
points	point	point
when	when	when
she	she	she
explained	explain	explained
why	whi	why
Trump	trump	Trump
wouldn	wouldn	wouldn
t	t	t
make	make	make
it	it	it
to	to	to
the	the	the
end	end	end
of	of	of
his	his	his
term	term	term
.	.	.
Waters	water	Waters
mentioned	mention	mentioned
Trump	trump	Trump
s	s	s
numerous	numer	numerous
conflicts	conflict	conflict
of	of	of
interest	interest	interest
,	,	,
his	his	his
controversial	controversi	controversial
relationship	relationship	relationship
with	with	with
Russian	russian	Russian
leader	leader	leader
Vladimir	vladimir	Vladimir
Putin	putin	Putin
,	,	,
the	the	the
disgusting	disgust	disgusting
anti	anti	anti
-American	-american	-American
statements	statement	statement
he	he	he
s	s	s
made	made	made
as	as	a
well	well	well
as	as	a
the	the	the
fact	fact	fact
that	that	that
the	the	the
Republican	republican	Republican
Party	parti	Party
is	is	is
humiliated	humili	humiliated
by	by	by
him	him	him
and	and	and
will	will	will
soon	soon	soon
be	be	be
tired	tire	tired
of	of	of
defending	defend	defending
him	him	him
.	.	.
Waters	water	Waters
explained	explain	explained
I	i	I
don	don	don
t	t	t
think	think	think
so	so	so
because	becaus	because
he	he	he
s	s	s
not	not	not
going	go	going
to	to	to
be	be	be
there	there	there
for	for	for
four	four	four
years	year	year
.	.	.
He	he	He
has	has	ha
disregarded	disregard	disregarded
constitutional	constitut	constitutional
questions	question	question
.	.	.
We	we	We
re	re	re
still	still	still
digging	dig	digging
into	into	into
his	his	his
conflicts	conflict	conflict
of	of	of
interest	interest	interest
.	.	.
His	his	His
relationship	relationship	relationship
to	to	to
Putin	putin	Putin
and	and	and
the	the	the
Kremlin	kremlin	Kremlin
.	.	.
I	i	I
think	think	think
there	there	there
s	s	s
a	a	a
lot	lot	lot
there	there	there
.	.	.
I	i	I
don	don	don
t	t	t
intend	intend	intend
to	to	to
work	work	work
with	with	with
him	him	him
or	or	or
try	tri	try
to	to	to
work	work	work
with	with	with
him	him	him
,	,	,
but	but	but
I	i	I
certainly	certain	certainly
don	don	don
t	t	t
intend	intend	intend
for	for	for
him	him	him
to	to	to
be	be	be
around	around	around
for	for	for
four	four	four
years	year	year
.	.	.
A	a	A
lot	lot	lot
people	peopl	people
don	don	don
t	t	t
want	want	want
to	to	to
hear	hear	hear
this	this	this
.	.	.
They	they	They
re	re	re
saying	say	saying
you	you	you
re	re	re
saying	say	saying
this	this	this
,	,	,
and	and	and
you	you	you
re	re	re
talking	talk	talking
about	about	about
a	a	a
president	presid	president
who	who	who
has	has	ha
only	onli	only
been	been	been
in	in	in
office	offic	office
for	for	for
a	a	a
short	short	short
period	period	period
of	of	of
time	time	time
,	,	,
but	but	but
I	i	I
do	do	do
believe	believ	believe
that	that	that
he	he	he
s	s	s
vulnerable	vulner	vulnerable
to	to	to
impeachment	impeach	impeachment
.	.	.
Waters	water	Waters
also	also	also
predicted	predict	predicted
that	that	that
if	if	if
the	the	the
GOP	gop	GOP
realizes	realiz	realizes
that	that	that
there	there	there
is	is	is
a	a	a
true	true	true
link	link	link
between	between	between
Putin	putin	Putin
and	and	and
Trump	trump	Trump
and	and	and
it	it	it
certainly	certain	certainly
seems	seem	seems
like	like	like
there	there	there
is	is	is
,	,	,
the	the	the
Republicans	republican	Republicans
will	will	will
likely	like	likely
seek	seek	seek
to	to	to
impeach	impeach	impeach
him	him	him
.	.	.
Waters	water	Waters
comments	comment	comment
echo	echo	echo
the	the	the
predictions	predict	prediction
shared	share	shared
by	by	by
many	mani	many
experts	expert	expert
who	who	who
have	have	have
stated	state	stated
the	the	the
likelihood	likelihood	likelihood
of	of	of
Trump	trump	Trump
being	be	being
impeached	impeach	impeached
.	.	.
There	there	There
is	is	is
just	just	just
far	far	far
too	too	too
much	much	much
corruption	corrupt	corruption
surrounding	surround	surrounding
him	him	him
,	,	,
and	and	and
we	we	we
re	re	re
glad	glad	glad
that	that	that
Waters	water	Waters
finally	final	finally
said	said	said
what	what	what
many	mani	many
members	member	member
of	of	of
Congress	congress	Congress
would	would	would
only	onli	only
dare	dare	dare
to	to	to
think	think	think
.	.	.
You	you	You
can	can	can
watch	watch	watch
her	her	her
take	take	take
down	down	down
Trump	trump	Trump
below	below	below
Rep	rep	Rep
.	.	.
Maxine	maxin	Maxine
Waters	water	Waters
on	on	on
Trump	trump	Trump
I	i	I
certainly	certain	certainly
don	don	don
t	t	t
intend	intend	intend
for	for	for
him	him	him
to	to	to
be	be	be
around	around	around
for	for	for
4	4	4
years	year	year
I	i	I
do	do	do
be	be	be
that	that	that
he	he	he
is	is	is
vulnerable	vulner	vulnerable
to	to	to
impeachment	impeach	impeachment
.	.	.
pic.twitter.com/l33zcC8eFZ	pic.twitter.com/l33zcc8efz	pic.twitter.com/l33zcC8eFZ
Kyle	kyle	Kyle
Griffin	griffin	Griffin
@kylegriffin1	@kylegriffin1	@kylegriffin1
February	februari	February
9	9	9
,	,	,
2017Featured	2017featur	2017Featured
image	imag	image
via	via	via
