If	if	If
you	you	you
haven	haven	haven
t	t	t
seethe	seeth	seethe
viral	viral	viral
video	video	video
of	of	of
a	a	a
takedown	takedown	takedown
by	by	by
a	a	a
Russian	russian	Russian
guard	guard	guard
on	on	on
one	one	one
of	of	of
our	our	our
guys	guy	guy
,	,	,
you	you	you
simply	simpli	simply
won	won	won
t	t	t
believe	believ	believe
it	it	it
!	!	!

Now	now	Now
we	we	we
punish	punish	punish
Russia	russia	Russia
with	with	with
a	a	a
light	light	light
slap	slap	slap
on	on	on
the	the	the
wrist	wrist	wrist
for	for	for
tackling	tackl	tackling
on	on	on
of	of	of
our	our	our
guys	guy	guy
?	?	?

Lame	lame	Lame
!	!	!
The	the	The
United	unit	United
States	state	States
expelled	expel	expelled
two	two	two
Russian	russian	Russian
officials	offici	official
on	on	on
June	june	June
17	17	17
in	in	in
response	respons	response
to	to	to
an	an	an
attack	attack	attack
by	by	by
a	a	a
Russian	russian	Russian
policeman	policeman	policeman
on	on	on
an	an	an
American	american	American
diplomat	diplomat	diplomat
earlier	earlier	earlier
in	in	in
the	the	the
month	month	month
,	,	,
the	the	the
State	state	State
Department	depart	Department
said	said	said
Friday	friday	Friday
.	.	.

On	on	On
June	june	June
17	17	17
,	,	,
we	we	we
expelled	expel	expelled
two	two	two
Russian	russian	Russian
officials	offici	official
from	from	from
the	the	the
United	unit	United
States	state	States
in	in	in
response	respons	response
to	to	to
this	this	this
attack	attack	attack
,	,	,
State	state	State
Department	depart	Department
spokesman	spokesman	spokesman
John	john	John
Kirby	kirbi	Kirby
told	told	told
reporters	report	reporter
.	.	.

He	he	He
would	would	would
not	not	not
provide	provid	provide
any	ani	any
further	further	further
detail	detail	detail
.	.	.
Kirby	kirbi	Kirby
said	said	said
a	a	a
Russian	russian	Russian
guard	guard	guard
attacked	attack	attacked
an	an	an
American	american	American
diplomat	diplomat	diplomat
outside	outsid	outside
of	of	of
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Embassy	embassi	Embassy
compound	compound	compound
in	in	in
Moscow	moscow	Moscow
on	on	on
June	june	June
6	6	6
.	.	.

He	he	He
described	describ	described
the	the	the
attack	attack	attack
as	as	a
unprovoked	unprovok	unprovoked
and	and	and
it	it	it
endangered	endang	endangered
the	the	the
safety	safeti	safety
of	of	of
our	our	our
employee	employe	employee
.	.	.

The	the	The
Russian	russian	Russian
Foreign	foreign	Foreign
Ministry	ministri	Ministry
said	said	said
the	the	the
diplomat	diplomat	diplomat
was	was	wa
a	a	a
CIA	cia	CIA
agent	agent	agent
who	who	who
hit	hit	hit
the	the	the
guard	guard	guard
in	in	in
the	the	the
face	face	face
.	.	.

Instead	instead	Instead
of	of	of
the	the	the
CIA	cia	CIA
employee	employe	employee
,	,	,
who	who	who
was	was	wa
in	in	in
disguise	disguis	disguise
,	,	,
as	as	a
we	we	we
understand	understand	understand
,	,	,
it	it	it
could	could	could
have	have	have
been	been	been
anyone	anyon	anyone
a	a	a
terrorist	terrorist	terrorist
,	,	,
an	an	an
extremist	extremist	extremist
,	,	,
a	a	a
suicide	suicid	suicide
bomber	bomber	bomber
,	,	,
said	said	said
Maria	maria	Maria
Zakharova	zakharova	Zakharova
,	,	,
Russian	russian	Russian
Foreign	foreign	Foreign
Ministry	ministri	Ministry
spokeswoman	spokeswoman	spokeswoman
.	.	.
Kirby	kirbi	Kirby
responded	respond	responded
to	to	to
Moscow	moscow	Moscow
s	s	s
accusation	accus	accusation
by	by	by
telling	tell	telling
reporters	report	reporter
,	,	,
The	the	The
Russian	russian	Russian
claim	claim	claim
that	that	that
the	the	the
policeman	policeman	policeman
was	was	wa
protecting	protect	protecting
the	the	the
embassy	embassi	embassy
from	from	from
an	an	an
unidentified	unidentifi	unidentified
individual	individu	individual
is	is	is
simply	simpli	simply
untrue	untru	untrue
.	.	.

The	the	The
State	state	State
Department	depart	Department
has	has	ha
said	said	said
that	that	that
Russia	russia	Russia
has	has	ha
harassed	harass	harassed
U	u	U
.	.	.
S	s	S
.	.	.
diplomats	diplomat	diplomat
in	in	in
the	the	the
past	past	past
,	,	,
a	a	a
claim	claim	claim
the	the	the
Kremlin	kremlin	Kremlin
denies	deni	denies
.	.	.
Relations	relat	Relations
between	between	between
Moscow	moscow	Moscow
and	and	and
Washington	washington	Washington
have	have	have
been	been	been
especially	especi	especially
strained	strain	strained
since	sinc	since
Russia	russia	Russia
annexed	annex	annexed
the	the	the
Crimean	crimean	Crimean
peninsula	peninsula	peninsula
from	from	from
Ukraine	ukrain	Ukraine
in	in	in
2014	2014	2014
.	.	.

YOU	you	YOU
WON	won	WON
T	t	T
BELIEVE	believ	BELIEVE
THIS	this	THIS
!	!	!

Via	via	Via
WFB	wfb	WFB

