We	we	We
told	told	told
you	you	you
so	so	so
a	a	a
man	man	man
was	was	wa
having	have	having
a	a	a
blast	blast	blast
peeping	peep	peeping
into	into	into
stalls	stall	stall
in	in	in
the	the	the
restroom	restroom	restroom
AND	and	AND
filming	film	filming
women	women	woman
!	!	!
Not	not	Not
one	one	one
but	but	but
three	three	three
times	time	time
this	this	this
year	year	year
!	!	!
This	this	This
man	man	man
was	was	wa
basically	basic	basically
given	given	given
a	a	a
slap	slap	slap
on	on	on
the	the	the
hand	hand	hand
and	and	and
let	let	let
go	go	go
.	.	.
This	this	This
is	is	is
yet	yet	yet
another	anoth	another
reason	reason	reason
to	to	to
keep	keep	keep
bathrooms	bathroom	bathroom
the	the	the
way	way	way
they	they	they
are	are	are
.	.	.
With	with	With
new	new	new
laws	law	law
,	,	,
more	more	more
men	men	men
like	like	like
this	this	this
can	can	can
say	say	say
they	they	they
identify	identifi	identify
as	as	a
a	a	a
woman	woman	woman
so	so	so
they	they	they
can	can	can
get	get	get
into	into	into
locker	locker	locker
rooms	room	room
or	or	or
bathrooms	bathroom	bathroom
legally	legal	legally
.	.	.
A	a	A
man	man	man
dressed	dress	dressed
as	as	a
a	a	a
woman	woman	woman
was	was	wa
arrested	arrest	arrested
in	in	in
Virginia	virginia	Virginia
on	on	on
Monday	monday	Monday
after	after	after
police	polic	police
say	say	say
he	he	he
was	was	wa
caught	caught	caught
peeping	peep	peeping
into	into	into
restroom	restroom	restroom
stalls	stall	stall
three	three	three
times	time	time
in	in	in
the	the	the
past	past	past
year	year	year
.	.	.
Richard	richard	Richard
Rodriguez	rodriguez	Rodriguez
,	,	,
30	30	30
,	,	,
filmed	film	filmed
a	a	a
woman	woman	woman
in	in	in
a	a	a
bathroom	bathroom	bathroom
stall	stall	stall
at	at	at
the	the	the
Potomac	potomac	Potomac
Mills	mill	Mills
Mall	mall	Mall
,	,	,
Prince	princ	Prince
William	william	William
County	counti	County
Police	polic	Police
said	said	said
on	on	on
Tuesday	tuesday	Tuesday
.	.	.
A	a	A
35	35	35
-year-old	-year-old	-year-old
woman	woman	woman
was	was	wa
in	in	in
the	the	the
stall	stall	stall
when	when	when
she	she	she
saw	saw	saw
a	a	a
bag	bag	bag
moved	move	moved
toward	toward	toward
her	her	her
under	under	under
the	the	the
stall	stall	stall
divider	divid	divider
.	.	.
Rodriguez	rodriguez	Rodriguez
apparently	appar	apparently
had	had	had
been	been	been
filming	film	filming
her	her	her
,	,	,
police	polic	police
said	said	said
.	.	.
The	the	The
victim	victim	victim
rushed	rush	rushed
out	out	out
of	of	of
the	the	the
stall	stall	stall
to	to	to
confront	confront	confront
the	the	the
man	man	man
and	and	and
saw	saw	saw
him	him	him
hurry	hurri	hurry
to	to	to
another	anoth	another
stall	stall	stall
,	,	,
next	next	next
to	to	to
another	anoth	another
woman	woman	woman
.	.	.
The	the	The
victim	victim	victim
alerted	alert	alerted
the	the	the
woman	woman	woman
and	and	and
then	then	then
contacted	contact	contacted
mall	mall	mall
security	secur	security
of	of	of
the	the	the
shopping	shop	shopping
center	center	center
on	on	on
2700	2700	2700
block	block	block
of	of	of
Potomac	potomac	Potomac
Mills	mill	Mills
Circle	circl	Circle
in	in	in
Woodbridge	woodbridg	Woodbridge
,	,	,
Virginia	virginia	Virginia
.	.	.
Mall	mall	Mall
security	secur	security
detained	detain	detained
Rodriguez	rodriguez	Rodriguez
until	until	until
police	polic	police
arrived	arriv	arrived
.	.	.
Police	polic	Police
then	then	then
determined	determin	determined
that	that	that
he	he	he
matches	match	match
the	the	the
description	descript	description
of	of	of
a	a	a
man	man	man
who	who	who
is	is	is
accused	accus	accused
of	of	of
using	use	using
a	a	a
mirror	mirror	mirror
to	to	to
see	see	see
into	into	into
a	a	a
women	women	woman
s	s	s
restroom	restroom	restroom
stall	stall	stall
on	on	on
May	may	May
15	15	15
at	at	at
a	a	a
nearby	nearbi	nearby
Walmart	walmart	Walmart
and	and	and
also	also	also
at	at	at
the	the	the
Potomac	potomac	Potomac
Mills	mill	Mills
Mall	mall	Mall
on	on	on
Oct	oct	Oct
.	.	.
11	11	11
.	.	.
The	the	The
suspect	suspect	suspect
in	in	in
the	the	the
May	may	May
15	15	15
incident	incid	incident
allegedly	alleg	allegedly
spied	spi	spied
on	on	on
a	a	a
53	53	53
-year-old	-year-old	-year-old
woman	woman	woman
,	,	,
police	polic	police
said	said	said
.	.	.
The	the	The
suspect	suspect	suspect
in	in	in
the	the	the
Oct	oct	Oct
.	.	.
11	11	11
incident	incid	incident
believed	believ	believed
to	to	to
be	be	be
the	the	the
same	same	same
man	man	man
looked	look	looked
in	in	in
on	on	on
a	a	a
35	35	35
-year-old	-year-old	-year-old
woman	woman	woman
and	and	and
her	her	her
5	5	5
-year-old	-year-old	-year-old
daughter	daughter	daughter
.	.	.
Rodriguez	rodriguez	Rodriguez
,	,	,
of	of	of
Fredericksburg	fredericksburg	Fredericksburg
,	,	,
was	was	wa
charged	charg	charged
with	with	with
three	three	three
counts	count	count
of	of	of
unlawful	unlaw	unlawful
filming	film	filming
of	of	of
a	a	a
non	non	non
-consenting	-consent	-consenting
person	person	person
and	and	and
three	three	three
counts	count	count
of	of	of
peeping	peep	peeping
.	.	.
Via	via	Via
NBC	nbc	NBC
