Token	Stem	Lemma
The	the	The
relationship	relationship	relationship
between	between	between
the	the	the
United	unit	United
States	state	States
and	and	and
China	china	China
is	is	is
an	an	an
extremely	extrem	extremely
delicate	delic	delicate
one	one	one
They	they	They
are	are	are
the	the	the
world	world	world
s	s	s
second	second	second
-largest	-largest	-largest
power	power	power
right	right	right
behind	behind	behind
ourselves	ourselv	ourselves
Therefore	therefor	Therefore
it	it	it
is	is	is
important	import	important
not	not	not
to	to	to
offend	offend	offend
them	them	them
or	or	or
to	to	to
antagonize	antagon	antagonize
their	their	their
leadership	leadership	leadership
However	howev	However
that	that	that
is	is	is
just	just	just
what	what	what
our	our	our
soon	soon	soon
to	to	to
be	be	be
Tweeter	tweeter	Tweeter
-in	-in	-in
-Chief	-chief	-Chief
is	is	is
spending	spend	spending
his	his	his
Sunday	sunday	Sunday
evening	even	evening
doing	do	doing
After	after	After
the	the	the
insanity	insan	insanity
of	of	of
taking	take	taking
a	a	a
phone	phone	phone
call	call	call
from	from	from
the	the	the
Taiwanese	taiwanes	Taiwanese
President	presid	President
something	someth	something
no	no	no
American	american	American
president	presid	president
or	or	or
president	presid	president
-elect	-elect	-elect
has	has	ha
done	done	done
since	sinc	since
1979	1979	1979
Trump	trump	Trump
decided	decid	decided
to	to	to
take	take	take
to	to	to
Twitter	twitter	Twitter
to	to	to
criticize	critic	criticize
China	china	China
over	over	over
their	their	their
rebuking	rebuk	rebuking
of	of	of
the	the	the
call	call	call
in	in	in
violation	violat	violation
of	of	of
the	the	the
One	one	One
China	china	China
policy	polici	policy
most	most	most
developed	develop	developed
world	world	world
powers	power	power
have	have	have
adhered	adher	adhered
to	to	to
for	for	for
decades	decad	decade
Trump	trump	Trump
ranted	rant	ranted
This	this	This
is	is	is
likely	like	likely
in	in	in
response	respons	response
to	to	to
the	the	the
fact	fact	fact
that	that	that
China	china	China
has	has	ha
decided	decid	decided
to	to	to
level	level	level
a	a	a
formal	formal	formal
complaint	complaint	complaint
regarding	regard	regarding
Trump	trump	Trump
s	s	s
behavior	behavior	behavior
with	with	with
the	the	the
United	unit	United
States	state	States
government	govern	government
Of	of	Of
course	cours	course
unable	unabl	unable
to	to	to
be	be	be
challenged	challeng	challenged
or	or	or
criticized	critic	criticized
for	for	for
any	ani	any
reason	reason	reason
Trump	trump	Trump
is	is	is
lashing	lash	lashing
out	out	out
via	via	via
Twitter	twitter	Twitter
in	in	in
his	his	his
usual	usual	usual
reckless	reckless	reckless
and	and	and
unfiltered	unfilt	unfiltered
way	way	way
Once	onc	Once
again	again	again
Trump	trump	Trump
proves	prove	prof
that	that	that
his	his	his
temperament	tempera	temperament
doesn	doesn	doesn
t	t	t
even	even	even
allow	allow	allow
him	him	him
to	to	to
run	run	run
a	a	a
Twitter	twitter	Twitter
account	account	account
responsibly	respons	responsibly
much	much	much
less	less	le
a	a	a
nation	nation	nation
and	and	and
yet	yet	yet
here	here	here
we	we	we
are	are	are
God	god	God
help	help	help
us	us	u
all	all	all
Featured	featur	Featured
image	imag	image
via	via	via
Drew	drew	Drew
Angerer	anger	Angerer
Getty	getti	Getty
Images	imag	Images
