Last	last	Last
week	week	week
,	,	,
President	presid	President
Trump	trump	Trump
announced	announc	announced
that	that	that
by	by	by
Presidential	presidenti	Presidential
proclamation	proclam	proclamation
,	,	,
Sunday	sunday	Sunday
,	,	,
September	septemb	September
3	3	3
,	,	,
would	would	would
be	be	be
known	known	known
as	as	a
a	a	a
National	nation	National
Day	day	Day
of	of	of
Prayer	prayer	Prayer
for	for	for
the	the	the
Texas	texa	Texas
victims	victim	victim
of	of	of
Hurricane	hurrican	Hurricane
Harvey	harvey	Harvey
.	.	.

He	he	He
asked	ask	asked
all	all	all
Americans	american	Americans
to	to	to
pray	pray	pray
for	for	for
the	the	the
victims	victim	victim
who	who	who
,	,	,
in	in	in
many	mani	many
cases	case	case
,	,	,
lost	lost	lost
everything	everyth	everything
.	.	.

It	it	It
was	was	wa
a	a	a
beautiful	beauti	beautiful
gesture	gestur	gesture
that	that	that
was	was	wa
met	met	met
with	with	with
positivity	posit	positivity
by	by	by
many	mani	many
Americans	american	Americans
of	of	of
faith	faith	faith
.	.	.
Here	here	Here
is	is	is
President	presid	President
Trump	trump	Trump
s	s	s
tweet	tweet	tweet
asking	ask	asking
people	peopl	people
to	to	to
pray	pray	pray
for	for	for
the	the	the
victims	victim	victim
,	,	,
reminding	remind	reminding
them	them	them
Remember	rememb	Remember
,	,	,
Sunday	sunday	Sunday
is	is	is
National	nation	National
Prayer	prayer	Prayer
Day	day	Day
by	by	by
Presidential	presidenti	Presidential
Proclamation	proclam	Proclamation
!	!	!

Remember	rememb	Remember
,	,	,
Sunday	sunday	Sunday
is	is	is
National	nation	National
Prayer	prayer	Prayer
Day	day	Day
by	by	by
Presidential	presidenti	Presidential
Proclamation	proclam	Proclamation
!	!	!

Donald	donald	Donald
J	j	J
.	.	.

Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
September	septemb	September
3	3	3
,	,	,
2017Of	2017of	2017Of
course	cours	course
,	,	,
even	even	even
asking	ask	asking
Americans	american	Americans
to	to	to
pray	pray	pray
for	for	for
their	their	their
fellow	fellow	fellow
Americans	american	Americans
who	who	who
are	are	are
suffering	suffer	suffering
was	was	wa
more	more	more
than	than	than
at	at	at
least	least	least
one	one	one
Hollywood	hollywood	Hollywood
liberal	liber	liberal
could	could	could
bear	bear	bear
.	.	.

Has	has	Has
been	been	been
actress	actress	actress
turned	turn	turned
leftist	leftist	leftist
activist	activist	activist
,	,	,
Alyssa	alyssa	Alyssa
Milano	milano	Milano
,	,	,
whose	whose	whose
short	short	short
stint	stint	stint
at	at	at
fame	fame	fame
took	took	took
place	place	place
much	much	much
earlier	earlier	earlier
in	in	in
her	her	her
career	career	career
when	when	when
she	she	she
had	had	had
starring	star	starring
roles	role	role
in	in	in
Who	who	Who
s	s	s
the	the	the
Boss	boss	Boss
?	?	?
,	,	,
Melrose	melros	Melrose
Place	place	Place
and	and	and
Charmed	charm	Charmed
took	took	took
to	to	to
Twitter	twitter	Twitter
to	to	to
rename	renam	rename
President	presid	President
Trump	trump	Trump
s	s	s
National	nation	National
Day	day	Day
of	of	of
Prayer	prayer	Prayer
by	by	by
telling	tell	telling
her	her	her
followers	follow	follower
Remember	rememb	Remember
,	,	,
Sunday	sunday	Sunday
is	is	is
National	nation	National
Asshole	asshol	Asshole
Day	day	Day
by	by	by
Presidential	presidenti	Presidential
Proclamation	proclam	Proclamation
!	!	!
Remember	rememb	Remember
,	,	,
Sunday	sunday	Sunday
is	is	is
National	nation	National
Asshole	asshol	Asshole
Day	day	Day
by	by	by
Presidential	presidenti	Presidential
Proclamation	proclam	Proclamation
!	!	!

https://t.co/1DlYAJiEAa	https://t.co/1dlyajieaa	https://t.co/1DlYAJiEAa
Alyssa	alyssa	Alyssa
Milano	milano	Milano
@Alyssa_Milano	@alyssa_milano	@Alyssa_Milano
September	septemb	September
4	4	4
,	,	,
2017Milano	2017milano	2017Milano
was	was	wa
immediately	immedi	immediately
rebuffed	rebuf	rebuffed
on	on	on
Twitter	twitter	Twitter
by	by	by
people	peopl	people
who	who	who
were	were	were
disgusted	disgust	disgusted
by	by	by
her	her	her
tweet	tweet	tweet
What's	what	What's
wrong	wrong	wrong
with	with	with
prayer	prayer	prayer
?	?	?

No	no	No
matter	matter	matter
who	who	who
suggested	suggest	suggested
it	it	it
!	!	!

TabzKatz	tabzkatz	TabzKatz
@KatzTabz	@katztabz	@KatzTabz
September	septemb	September
4	4	4
,	,	,
2017National	2017nation	2017National
