Donald	donald	Donald
Trump	trump	Trump
is	is	is
backed	back	backed
into	into	into
a	a	a
corner	corner	corner
.	.	.

After	after	After
he	he	he
was	was	wa
caught	caught	caught
on	on	on
tape	tape	tape
admitting	admit	admitting
to	to	to
sexually	sexual	sexually
assaulting	assault	assaulting
women	women	woman
,	,	,
surprise	surpris	surprise
!	!	!

several	sever	several
women	women	woman
have	have	have
come	come	come
out	out	out
saying	say	saying
Trump	trump	Trump
sexually	sexual	sexually
assaulted	assault	assaulted
them	them	them
.	.	.

He	he	He
s	s	s
running	run	running
out	out	out
of	of	of
defenses	defens	defense
,	,	,
so	so	so
Trump	trump	Trump
turned	turn	turned
to	to	to
one	one	one
of	of	of
his	his	his
old	old	old
hits	hit	hit
.	.	.

He	he	He
s	s	s
blaming	blame	blaming
the	the	the
accusations	accus	accusation
on	on	on
the	the	the
Mexicans	mexican	Mexicans
.	.	.

Well	well	Well
,	,	,
one	one	one
Mexican	mexican	Mexican
in	in	in
particular	particular	particular
billionaire	billionair	billionaire
Carlos	carlo	Carlos
Slim	slim	Slim
.	.	.
As	as	As
early	earli	early
as	as	a
Friday	friday	Friday
,	,	,
Mr	mr	Mr
.	.	.
Trump	trump	Trump
is	is	is
planning	plan	planning
to	to	to
claim	claim	claim
that	that	that
Mr	mr	Mr
.	.	.
Slim	slim	Slim
,	,	,
as	as	a
a	a	a
shareholder	sharehold	shareholder
of	of	of
New	new	New
York	york	York
Times	time	Times
Co	co	Co
.	.	.
and	and	and
donor	donor	donor
to	to	to
the	the	the
Clinton	clinton	Clinton
Foundation	foundat	Foundation
,	,	,
has	has	ha
an	an	an
interest	interest	interest
in	in	in
helping	help	helping
Hillary	hillari	Hillary
Clinton	clinton	Clinton
s	s	s
campaign	campaign	campaign
,	,	,
according	accord	according
to	to	to
a	a	a
Trump	trump	Trump
adviser	advis	adviser
.	.	.
Attacking	attack	Attacking
the	the	the
Mexican	mexican	Mexican
billionaire	billionair	billionaire
would	would	would
allow	allow	allow
Mr	mr	Mr
.	.	.
Trump	trump	Trump
to	to	to
hit	hit	hit
several	sever	several
targets	target	target
.	.	.

He	he	He
could	could	could
slam	slam	slam
the	the	the
failing	fail	failing
New	new	New
York	york	York
Times	time	Times
,	,	,
which	which	which
he	he	he
says	say	say
had	had	had
to	to	to
be	be	be
rescued	rescu	rescued
by	by	by
a	a	a
foreigner	foreign	foreigner
Mr	mr	Mr
.	.	.
Slim	slim	Slim
,	,	,
the	the	the
adviser	advis	adviser
said	said	said
.	.	.
Source	sourc	Source
VoxUnfortunately	voxunfortun	VoxUnfortunately
,	,	,
this	this	this
is	is	is
how	how	how
Trump	trump	Trump
sees	see	see
the	the	the
world	world	world
.	.	.

People	peopl	People
are	are	are
either	either	either
with	with	with
him	him	him
or	or	or
against	against	against
him	him	him
.	.	.

Not	not	Not
surprisingly	surpris	surprisingly
for	for	for
the	the	the
controversial	controversi	controversial
land	land	land
developer	develop	developer
,	,	,
Trump	trump	Trump
has	has	ha
made	made	made
a	a	a
lot	lot	lot
of	of	of
enemies	enemi	enemy
,	,	,
and	and	and
it	it	it
appears	appear	appears
those	those	those
enemies	enemi	enemy
are	are	are
spread	spread	spread
throughout	throughout	throughout
the	the	the
world	world	world
.	.	.

That	that	That
alone	alon	alone
should	should	should
disqualify	disqualifi	disqualify
him	him	him
for	for	for
the	the	the
position	posit	position
that	that	that
is	is	is
in	in	in
large	larg	large
part	part	part
,	,	,
diplomacy	diplomaci	diplomacy
