A	a	A
Target	target	Target
employee	employe	employee
in	in	in
Indiana	indiana	Indiana
has	has	ha
just	just	just
gone	gone	gone
viral	viral	viral
for	for	for
showing	show	showing
the	the	the
utmost	utmost	utmost
care	care	care
,	,	,
patience	patienc	patience
and	and	and
kindness	kind	kindness
to	to	to
a	a	a
customer	custom	customer
who	who	who
was	was	wa
struggling	struggl	struggling
to	to	to
pay	pay	pay
for	for	for
her	her	her
items	item	item
.	.	.
Ishmael	ishmael	Ishmael
Gilbert	gilbert	Gilbert
was	was	wa
an	an	an
employee	employe	employee
at	at	at
the	the	the
Glendale	glendal	Glendale
,	,	,
Indiana	indiana	Indiana
Target	target	Target
store	store	store
and	and	and
had	had	had
only	onli	only
been	been	been
a	a	a
part	part	part
of	of	of
the	the	the
store	store	store
s	s	s
team	team	team
for	for	for
a	a	a
short	short	short
time	time	time
when	when	when
the	the	the
19	19	19
-year-old	-year-old	-year-old
had	had	had
to	to	to
ring	ring	ring
up	up	up
an	an	an
elderly	elder	elderly
woman	woman	woman
.	.	.
Gilbert	gilbert	Gilbert
had	had	had
no	no	no
idea	idea	idea
that	that	that
what	what	what
happened	happen	happened
next	next	next
would	would	would
make	make	make
him	him	him
an	an	an
internet	internet	internet
star	star	star
.	.	.
When	when	When
it	it	it
came	came	came
time	time	time
to	to	to
pay	pay	pay
for	for	for
her	her	her
items	item	item
,	,	,
the	the	the
woman	woman	woman
revealed	reveal	revealed
she	she	she
d	d	d
be	be	be
using	use	using
coins	coin	coin
to	to	to
pay	pay	pay
.	.	.
Gilbert	gilbert	Gilbert
didn	didn	didn
t	t	t
hesitate	hesit	hesitate
to	to	to
help	help	help
the	the	the
woman	woman	woman
add	add	add
up	up	up
her	her	her
change	chang	change
and	and	and
remained	remain	remained
patient	patient	patient
,	,	,
even	even	even
as	as	a
some	some	some
customers	custom	customer
huffed	huf	huffed
off	off	off
to	to	to
find	find	find
a	a	a
shorter	shorter	shorter
line	line	line
.	.	.
Gilbert	gilbert	Gilbert
said	said	said
She	she	She
was	was	wa
all	all	all
worked	work	worked
up	up	up
because	becaus	because
the	the	the
line	line	line
was	was	wa
getting	get	getting
longer	longer	longer
and	and	and
she	she	she
was	was	wa
moving	move	moving
so	so	so
slow	slow	slow
.	.	.
She	she	She
was	was	wa
shaking	shake	shaking
.	.	.
Behind	behind	Behind
the	the	the
elderly	elder	elderly
woman	woman	woman
was	was	wa
35	35	35
-year-old	-year-old	-year-old
Sarah	sarah	Sarah
Owen	owen	Owen
Bigler	bigler	Bigler
,	,	,
who	who	who
was	was	wa
watching	watch	watching
Gilbert	gilbert	Gilbert
s	s	s
encounter	encount	encounter
with	with	with
his	his	his
elderly	elder	elderly
customer	custom	customer
.	.	.
Bigler	bigler	Bigler
was	was	wa
originally	origin	originally
annoyed	annoy	annoyed
that	that	that
her	her	her
trip	trip	trip
to	to	to
Target	target	Target
was	was	wa
now	now	now
going	go	going
to	to	to
be	be	be
longer	longer	longer
than	than	than
planned	plan	planned
,	,	,
but	but	but
she	she	she
decided	decid	decided
to	to	to
stay	stay	stay
when	when	when
her	her	her
young	young	young
daughter	daughter	daughter
took	took	took
an	an	an
interest	interest	interest
in	in	in
what	what	what
Gilbert	gilbert	Gilbert
was	was	wa
doing	do	doing
.	.	.
When	when	When
Bigler	bigler	Bigler
s	s	s
daughter	daughter	daughter
asked	ask	asked
Gilbert	gilbert	Gilbert
about	about	about
the	the	the
change	chang	change
he	he	he
was	was	wa
counting	count	counting
,	,	,
Bigler	bigler	Bigler
knew	knew	knew
the	the	the
wait	wait	wait
would	would	would
be	be	be
worth	worth	worth
it	it	it
.	.	.
She	she	She
said	said	said
Part	part	Part
of	of	of
me	me	me
,	,	,
the	the	the
part	part	part
that	that	that
had	had	had
a	a	a
long	long	long
day	day	day
at	at	at
work	work	work
,	,	,
the	the	the
part	part	part
of	of	of
me	me	me
who	who	who
had	had	had
a	a	a
1	1	1
1	1	1
2	2	2
year	year	year
old	old	old
having	have	having
a	a	a
melt	melt	melt
down	down	down
in	in	in
the	the	the
cart	cart	cart
,	,	,
the	the	the
part	part	part
that	that	that
had	had	had
set	set	set
an	an	an
unnecessary	unnecessari	unnecessary
timeline	timelin	timeline
for	for	for
Target	target	Target
and	and	and
getting	get	getting
home	home	home
,	,	,
was	was	wa
frustrated	frustrat	frustrated
with	with	with
this	this	this
woman	woman	woman
and	and	and
the	the	the
inconvenience	inconveni	inconvenience
she	she	she
had	had	had
placed	place	placed
on	on	on
me	me	me
.	.	.
BUT	but	BUT
then	then	then
I	i	I
watched	watch	watched
the	the	the
young	young	young
employee	employe	employee
with	with	with
this	this	this
woman	woman	woman
.	.	.
I	i	I
watched	watch	watched
him	him	him
help	help	help
her	her	her
count	count	count
her	her	her
change	chang	change
,	,	,
ever	ever	ever
so	so	so
tenderly	tender	tenderly
taking	take	taking
it	it	it
from	from	from
her	her	her
shaking	shake	shaking
hands	hand	hand
.	.	.
I	i	I
listened	listen	listened
to	to	to
him	him	him
repeatedly	repeat	repeatedly
saying	say	saying
yes	yes	yes
,	,	,
mam	mam	mam
to	to	to
her	her	her
.	.	.
When	when	When
she	she	she
asked	ask	asked
if	if	if
she	she	she
had	had	had
enough	enough	enough
to	to	to
buy	buy	buy
a	a	a
reusable	reusabl	reusable
bag	bag	bag
,	,	,
he	he	he
told	told	told
her	her	her
she	she	she
did	did	did
and	and	and
went	went	went
two	two	two
lines	line	line
over	over	over
to	to	to
get	get	get
one	one	one
for	for	for
her	her	her
and	and	and
then	then	then
repackaged	repackag	repackaged
her	her	her
items	item	item
.	.	.
Never	never	Never
once	onc	once
did	did	did
this	this	this
employee	employe	employee
huff	huff	huff
,	,	,
gruff	gruff	gruff
or	or	or
roll	roll	roll
his	his	his
eyes	eye	eye
.	.	.
He	he	He
was	was	wa
nothing	noth	nothing
but	but	but
patient	patient	patient
and	and	and
kind	kind	kind
.	.	.
As	as	As
I	i	I
was	was	wa
watching	watch	watching
him	him	him
,	,	,
I	i	I
saw	saw	saw
that	that	that
Eloise	elois	Eloise
was	was	wa
too	too	too
.	.	.
She	she	She
was	was	wa
standing	stand	standing
next	next	next
to	to	to
the	the	the
woman	woman	woman
,	,	,
watching	watch	watching
the	the	the
employee	employe	employee
count	count	count
the	the	the
change	chang	change
.	.	.
I	i	I
realized	realiz	realized
I	i	I
hadn	hadn	hadn
t	t	t
been	been	been
inconvenienced	inconvenienc	inconvenienced
at	at	at
all	all	all
.	.	.
That	that	That
my	my	my
daughter	daughter	daughter
was	was	wa
instead	instead	instead
witnessing	wit	witnessing
kindness	kind	kindness
and	and	and
patience	patienc	patience
and	and	and
being	be	being
taught	taught	taught
this	this	this
valuable	valuabl	valuable
lesson	lesson	lesson
by	by	by
a	a	a
complete	complet	complete
stranger	stranger	stranger
;	;	;
furthermore	furthermor	furthermore
,	,	,
I	i	I
realized	realiz	realized
that	that	that
I	i	I
too	too	too
needed	need	needed
a	a	a
refresher	refresh	refresher
on	on	on
this	this	this
lesson	lesson	lesson
.	.	.
Bigler	bigler	Bigler
was	was	wa
so	so	so
blown	blown	blown
away	away	away
by	by	by
what	what	what
she	she	she
witnessed	wit	witnessed
that	that	that
she	she	she
took	took	took
a	a	a
photo	photo	photo
and	and	and
posted	post	posted
it	it	it
on	on	on
her	her	her
Facebook	facebook	Facebook
page	page	page
,	,	,
where	where	where
it	it	it
quickly	quick	quickly
went	went	went
viral	viral	viral
.	.	.
The	the	The
post	post	post
has	has	ha
now	now	now
gained	gain	gained
over	over	over
25	25	25
,	,	,
000	000	000
shares	share	share
.	.	.
!	!	!
CDATA	cdata	CDATA
function	function	function
d	d	d
,	,	,
s	s	s
,	,	,
id	id	id
var	var	var
js	js	j
,	,	,
fjs	fjs	fjs
d	d	d
.	.	.
getElementsByTagName	getelementsbytagnam	getElementsByTagName
s	s	s
0	0	0
;	;	;
if	if	if
d	d	d
.	.	.
getElementById	getelementbyid	getElementById
id	id	id
return	return	return
;	;	;
js	js	j
d	d	d
.	.	.
createElement	createel	createElement
s	s	s
;	;	;
js	js	j
.	.	.
id	id	id
id	id	id
;	;	;
js	js	j
.	.	.
src	src	src
connect	connect	connect
.	.	.
facebook	facebook	facebook
.	.	.
net	net	net
en_US	en_us	en_US
sdk	sdk	sdk
.	.	.
js	js	j
"#xfbml=1&#038;version=v2.3"";"	"#xfbml=1&#038;version=v2.3"";"	"#xfbml=1&#038;version=v2.3"";"
fjs	fjs	fjs
.	.	.
parentNode	parentnod	parentNode
.	.	.
insertBefore	insertbefor	insertBefore
js	js	j
,	,	,
fjs	fjs	fjs
;	;	;
document	document	document
,	,	,
'script'	script	'script'
,	,	,
'facebook-jssdk'	facebook-jssdk	'facebook-jssdk'
;	;	;
gt	gt	gt
;	;	;
Yesterday	yesterday	Yesterday
Matt	matt	Matt
was	was	wa
sick	sick	sick
.	.	.
I	i	I
picked	pick	picked
up	up	up
Archie	archi	Archie
from	from	from
the	the	the
sitter	sitter	sitter
and	and	and
Eloise	elois	Eloise
from	from	from
school	school	school
and	and	and
decided	decid	decided
to	to	to
run	run	run
to	to	to
Target	target	Target
for	for	for
a	a	a
Posted	post	Posted
by	by	by
Sarah	sarah	Sarah
Owen	owen	Owen
Bigler	bigler	Bigler
on	on	on
Wednesday	wednesday	Wednesday
,	,	,
January	januari	January
13	13	13
,	,	,
2016When	2016when	2016When
he	he	he
woke	woke	woke
up	up	up
the	the	the
next	next	next
day	day	day
,	,	,
Gilbert	gilbert	Gilbert
still	still	still
had	had	had
no	no	no
idea	idea	idea
.	.	.
He	he	He
said	said	said
I	i	I
was	was	wa
asleep	asleep	asleep
at	at	at
home	home	home
and	and	and
everyone	everyon	everyone
was	was	wa
texting	text	texting
me	me	me
,	,	,
check	check	check
Facebook	facebook	Facebook
,	,	,
check	check	check
Facebook	facebook	Facebook
.	.	.
'	'	'
When	when	When
he	he	he
finally	final	finally
realized	realiz	realized
that	that	that
his	his	his
moment	moment	moment
with	with	with
the	the	the
elderly	elder	elderly
woman	woman	woman
had	had	had
gone	gone	gone
viral	viral	viral
,	,	,
he	he	he
was	was	wa
stunned	stun	stunned
.	.	.
I	i	I
never	never	never
thought	thought	thought
it	it	it
d	d	d
blow	blow	blow
up	up	up
this	this	this
big	big	big
.	.	.
Her	her	Her
post	post	post
,	,	,
I	i	I
guessed	guess	guessed
it	it	it
touched	touch	touched
a	a	a
lot	lot	lot
of	of	of
people	peopl	people
.	.	.
On	on	On
Friday	friday	Friday
,	,	,
Bigler	bigler	Bigler
and	and	and
her	her	her
daughter	daughter	daughter
came	came	came
back	back	back
to	to	to
the	the	the
Glensdale	glensdal	Glensdale
Target	target	Target
to	to	to
meet	meet	meet
with	with	with
the	the	the
media	media	medium
and	and	and
see	see	see
Gilbert	gilbert	Gilbert
again	again	again
.	.	.
Gilbert	gilbert	Gilbert
said	said	said
It	it	It
just	just	just
feels	feel	feel
good	good	good
to	to	to
be	be	be
recognized	recogn	recognized
for	for	for
good	good	good
work	work	work
.	.	.
But	but	But
this	this	this
isn	isn	isn
t	t	t
something	someth	something
new	new	new
.	.	.
I	i	I
treat	treat	treat
all	all	all
customers	custom	customer
the	the	the
same	same	same
,	,	,
the	the	the
way	way	way
I	i	I
want	want	want
to	to	to
be	be	be
treated	treat	treated
.	.	.
And	and	And
it	it	it
turns	turn	turn
out	out	out
,	,	,
Gilbert	gilbert	Gilbert
s	s	s
lesson	lesson	lesson
on	on	on
patience	patienc	patience
and	and	and
kindness	kind	kindness
to	to	to
Bigler	bigler	Bigler
s	s	s
daughter	daughter	daughter
wasn	wasn	wasn
t	t	t
lost	lost	lost
on	on	on
him	him	him
.	.	.
Gilbert	gilbert	Gilbert
has	has	ha
a	a	a
daughter	daughter	daughter
of	of	of
his	his	his
own	own	own
,	,	,
who	who	who
just	just	just
turned	turn	turned
one	one	one
.	.	.
It	it	It
felt	felt	felt
like	like	like
a	a	a
daddy	daddi	daddy
-and-daughter	-and-daught	-and-daughter
moment	moment	moment
a	a	a
little	littl	little
.	.	.
She	she	She
asked	ask	asked
,	,	,
what	what	what
s	s	s
that	that	that
?	?	?
I	i	I
said	said	said
that	that	that
s	s	s
a	a	a
penny	penni	penny
.	.	.
It	it	It
felt	felt	felt
good	good	good
because	becaus	because
that	that	that
s	s	s
the	the	the
kind	kind	kind
of	of	of
example	exampl	example
I	i	I
want	want	want
to	to	to
be	be	be
for	for	for
my	my	my
daughter	daughter	daughter
.	.	.
Since	sinc	Since
his	his	his
overnight	overnight	overnight
fame	fame	fame
,	,	,
Gilbert	gilbert	Gilbert
has	has	ha
been	been	been
offered	offer	offered
money	money	money
and	and	and
other	other	other
job	job	job
offers	offer	offer
,	,	,
although	although	although
he	he	he
plans	plan	plan
to	to	to
stay	stay	stay
where	where	where
he	he	he
is	is	is
for	for	for
now	now	now
.	.	.
Glendale	glendal	Glendale
Target	target	Target
Store	store	Store
Team	team	Team
Leader	leader	Leader
Todd	todd	Todd
Davis	davi	Davis
has	has	ha
said	said	said
that	that	that
Gilbert	gilbert	Gilbert
s	s	s
actions	action	action
will	will	will
have	have	have
a	a	a
positive	posit	positive
impact	impact	impact
on	on	on
his	his	his
career	career	career
at	at	at
the	the	the
store	store	store
.	.	.
Davis	davi	Davis
said	said	said
Very	veri	Very
rarely	rare	rarely
you	you	you
get	get	get
the	the	the
opportunity	opportun	opportunity
to	to	to
talk	talk	talk
about	about	about
something	someth	something
that	that	that
s	s	s
a	a	a
positive	posit	positive
impact	impact	impact
in	in	in
the	the	the
community	communiti	community
.	.	.
You	you	You
never	never	never
know	know	know
who	who	who
s	s	s
watching	watch	watching
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Facebook	facebook	Facebook
