Wednesday	wednesday	Wednesday
morning	morn	morning
,	,	,
Donald	donald	Donald
Trump	trump	Trump
started	start	started
his	his	his
day	day	day
off	off	off
just	just	just
like	like	like
any	ani	any
normal	normal	normal
bizarre	bizarr	bizarre
despot	despot	despot
,	,	,
with	with	with
tweets	tweet	tweet
celebrating	celebr	celebrating
the	the	the
world	world	world
s	s	s
fear	fear	fear
and	and	and
outrage	outrag	outrage
at	at	at
his	his	his
nuclear	nuclear	nuclear
threats	threat	threat
toward	toward	toward
North	north	North
Korea	korea	Korea
.	.	.
He	he	He
retweeted	retweet	retweeted
Fox	fox	Fox
Friends	friend	Friends
on	on	on
Twitter	twitter	Twitter
no	no	no
less	less	le
than	than	than
three	three	three
times	time	time
for	for	for
their	their	their
breathless	breathless	breathless
coverage	coverag	coverage
of	of	of
his	his	his
manly	man	manly
escapades	escapad	escapade
.	.	.
But	but	But
in	in	in
the	the	the
middle	middl	middle
of	of	of
his	his	his
bluster	bluster	bluster
,	,	,
Trump	trump	Trump
forgot	forgot	forgot
once	onc	once
again	again	again
that	that	that
the	the	the
internet	internet	internet
is	is	is
a	a	a
forever	forev	forever
place	place	place
,	,	,
where	where	where
no	no	no
facts	fact	fact
are	are	are
ever	ever	ever
lost	lost	lost
,	,	,
except	except	except
to	to	to
the	the	the
swirling	swirl	swirling
vortex	vortex	vortex
of	of	of
a	a	a
Trump	trump	Trump
supporter	support	supporter
s	s	s
mind	mind	mind
.	.	.
Perhaps	perhap	Perhaps
he	he	he
was	was	wa
relying	reli	relying
on	on	on
that	that	that
very	veri	very
fact	fact	fact
that	that	that
his	his	his
supporters	support	supporter
will	will	will
believe	believ	believe
anything	anyth	anything
he	he	he
says	say	say
when	when	when
he	he	he
made	made	made
a	a	a
claim	claim	claim
about	about	about
his	his	his
first	first	first
order	order	order
as	as	a
president	presid	president
.	.	.
In	in	In
a	a	a
pair	pair	pair
of	of	of
tweets	tweet	tweet
continuing	continu	continuing
the	the	the
theme	theme	theme
of	of	of
the	the	the
day	day	day
,	,	,
Trump	trump	Trump
asserted	assert	asserted
that	that	that
he	he	he
was	was	wa
responsible	respons	responsible
for	for	for
the	the	the
modernization	modern	modernization
of	of	of
our	our	our
nuclear	nuclear	nuclear
program	program	program
My	my	My
first	first	first
order	order	order
as	as	a
President	presid	President
was	was	wa
to	to	to
renovate	renov	renovate
and	and	and
modernize	modern	modernize
our	our	our
nuclear	nuclear	nuclear
arsenal	arsenal	arsenal
.	.	.
It	it	It
is	is	is
now	now	now
far	far	far
stronger	stronger	stronger
and	and	and
more	more	more
powerful	power	powerful
than	than	than
ever	ever	ever
before	befor	before
.	.	.
Donald	donald	Donald
J	j	J
.	.	.
Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
August	august	August
9	9	9
,	,	,
2017	2017	2017
Hopefully	hope	Hopefully
we	we	we
will	will	will
never	never	never
have	have	have
to	to	to
use	use	use
this	this	this
power	power	power
,	,	,
but	but	but
there	there	there
will	will	will
never	never	never
be	be	be
a	a	a
time	time	time
that	that	that
we	we	we
are	are	are
not	not	not
the	the	the
most	most	most
powerful	power	powerful
nation	nation	nation
in	in	in
the	the	the
world	world	world
!	!	!
Donald	donald	Donald
J	j	J
.	.	.
Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
August	august	August
9	9	9
,	,	,
2017Unfortunately	2017unfortun	2017Unfortunately
for	for	for
Trump	trump	Trump
,	,	,
he	he	he
s	s	s
wrong	wrong	wrong
on	on	on
two	two	two
counts	count	count
.	.	.
Not	not	Not
only	onli	only
was	was	wa
that	that	that
not	not	not
his	his	his
first	first	first
order	order	order
that	that	that
was	was	wa
on	on	on
Obamacare	obamacar	Obamacare
but	but	but
it	it	it
wasn	wasn	wasn
t	t	t
even	even	even
him	him	him
that	that	that
began	began	began
the	the	the
renovation	renov	renovation
and	and	and
modernization	modern	modernization
process	process	process
.	.	.
That	that	That
would	would	would
be	be	be
the	the	the
guy	guy	guy
before	befor	before
him	him	him
.	.	.
Ben	ben	Ben
Rhodes	rhode	Rhodes
,	,	,
the	the	the
former	former	former
foreign	foreign	foreign
policy	polici	policy
adviser	advis	adviser
to	to	to
Barack	barack	Barack
Obama	obama	Obama
,	,	,
was	was	wa
quick	quick	quick
to	to	to
point	point	point
out	out	out
Trump	trump	Trump
s	s	s
lie	lie	lie
It's	it	It's
literally	liter	literally
impossible	imposs	impossible
for	for	for
Trump	trump	Trump
to	to	to
have	have	have
changed	chang	changed
our	our	our
nuclear	nuclear	nuclear
arsenal	arsenal	arsenal
in	in	in
6	6	6
months	month	month
.	.	.
Alarming	alarm	Alarming
thing	thing	thing
to	to	to
lie	lie	lie
about	about	about
.	.	.
https://t.co/9cizhVLJAU	https://t.co/9cizhvljau	https://t.co/9cizhVLJAU
Ben	ben	Ben
Rhodes	rhode	Rhodes
@brhodes	@brhode	@brhodes
August	august	August
9	9	9
,	,	,
2017So	2017so	2017So
we	we	we
all	all	all
have	have	have
to	to	to
rally	ralli	rally
around	around	around
the	the	the
leader	leader	leader
because	becaus	because
he	he	he
decided	decid	decided
to	to	to
threaten	threaten	threaten
North	north	North
Korea	korea	Korea
with	with	with
nuclear	nuclear	nuclear
destruction	destruct	destruction
.	.	.
Get	get	Get
ready	readi	ready
for	for	for
more	more	more
of	of	of
this	this	this
.	.	.
https://t.co/P5STDMVWMy	https://t.co/p5stdmvwmi	https://t.co/P5STDMVWMy
Ben	ben	Ben
Rhodes	rhode	Rhodes
@brhodes	@brhode	@brhodes
August	august	August
9	9	9
,	,	,
2017Boasting	2017boast	2017Boasting
about	about	about
the	the	the
size	size	size
of	of	of
our	our	our
nuclear	nuclear	nuclear
arsenal	arsenal	arsenal
and	and	and
sending	send	sending
aides	aid	aide
out	out	out
to	to	to
demand	demand	demand
we	we	we
rally	ralli	rally
around	around	around
the	the	the
leader	leader	leader
is	is	is
chilling	chill	chilling
.	.	.
And	and	And
it's	it	it's
only	onli	only
month	month	month
7	7	7
Ben	ben	Ben
Rhodes	rhode	Rhodes
@brhodes	@brhode	@brhodes
August	august	August
9	9	9
,	,	,
2017It	2017it	2017It
s	s	s
not	not	not
the	the	the
first	first	first
time	time	time
Trump	trump	Trump
has	has	ha
lied	lie	lied
about	about	about
things	thing	thing
he	he	he
s	s	s
done	done	done
,	,	,
and	and	and
it	it	it
certainly	certain	certainly
won	won	won
t	t	t
be	be	be
the	the	the
last	last	last
.	.	.
But	but	But
the	the	the
fact	fact	fact
that	that	that
this	this	this
is	is	is
a	a	a
lie	lie	lie
about	about	about
nukes	nuke	nuke
makes	make	make
it	it	it
a	a	a
little	littl	little
more	more	more
alarming	alarm	alarming
and	and	and
