You	you	You
know	know	know
things	thing	thing
are	are	are
going	go	going
badly	bad	badly
for	for	for
the	the	the
GOP	gop	GOP
President	presid	President
-Elect	-elect	-Elect
when	when	when
even	even	even
Fox	fox	Fox
News	news	News
begins	begin	begin
to	to	to
turn	turn	turn
on	on	on
him	him	him
.	.	.

In	in	In
an	an	an
interview	interview	interview
with	with	with
Fox	fox	Fox
s	s	s
Chris	chris	Chris
Wallace	wallac	Wallace
on	on	on
Fox	fox	Fox
News	news	News
Sunday	sunday	Sunday
,	,	,
Trump	trump	Trump
was	was	wa
grilled	grill	grilled
about	about	about
his	his	his
conflicts	conflict	conflict
of	of	of
interest	interest	interest
and	and	and
about	about	about
his	his	his
similar	similar	similar
accusations	accus	accusation
toward	toward	toward
Hillary	hillari	Hillary
Clinton	clinton	Clinton
.	.	.
Wallace	wallac	Wallace
asked	ask	asked
Trump	trump	Trump
about	about	about
his	his	his
campaign	campaign	campaign
manager	manag	manager
,	,	,
Kellyanne	kellyann	Kellyanne
Conway	conway	Conway
,	,	,
telling	tell	telling
CNN	cnn	CNN
that	that	that
Trump	trump	Trump
would	would	would
continue	continu	continue
his	his	his
role	role	role
as	as	a
executive	execut	executive
producer	produc	producer
for	for	for
Celebrity	celebr	Celebrity
Apprentice	apprentic	Apprentice
in	in	in
his	his	his
spare	spare	spare
time	time	time
.	.	.

as	as	a
well	well	well
as	as	a
the	the	the
fact	fact	fact
Trump	trump	Trump
plans	plan	plan
on	on	on
keeping	keep	keeping
a	a	a
stake	stake	stake
in	in	in
his	his	his
real	real	real
estate	estat	estate
business	busi	business
while	while	while
in	in	in
the	the	the
White	white	White
House	hous	House
.	.	.

Isn	isn	Isn
t	t	t
that	that	that
a	a	a
huge	huge	huge
conflict	conflict	conflict
of	of	of
interest	interest	interest
,	,	,
sir	sir	sir
?	?	?

Wallace	wallac	Wallace
asked	ask	asked
.	.	.
Trump	trump	Trump
s	s	s
response	respons	response
was	was	wa
that	that	that
it	it	it
was	was	wa
okay	okay	okay
because	becaus	because
everyone	everyon	everyone
in	in	in
the	the	the
world	world	world
knows	know	know
he	he	he
s	s	s
a	a	a
big	big	big
real	real	real
estate	estat	estate
tycoon	tycoon	tycoon
and	and	and
he	he	he
denied	deni	denied
that	that	that
he	he	he
will	will	will
be	be	be
involved	involv	involved
in	in	in
the	the	the
management	manag	management
of	of	of
the	the	the
company	compani	company
.	.	.
To	to	To
Wallace	wallac	Wallace
s	s	s
credit	credit	credit
and	and	and
I	i	I
don	don	don
t	t	t
say	say	say
that	that	that
often	often	often
,	,	,
the	the	the
Fox	fox	Fox
anchor	anchor	anchor
countered	counter	countered
that	that	that
Trump	trump	Trump
hammered	hammer	hammered
Hillary	hillari	Hillary
Clinton	clinton	Clinton
over	over	over
the	the	the
Clinton	clinton	Clinton
Foundation	foundat	Foundation
and	and	and
pay	pay	pay
to	to	to
play	play	play
.	.	.

Trump	trump	Trump
responded	respond	responded
that	that	that
that	that	that
was	was	wa
different	differ	different
because	becaus	because
she	she	she
takes	take	take
massive	massiv	massive
amounts	amount	amount
of	of	of
money	money	money
from	from	from
foreign	foreign	foreign
countries	countri	country
.	.	.

That	that	That
s	s	s
not	not	not
true	true	true
,	,	,
but	but	but
Fox	fox	Fox
didn	didn	didn
t	t	t
point	point	point
that	that	that
out	out	out
.	.	.
Wallace	wallac	Wallace
continued	continu	continued
,	,	,
noting	note	noting
that	that	that
Trump	trump	Trump
will	will	will
also	also	also
be	be	be
making	make	making
massive	massiv	massive
amounts	amount	amount
of	of	of
money	money	money
because	becaus	because
foreign	foreign	foreign
countries	countri	country
are	are	are
already	alreadi	already
booking	book	booking
events	event	event
at	at	at
the	the	the
Trump	trump	Trump
hotel	hotel	hotel
in	in	in
D	d	D
.	.	.
C	c	C
.	.	.
,	,	,
and	and	and
that	that	that
Trump	trump	Trump
has	has	ha
business	busi	business
operations	oper	operation
,	,	,
deals	deal	deal
with	with	with
foreign	foreign	foreign
countries	countri	country
isn	isn	isn
t	t	t
this	this	this
on	on	on
steroids	steroid	steroid
.	.	.

Trump	trump	Trump
was	was	wa
seemingly	seem	seemingly
appalled	appal	appalled
,	,	,
but	but	but
Wallace	wallac	Wallace
went	went	went
on	on	on
,	,	,
saying	say	saying
that	that	that
foreign	foreign	foreign
governments	govern	government
were	were	were
trying	tri	trying
to	to	to
curry	curri	curry
favor	favor	favor
with	with	with
the	the	the
United	unit	United
States	state	States
through	through	through
Trump	trump	Trump
s	s	s
hotels	hotel	hotel
.	.	.
Trump	trump	Trump
,	,	,
though	though	though
,	,	,
made	made	made
the	the	the
claim	claim	claim
that	that	that
he	he	he
is	is	is
turning	turn	turning
down	down	down
billions	billion	billion
of	of	of
dollars	dollar	dollar
in	in	in
deals	deal	deal
because	becaus	because
of	of	of
potential	potenti	potential
conflicts	conflict	conflict
of	of	of
interest	interest	interest
,	,	,
but	but	but
he	he	he
