NBC	nbc	NBC
host	host	host
Megyn	megyn	Megyn
Kelly	kelli	Kelly
must	must	must
be	be	be
really	realli	really
desperate	desper	desperate
for	for	for
guests	guest	guest
to	to	to
have	have	have
on	on	on
her	her	her
new	new	new
show	show	show
.	.	.

She	she	She
just	just	just
had	had	had
on	on	on
the	the	the
woman	woman	woman
who	who	who
behaved	behav	behaved
like	like	like
a	a	a
child	child	child
when	when	when
she	she	she
flipped	flip	flipped
off	off	off
President	presid	President
Trump	trump	Trump
s	s	s
motorcade	motorcad	motorcade
.	.	.

This	this	This
woman	woman	woman
was	was	wa
fired	fire	fired
from	from	from
her	her	her
job	job	job
for	for	for
this	this	this
and	and	and
has	has	ha
already	alreadi	already
gotten	gotten	gotten
way	way	way
too	too	too
much	much	much
attention	attent	attention
Her	her	Her
15	15	15
minutes	minut	minute
of	of	of
fame	fame	fame
should	should	should
be	be	be
up	up	up
now	now	now
!	!	!
The	the	The
unbelievable	unbeliev	unbelievable
part	part	part
of	of	of
the	the	the
interview	interview	interview
with	with	with
Juli	juli	Juli
Briskman	briskman	Briskman
is	is	is
when	when	when
Kelly	kelli	Kelly
said	said	said
the	the	the
saga	saga	saga
of	of	of
flipping	flip	flipping
off	off	off
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
s	s	s
motorcade	motorcad	motorcade
spoke	spoke	spoke
uniquely	uniqu	uniquely
to	to	to
what	what	what
America	america	America
s	s	s
all	all	all
about	about	about
Huh	huh	Huh
?	?	?

Would	would	Would
Megyn	megyn	Megyn
Kelly	kelli	Kelly
be	be	be
saying	say	saying
the	the	the
same	same	same
thing	thing	thing
if	if	if
the	the	the
tables	tabl	table
were	were	were
turned	turn	turned
and	and	and
Obama	obama	Obama
was	was	wa
flipped	flip	flipped
off	off	off
?	?	?

What	what	What
s	s	s
so	so	so
amazing	amaz	amazing
and	and	and
American	american	American
about	about	about
behaving	behav	behaving
like	like	like
a	a	a
spoiled	spoil	spoiled
child	child	child
?	?	?

The	the	The
left	left	left
has	has	ha
been	been	been
showing	show	showing
their	their	their
true	true	true
colors	color	color
since	sinc	since
Trump	trump	Trump
won	won	won
a	a	a
year	year	year
ago	ago	ago
.	.	.

It	it	It
s	s	s
disturbing	disturb	disturbing
when	when	when
this	this	this
woman	woman	woman
is	is	is
praised	prais	praised
for	for	for
her	her	her
lewd	lewd	lewd
and	and	and
immature	immatur	immature
behavior	behavior	behavior
.	.	.

Grow	grow	Grow
up	up	up
already	alreadi	already
!	!	!

Between	between	Between
this	this	this
and	and	and
the	the	the
extreme	extrem	extreme
bitterness	bitter	bitterness
of	of	of
the	the	the
Clinton	clinton	Clinton
Grifters	grifter	Grifters
,	,	,
it	it	it
s	s	s
just	just	just
loserville	loservill	loserville
at	at	at
the	the	the
DNC	dnc	DNC
A	a	A
photograph	photograph	photograph
of	of	of
Juli	juli	Juli
Briskman	briskman	Briskman
flipping	flip	flipping
off	off	off
Trump	trump	Trump
s	s	s
motorcade	motorcad	motorcade
last	last	last
month	month	month
in	in	in
Virginia	virginia	Virginia
as	as	a
she	she	she
rode	rode	rode
her	her	her
bicycle	bicycl	bicycle
went	went	went
viral	viral	viral
,	,	,
particularly	particular	particularly
among	among	among
people	peopl	people
frustrated	frustrat	frustrated
with	with	with
Trump	trump	Trump
s	s	s
administration	administr	administration
.	.	.

However	howev	However
,	,	,
after	after	after
she	she	she
posted	post	posted
it	it	it
to	to	to
her	her	her
social	social	social
media	media	medium
accounts	account	account
,	,	,
she	she	she
was	was	wa
forced	forc	forced
to	to	to
resign	resign	resign
from	from	from
her	her	her
job	job	job
at	at	at
Akima	akima	Akima
LLC	llc	LLC
.	.	.
IT	it	IT
FELT	felt	FELT
GREAT	great	GREAT
?	?	?
Briskman	briskman	Briskman
recounted	recount	recounted
why	whi	why
she	she	she
decided	decid	decided
to	to	to
flip	flip	flip
off	off	off
Trump	trump	Trump
to	to	to
Kelly	kelli	Kelly
,	,	,
saying	say	saying
it	it	it
felt	felt	felt
great	great	great
FREE	free	FREE
TO	to	TO
BE	be	BE
A	a	A
JERK	jerk	JERK
To	to	To
me	me	me
,	,	,
it	it	it
speaks	speak	speaks
uniquely	uniqu	uniquely
to	to	to
what	what	what
America	america	America
s	s	s
all	all	all
about	about	about
.	.	.

You	you	You
can	can	can
do	do	do
that	that	that
,	,	,
Kelly	kelli	Kelly
said	said	said
.	.	.

That	that	That
s	s	s
the	the	the
beauty	beauti	beauty
of	of	of
a	a	a
free	free	free
society	societi	society
.	.	.

Whether	whether	Whether
you	you	you
love	love	love
President	presid	President
Trump	trump	Trump
or	or	or
hate	hate	hate
him	him	him
,	,	,
you	you	you
are	are	are
allowed	allow	allowed
to	to	to
tell	tell	tell
the	the	the
president	presid	president
how	how	how
you	you	you
feel	feel	feel
about	about	about
him	him	him
,	,	,
whether	whether	whether
it	it	it
s	s	s
President	presid	President
Obama	obama	Obama
or	or	or
President	presid	President
Trump	trump	Trump
.	.	.

That	that	That
s	s	s
one	one	one
of	of	of
our	our	our
core	core	core
ideals	ideal	ideal
.	.	.

HER	her	HER
15	15	15
MINUTES	minut	MINUTES
OF	of	OF
FAME	fame	FAME
This	this	This
woman	woman	woman
is	is	is
definitely	definit	definitely
getting	get	getting
her	her	her
15	15	15
minutes	minut	minute
of	of	of
fame	fame	fame
.	.	.

She	she	She
appeared	appear	appeared
on	on	on
MSNBC	msnbc	MSNBC
on	on	on
Wednesday	wednesday	Wednesday
to	to	to
discuss	discuss	discus
why	whi	why
she	she	she
gave	gave	gave
Trump	trump	Trump
the	the	the
finger	finger	finger
,	,	,
calling	call	calling
it	it	it
a	a	a
spur	spur	spur
-of-the-moment	-of-the-mo	-of-the-moment
decision	decis	decision
.	.	.

Lots	lot	Lots
of	of	of
things	thing	thing
were	were	were
going	go	going
through	through	through
my	my	my
mind	mind	mind
about	about	about
how	how	how
disappointed	disappoint	disappointed
I	i	I
am	am	am
with	with	with
this	this	this
administration	administr	administration
,	,	,
she	she	she
said	said	said
.	.	.

I	i	I
didn	didn	didn
t	t	t
really	realli	really
have	have	have
any	ani	any
other	other	other
way	way	way
to	to	to
express	express	express
my	my	my
opinion	opinion	opinion
to	to	to
Mr	mr	Mr
.	.	.
