After	after	After
being	be	being
fired	fire	fired
from	from	from
the	the	the
Trump	trump	Trump
campaign	campaign	campaign
,	,	,
Trump	trump	Trump
s	s	s
former	former	former
campaign	campaign	campaign
manager	manag	manager
Corey	corey	Corey
Lewandowski	lewandowski	Lewandowski
is	is	is
still	still	still
spreading	spread	spreading
hate	hate	hate
on	on	on
behalf	behalf	behalf
of	of	of
his	his	his
former	former	former
boss	boss	bos
.	.	.

This	this	This
time	time	time
,	,	,
when	when	when
asked	ask	asked
about	about	about
why	whi	why
Trump	trump	Trump
had	had	had
virtually	virtual	virtually
no	no	no
African	african	African
-Americans	-american	-Americans
at	at	at
a	a	a
rally	ralli	rally
where	where	where
he	he	he
was	was	wa
talking	talk	talking
about	about	about
African	african	African
-Americans	-american	-Americans
,	,	,
Lewandowski	lewandowski	Lewandowski
answered	answer	answered
that	that	that
it	it	it
would	would	would
be	be	be
too	too	too
dangerous	danger	dangerous
to	to	to
have	have	have
African	african	African
-Americans	-american	-Americans
in	in	in
the	the	the
crowd	crowd	crowd
.	.	.

As	as	As
a	a	a
campaign	campaign	campaign
manager	manag	manager
,	,	,
wouldn	wouldn	wouldn
t	t	t
you	you	you
want	want	want
your	your	your
candidate	candid	candidate
saying	say	saying
some	some	some
of	of	of
these	these	these
things	thing	thing
directly	direct	directly
to	to	to
the	the	the
people	peopl	people
he	he	he
s	s	s
supposedly	suppos	supposedly
addressing	address	addressing
?	?	?

Anderson	anderson	Anderson
Cooper	cooper	Cooper
asked	ask	asked
.	.	.

You	you	You
know	know	know
what	what	what
s	s	s
amazing	amaz	amazing
to	to	to
me	me	me
,	,	,
is	is	is
no	no	no
one	one	one
remembers	rememb	remembers
Donald	donald	Donald
Trump	trump	Trump
went	went	went
to	to	to
go	go	go
have	have	have
a	a	a
rally	ralli	rally
in	in	in
Chicago	chicago	Chicago
at	at	at
the	the	the
university	univers	university
,	,	,
responded	respond	responded
Lewandoski	lewandoski	Lewandoski
.	.	.

And	and	And
do	do	do
you	you	you
remember	rememb	remember
what	what	what
happened	happen	happened
?	?	?

It	it	It
was	was	wa
so	so	so
chaotic	chaotic	chaotic
,	,	,
and	and	and
it	it	it
was	was	wa
so	so	so
out	out	out
of	of	of
control	control	control
,	,	,
Secret	secret	Secret
Service	servic	Service
and	and	and
the	the	the
Chicago	chicago	Chicago
Police	polic	Police
Department	depart	Department
told	told	told
him	him	him
you	you	you
could	could	could
not	not	not
get	get	get
in	in	in
and	and	and
out	out	out
of	of	of
that	that	that
facility	facil	facility
safely	safe	safely
,	,	,
and	and	and
that	that	that
rally	ralli	rally
was	was	wa
canceled	cancel	canceled
.	.	.

And	and	And
you	you	you
showed	show	showed
the	the	the
footage	footag	footage
many	mani	many
times	time	time
of	of	of
the	the	the
individuals	individu	individual
who	who	who
attended	attend	attended
that	that	that
rally	ralli	rally
.	.	.

Donald	donald	Donald
Trump	trump	Trump
had	had	had
that	that	that
rally	ralli	rally
booked	book	booked
,	,	,
Lewandowski	lewandowski	Lewandowski
said	said	said
.	.	.

That	that	That
is	is	is
a	a	a
black	black	black
community	communiti	community
.	.	.

He	he	He
went	went	went
to	to	to
the	the	the
heart	heart	heart
of	of	of
Chicago	chicago	Chicago
to	to	to
go	go	go
and	and	and
give	give	give
a	a	a
speech	speech	speech
to	to	to
the	the	the
University	univers	University
of	of	of
Chicago	chicago	Chicago
in	in	in
a	a	a
campus	campus	campus
,	,	,
which	which	which
is	is	is
predominantly	predomin	predominantly
African	african	African
-American	-american	-American
,	,	,
to	to	to
make	make	make
that	that	that
argument	argument	argument
.	.	.

And	and	And
you	you	you
know	know	know
what	what	what
happened	happen	happened
?	?	?

The	the	The
campus	campus	campus
was	was	wa
overrun	overrun	overrun
,	,	,
and	and	and
it	it	it
was	was	wa
not	not	not
a	a	a
safe	safe	safe
environment	environ	environment
,	,	,
he	he	he
said	said	said
.	.	.
Source	sourc	Source
The	the	The
HillThe	hillth	HillThe
rally	ralli	rally
Lewandowski	lewandowski	Lewandowski
was	was	wa
speaking	speak	speaking
of	of	of
occurred	occur	occurred
in	in	in
Chicago	chicago	Chicago
in	in	in
March	march	March
or	or	or
rather	rather	rather
,	,	,
it	it	it
didn	didn	didn
t	t	t
occur	occur	occur
in	in	in
Chicago	chicago	Chicago
in	in	in
March	march	March
because	becaus	because
it	it	it
was	was	wa
shut	shut	shut
down	down	down
over	over	over
protests	protest	protest
.	.	.

The	the	The
largely	larg	largely
African	african	African
-American	-american	-American
protesters	protest	protester
objected	object	objected
to	to	to
the	the	the
violence	violenc	violence
that	that	that
has	has	ha
been	been	been
occurring	occur	occurring
at	at	at
Trump	trump	Trump
rallies	ralli	rally
,	,	,
but	but	but
I	i	I
guess	guess	guess
it	it	it
s	s	s
okay	okay	okay
if	if	if
white	white	white
people	peopl	people
are	are	are
violent	violent	violent
.	.	.
Here	here	Here
s	s	s
the	the	the
video	video	video
Trump	trump	Trump
,	,	,
who	who	who
has	has	ha
a	a	a
zero	zero	zero
percent	percent	percent
approval	approv	approval
rating	rate	rating
with	with	with
African	african	African
-Americans	-american	-Americans
,	,	,
is	is	is
trying	tri	trying
to	to	to
appear	appear	appear
less	less	le
racist	racist	racist
.	.	.

Lewandowski	lewandowski	Lewandowski
isn	isn	isn
t	t	t
helping	help	helping
,	,	,
but	but	but
to	to	to
be	be	be
fair	fair	fair
,	,	,
neither	neither	neither
is	is	is
Trump	trump	Trump
.	.	.

His	his	His
African	african	African
-American	-american	-American
outreach	outreach	outreach
has	has	ha
been	been	been
nothing	noth	nothing
but	but	but
empty	empti	empty
,	,	,
insulting	insult	insulting
attempts	attempt	attempt
at	at	at
