Donald	donald	Donald
Trump	trump	Trump
s	s	s
inner	inner	inner
circle	circl	circle
is	is	is
shattering	shatter	shattering
as	as	a
we	we	we
speak	speak	speak
.	.	.

Not	not	Not
only	onli	only
has	has	ha
White	white	White
House	hous	House
Press	press	Press
Secretary	secretari	Secretary
Sean	sean	Sean
Spicer	spicer	Spicer
resigned	resign	resigned
,	,	,
but	but	but
not	not	not
even	even	even
Trump	trump	Trump
s	s	s
legal	legal	legal
team	team	team
is	is	is
happy	happi	happy
with	with	with
him	him	him
.	.	.

And	and	And
if	if	if
there	there	there
s	s	s
one	one	one
group	group	group
of	of	of
people	peopl	people
Trump	trump	Trump
shouldn	shouldn	shouldn
t	t	t
want	want	want
to	to	to
p	p	p
ss	ss	s
off	off	off
right	right	right
now	now	now
,	,	,
it	it	it
s	s	s
his	his	his
lawyers	lawyer	lawyer
.	.	.

Unfortunately	unfortun	Unfortunately
,	,	,
Trump	trump	Trump
isn	isn	isn
t	t	t
very	veri	very
smart	smart	smart
.	.	.
The	the	The
New	new	New
York	york	York
Times	time	Times
has	has	ha
just	just	just
confirmed	confirm	confirmed
that	that	that
Trump	trump	Trump
s	s	s
legal	legal	legal
team	team	team
is	is	is
up	up	up
in	in	in
arms	arm	arm
over	over	over
the	the	the
fact	fact	fact
that	that	that
Trump	trump	Trump
wants	want	want
to	to	to
go	go	go
after	after	after
special	special	special
counsel	counsel	counsel
Robert	robert	Robert
Mueller	mueller	Mueller
.	.	.

In	in	In
an	an	an
interview	interview	interview
with	with	with
MSNBC	msnbc	MSNBC
,	,	,
Times	time	Times
reporter	report	reporter
Peter	peter	Peter
Baker	baker	Baker
stated	state	stated
that	that	that
Trump	trump	Trump
s	s	s
legal	legal	legal
team	team	team
was	was	wa
actually	actual	actually
trying	tri	trying
to	to	to
convince	convinc	convince
Trump	trump	Trump
to	to	to
leave	leav	leave
Mueller	mueller	Mueller
the	the	the
hell	hell	hell
alone	alon	alone
,	,	,
as	as	a
he	he	he
s	s	s
highly	high	highly
