Right	right	Right
-wingers	-winger	-wingers
everywhere	everywher	everywhere
have	have	have
been	been	been
trying	tri	trying
to	to	to
disprove	disprov	disprove
overwhelming	overwhelm	overwhelming
climate	climat	climate
science	scienc	science
that	that	that
shows	show	show
the	the	the
earth	earth	earth
is	is	is
warming	warm	warming
rapidly	rapid	rapidly
.	.	.

They	they	They
seem	seem	seem
to	to	to
believe	believ	believe
that	that	that
if	if	if
it	it	it
s	s	s
cold	cold	cold
outside	outsid	outside
,	,	,
well	well	well
,	,	,
then	then	then
the	the	the
earth	earth	earth
isn	isn	isn
t	t	t
actually	actual	actually
warming	warm	warming
.	.	.
Breitbart	breitbart	Breitbart
news	news	news
is	is	is
no	no	no
different	differ	different
,	,	,
and	and	and
they	they	they
decided	decid	decided
to	to	to
try	tri	try
to	to	to
use	use	use
a	a	a
video	video	video
from	from	from
The	the	The
Weather	weather	Weather
Channel	channel	Channel
to	to	to
disprove	disprov	disprove
climate	climat	climate
change	chang	change
and	and	and
wrote	wrote	wrote
an	an	an
entire	entir	entire
article	articl	article
touting	tout	touting
claims	claim	claim
that	that	that
we	we	we
re	re	re
not	not	not
actually	actual	actually
warming	warm	warming
.	.	.

However	howev	However
,	,	,
The	the	The
Weather	weather	Weather
Channel	channel	Channel
just	just	just
struck	struck	struck
back	back	back
and	and	and
responded	respond	responded
with	with	with
their	their	their
own	own	own
article	articl	article
titled	titl	titled
,	,	,
Note	note	Note
to	to	to
Breitbart	breitbart	Breitbart
Earth	earth	Earth
Is	is	Is
Not	not	Not
Cooling	cool	Cooling
,	,	,
Climate	climat	Climate
Change	chang	Change
Is	is	Is
Real	real	Real
and	and	and
Please	pleas	Please
Stop	stop	Stop
Using	use	Using
Our	our	Our
Video	video	Video
to	to	to
Mislead	mislead	Mislead
Americans	american	Americans
.	.	.

Note	note	Note
to	to	to
@BreitbartNews	@breitbartnew	@BreitbartNews
Earth	earth	Earth
Is	is	Is
Not	not	Not
Cooling	cool	Cooling
,	,	,
Climate	climat	Climate
Change	chang	Change
Is	is	Is
Real	real	Real
and	and	and
Stop	stop	Stop
Using	use	Using
Our	our	Our
Video	video	Video
to	to	to
Mislead	mislead	Mislead
Americans	american	Americans
https://t.co/ipP0fD2BEg	https://t.co/ipp0fd2beg	https://t.co/ipP0fD2BEg
pic.twitter.com/ypSMJ4eML6	pic.twitter.com/ypsmj4eml6	pic.twitter.com/ypSMJ4eML6
The	the	The
Weather	weather	Weather
Channel	channel	Channel
@weatherchannel	@weatherchannel	@weatherchannel
December	decemb	December
6	6	6
,	,	,
2016	2016	2016
Note	note	Note
to	to	to
Breitbart	breitbart	Breitbart
Earth	earth	Earth
Is	is	Is
Not	not	Not
Cooling	cool	Cooling
,	,	,
Climate	climat	Climate
Change	chang	Change
Is	is	Is
Real	real	Real
https://t.co/UfjMoFuiRq	https://t.co/ufjmofuirq	https://t.co/UfjMoFuiRq
The	the	The
Weather	weather	Weather
Channel	channel	Channel
@weatherchannel	@weatherchannel	@weatherchannel
December	decemb	December
6	6	6
,	,	,
2016What	2016what	2016What
s	s	s
actually	actual	actually
more	more	more
horrifying	horrifi	horrifying
than	than	than
Breitbart	breitbart	Breitbart
trying	tri	trying
to	to	to
purposefully	purpos	purposefully
misinform	misinform	misinform
people	peopl	people
is	is	is
that	that	that
the	the	the
House	hous	House
Committee	committe	Committee
on	on	on
Science	scienc	Science
,	,	,
Space	space	Space
,	,	,
and	and	and
Technology	technolog	Technology
actually	actual	actually
tweeted	tweet	tweeted
the	the	the
Breitbart	breitbart	Breitbart
article	articl	article
,	,	,
giving	give	giving
it	it	it
credit	credit	credit
where	where	where
absolutely	absolut	absolutely
no	no	no
credit	credit	credit
was	was	wa
due	due	due
.	.	.
.	.	.
@BreitbartNews	@breitbartnew	@BreitbartNews
Global	global	Global
Temperatures	temperatur	Temperatures
Plunge	plung	Plunge
.	.	.

Icy	ici	Icy
Silence	silenc	Silence
from	from	from
Climate	climat	Climate
Alarmists	alarmist	Alarmists
https://t.co/uLUPW4o93V	https://t.co/ulupw4o93v	https://t.co/uLUPW4o93V
Sci	sci	Sci
,	,	,
Space	space	Space
,	,	,
Tech	tech	Tech
Cmte	cmte	Cmte
@HouseScience	@housesci	@HouseScience
December	decemb	December
1	1	1
,	,	,
2016The	2016the	2016The
Weather	weather	Weather
Channel	channel	Channel
then	then	then
when	when	when
through	through	through
claim	claim	claim
by	by	by
claim	claim	claim
made	made	made
and	and	and
thoroughly	thorough	thoroughly
debunked	debunk	debunked
the	the	the
misinformation	misinform	misinformation
,	,	,
and	and	and
even	even	even
said	said	said
Here	here	Here
s	s	s
the	the	the
thing	thing	thing
,	,	,
science	scienc	science
doesn	doesn	doesn
t	t	t
care	care	care
about	about	about
your	your	your
opinion	opinion	opinion
.	.	.

Cherrypicking	cherrypick	Cherrypicking
and	and	and
changing	chang	changing
the	the	the
facts	fact	fact
will	will	will
not	not	not
change	chang	change
the	the	the
future	futur	future
,	,	,
nor	nor	nor
the	the	the
fact	fact	fact
,	,	,
note	note	note
fact	fact	fact
,	,	,
not	not	not
opinion	opinion	opinion
,	,	,
the	the	the
earth	earth	earth
is	is	is
warming	warm	warming
.	.	.

Here	here	Here
are	are	are
the	the	the
debunked	debunk	debunked
claims	claim	claim
CLAIM	claim	CLAIM
Global	global	Global
land	land	land
temperatures	temperatur	temperature
have	have	have
plummeted	plummet	plummeted
by	by	by
one	one	one
degree	degre	degree
Celsius	celsius	Celsius
since	sinc	since
the	the	the
middle	middl	middle
of	of	of
this	this	this
year	year	year
the	the	the
biggest	biggest	biggest
and	and	and
steepest	steepest	steepest
fall	fall	fall
on	on	on
record	record	record
.	.	.

TRUTH	truth	TRUTH
This	this	This
number	number	number
comes	come	come
from	from	from
one	one	one
satellite	satellit	satellite
-based	-base	-based
estimate	estim	estimate
of	of	of
temperatures	temperatur	temperature
above	abov	above
land	land	land
areas	area	area
in	in	in
the	the	the
lower	lower	lower
atmosphere	atmospher	atmosphere
.	.	.

Data	data	Data
from	from	from
the	the	the
other	other	other
two	two	two
groups	group	group
that	that	that
regularly	regular	regularly
publish	publish	publish
satellite	satellit	satellite
-based	-base	-based
temperature	temperatur	temperature
estimates	estim	estimate
show	show	show
smaller	smaller	smaller
drops	drop	drop
,	,	,
more	more	more
typical	typic	typical
of	of	of
the	the	the
decline	declin	decline
one	one	one
would	would	would
expect	expect	expect
after	after	after
a	a	a
strong	strong	strong
El	el	El
Ni	ni	Ni
o	o	o
event	event	event
.	.	.
Temperatures	temperatur	Temperatures
over	over	over
land	land	land
give	give	give
an	an	an
incomplete	incomplet	incomplete
picture	pictur	picture
of	of	of
global	global	global
-scale	-scale	-scale
temperature	temperatur	temperature
.	.	.

Most	most	Most
of	of	of
the	the	the
planet	planet	planet
about	about	about
70	70	70
percent	percent	percent
is	is	is
covered	cover	covered
by	by	by
water	water	water
,	,	,
and	and	and
the	the	the
land	land	land
surface	surfac	surface
warms	warm	warms
and	and	and
cools	cool	cool
more	more	more
quickly	quick	quickly
than	than	than
the	the	the
ocean	ocean	ocean
.	.	.

Land	land	Land
-plus-ocean	-plus-ocean	-plus-ocean
data	data	data
from	from	from
the	the	the
other	other	other
two	two	two
satellite	satellit	satellite
groups	group	group
,	,	,
released	releas	released
after	after	after
the	the	the
Breitbart	breitbart	Breitbart
article	articl	article
,	,	,
show	show	show
that	that	that
Earth	earth	Earth
s	s	s
lower	lower	lower
atmosphere	atmospher	atmosphere
actually	actual	actually
set	set	set
a	a	a
record	record	record
high	high	high
in	in	in
November	novemb	November
2016	2016	2016
.	.	.
CLAIM	claim	CLAIM
It	it	It
can	can	can
be	be	be
argued	argu	argued
that	that	that
without	without	without
the	the	the
El	el	El
Ni	ni	Ni
o	o	o
and	and	and
the	the	the
so	so	so
-called	-call	-called
Pacific	pacif	Pacific
Blob	blob	Blob
2014	2014	2014
-2016	-2016	-2016
would	would	would
not	not	not
have	have	have
been	been	been
record	record	record
warm	warm	warm
years	year	year
.	.	.

David	david	David
Whitehouse	whitehous	Whitehouse
,	,	,
Global	global	Global
Warming	warm	Warming
Policy	polici	Policy
Foundation	foundat	Foundation
,	,	,
quoted	quot	quoted
by	by	by
Breitbart	breitbart	Breitbart
TRUTH	truth	TRUTH
NOAA	noaa	NOAA
data	data	data
show	show	show
that	that	that
the	the	the
2014	2014	2014
-16	-16	-16
El	el	El
Ni	ni	Ni
o	o	o
did	did	did
not	not	not
even	even	even
begin	begin	begin
until	until	until
October	octob	October
2014	2014	2014
.	.	.

It	it	It
was	was	wa
a	a	a
borderline	borderlin	borderline
event	event	event
until	until	until
mid	mid	mid
-2015	-2015	-2015
,	,	,
barely	bare	barely
above	abov	above
the	the	the
El	el	El
Ni	ni	Ni
o	o	o
threshold	threshold	threshold
.	.	.

El	el	El
Ni	ni	Ni
o	o	o
clearly	clear	clearly
added	ad	added
to	to	to
the	the	the
strength	strength	strength
of	of	of
the	the	the
record	record	record
global	global	global
warmth	warmth	warmth
observed	observ	observed
since	sinc	since
late	late	late
2015	2015	2015
.	.	.

However	howev	However
,	,	,
if	if	if
the	the	the
El	el	El
Ni	ni	Ni
o	o	o
spike	spike	spike
is	is	is
removed	remov	removed
,	,	,
2016	2016	2016
is	is	is
still	still	still
the	the	the
warmest	warmest	warmest
year	year	year
on	on	on
record	record	record
and	and	and
2015	2015	2015
the	the	the
second	second	second
warmest	warmest	warmest
,	,	,
according	accord	according
to	to	to
climate	climat	climate
scientist	scientist	scientist
Zeke	zeke	Zeke
Hausfather	hausfath	Hausfather
Berkeley	berkeley	Berkeley
Earth	earth	Earth
.	.	.
CLAIM	claim	CLAIM
Many	mani	Many
think	think	think
that	that	that
2017	2017	2017
will	will	will
be	be	be
cooler	cooler	cooler
than	than	than
previous	previous	previous
years	year	year
.	.	.

Myles	myle	Myles
Allen	allen	Allen
of	of	of
Oxford	oxford	Oxford
University	univers	University
says	say	say
that	that	that
by	by	by
the	the	the
time	time	time
of	of	of
the	the	the
next	next	next
big	big	big
United	unit	United
Nations	nation	Nations
climate	climat	climate
conference	confer	conference
,	,	,
global	global	global
temperatures	temperatur	temperature
are	are	are
likely	like	likely
to	to	to
be	be	be
no	no	no
warmer	warmer	warmer
than	than	than
the	the	the
Paris	pari	Paris
COP	cop	COP
in	in	in
2015	2015	2015
.	.	.

This	this	This
would	would	would
be	be	be
a	a	a
strange	strang	strange
thing	thing	thing
to	to	to
happen	happen	happen
if	if	if
,	,	,
as	as	a
some	some	some
climate	climat	climate
scientists	scientist	scientist
have	have	have
claimed	claim	claimed
,	,	,
recent	recent	recent
years	year	year
would	would	would
have	have	have
been	been	been
a	a	a
record	record	record
even	even	even
without	without	without
the	the	the
El	el	El
Ni	ni	Ni
o	o	o
.	.	.

David	david	David
Rose	rose	Rose
,	,	,
U	u	U
.	.	.
K	k	K
.	.	.
Daily	daili	Daily
Mail	mail	Mail
,	,	,
quoted	quot	quoted
by	by	by
Breitbart	breitbart	Breitbart
TRUTH	truth	TRUTH
There	there	There
is	is	is
nothing	noth	nothing
unusual	unusu	unusual
about	about	about
a	a	a
drop	drop	drop
in	in	in
global	global	global
surface	surfac	surface
temperatures	temperatur	temperature
when	when	when
going	go	going
from	from	from
El	el	El
Ni	ni	Ni
o	o	o
to	to	to
La	la	La
Nina	nina	Nina
.	.	.

These	these	These
ups	up	ups
and	and	and
downs	down	down
occur	occur	occur
on	on	on
top	top	top
of	of	of
the	the	the
long	long	long
-term	-term	-term
warming	warm	warming
trend	trend	trend
that	that	that
remains	remain	remains
when	when	when
the	the	the
El	el	El
Ni	ni	Ni
o	o	o
and	and	and
La	la	La
Ni	ni	Ni
a	a	a
signals	signal	signal
are	are	are
removed	remov	removed
.	.	.

If	if	If
there	there	there
were	were	were
no	no	no
long	long	long
-term	-term	-term
trend	trend	trend
,	,	,
then	then	then
we	we	we
would	would	would
see	see	see
global	global	global
record	record	record
lows	low	low
occurring	occur	occurring
during	dure	during
the	the	the
strongest	strongest	strongest
La	la	La
Ni	ni	Ni
a	a	a
events	event	event
.	.	.

However	howev	However
,	,	,
the	the	the
last	last	last
year	year	year
to	to	to
see	see	see
global	global	global
temperatures	temperatur	temperature
hit	hit	hit
a	a	a
record	record	record
low	low	low
was	was	wa
1911	1911	1911
,	,	,
and	and	and
the	the	the
most	most	most
recent	recent	recent
year	year	year
that	that	that
fell	fell	fell
below	below	below
the	the	the
20th	20th	20th
-century	-centuri	-century
average	averag	average
was	was	wa
1976	1976	1976
.	.	.
Watch	watch	Watch
the	the	the
full	full	full
video	video	video
and	and	and
breakdown	breakdown	breakdown
from	from	from
The	the	The
Weather	weather	Weather
Channel	channel	Channel
HERE	here	HERE
.	.	.
As	as	As
horrible	horribl	horrible
as	as	a
all	all	all
of	of	of
this	this	this
is	is	is
,	,	,
it	it	it
s	s	s
actually	actual	actually
kind	kind	kind
of	of	of
hilarious	hilari	hilarious
that	that	that
The	the	The
Weather	weather	Weather
Channel	channel	Channel
so	so	so
thoroughly	thorough	thoroughly
threw	threw	threw
Breitbart	breitbart	Breitbart
under	under	under
the	the	the
bus	bus	bus
.	.	.

They	they	They
deserve	deserv	deserve
to	to	to
be	be	be
condemned	condemn	condemned
and	and	and
the	the	the
fact	fact	fact
remains	remain	remains
that	that	that
Climate	climat	Climate
Change	chang	Change
is	is	is
absolutely	absolut	absolutely
real	real	real
and	and	and
we	we	we
need	need	need
to	to	to
start	start	start
doing	do	doing
more	more	more
to	to	to
combat	combat	combat
it	it	it
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
The	the	The
Weather	weather	Weather
Channel	channel	Channel
screen	screen	screen
capture	captur	capture

