During	dure	During
her	her	her
time	time	time
in	in	in
the	the	the
White	white	White
House	hous	House
,	,	,
First	first	First
Lady	ladi	Lady
Michelle	michell	Michelle
Obama	obama	Obama
has	has	ha
championed	champion	championed
so	so	so
many	mani	many
important	import	important
causes	caus	cause
many	mani	many
of	of	of
them	them	them
geared	gear	geared
toward	toward	toward
helping	help	helping
children	children	child
and	and	and
women	women	woman
around	around	around
the	the	the
world	world	world
.	.	.
One	one	One
of	of	of
these	these	these
crucial	crucial	crucial
initiatives	initi	initiative
,	,	,
launched	launch	launched
last	last	last
year	year	year
,	,	,
was	was	wa
Let	let	Let
Girls	girl	Girls
Learn	learn	Learn
an	an	an
effort	effort	effort
to	to	to
educate	educ	educate
teenage	teenag	teenage
girls	girl	girl
.	.	.

This	this	This
effort	effort	effort
was	was	wa
backed	back	backed
by	by	by
studies	studi	study
that	that	that
showed	show	showed
that	that	that
when	when	when
women	women	woman
and	and	and
girls	girl	girl
are	are	are
educated	educ	educated
,	,	,
a	a	a
nation	nation	nation
s	s	s
economy	economi	economy
rises	rise	rise
.	.	.

In	in	In
an	an	an
interview	interview	interview
with	with	with
a	a	a
U	u	U
.	.	.
S	s	S
.	.	.
Agency	agenc	Agency
for	for	for
International	intern	International
Development	develop	Development
publication	public	publication
,	,	,
Michelle	michell	Michelle
said	said	said
Studies	studi	Studies
from	from	from
the	the	the
World	world	World
Bank	bank	Bank
show	show	show
that	that	that
one	one	one
extra	extra	extra
year	year	year
of	of	of
secondary	secondari	secondary
school	school	school
can	can	can
increase	increas	increase
a	a	a
girl	girl	girl
s	s	s
future	futur	future
income	incom	income
by	by	by
15	15	15
to	to	to
25	25	25
percent	percent	percent
.	.	.

And	and	And
we	we	we
know	know	know
that	that	that
when	when	when
girls	girl	girl
are	are	are
educated	educ	educated
,	,	,
they	they	they
are	are	are
less	less	le
likely	like	likely
to	to	to
contract	contract	contract
HIV	hiv	HIV
,	,	,
more	more	more
likely	like	likely
to	to	to
delay	delay	delay
childbearing	childbear	childbearing
and	and	and
vaccinate	vaccin	vaccinate
their	their	their
children	children	child
,	,	,
and	and	and
have	have	have
lower	lower	lower
maternal	matern	maternal
and	and	and
infant	infant	infant
mortality	mortal	mortality
rates	rate	rate
.	.	.

Research	research	Research
even	even	even
shows	show	show
that	that	that
sending	send	sending
more	more	more
girls	girl	girl
to	to	to
school	school	school
can	can	can
boost	boost	boost
an	an	an
entire	entir	entire
country	countri	country
s	s	s
GDP	gdp	GDP
.	.	.

The	the	The
link	link	link
between	between	between
the	the	the
education	educ	education
of	of	of
girls	girl	girl
and	and	and
a	a	a
nation	nation	nation
s	s	s
GDP	gdp	GDP
has	has	ha
been	been	been
made	made	made
before	befor	before
and	and	and
thanks	thank	thanks
to	to	to
an	an	an
analysis	analysi	analysis
by	by	by
Politifact	politifact	Politifact
,	,	,
we	we	we
now	now	now
know	know	know
that	that	that
there	there	there
s	s	s
a	a	a
lot	lot	lot
of	of	of
truth	truth	truth
to	to	to
that	that	that
statement	statement	statement
.	.	.
According	accord	According
to	to	to
research	research	research
,	,	,
when	when	when
there	there	there
are	are	are
more	more	more
girls	girl	girl
in	in	in
school	school	school
,	,	,
there	there	there
is	is	is
a	a	a
higher	higher	higher
gross	gross	gross
domestic	domest	domestic
product	product	product
although	although	although
there	there	there
is	is	is
some	some	some
uncertainty	uncertainti	uncertainty
if	if	if
it	it	it
s	s	s
a	a	a
stronger	stronger	stronger
economy	economi	economy
that	that	that
results	result	result
in	in	in
more	more	more
girls	girl	girl
being	be	being
educated	educ	educated
,	,	,
or	or	or
if	if	if
having	have	having
more	more	more
girls	girl	girl
in	in	in
school	school	school
leads	lead	lead
to	to	to
the	the	the
rise	rise	rise
of	of	of
a	a	a
nation	nation	nation
s	s	s
economy	economi	economy
.	.	.

One	one	One
policy	polici	policy
report	report	report
from	from	from
the	the	the
World	world	World
Bank	bank	Bank
said	said	said
By	by	By
effectively	effect	effectively
educating	educ	educating
more	more	more
women	women	woman
that	that	that
is	is	is
,	,	,
providing	provid	providing
more	more	more
women	women	woman
with	with	with
a	a	a
high	high	high
-quality	-qualiti	-quality
education	educ	education
more	more	more
will	will	will
enter	enter	enter
the	the	the
labor	labor	labor
market	market	market
,	,	,
and	and	and
the	the	the
economy	economi	economy
will	will	will
show	show	show
the	the	the
favorable	favor	favorable
results	result	result
.	.	.

Although	although	Although
educating	educ	educating
girls	girl	girl
has	has	ha
been	been	been
shown	shown	shown
to	to	to
improve	improv	improve
the	the	the
economy	economi	economy
,	,	,
this	this	this
doesn	doesn	doesn
t	t	t
account	account	account
for	for	for
any	ani	any
obstacles	obstacl	obstacle
women	women	woman
might	might	might
encounter	encount	encounter
even	even	even
if	if	if
they	they	they
are	are	are
educated	educ	educated
.	.	.

Sexism	sexism	Sexism
and	and	and
gender	gender	gender
inequality	inequ	inequality
can	can	can
still	still	still
have	have	have
an	an	an
impact	impact	impact
on	on	on
the	the	the
economy	economi	economy
even	even	even
as	as	a
efforts	effort	effort
are	are	are
made	made	made
to	to	to
put	put	put
more	more	more
girls	girl	girl
in	in	in
school	school	school
and	and	and
give	give	give
them	them	them
more	more	more
resources	resourc	resource
and	and	and
opportunities	opportun	opportunity
.	.	.

According	accord	According
to	to	to
a	a	a
2009	2009	2009
article	articl	article
in	in	in
the	the	the
journal	journal	journal
Feminist	feminist	Feminist
Economics	econom	Economics
,	,	,
the	the	the
economic	econom	economic
benefit	benefit	benefit
will	will	will
be	be	be
lost	lost	lost
if	if	if
companies	compani	company
refuse	refus	refuse
to	to	to
hire	hire	hire
educated	educ	educated
girls	girl	girl
.	.	.
However	howev	However
,	,	,
the	the	the
gains	gain	gain
of	of	of
educating	educ	educating
girls	girl	girl
are	are	are
far	far	far
more	more	more
than	than	than
any	ani	any
roadblocks	roadblock	roadblock
they	they	they
may	may	may
encounter	encount	encounter
.	.	.

Education	educ	Education
allows	allow	allows
girls	girl	girl
to	to	to
make	make	make
informed	inform	informed
decisions	decis	decision
about	about	about
their	their	their
lives	live	life
and	and	and
allows	allow	allows
them	them	them
to	to	to
contribute	contribut	contribute
to	to	to
and	and	and
help	help	help
improve	improv	improve
society	societi	society
.	.	.

Michelle	michell	Michelle
was	was	wa
dead	dead	dead
on	on	on
when	when	when
she	she	she
said	said	said
We	we	We
need	need	need
to	to	to
get	get	get
these	these	these
girls	girl	girl
into	into	into
school	school	school
,	,	,
because	becaus	because
we	we	we
know	know	know
that	that	that
education	educ	education
is	is	is
the	the	the
single	singl	single
-most	-most	-most
important	import	important
stepping	step	stepping
stone	stone	stone
to	to	to
power	power	power
,	,	,
to	to	to
freedom	freedom	freedom
,	,	,
and	and	and
to	to	to
equality	equal	equality
.	.	.

Featured	featur	Featured
image	imag	image
via	via	via
Jeff	jeff	Jeff
J	j	J
Mitchell	mitchel	Mitchell
Getty	getti	Getty
Images	imag	Images

