THIRTEEN	thirteen	THIRTEEN
REASONS	reason	REASONS
TO	to	TO
DECLARE	declar	DECLARE
MUSLIM	muslim	MUSLIM
BROTHERHOOD	brotherhood	BROTHERHOOD
A	a	A
TERRORIST	terrorist	TERRORIST
ORGANIZATION	organ	ORGANIZATION
HERE	here	HERE
S	s	S
REASON	reason	REASON
NUMBER	number	NUMBER
1	1	1
PLEASE	pleas	PLEASE
GO	go	GO
TO	to	TO
THE	the	THE
LINK	link	LINK
ABOVE	abov	ABOVE
FOR	for	FOR
THE	the	THE
COMPLETE	complet	COMPLETE
LIST1	list1	LIST1
.	.	.
The	the	The
motto	motto	motto
and	and	and
logo	logo	logo
of	of	of
the	the	the
Muslim	muslim	Muslim
Brotherhood	brotherhood	Brotherhood
speak	speak	speak
for	for	for
themselves	themselv	themselves
.	.	.
The	the	The
motto	motto	motto
is	is	is
Allah	allah	Allah
is	is	is
our	our	our
objective	object	objective
.	.	.
The	the	The
Prophet	prophet	Prophet
is	is	is
our	our	our
leader	leader	leader
.	.	.
The	the	The
Qur	qur	Qur
an	an	an
is	is	is
our	our	our
law	law	law
.	.	.
Jihad	jihad	Jihad
is	is	is
our	our	our
way	way	way
.	.	.
Dying	die	Dying
in	in	in
the	the	the
way	way	way
of	of	of
Allah	allah	Allah
is	is	is
our	our	our
highest	highest	highest
hope	hope	hope
.	.	.
Allah	allah	Allah
is	is	is
greater	greater	greater
!	!	!
.	.	.
The	the	The
logo	logo	logo
includes	includ	includes
crossed	cross	crossed
swords	sword	sword
and	and	and
the	the	the
Quran	quran	Quran
emblazoned	emblazon	emblazoned
across	across	across
the	the	the
Earth	earth	Earth
.	.	.
Below	below	Below
the	the	the
swords	sword	sword
is	is	is
the	the	the
Arabic	arab	Arabic
word	word	word
for	for	for
prepare	prepar	prepare
,	,	,
which	which	which
is	is	is
pulled	pull	pulled
from	from	from
Quran	quran	Quran
8	8	8
60	60	60
on	on	on
the	the	the
spoils	spoil	spoil
of	of	of
war	war	war
