While	while	While
it	it	it
s	s	s
certainly	certain	certainly
not	not	not
true	true	true
that	that	that
Donald	donald	Donald
Trump	trump	Trump
will	will	will
have	have	have
the	the	the
least	least	least
diverse	divers	diverse
cabinet	cabinet	cabinet
in	in	in
history	histori	history
.	.	.

Hell	hell	Hell
,	,	,
before	befor	before
a	a	a
generation	generat	generation
or	or	or
so	so	so
ago	ago	ago
,	,	,
it	it	it
was	was	wa
rare	rare	rare
to	to	to
see	see	see
women	women	woman
or	or	or
People	peopl	People
of	of	of
Color	color	Color
in	in	in
positions	posit	position
of	of	of
authority	author	authority
,	,	,
but	but	but
it	it	it
s	s	s
2016	2016	2016
.	.	.

The	the	The
culture	cultur	culture
is	is	is
changing	chang	changing
and	and	and
skin	skin	skin
color	color	color
and	and	and
gender	gender	gender
and	and	and
religion	religion	religion
and	and	and
sexual	sexual	sexual
orientation	orient	orientation
shouldn	shouldn	shouldn
t	t	t
matter	matter	matter
at	at	at
all	all	all
.	.	.
Judging	judg	Judging
by	by	by
the	the	the
looks	look	look
of	of	of
his	his	his
cabinet	cabinet	cabinet
nominees	nomine	nominee
so	so	so
far	far	far
,	,	,
Trump	trump	Trump
s	s	s
administration	administr	administration
will	will	will
be	be	be
the	the	the
least	least	least
diverse	divers	diverse
since	sinc	since
Bush	bush	Bush
George	georg	George
H	h	H
.	.	.
W	w	W
.	.	.
Bush	bush	Bush
.	.	.
Trump	trump	Trump
,	,	,
or	or	or
more	more	more
likely	like	likely
,	,	,
someone	someon	someone
working	work	working
for	for	for
Trump	trump	Trump
,	,	,
knows	know	know
that	that	that
he	he	he
needs	need	need
to	to	to
offer	offer	offer
at	at	at
least	least	least
some	some	some
diversity	divers	diversity
,	,	,
especially	especi	especially
with	with	with
the	the	the
enemies	enemi	enemy
he	he	he
s	s	s
made	made	made
in	in	in
the	the	the
Latino	latino	Latino
community	communiti	community
with	with	with
his	his	his
wall	wall	wall
rhetoric	rhetor	rhetoric
in	in	in
the	the	the
campaign	campaign	campaign
.	.	.

The	the	The
problem	problem	problem
is	is	is
,	,	,
though	though	though
,	,	,
he	he	he
can	can	can
t	t	t
find	find	find
any	ani	any
in	in	in
a	a	a
country	countri	country
with	with	with
about	about	about
57	57	57
million	million	million
Latinos	latino	Latinos
and	and	and
Hispanics	hispan	Hispanics
.	.	.

I	i	I
can	can	can
tell	tell	tell
you	you	you
now	now	now
I	i	I
have	have	have
spoken	spoken	spoken
to	to	to
numerous	numer	numerous
folks	folk	folk
on	on	on
the	the	the
transition	transit	transition
,	,	,
and	and	and
they	they	they
say	say	say
that	that	that
he	he	he
s	s	s
absolutely	absolut	absolutely
looking	look	looking
for	for	for
qualified	qualifi	qualified
Latinos	latino	Latinos
for	for	for
a	a	a
Cabinet	cabinet	Cabinet
post	post	post
,	,	,
said	said	said
Mario	mario	Mario
Rodriguez	rodriguez	Rodriguez
,	,	,
head	head	head
of	of	of
the	the	the
Latino	latino	Latino
PAC	pac	PAC
Hispanic	hispan	Hispanic
100	100	100
.	.	.

Rodriguez	rodriguez	Rodriguez
,	,	,
who	who	who
sits	sit	sits
on	on	on
Trump	trump	Trump
s	s	s
Hispanic	hispan	Hispanic
advisory	advisori	advisory
committee	committe	committee
,	,	,
said	said	said
transition	transit	transition
officials	offici	official
have	have	have
asked	ask	asked
him	him	him
for	for	for
recommendations	recommend	recommendation
and	and	and
they	they	they
gave	gave	gave
him	him	him
positive	posit	positive
feedback	feedback	feedback
about	about	about
Trump	trump	Trump
s	s	s
prior	prior	prior
meetings	meet	meeting
with	with	with
Hispanic	hispan	Hispanic
candidates	candid	candidate
.	.	.

I	i	I
think	think	think
some	some	some
appointments	appoint	appointment
are	are	are
going	go	going
to	to	to
be	be	be
pretty	pretti	pretty
quick	quick	quick
.	.	.

President	presid	President
-elect	-elect	-elect
Trump	trump	Trump
was	was	wa
very	veri	very
impressed	impress	impressed
by	by	by
the	the	the
candidates	candid	candidate
.	.	.

He	he	He
wants	want	want
to	to	to
put	put	put
a	a	a
Latino	latino	Latino
in	in	in
the	the	the
Cabinet	cabinet	Cabinet
,	,	,
he	he	he
s	s	s
not	not	not
doing	do	doing
it	it	it
just	just	just
for	for	for
show	show	show
.	.	.

Source	sourc	Source
PoliticoTrump	politicotrump	PoliticoTrump
is	is	is
trying	tri	trying
to	to	to
fill	fill	fill
the	the	the
position	posit	position
of	of	of
Agriculture	agricultur	Agriculture
Secretary	secretari	Secretary
with	with	with
a	a	a
Latino	latino	Latino
and	and	and
he	he	he
s	s	s
receiving	receiv	receiving
a	a	a
lot	lot	lot
of	of	of
backlash	backlash	backlash
from	from	from
his	his	his
farmer	farmer	farmer
supporters	support	supporter
.	.	.

According	accord	According
to	to	to
Politico	politico	Politico
,	,	,
the	the	the
farmers	farmer	farmer
don	don	don
t	t	t
want	want	want
it	it	it
to	to	to
be	be	be
a	a	a
political	polit	political
pick	pick	pick
.	.	.

Of	of	Of
course	cours	course
,	,	,
they	they	they
are	are	are
Trump	trump	Trump
supporters	support	supporter
,	,	,
so	so	so
there	there	there
s	s	s
a	a	a
better	better	better
than	than	than
even	even	even
chance	chanc	chance
they	they	they
don	don	don
t	t	t
like	like	like
the	the	the
idea	idea	idea
of	of	of
someone	someon	someone
with	with	with
brown	brown	brown
skin	skin	skin
determining	determin	determining
farm	farm	farm
policy	polici	policy
,	,	,
especially	especi	especially
after	after	after
Trump	trump	Trump
said	said	said
he	he	he
wants	want	want
to	to	to
deport	deport	deport
Latinos	latino	Latinos
.	.	.
Part	part	Part
of	of	of
the	the	the
problem	problem	problem
is	is	is
that	that	that
Trump	trump	Trump
is	is	is
looking	look	looking
for	for	for
a	a	a
qualified	qualifi	qualified
Latino	latino	Latino
to	to	to
take	take	take
the	the	the
position	posit	position
.	.	.

There	there	There
s	s	s
no	no	no
doubt	doubt	doubt
there	there	there
are	are	are
plenty	plenti	plenty
,	,	,
but	but	but
few	few	few
who	who	who
likely	like	likely
share	share	share
his	his	his
political	polit	political
beliefs	belief	belief
.	.	.

Still	still	Still
,	,	,
it	it	it
s	s	s
weird	weird	weird
that	that	that
he	he	he
should	should	should
look	look	look
for	for	for
qualified	qualifi	qualified
now	now	now
.	.	.

His	his	His
current	current	current
picks	pick	pick
are	are	are
some	some	some
of	of	of
the	the	the
least	least	least
qualified	qualifi	qualified
to	to	to
ever	ever	ever
serve	serv	serve
office	offic	office
remember	rememb	remember
,	,	,
Rick	rick	Rick
Perry	perri	Perry
,	,	,
who	who	who
has	has	ha
just	just	just
a	a	a
Bachelor	bachelor	Bachelor
s	s	s
Degree	degre	Degree
and	and	and
nearly	near	nearly
flunked	flunk	flunked
a	a	a
class	class	class
called	call	called
meats	meat	meat
,	,	,
is	is	is
slated	slate	slated
to	to	to
be	be	be
Energy	energi	Energy
Secretary	secretari	Secretary
and	and	and
Ben	ben	Ben
Carson	carson	Carson
,	,	,
who	who	who
is	is	is
a	a	a
doctor	doctor	doctor
,	,	,
a	a	a
medical	medic	medical
doctor	doctor	doctor
,	,	,
will	will	will
serve	serv	serve
as	as	a
Director	director	Director
of	of	of
Housing	hous	Housing
and	and	and
Urban	urban	Urban
Development	develop	Development
just	just	just
as	as	a
he	he	he
is	is	is
among	among	among
the	the	the
least	least	least
qualified	qualifi	qualified
who	who	who
will	will	will
ever	ever	ever
serve	serv	serve
in	in	in
the	the	the
Office	offic	Office
of	of	of
the	the	the
Presidency	presid	Presidency
.	.	.
Even	even	Even
if	if	if
Trump	trump	Trump
is	is	is
able	abl	able
to	to	to
hire	hire	hire
a	a	a
Latino	latino	Latino
even	even	even
a	a	a
qualified	qualifi	qualified
one	one	one
,	,	,
it	it	it
might	might	might
not	not	not
matter	matter	matter
.	.	.
Many	mani	Many
Hispanic	hispan	Hispanic
leaders	leader	leader
say	say	say
they	they	they
are	are	are
less	less	le
concerned	concern	concerned
about	about	about
having	have	having
a	a	a
Cabinet	cabinet	Cabinet
pick	pick	pick
than	than	than
what	what	what
Trump	trump	Trump
s	s	s
policies	polici	policy
could	could	could
mean	mean	mean
,	,	,
particularly	particular	particularly
with	with	with
deportation	deport	deportation
and	and	and
a	a	a
wall	wall	wall
along	along	along
the	the	the
Mexican	mexican	Mexican
border	border	border
.	.	.

These	these	These
people	peopl	people
say	say	say
picking	pick	picking
a	a	a
Hispanic	hispan	Hispanic
Cabinet	cabinet	Cabinet
member	member	member
for	for	for
agriculture	agricultur	agriculture
could	could	could
be	be	be
seen	seen	seen
as	as	a
a	a	a
token	token	token
with	with	with
little	littl	little
real	real	real
value	valu	value
and	and	and
liken	liken	liken
Trump	trump	Trump
naming	name	naming
his	his	his
only	onli	only
black	black	black
Cabinet	cabinet	Cabinet
member	member	member
to	to	to
lead	lead	lead
Housing	hous	Housing
and	and	and
Urban	urban	Urban
Development	develop	Development
.	.	.
In	in	In
other	other	other
words	word	word
,	,	,
Trump	trump	Trump
could	could	could
have	have	have
the	the	the
most	most	most
diverse	divers	diverse
cabinet	cabinet	cabinet
ever	ever	ever
and	and	and
still	still	still
be	be	be
the	the	the
worst	worst	worst
president	presid	president
for	for	for
diversity	divers	diversity
in	in	in
history	histori	history
.	.	.

What	what	What
Latino	latino	Latino
or	or	or
really	realli	really
anyone	anyon	anyone
in	in	in
their	their	their
right	right	right
mind	mind	mind
would	would	would
want	want	want
history	histori	history
to	to	to
remember	rememb	remember
them	them	them
in	in	in
that	that	that
way	way	way
?	?	?
Featured	featur	Featured
image	imag	image
via	via	via
Drew	drew	Drew
Angerer	anger	Angerer
Getty	getti	Getty
Images	imag	Images
.	.	.

