Amateur	amateur	Amateur
president	presid	president
Donald	donald	Donald
Trump	trump	Trump
s	s	s
repeated	repeat	repeated
attacks	attack	attack
on	on	on
former	former	former
FBI	fbi	FBI
James	jame	James
Comey	comey	Comey
,	,	,
the	the	the
man	man	man
who	who	who
was	was	wa
leading	lead	leading
the	the	the
investigation	investig	investigation
into	into	into
possible	possibl	possible
collusion	collus	collusion
between	between	between
the	the	the
former	former	former
reality	realiti	reality
show	show	show
star	star	star
s	s	s
campaign	campaign	campaign
and	and	and
Russia	russia	Russia
,	,	,
only	onli	only
make	make	make
him	him	him
look	look	look
complicit	complicit	complicit
.	.	.
In	in	In
Comey	comey	Comey
s	s	s
hometown	hometown	hometown
,	,	,
Allendale	allendal	Allendale
,	,	,
New	new	New
Jersey	jersey	Jersey
,	,	,
the	the	the
residents	resid	resident
admire	admir	admire
the	the	the
former	former	former
FBI	fbi	FBI
Director	director	Director
.	.	.
In	in	In
Trump	trump	Trump
s	s	s
hometown	hometown	hometown
,	,	,
Manhattan	manhattan	Manhattan
,	,	,
the	the	the
alleged	alleg	alleged
president	presid	president
is	is	is
hated	hate	hated
.	.	.
Trump	trump	Trump
called	call	called
Comey	comey	Comey
a	a	a
showboat	showboat	showboat
and	and	and
a	a	a
grandstander	grandstand	grandstander
but	but	but
residents	resid	resident
of	of	of
Allendale	allendal	Allendale
know	know	know
Comey	comey	Comey
as	as	a
a	a	a
man	man	man
who	who	who
knows	know	know
right	right	right
from	from	from
wrong	wrong	wrong
.	.	.
It	it	It
was	was	wa
revealed	reveal	revealed
yesterday	yesterday	yesterday
that	that	that
Trump	trump	Trump
told	told	told
Russian	russian	Russian
officials	offici	official
that	that	that
James	jame	James
Comey	comey	Comey
is	is	is
a	a	a
nut	nut	nut
job	job	job
,	,	,
then	then	then
bragged	brag	bragged
that	that	that
firing	fire	firing
the	the	the
former	former	former
FBI	fbi	FBI
Director	director	Director
eased	eas	eased
great	great	great
pressure	pressur	pressure
from	from	from
the	the	the
Russia	russia	Russia
-collusion	-collus	-collusion
investigation	investig	investigation
.	.	.
I	i	I
just	just	just
fired	fire	fired
the	the	the
head	head	head
of	of	of
the	the	the
F	f	F
.	.	.
B	b	B
.	.	.
I	i	I
.	.	.
He	he	He
was	was	wa
crazy	crazi	crazy
,	,	,
a	a	a
real	real	real
nut	nut	nut
job	job	job
,	,	,
Trump	trump	Trump
told	told	told
the	the	the
Russian	russian	Russian
officials	offici	official
,	,	,
according	accord	according
to	to	to
the	the	the
New	new	New
York	york	York
Times	time	Times
.	.	.
I	i	I
faced	face	faced
great	great	great
pressure	pressur	pressure
because	becaus	because
of	of	of
Russia	russia	Russia
.	.	.
That	that	That
s	s	s
taken	taken	taken
off	off	off
.	.	.
I	i	I
m	m	m
not	not	not
under	under	under
investigation	investig	investigation
,	,	,
Trump	trump	Trump
added	ad	added
.	.	.
Comey	comey	Comey
s	s	s
father	father	father
,	,	,
a	a	a
Republican	republican	Republican
,	,	,
thinks	think	think
Trump	trump	Trump
is	is	is
nuts	nut	nut
and	and	and
belongs	belong	belongs
in	in	in
an	an	an
institution	institut	institution
.	.	.
J	j	J
.	.	.
Brien	brien	Brien
Comey	comey	Comey
,	,	,
86	86	86
,	,	,
turned	turn	turned
Trump	trump	Trump
s	s	s
harsh	harsh	harsh
opinion	opinion	opinion
of	of	of
his	his	his
son	son	son
against	against	against
him	him	him
.	.	.
I	i	I
never	never	never
was	was	wa
crazy	crazi	crazy
about	about	about
Trump	trump	Trump
,	,	,
said	said	said
Mr	mr	Mr
.	.	.
Comey	comey	Comey
.	.	.
I	i	I
m	m	m
convinced	convinc	convinced
that	that	that
he	he	he
s	s	s
nuts	nut	nut
.	.	.
I	i	I
thought	thought	thought
he	he	he
belonged	belong	belonged
in	in	in
an	an	an
institution	institut	institution
.	.	.
He	he	He
was	was	wa
crazy	crazi	crazy
before	befor	before
he	he	he
became	becam	became
president	presid	president
.	.	.
Now	now	Now
he	he	he
s	s	s
really	realli	really
crazy	crazi	crazy
.	.	.
Comey	comey	Comey
is	is	is
known	known	known
as	as	a
a	a	a
man	man	man
who	who	who
leaves	leav	leaf
a	a	a
paper	paper	paper
trail	trail	trail
.	.	.
Comey	comey	Comey
penned	pen	penned
memos	memo	memo
to	to	to
detail	detail	detail
conversations	convers	conversation
