Something	someth	Something
we	we	we
keep	keep	keep
hearing	hear	hearing
about	about	about
Hillary	hillari	Hillary
Clinton	clinton	Clinton
is	is	is
that	that	that
the	the	the
former	former	former
Secretary	secretari	Secretary
of	of	of
State	state	State
is	is	is
pals	pal	pal
with	with	with
Donald	donald	Donald
Trump	trump	Trump
.	.	.
Of	of	Of
course	cours	course
this	this	this
line	line	line
is	is	is
perpetuated	perpetu	perpetuated
by	by	by
the	the	the
fact	fact	fact
that	that	that
Hillary	hillari	Hillary
did	did	did
attend	attend	attend
Trump	trump	Trump
s	s	s
wedding	wed	wedding
in	in	in
2005	2005	2005
.	.	.
However	howev	However
,	,	,
let	let	let
s	s	s
remember	rememb	remember
something	someth	something
,	,	,
Hillary	hillari	Hillary
was	was	wa
pretty	pretti	pretty
powerful	power	powerful
in	in	in
New	new	New
York	york	York
at	at	at
the	the	the
time	time	time
as	as	a
a	a	a
Senator	senat	Senator
and	and	and
was	was	wa
likely	like	likely
asked	ask	asked
to	to	to
attend	attend	attend
in	in	in
that	that	that
capacity	capac	capacity
.	.	.
But	but	But
,	,	,
myths	myth	myth
being	be	being
what	what	what
they	they	they
are	are	are
,	,	,
if	if	if
it	it	it
s	s	s
repeated	repeat	repeated
often	often	often
enough	enough	enough
that	that	that
she	she	she
s	s	s
palling	pall	palling
around	around	around
with	with	with
Trump	trump	Trump
,	,	,
at	at	at
some	some	some
point	point	point
it	it	it
becomes	becom	becomes
a	a	a
fact	fact	fact
that	that	that
they	they	they
re	re	re
besties	besti	besties
.	.	.
Hillary	hillari	Hillary
has	has	ha
a	a	a
four	four	four
word	word	word
message	messag	message
for	for	for
all	all	all
those	those	those
out	out	out
there	there	there
who	who	who
insist	insist	insist
she	she	she
s	s	s
BFF	bff	BFF
s	s	s
with	with	with
The	the	The
Donald	donald	Donald
We	we	We
were	were	were
not	not	not
friends	friend	friend
.	.	.
She	she	She
exclusively	exclus	exclusively
told	told	told
PEOPLE	peopl	PEOPLE
for	for	for
the	the	the
upcoming	upcom	upcoming
issue	issu	issue
We	we	We
were	were	were
not	not	not
friends	friend	friend
.	.	.
We	we	We
knew	knew	knew
each	each	each
other	other	other
,	,	,
obviously	obvious	obviously
,	,	,
in	in	in
New	new	New
York	york	York
.	.	.
I	i	I
knew	knew	knew
a	a	a
lot	lot	lot
of	of	of
people	peopl	people
.	.	.
Also	also	Also
noting	note	noting
that	that	that
she	she	she
really	realli	really
doesn	doesn	doesn
t	t	t
give	give	give
a	a	a
sh	sh	sh
t	t	t
what	what	what
he	he	he
says	say	say
about	about	about
her	her	her
either	either	either
I	i	I
don	don	don
t	t	t
really	realli	really
care	care	care
that	that	that
much	much	much
about	about	about
what	what	what
he	he	he
says	say	say
about	about	about
me	me	me
because	becaus	because
I	i	I
do	do	do
see	see	see
that	that	that
as	as	a
,	,	,
you	you	you
know	know	know
,	,	,
