Anyone	anyon	Anyone
who	who	who
knows	know	know
anything	anyth	anything
about	about	about
the	the	the
separation	separ	separation
of	of	of
powers	power	power
understands	understand	understands
that	that	that
a	a	a
president	presid	president
cannot	cannot	cannot
just	just	just
unilaterally	unilater	unilaterally
take	take	take
military	militari	military
action	action	action
.	.	.
He	he	He
needs	need	need
approval	approv	approval
from	from	from
Congress	congress	Congress
to	to	to
execute	execut	execute
an	an	an
act	act	act
of	of	of
war	war	war
.	.	.
However	howev	However
,	,	,
since	sinc	since
Donald	donald	Donald
Trump	trump	Trump
is	is	is
president	presid	president
and	and	and
he	he	he
seems	seem	seems
to	to	to
think	think	think
he	he	he
is	is	is
somehow	somehow	somehow
above	abov	above
the	the	the
law	law	law
,	,	,
he	he	he
doesn	doesn	doesn
t	t	t
bother	bother	bother
with	with	with
silly	silli	silly
little	littl	little
details	detail	detail
like	like	like
that	that	that
.	.	.
As	as	As
a	a	a
result	result	result
,	,	,
we	we	we
got	got	got
his	his	his
launching	launch	launching
of	of	of
59	59	59
Tomahawk	tomahawk	Tomahawk
missiles	missil	missile
into	into	into
a	a	a
Syrian	syrian	Syrian
airfield	airfield	airfield
.	.	.
It	it	It
turns	turn	turn
out	out	out
that	that	that
quite	quit	quite
a	a	a
few	few	few
people	peopl	people
in	in	in
Congress	congress	Congress
believe	believ	believe
what	what	what
Trump	trump	Trump
did	did	did
to	to	to
be	be	be
potentially	potenti	potentially
illegal	illeg	illegal
.	.	.
One	one	One
such	such	such
person	person	person
is	is	is
Rep	rep	Rep
.	.	.
Ted	ted	Ted
Lieu	lieu	Lieu
D	d	D
-CA	-ca	-CA
.	.	.
Rep	rep	Rep
.	.	.
Lieu	lieu	Lieu
is	is	is
one	one	one
of	of	of
Trump	trump	Trump
s	s	s
harshest	harshest	harshest
critics	critic	critic
and	and	and
perhaps	perhap	perhaps
his	his	his
most	most	most
prolific	prolif	prolific
Twitter	twitter	Twitter
troll	troll	troll
.	.	.
When	when	When
it	it	it
came	came	came
to	to	to
Trump	trump	Trump
s	s	s
military	militari	military
action	action	action
in	in	in
Syria	syria	Syria
,	,	,
Lieu	lieu	Lieu
did	did	did
not	not	not
mince	minc	mince
words	word	word
.	.	.
Speaking	speak	Speaking
with	with	with
MSNBC	msnbc	MSNBC
s	s	s
Katy	kati	Katy
Tur	tur	Tur
,	,	,
Lieu	lieu	Lieu
said	said	said
Clearly	clear	Clearly
,	,	,
the	the	the
president	presid	president
can	can	can
take	take	take
limited	limit	limited
actions	action	action
that	that	that
the	the	the
Congress	congress	Congress
has	has	ha
authorized	author	authorized
such	such	such
as	as	a
going	go	going
against	against	against
terrorists	terrorist	terrorist
who	who	who
were	were	were
involved	involv	involved
with	with	with
9	9	9
11	11	11
or	or	or
in	in	in
terms	term	term
of	of	of
Iraq	iraq	Iraq
when	when	when
Congress	congress	Congress
authorized	author	authorized
the	the	the
use	use	use
of	of	of
force	forc	force
in	in	in
2002	2002	2002
,	,	,
but	but	but
there	there	there
s	s	s
been	been	been
no	no	no
congressional	congression	congressional
authorization	author	authorization
to	to	to
launch	launch	launch
fifty	fifti	fifty
-nine	-nine	-nine
cruise	cruis	cruise
missiles	missil	missile
at	at	at
a	a	a
country	countri	country
that	that	that
has	has	ha
not	not	not
attacked	attack	attacked
us	us	u
.	.	.
Donald	donald	Donald
Trump	trump	Trump
s	s	s
action	action	action
last	last	last
night	night	night
was	was	wa
unconstitutional	unconstitut	unconstitutional
.	.	.
He	he	He
should	should	should
not	not	not
do	do	do
it	it	it
again	again	again
.	.	.
Rep	rep	Rep
.	.	.
Lieu	lieu	Lieu
then	then	then
went	went	went
on	on	on
to	to	to
explain	explain	explain
his	his	his
problems	problem	problem
with	with	with
the	the	the
launch	launch	launch
and	and	and
the	the	the
dangers	danger	danger
of	of	of
taking	take	taking
such	such	such
drastic	drastic	drastic
action	action	action
with	with	with
no	no	no
authorization	author	authorization
and	and	and
no	no	no
clear	clear	clear
strategy	strategi	strategy
,	,	,
after	after	after
being	be	being
asked	ask	asked
if	if	if
he	he	he
would	would	would
have	have	have
authorized	author	authorized
this	this	this
action	action	action
if	if	if
he	he	he
had	had	had
been	been	been
given	given	given
the	the	the
opportunity	opportun	opportunity
to	to	to
do	do	do
so	so	so
I	i	I
might	might	might
have	have	have
if	if	if
he	he	he
would	would	would
have	have	have
articulated	articul	articulated
a	a	a
strategy	strategi	strategy
,	,	,
and	and	and
that	that	that
is	is	is
one	one	one
of	of	of
my	my	my
fundamental	fundament	fundamental
problems	problem	problem
with	with	with
what	what	what
he	he	he
did	did	did
.	.	.
There	there	There
has	has	ha
been	been	been
no	no	no
coherent	coher	coherent
strategy	strategi	strategy
from	from	from
the	the	the
Trump	trump	Trump
administration	administr	administration
.	.	.
Last	last	Last
week	week	week
,	,	,
they	they	they
signaled	signal	signaled
they	they	they
were	were	were
okay	okay	okay
with	with	with
Assad	assad	Assad
even	even	even
though	though	though
he	he	he
had	had	had
previously	previous	previously
killed	kill	killed
hundreds	hundr	hundred
of	of	of
