Hey	hey	Hey
Bernie	berni	Bernie
fans	fan	fan
!	!	!

You	you	You
might	might	might
want	want	want
to	to	to
take	take	take
a	a	a
look	look	look
at	at	at
this	this	this
BernieSanders	berniesand	BernieSanders
.	.	.
com	com	com
,	,	,
Medicare	medicar	Medicare
for	for	for
All	all	All
Leaving	leav	Leaving
No	no	No
One	one	One
Behind	behind	Behind
How	how	How
Much	much	Much
Will	will	Will
It	it	It
Cost	cost	Cost
and	and	and
How	how	How
Do	do	Do
We	we	We
Pay	pay	Pay
For	for	For
It	it	It
?	?	?
How	how	How
Much	much	Much
Will	will	Will
It	it	It
Cost	cost	Cost
?	?	?

This	this	This
plan	plan	plan
has	has	ha
been	been	been
estimated	estim	estimated
to	to	to
cost	cost	cost
1	1	1
.	.	.
38	38	38
trillion	trillion	trillion
per	per	per
year	year	year
.	.	.
The	the	The
Plan	plan	Plan
Would	would	Would
Be	be	Be
Fully	fulli	Fully
Paid	paid	Paid
For	for	For
By	by	By
A	a	A
6	6	6
.	.	.
2	2	2
percent	percent	percent
income	incom	income
-based	-base	-based
health	health	health
care	care	care
premium	premium	premium
paid	paid	paid
by	by	by
employers	employ	employer
.	.	.

Revenue	revenu	Revenue
raised	rais	raised
630	630	630
billion	billion	billion
per	per	per
year	year	year
.	.	.
A	a	A
2	2	2
.	.	.
2	2	2
percent	percent	percent
income	incom	income
-based	-base	-based
premium	premium	premium
paid	paid	paid
by	by	by
households	household	household
.	.	.

Revenue	revenu	Revenue
raised	rais	raised
210	210	210
billion	billion	billion
per	per	per
year	year	year
.	.	.
This	this	This
year	year	year
,	,	,
a	a	a
family	famili	family
of	of	of
four	four	four
taking	take	taking
the	the	the
standard	standard	standard
deduction	deduct	deduction
can	can	can
have	have	have
income	incom	income
up	up	up
to	to	to
28	28	28
,	,	,
800	800	800
and	and	and
not	not	not
pay	pay	pay
this	this	this
tax	tax	tax
under	under	under
this	this	this
plan	plan	plan
.	.	.
A	a	A
family	famili	family
of	of	of
four	four	four
making	make	making
50	50	50
,	,	,
000	000	000
a	a	a
year	year	year
taking	take	taking
the	the	the
standard	standard	standard
deduction	deduct	deduction
would	would	would
only	onli	only
pay	pay	pay
466	466	466
this	this	this
year	year	year
.	.	.
Progressive	progress	Progressive
income	incom	income
tax	tax	tax
rates	rate	rate
.	.	.

Revenue	revenu	Revenue
raised	rais	raised
110	110	110
billion	billion	billion
a	a	a
year	year	year
.	.	.
Under	under	Under
this	this	this
plan	plan	plan
the	the	the
marginal	margin	marginal
income	incom	income
tax	tax	tax
rate	rate	rate
would	would	would
be	be	be
37	37	37
percent	percent	percent
on	on	on
income	incom	income
between	between	between
250	250	250
,	,	,
000	000	000
and	and	and
500	500	500
,	,	,
000	000	000
.	.	.

43	43	43
percent	percent	percent
on	on	on
income	incom	income
between	between	between
500	500	500
,	,	,
000	000	000
and	and	and
2	2	2
million	million	million
.	.	.

48	48	48
percent	percent	percent
on	on	on
income	incom	income
between	between	between
2	2	2
million	million	million
and	and	and
10	10	10
million	million	million
.	.	.

In	in	In
2013	2013	2013
,	,	,
only	onli	only
113	113	113
,	,	,
000	000	000
households	household	household
,	,	,
the	the	the
top	top	top
0	0	0
.	.	.
08	08	08
percent	percent	percent
of	of	of
taxpayers	taxpay	taxpayer
,	,	,
had	had	had
income	incom	income
between	between	between
2	2	2
million	million	million
and	and	and
10	10	10
million	million	million
.	.	.
52	52	52
percent	percent	percent
on	on	on
income	incom	income
above	abov	above
10	10	10
million	million	million
.	.	.

In	in	In
2013	2013	2013
,	,	,
only	onli	only
13	13	13
,	,	,
000	000	000
households	household	household
,	,	,
just	just	just
0	0	0
.	.	.
01	01	01
percent	percent	percent
of	of	of
taxpayers	taxpay	taxpayer
,	,	,
had	had	had
income	incom	income
exceeding	exceed	exceeding
10	10	10
million	million	million
.	.	.
Taxing	tax	Taxing
capital	capit	capital
gains	gain	gain
and	and	and
dividends	dividend	dividend
the	the	the
same	same	same
as	as	a
income	incom	income
from	from	from
work	work	work
.	.	.

Revenue	revenu	Revenue
raised	rais	raised
92	92	92
billion	billion	billion
per	per	per
year	year	year
.	.	.
Warren	warren	Warren
Buffett	buffett	Buffett
,	,	,
the	the	the
second	second	second
wealthiest	wealthiest	wealthiest
American	american	American
in	in	in
the	the	the
country	countri	country
,	,	,
has	has	ha
said	said	said
that	that	that
he	he	he
pays	pay	pay
a	a	a
lower	lower	lower
effective	effect	effective
tax	tax	tax
rate	rate	rate
than	than	than
his	his	his
secretary	secretari	secretary
.	.	.

The	the	The
reason	reason	reason
is	is	is
that	that	that
he	he	he
