Some	some	Some
people	peopl	people
just	just	just
don	don	don
t	t	t
understand	understand	understand
freedom	freedom	freedom
of	of	of
religion	religion	religion
whatsoever	whatsoev	whatsoever
.	.	.
The	the	The
First	first	First
Amendment	amend	Amendment
separates	separ	separate
church	church	church
from	from	from
state	state	state
for	for	for
two	two	two
reasons	reason	reason
to	to	to
protect	protect	protect
the	the	the
church	church	church
and	and	and
the	the	the
state	state	state
.	.	.
Religious	religi	Religious
Freedom	freedom	Freedom
is	is	is
the	the	the
ability	abil	ability
to	to	to
worship	worship	worship
how	how	how
you	you	you
choose	choos	choose
on	on	on
your	your	your
own	own	own
time	time	time
.	.	.
However	howev	However
,	,	,
if	if	if
a	a	a
public	public	public
school	school	school
,	,	,
funded	fund	funded
by	by	by
public	public	public
taxpayer	taxpay	taxpayer
dollars	dollar	dollar
that	that	that
is	is	is
for	for	for
all	all	all
citizens	citizen	citizen
regardless	regardless	regardless
of	of	of
religion	religion	religion
,	,	,
has	has	ha
something	someth	something
that	that	that
puts	put	put
one	one	one
faith	faith	faith
over	over	over
another	anoth	another
,	,	,
that	that	that
s	s	s
not	not	not
freedom	freedom	freedom
,	,	,
it	it	it
s	s	s
promoting	promot	promoting
a	a	a
Theocracy	theocraci	Theocracy
.	.	.
So	so	So
,	,	,
when	when	when
the	the	the
Freedom	freedom	Freedom
From	from	From
Religion	religion	Religion
Foundation	foundat	Foundation
sent	sent	sent
a	a	a
letter	letter	letter
about	about	about
removing	remov	removing
a	a	a
Bible	bibl	Bible
verse	vers	verse
from	from	from
a	a	a
website	websit	website
to	to	to
the	the	the
Troup	troup	Troup
Independent	independ	Independent
School	school	School
District	district	District
in	in	in
Troup	troup	Troup
,	,	,
Texas	texa	Texas
mind	mind	mind
you	you	you
,	,	,
a	a	a
public	public	public
school	school	school
district	district	district
open	open	open
to	to	to
all	all	all
this	this	this
sent	sent	sent
many	mani	many
ill	ill	ill
-informed	-inform	-informed
people	peopl	people
into	into	into
a	a	a
tizzy	tizzi	tizzy
.	.	.
One	one	One
of	of	of
those	those	those
ill	ill	ill
-informed	-inform	-informed
people	peopl	people
,	,	,
who	who	who
still	still	still
has	has	ha
every	everi	every
right	right	right
to	to	to
worship	worship	worship
her	her	her
God	god	God
on	on	on
her	her	her
time	time	time
,	,	,
is	is	is
Brittany	brittani	Brittany
Taylor	taylor	Taylor
.	.	.
Taylor	taylor	Taylor
is	is	is
the	the	the
parent	parent	parent
of	of	of
two	two	two
kids	kid	kid
that	that	that
go	go	go
to	to	to
Troup	troup	Troup
ISD	isd	ISD
.	.	.
She	she	She
was	was	wa
beyond	beyond	beyond
angry	angri	angry
that	that	that
the	the	the
public	public	public
school	school	school
district	district	district
would	would	would
take	take	take
down	down	down
the	the	the
Bible	bibl	Bible
verse	vers	verse
that	that	that
read	read	read
,	,	,
As	as	As
Goliath	goliath	Goliath
moved	move	moved
closer	closer	closer
to	to	to
attack	attack	attack
,	,	,
David	david	David
quickly	quick	quickly
ran	ran	ran
out	out	out
to	to	to
meet	meet	meet
him	him	him
.	.	.
She	she	She
thinks	think	think
that	that	that
even	even	even
though	though	though
public	public	public
and	and	and
held	held	held
to	to	to
the	the	the
Constitution	constitut	Constitution
to	to	to
separate	separ	separate
any	ani	any
church	church	church
from	from	from
any	ani	any
state	state	state
-run	-run	-run
place	place	place
,	,	,
the	the	the
school	school	school
should	should	should
be	be	be
able	abl	able
to	to	to
promote	promot	promote
Christianity	christian	Christianity
.	.	.
Taylor	taylor	Taylor
said	said	said
We	we	We
support	support	support
our	our	our
school	school	school
fully	fulli	fully
,	,	,
they	they	they
kind	kind	kind
of	of	of
had	had	had
their	their	their
hands	hand	hand
tied	tie	tied
in	in	in
the	the	the
situation	situat	situation
.	.	.
We	we	We
wanted	want	wanted
to	to	to
fight	fight	fight
back	back	back
for	for	for
them	them	them
.	.	.
There	there	There
s	s	s
literally	liter	literally
nothing	noth	nothing
to	to	to
fight	fight	fight
back	back	back
about	about	about
.	.	.
Yet	yet	Yet
,	,	,
what	what	what
did	did	did
she	she	she
do	do	do
?	?	?
Make	make	Make
T	t	T
-Shirts	-shirt	-Shirts
that	that	that
read	read	read
Our	our	Our
God	god	God
is	is	is
bigger	bigger	bigger
for	for	for
students	student	student
,	,	,
including	includ	including
her	her	her
own	own	own
children	children	child
,	,	,
to	to	to
wear	wear	wear
.	.	.
She	she	She
s	s	s
literally	liter	literally
putting	put	putting
out	out	out
the	the	the
argument	argument	argument
that	that	that
many	mani	many
often	often	often
satirize	satir	satirize
of	of	of
my	my	my
God	god	God
is	is	is
bigger	bigger	bigger
than	than	than
your	your	your
God	god	God
in	in	in
the	the	the
clash	clash	clash
over	over	over
religion	religion	religion
and	and	and
religious	religi	religious
freedom	freedom	freedom
.	.	.
Sam	sam	Sam
Grover	grover	Grover
,	,	,
Freedom	freedom	Freedom
of	of	of
Religion	religion	Religion
Foundation	foundat	Foundation
,	,	,
said	said	said
Under	under	Under
the	the	the
federal	feder	federal
constitution	constitut	constitution
,	,	,
a	a	a
government	govern	government
entity	entiti	entity
like	like	like
a	a	a
school	school	school
district	district	district
can	can	can
t	t	t
endorse	endors	endorse
one	one	one
religious	religi	religious
belief	belief	belief
over	over	over
others	other	others
or	or	or
religion	religion	religion
