We	we	We
mentioned	mention	mentioned
in	in	in
an	an	an
article	articl	article
yesterday	yesterday	yesterday
that	that	that
the	the	the
real	real	real
objective	object	objective
behind	behind	behind
this	this	this
recount	recount	recount
effort	effort	effort
is	is	is
probably	probabl	probably
not	not	not
to	to	to
find	find	find
voter	voter	voter
fraud	fraud	fraud
,	,	,
but	but	but
to	to	to
strip	strip	strip
Trump	trump	Trump
of	of	of
the	the	the
electoral	elector	electoral
votes	vote	vote
in	in	in
the	the	the
traditionally	tradit	traditionally
blue	blue	blue
,	,	,
must	must	must
-win	-win	-win
states	state	state
of	of	of
PA	pa	PA
,	,	,
WI	wi	WI
,	,	,
and	and	and
MI	mi	MI
.	.	.
If	if	If
these	these	these
state	state	state
are	are	are
in	in	in
the	the	the
process	process	process
of	of	of
a	a	a
recount	recount	recount
effort	effort	effort
,	,	,
Trump	trump	Trump
cannot	cannot	cannot
use	use	use
their	their	their
electoral	elector	electoral
votes	vote	vote
in	in	in
the	the	the
final	final	final
tally	talli	tally
.	.	.
A	a	A
Republican	republican	Republican
majority	major	majority
Congress	congress	Congress
would	would	would
then	then	then
have	have	have
to	to	to
vote	vote	vote
to	to	to
allow	allow	allow
Trump	trump	Trump
to	to	to
use	use	use
the	the	the
votes	vote	vote
.	.	.
The	the	The
hope	hope	hope
is	is	is
likely	like	likely
that	that	that
this	this	this
action	action	action
would	would	would
throw	throw	throw
Trump	trump	Trump
s	s	s
presidency	presid	presidency
into	into	into
question	question	question
with	with	with
voters	voter	voter
,	,	,
thus	thus	thus
setting	set	setting
him	him	him
up	up	up
as	as	a
an	an	an
illegitimate	illegitim	illegitimate
President	presid	President
in	in	in
the	the	the
minds	mind	mind
of	of	of
American	american	American
citizens	citizen	citizen
.	.	.
The	the	The
good	good	good
news	news	news
is	is	is
,	,	,
the	the	the
possiblity	possibl	possiblity
of	of	of
a	a	a
recount	recount	recount
in	in	in
the	the	the
state	state	state
of	of	of
Pennsylvania	pennsylvania	Pennsylvania
with	with	with
20	20	20
electoral	elector	electoral
votes	vote	vote
,	,	,
is	is	is
not	not	not
looking	look	looking
too	too	too
good	good	good
for	for	for
Hillary	hillari	Hillary
right	right	right
now	now	now
Jill	jill	Jill
Stein	stein	Stein
s	s	s
Hillary	hillari	Hillary
Clinton	clinton	Clinton
s	s	s
effort	effort	effort
to	to	to
recount	recount	recount
presidential	presidenti	presidential
votes	vote	vote
in	in	in
three	three	three
swing	swing	swing
states	state	state
already	alreadi	already
appears	appear	appears
to	to	to
be	be	be
sputtering	sputter	sputtering
in	in	in
Philadelphia	philadelphia	Philadelphia
.	.	.
While	while	While
Stein	stein	Stein
,	,	,
a	a	a
former	former	former
presidential	presidenti	presidential
candidate	candid	candidate
,	,	,
has	has	ha
raised	rais	raised
millions	million	million
of	of	of
dollars	dollar	dollar
and	and	and
filed	file	filed
for	for	for
a	a	a
recount	recount	recount
in	in	in
Wisconsin	wisconsin	Wisconsin
,	,	,
the	the	the
process	process	process
in	in	in
Pennsylvania	pennsylvania	Pennsylvania
is	is	is
much	much	much
more	more	more
complicated	complic	complicated
.	.	.
Candidates	candid	Candidates
cannot	cannot	cannot
file	file	file
for	for	for
a	a	a
recount	recount	recount
themselves	themselv	themselves
.	.	.
Instead	instead	Instead
,	,	,
they	they	they
either	either	either
have	have	have
to	to	to
go	go	go
to	to	to
court	court	court
and	and	and
attempt	attempt	attempt
to	to	to
prove	prove	prove
widespread	widespread	widespread
voter	voter	voter
fraud	fraud	fraud
there	there	there
s	s	s
no	no	no
evidence	evid	evidence
of	of	of
that	that	that
at	at	at
this	this	this
point	point	point
or	or	or
organize	organ	organize
a	a	a
voter	voter	voter
-initiated	-initi	-initiated
recount	recount	recount
effort	effort	effort
.	.	.
Stein	stein	Stein
s	s	s
team	team	team
is	is	is
going	go	going
for	for	for
the	the	the
latter	latter	latter
,	,	,
asking	ask	asking
for	for	for
thousands	thousand	thousand
of	of	of
volunteers	volunt	volunteer
across	across	across
Pennsylvania	pennsylvania	Pennsylvania
to	to	to
mobilize	mobil	mobilize
.	.	.
For	for	For
a	a	a
voting	vote	voting
division	divis	division
also	also	also
known	known	known
as	as	a
a	a	a
precinct	precinct	precinct
to	to	to
be	be	be
recounted	recount	recounted
,	,	,
three	three	three
voters	voter	voter
from	from	from
that	that	that
division	divis	division
must	must	must
sign	sign	sign
and	and	and
file	file	file
an	an	an
affidavit	affidavit	affidavit
.	.	.
As	as	As
of	of	of
noon	noon	noon
Monday	monday	Monday
,	,	,
the	the	the
Philadelphia	philadelphia	Philadelphia
city	citi	city
Board	board	Board
of	of	of
Elections	elect	Elections
had	had	had
received	receiv	received
petitions	petit	petition
for	for	for
35	35	35
of	of	of
the	the	the
1	1	1
,	,	,
686	686	686
voting	vote	voting
divisions	divis	division
in	in	in
Philadelphia	philadelphia	Philadelphia
,	,	,
according	accord	according
to	to	to
City	citi	City
Commissioner	commission	Commissioner
Al	al	Al
Schmidt	schmidt	Schmidt
.	.	.
He	he	He
s	s	s
spoken	spoken	spoken
with	with	with
organizers	organ	organizer
who	who	who
expect	expect	expect
another	anoth	another
15	15	15
to	to	to
be	be	be
filed	file	filed
.	.	.
That	that	That
means	mean	mean
that	that	that
only	onli	only
about	about	about
50	50	50
of	of	of
the	the	the
1	1	1
,	,	,
686	686	686
voting	vote	voting
divisions	divis	division
in	in	in
Philadelphia	philadelphia	Philadelphia
,	,	,
or	or	or
about	about	about
3	3	3
percent	percent	percent
,	,	,
would	would	would
be	be	be
recounted	recount	recounted
as	as	a
a	a	a
part	part	part
of	of	of
Stein	stein	Stein
s	s	s
effort	effort	effort
.	.	.
Stein	stein	Stein
needed	need	needed
more	more	more
than	than	than
5	5	5
,	,	,
000	000	000
people	peopl	people
in	in	in
Philadelphia	philadelphia	Philadelphia
alone	alon	alone
to	to	to
sign	sign	sign
petitions	petit	petition
to	to	to
file	file	file
for	for	for
a	a	a
recount	recount	recount
and	and	and
would	would	would
have	have	have
had	had	had
to	to	to
mobilize	mobil	mobilize
about	about	about
30	30	30
,	,	,
000	000	000
people	peopl	people
statewide	statewid	statewide
to	to	to
get	get	get
a	a	a
full	full	full
recount	recount	recount
going	go	going
in	in	in
Pennsylvania	pennsylvania	Pennsylvania
.	.	.
She	she	She
contends	contend	contends
that	that	that
though	though	though
her	her	her
campaign	campaign	campaign
is	is	is
targeting	target	targeting
recounts	recount	recount
in	in	in
Wisconsin	wisconsin	Wisconsin
,	,	,
Pennsylvania	pennsylvania	Pennsylvania
and	and	and
Michigan	michigan	Michigan
,	,	,
it	it	it
is	is	is
not	not	not
coordinating	coordin	coordinating
with	with	with
the	the	the
campaign	campaign	campaign
of	of	of
Hillary	hillari	Hillary
Clinton	clinton	Clinton
,	,	,
who	who	who
lost	lost	lost
all	all	all
three	three	three
of	of	of
those	those	those
states	state	state
to	to	to
President	presid	President
-elect	-elect	-elect
Donald	donald	Donald
Trump	trump	Trump
.	.	.
The	the	The
Green	green	Green
Party	parti	Party
candidate	candid	candidate
has	has	ha
so	so	so
far	far	far
raised	rais	raised
nearly	near	nearly
7	7	7
million	million	million
to	to	to
spearhead	spearhead	spearhead
the	the	the
recount	recount	recount
.	.	.
Wanda	wanda	Wanda
Murren	murren	Murren
,	,	,
a	a	a
spokeswoman	spokeswoman	spokeswoman
for	for	for
the	the	the
Pennsylvania	pennsylvania	Pennsylvania
Department	depart	Department
of	of	of
State	state	State
,	,	,
said	said	said
in	in	in
a	a	a
statement	statement	statement
Monday	monday	Monday
afternoon	afternoon	afternoon
that	that	that
the	the	the
state	state	state
is	is	is
working	work	working
to	to	to
gather	gather	gather
information	inform	information
from	from	from
the	the	the
67	67	67
counties	counti	county
regarding	regard	regarding
their	their	their
progress	progress	progress
in	in	in
certifying	certifi	certifying
election	elect	election
returns	return	return
.	.	.
She	she	She
said	said	said
some	some	some
counties	counti	county
have	have	have
already	alreadi	already
certified	certifi	certified
their	their	their
elections	elect	election
,	,	,
therefore	therefor	therefore
closing	close	closing
the	the	the
five	five	five
-day	-day	-day
window	window	window
to	to	to
petition	petit	petition
at	at	at
the	the	the
county	counti	county
level	level	level
for	for	for
a	a	a
recount	recount	recount
.	.	.
The	the	The
deadline	deadlin	deadline
for	for	for
voters	voter	voter
to	to	to
file	file	file
for	for	for
a	a	a
recount	recount	recount
is	is	is
the	the	the
end	end	end
of	of	of
the	the	the
day	day	day
today	today	today
.	.	.
Meanwhile	meanwhil	Meanwhile
,	,	,
officials	offici	official
in	in	in
Allegheny	allegheni	Allegheny
County	counti	County
have	have	have
said	said	said
they	they	they
will	will	will
delay	delay	delay
certifying	certifi	certifying
their	their	their
election	elect	election
results	result	result
as	as	a
activists	activist	activist
are	are	are
filing	file	filing
petitions	petit	petition
seeking	seek	seeking
a	a	a
recount	recount	recount
.	.	.
BillyPenn	billypenn	BillyPenn
