Here	here	Here
s	s	s
how	how	how
Donald	donald	Donald
Trump	trump	Trump
reacted	react	reacted
Donald	donald	Donald
Trump	trump	Trump
reacted	react	reacted
Friday	friday	Friday
to	to	to
a	a	a
report	report	report
that	that	that
the	the	the
Clinton	clinton	Clinton
Global	global	Global
Foundation	foundat	Foundation
provided	provid	provided
millions	million	million
to	to	to
a	a	a
power	power	power
company	compani	company
partly	part	partly
owned	own	owned
by	by	by
a	a	a
rich	rich	rich
,	,	,
blond	blond	blond
divorcee	divorce	divorcee
by	by	by
saying	say	saying
that	that	that
people	peopl	people
have	have	have
been	been	been
whispering	whisper	whispering
about	about	about
her	her	her
possible	possibl	possible
romantic	romant	romantic
ties	tie	tie
to	to	to
Bill	bill	Bill
Clinton	clinton	Clinton
for	for	for
a	a	a
long	long	long
time	time	time
.	.	.
The	the	The
commitment	commit	commitment
to	to	to
Julie	juli	Julie
Tauber	tauber	Tauber
McMahon	mcmahon	McMahon
s	s	s
firm	firm	firm
from	from	from
the	the	the
Clinton	clinton	Clinton
Global	global	Global
Initiative	initi	Initiative
was	was	wa
placed	place	placed
on	on	on
its	it	it
2010	2010	2010
conference	confer	conference
agenda	agenda	agenda
at	at	at
Clinton	clinton	Clinton
s	s	s
urging	urg	urging
,	,	,
the	the	the
Wall	wall	Wall
Street	street	Street
Journal	journal	Journal
reported	report	reported
on	on	on
Thursday	thursday	Thursday
.	.	.
The	the	The
initiative	initi	initiative
commits	commit	commits
2	2	2
million	million	million
to	to	to
support	support	support
the	the	the
work	work	work
of	of	of
Energy	energi	Energy
Pioneer	pioneer	Pioneer
Solutions	solut	Solutions
,	,	,
a	a	a
company	compani	company
founded	found	founded
to	to	to
deliver	deliv	deliver
energy	energi	energy
savings	save	saving
to	to	to
communities	communiti	community
in	in	in
rural	rural	rural
America	america	America
,	,	,
said	said	said
a	a	a
2010	2010	2010
statement	statement	statement
from	from	from
the	the	the
charity	chariti	charity
.	.	.
People	peopl	People
have	have	have
been	been	been
talking	talk	talking
about	about	about
this	this	this
for	for	for
years	year	year
.	.	.
I	i	I
have	have	have
no	no	no
idea	idea	idea
what	what	what
went	went	went
on	on	on
.	.	.
I	i	I
certainly	certain	certainly
don	don	don
t	t	t
,	,	,
the	the	the
presumptive	presumpt	presumptive
GOP	gop	GOP
presidential	presidenti	presidential
nominee	nomine	nominee
said	said	said
on	on	on
Fox	fox	Fox
Friends	friend	Friends
.	.	.
According	accord	According
to	to	to
a	a	a
report	report	report
in	in	in
The	the	The
Wall	wall	Wall
Street	street	Street
Journal	journal	Journal
,	,	,
the	the	the
Clinton	clinton	Clinton
Global	global	Global
Initiative	initi	Initiative
doled	dole	doled
out	out	out
2	2	2
million	million	million
to	to	to
Energy	energi	Energy
Pioneer	pioneer	Pioneer
Solutions	solut	Solutions
,	,	,
which	which	which
is	is	is
partly	part	partly
owned	own	owned
by	by	by
Julie	juli	Julie
Tauber	tauber	Tauber
McMahon	mcmahon	McMahon
.	.	.
The	the	The
fit	fit	fit
,	,	,
blond	blond	blond
mother	mother	mother
of	of	of
three	three	three
,	,	,
who	who	who
lives	live	life
just	just	just
minutes	minut	minute
from	from	from
Bill	bill	Bill
and	and	and
Hillary	hillari	Hillary
Clinton	clinton	Clinton
s	s	s
home	home	home
in	in	in
Chappaqua	chappaqua	Chappaqua
,	,	,
West	west	West
chester	chester	chester
,	,	,
is	is	is
the	the	the
daughter	daughter	daughter
of	of	of
Joel	joel	Joel
Tauber	tauber	Tauber
,	,	,
a	a	a
millionaire	millionair	millionaire
donor	donor	donor
to	to	to
the	the	the
Democratic	democrat	Democratic
Party	parti	Party
.	.	.
McMahon	mcmahon	McMahon
,	,	,
54	54	54
,	,	,
is	is	is
rumored	rumor	rumored
to	to	to
be	be	be
the	the	the
woman	woman	woman
dubbed	dub	dubbed
Energizer	energ	Energizer
by	by	by
the	the	the
Secret	secret	Secret
Service	servic	Service
at	at	at
the	the	the
