Republican	republican	Republican
strategist	strategist	strategist
Cheri	cheri	Cheri
Jacobus	jacobus	Jacobus
,	,	,
who	who	who
has	has	ha
appeared	appear	appeared
as	as	a
a	a	a
pundit	pundit	pundit
on	on	on
Fox	fox	Fox
News	news	News
,	,	,
filed	file	filed
a	a	a
4m	4m	4m
defamation	defam	defamation
lawsuit	lawsuit	lawsuit
on	on	on
Monday	monday	Monday
in	in	in
New	new	New
York	york	York
City	citi	City
against	against	against
Donald	donald	Donald
Trump	trump	Trump
and	and	and
his	his	his
campaign	campaign	campaign
shocker	shocker	shocker
.	.	.

The	the	The
suit	suit	suit
alleges	alleg	alleges
that	that	that
the	the	the
frontrunner	frontrunn	frontrunner
and	and	and
his	his	his
campaign	campaign	campaign
manager	manag	manager
,	,	,
woman	woman	woman
batterer	batter	batterer
Corey	corey	Corey
Lewandowski	lewandowski	Lewandowski
,	,	,
engaged	engag	engaged
in	in	in
defamation	defam	defamation
aimed	aim	aimed
with	with	with
the	the	the
purpose	purpos	purpose
of	of	of
making	make	making
her	her	her
an	an	an
object	object	object
lesson	lesson	lesson
,	,	,
to	to	to
those	those	those
who	who	who
might	might	might
question	question	question
Trump	trump	Trump
and	and	and
his	his	his
fitness	fit	fitness
for	for	for
office	offic	office
,	,	,
to	to	to
incite	incit	incite
a	a	a
virtual	virtual	virtual
mob	mob	mob
against	against	against
her	her	her
,	,	,
to	to	to
destroy	destroy	destroy
her	her	her
reputation	reput	reputation
,	,	,
and	and	and
to	to	to
bully	bulli	bully
her	her	her
.	.	.

The	the	The
bullying	bulli	bullying
tactics	tactic	tactic
occurred	occur	occurred
after	after	after
Jacobus	jacobus	Jacobus
criticized	critic	criticized
the	the	the
frontrunner	frontrunn	frontrunner
on	on	on
TV	tv	TV
and	and	and
Twitter	twitter	Twitter
.	.	.

Jacobus	jacobus	Jacobus
approached	approach	approached
the	the	the
Trump	trump	Trump
campaign	campaign	campaign
with	with	with
the	the	the
hopes	hope	hope
of	of	of
obtaining	obtain	obtaining
a	a	a
job	job	job
as	as	a
communications	communic	communication
director	director	director
,	,	,
but	but	but
decided	decid	decided
against	against	against
it	it	it
after	after	after
finding	find	finding
Lewandowski	lewandowski	Lewandowski
unprofessional	unprofession	unprofessional
and	and	and
a	a	a
powder	powder	powder
keg	keg	keg
,	,	,
meaning	mean	meaning
a	a	a
dangerous	danger	dangerous
or	or	or
volatile	volatil	volatile
person	person	person
or	or	or
situation	situat	situation
.	.	.
Well	well	Well
,	,	,
Trump	trump	Trump
didn	didn	didn
t	t	t
like	like	like
that	that	that
.	.	.

After	after	After
she	she	she
made	made	made
her	her	her
criticism	critic	criticism
public	public	public
,	,	,
Trump	trump	Trump
sent	sent	sent
off	off	off
the	the	the
first	first	first
hate	hate	hate
-tweet	-tweet	-tweet
,	,	,
calling	call	calling
Jacobus	jacobus	Jacobus
a	a	a
real	real	real
dummy	dummi	dummy
.	.	.

When	when	When
Jacobus	jacobus	Jacobus
attempted	attempt	attempted
to	to	to
reign	reign	reign
in	in	in
the	the	the
drama	drama	drama
with	with	with
a	a	a
cease	ceas	cease
-and-desist	-and-desist	-and-desist
letter	letter	letter
,	,	,
the	the	the
frontrunner	frontrunn	frontrunner
took	took	took
to	to	to
Twitter	twitter	Twitter
yet	yet	yet
again	again	again
,	,	,
referring	refer	referring
to	to	to
her	her	her
as	as	a
a	a	a
Major	major	Major
loser	loser	loser
,	,	,
with	with	with
zero	zero	zero
credibility	credibl	credibility
.	.	.

Lewandowski	lewandowski	Lewandowski
then	then	then
went	went	went
on	on	on
MSNBC	msnbc	MSNBC
to	to	to
discredit	discredit	discredit
Jacobus	jacobus	Jacobus
,	,	,
saying	say	saying
This	this	This
is	is	is
the	the	the
same	same	same
person	person	person
,	,	,
I	i	I
ll	ll	ll
just	just	just
tell	tell	tell
ya	ya	ya
,	,	,
who	who	who
came	came	came
to	to	to
the	the	the
office	offic	office
on	on	on
multiple	multipl	multiple
occasions	occas	occasion
trying	tri	trying
to	to	to
get	get	get
a	a	a
job	job	job
from	from	from
the	the	the
Trump	trump	Trump
campaign	campaign	campaign
,	,	,
and	and	and
when	when	when
she	she	she
wasn	wasn	wasn
t	t	t
hired	hire	hired
clearly	clear	clearly
she	she	she
went	went	went
off	off	off
and	and	and
was	was	wa
upset	upset	upset
by	by	by
that	that	that
.	.	.

After	after	After
that	that	that
,	,	,
Jacobus	jacobus	Jacobus
starting	start	starting
getting	get	getting
threatening	threaten	threatening
,	,	,
harassing	harass	harassing
hate	hate	hate
mail	mail	mail
from	from	from
Trump	trump	Trump
supporters	support	supporter
,	,	,
and	and	and
Fox	fox	Fox
News	news	News
stonewalled	stonewal	stonewalled
the	the	the
strategist	strategist	strategist
.	.	.

Jacobus	jacobus	Jacobus
also	also	also
shows	show	show
that	that	that
Trump	trump	Trump
,	,	,
who	who	who
is	is	is
friends	friend	friend
with	with	with
Roger	roger	Roger
Ailes	ail	Ailes
,	,	,
helped	help	helped
convince	convinc	convince
the	the	the
network	network	network
to	to	to
drop	drop	drop
her	her	her
from	from	from
appearing	appear	appearing
on	on	on
their	their	their
cable	cabl	cable
news	news	news
programs	program	program
.	.	.

According	accord	According
to	to	to
Jacobus	jacobus	Jacobus
,	,	,
Lewandowski	lewandowski	Lewandowski
showed	show	showed
her	her	her
the	the	the
email	email	email
where	where	where
Ailes	ail	Ailes
promised	promis	promised
to	to	to
be	be	be
on	on	on
Trump	trump	Trump
s	s	s
side	side	side
,	,	,
not	not	not
hers	her	hers
.	.	.
So	so	So
,	,	,
Donald	donald	Donald
Trump	trump	Trump
resorted	resort	resorted
to	to	to
bullying	bulli	bullying
and	and	and
intimidation	intimid	intimidation
to	to	to
silence	silenc	silence
a	a	a
female	femal	female
strategist	strategist	strategist
who	who	who
didn	didn	didn
t	t	t
agree	agre	agree
with	with	with
him	him	him
?	?	?

I	i	I
m	m	m
shocked	shock	shocked
I	i	I
tell	tell	tell
you	you	you
,	,	,
shocked	shock	shocked
!	!	!

And	and	And
of	of	of
course	cours	course
the	the	the
Trump	trump	Trump
campaign	campaign	campaign
brushed	brush	brushed
off	off	off
the	the	the
lawsuit	lawsuit	lawsuit
as	as	a
just	just	just
another	anoth	another
frivolous	frivol	frivolous
lawsuit	lawsuit	lawsuit
and	and	and
an	an	an
attempt	attempt	attempt
to	to	to
gain	gain	gain
notoriety	notorieti	notoriety
at	at	at
the	the	the
expense	expens	expense
of	of	of
Donald	donald	Donald
Trump	trump	Trump
.	.	.

Much	much	Much
like	like	like
everything	everyth	everything
else	els	else
,	,	,
the	the	the
Trump	trump	Trump
campaign	campaign	campaign
just	just	just
brushes	brush	brush
everything	everyth	everything
off	off	off
,	,	,
and	and	and
