Conservative	conserv	Conservative
political	polit	political
analyst	analyst	analyst
and	and	and
all	all	all
around	around	around
vile	vile	vile
human	human	human
being	be	being
Ann	ann	Ann
Coulter	coulter	Coulter
has	has	ha
decided	decid	decided
that	that	that
in	in	in
the	the	the
wake	wake	wake
of	of	of
the	the	the
whole	whole	whole
fiasco	fiasco	fiasco
with	with	with
Russia	russia	Russia
interfering	interf	interfering
in	in	in
our	our	our
election	elect	election
,	,	,
we	we	we
should	should	should
just	just	just
get	get	get
rid	rid	rid
of	of	of
the	the	the
Central	central	Central
Intelligence	intellig	Intelligence
Agency	agenc	Agency
altogether	altogeth	altogether
.	.	.
Poof	poof	Poof
!	!	!
Problem	problem	Problem
solved	solv	solved
!	!	!
During	dure	During
an	an	an
interview	interview	interview
on	on	on
Sean	sean	Sean
Hannity	hanniti	Hannity
s	s	s
radio	radio	radio
show	show	show
,	,	,
Coulter	coulter	Coulter
was	was	wa
asked	ask	asked
about	about	about
the	the	the
recent	recent	recent
CIA	cia	CIA
revelations	revel	revelation
that	that	that
Russia	russia	Russia
interfered	interf	interfered
in	in	in
our	our	our
election	elect	election
not	not	not
just	just	just
to	to	to
undermine	undermin	undermine
confidence	confid	confidence
in	in	in
U	u	U
.	.	.
S	s	S
.	.	.
elections	elect	election
,	,	,
but	but	but
in	in	in
an	an	an
attempt	attempt	attempt
to	to	to
help	help	help
Donald	donald	Donald
Trump	trump	Trump
win	win	win
the	the	the
White	white	White
House	hous	House
.	.	.
What	what	What
do	do	do
you	you	you
think	think	think
of	of	of
this	this	this
effort	effort	effort
to	to	to
undermine	undermin	undermine
first	first	first
it	it	it
was	was	wa
the	the	the
recount	recount	recount
,	,	,
then	then	then
it	it	it
was	was	wa
the	the	the
Russians	russian	Russians
hacked	hack	hacked
,	,	,
even	even	even
though	though	though
there	there	there
s	s	s
no	no	no
new	new	new
evidence	evid	evidence
at	at	at
all	all	all
and	and	and
the	the	the
FBI	fbi	FBI
and	and	and
director	director	director
of	of	of
national	nation	national
intelligence	intellig	intelligence
disagree	disagre	disagree
.	.	.
And	and	And
I	i	I
know	know	know
because	becaus	because
I	i	I
ve	ve	ve
interviewed	interview	interviewed
a	a	a
number	number	number
of	of	of
these	these	these
people	peopl	people
,	,	,
electors	elector	elector
being	be	being
harassed	harass	harassed
to	to	to
change	chang	change
their	their	their
votes	vote	vote
away	away	away
from	from	from
Trump	trump	Trump
.	.	.
What	what	What
do	do	do
you	you	you
make	make	make
of	of	of
the	the	the
effort	effort	effort
to	to	to
delegitimize	delegitim	delegitimize
him	him	him
?	?	?
Hannity	hanniti	Hannity
asked	ask	asked
.	.	.
Coulter	coulter	Coulter
s	s	s
answer	answer	answer
was	was	wa
even	even	even
more	more	more
jaw	jaw	jaw
-droppingly	-drop	-droppingly
stupid	stupid	stupid
that	that	that
what	what	what
we	we	we
have	have	have
come	come	come
to	to	to
expect	expect	expect
from	from	from
her	her	her
.	.	.
It	it	It
doesn	doesn	doesn
t	t	t
make	make	make
any	ani	any
sense	sens	sense
,	,	,
the	the	the
FBI	fbi	FBI
disputes	disput	dispute
it	it	it
.	.	.
One	one	One
of	of	of
the	the	the
main	main	main
proponents	propon	proponent
of	of	of
this	this	this
,	,	,
of	of	of
this	this	this
Russia	russia	Russia
I	i	I
mean	mean	mean
,	,	,
the	the	the
articles	articl	article
in	in	in
The	the	The
New	new	New
York	york	York
Times	time	Times
and	and	and
The	the	The
Washington	washington	Washington
Post	post	Post
,	,	,
they	they	they
re	re	re
all	all	all
anonymous	anonym	anonymous
sources	sourc	source
from	from	from
the	the	the
CIA	cia	CIA
,	,	,
an	an	an
agency	agenc	agency
we	we	we
really	realli	really
need	need	need
to	to	to
get	get	get
rid	rid	rid
of	of	of
because	becaus	because
it	it	it
is	is	is
utterly	utter	utterly
useless	useless	useless
and	and	and
it	it	it
eats	eat	eats
up	up	up
a	a	a
lot	lot	lot
of	of	of
tax	tax	tax
money	money	money
.	.	.
And	and	And
this	this	this
isn	isn	isn
t	t	t
something	someth	something
I	i	I
m	m	m
bringing	bring	bringing
up	up	up
for	for	for
the	the	the
first	first	first
time	time	time
now	now	now
;	;	;
my	my	my
loyal	loyal	loyal
readers	reader	reader
know	know	know
I	i	I
ve	ve	ve
been	been	been
making	make	making
fun	fun	fun
of	of	of
US	us	US
intelligence	intellig	intelligence
for	for	for
a	a	a
good	good	good
decade	decad	decade
now	now	now
.	.	.
We	we	We
have	have	have
the	the	the
worst	worst	worst
intelligence	intellig	intelligence
collecting	collect	collecting
in	in	in
the	the	the
world	world	world
.	.	.
Worse	wors	Worse
than	than	than
Burkina	burkina	Burkina
Faso	faso	Faso
,	,	,
it	it	it
s	s	s
worse	wors	worse
than	than	than
Walmart	walmart	Walmart
s	s	s
intelligence	intellig	intelligence
,	,	,
because	becaus	because
the	the	the
