Imagine	imagin	Imagine
what	what	what
it	it	it
must	must	must
feel	feel	feel
like	like	like
for	for	for
these	these	these
officers	offic	officer
who	who	who
put	put	put
on	on	on
their	their	their
uniforms	uniform	uniform
and	and	and
go	go	go
to	to	to
work	work	work
,	,	,
risking	risk	risking
their	their	their
lives	live	life
in	in	in
a	a	a
city	citi	city
whose	whose	whose
Mayor	mayor	Mayor
has	has	ha
arrogantly	arrog	arrogantly
displayed	display	displayed
an	an	an
in	in	in
-your-face	-your-fac	-your-face
banner	banner	banner
supporting	support	supporting
a	a	a
cop	cop	cop
-hating	-hate	-hating
movement	movement	movement
over	over	over
the	the	the
front	front	front
entrance	entranc	entrance
of	of	of
the	the	the
City	citi	City
Hall	hall	Hall
Somerville	somervill	Somerville
police	polic	police
officers	offic	officer
are	are	are
asking	ask	asking
that	that	that
the	the	the
city	citi	city
s	s	s
mayor	mayor	mayor
remove	remov	remove
a	a	a
banner	banner	banner
supporting	support	supporting
the	the	the
Black	black	Black
Lives	live	Lives
Matter	matter	Matter
movement	movement	movement
from	from	from
City	citi	City
Hall	hall	Hall
and	and	and
replace	replac	replace
it	it	it
with	with	with
one	one	one
proclaiming	proclaim	proclaiming
All	all	All
Lives	live	Lives
Matter	matter	Matter
.	.	.
In	in	In
a	a	a
Tuesday	tuesday	Tuesday
letter	letter	letter
addressed	address	addressed
to	to	to
Mayor	mayor	Mayor
Joseph	joseph	Joseph
Curtatone	curtaton	Curtatone
,	,	,
the	the	the
Somerville	somervill	Somerville
Police	polic	Police
Employee	employe	Employee
s	s	s
Association	associ	Association
,	,	,
the	the	the
bargaining	bargain	bargaining
unit	unit	unit
for	for	for
90	90	90
-95	-95	-95
patrol	patrol	patrol
officers	offic	officer
,	,	,
called	call	called
the	the	the
city	citi	city
s	s	s
support	support	support
of	of	of
the	the	the
Black	black	Black
Lives	live	Lives
Matter	matter	Matter
movement	movement	movement
and	and	and
the	the	the
display	display	display
of	of	of
the	the	the
banner	banner	banner
deeply	deepli	deeply
troubling	troubl	troubling
.	.	.
It	it	It
is	is	is
as	as	a
inconceivable	inconceiv	inconceivable
to	to	to
us	us	u
as	as	a
it	it	it
is	is	is
demoralizing	demor	demoralizing
that	that	that
our	our	our
City	citi	City
would	would	would
propagate	propag	propagate
its	it	it
support	support	support
for	for	for
this	this	this
movement	movement	movement
while	while	while
standing	stand	standing
silent	silent	silent
over	over	over
the	the	the
seemingly	seem	seemingly
daily	daili	daily
protest	protest	protest
assassinations	assassin	assassination
of	of	of
innocent	innoc	innocent
police	polic	police
officers	offic	officer
around	around	around
the	the	the
country	countri	country
,	,	,
the	the	the
association	associ	association
wrote	wrote	wrote
.	.	.
Citing	cite	Citing
what	what	what
they	they	they
saw	saw	saw
as	as	a
fringe	fring	fringe
elements	element	element
of	of	of
the	the	the
movement	movement	movement
,	,	,
officers	offic	officer
in	in	in
the	the	the
association	associ	association
argued	argu	argued
that	that	that
the	the	the
activists	activist	activist
have	have	have
at	at	at
times	time	time
provoked	provok	provoked
violence	violenc	violence
against	against	against
police	polic	police
around	around	around
the	the	the
nation	nation	nation
,	,	,
including	includ	including
the	the	the
recent	recent	recent
shooting	shoot	shooting
in	in	in
Dallas	dalla	Dallas
that	that	that
killed	kill	killed
five	five	five
officers	offic	officer
.	.	.
The	the	The
point	point	point
is	is	is
that	that	that
these	these	these
incidents	incid	incident
have	have	have
incited	incit	incited
more	more	more
than	than	than
protests	protest	protest
;	;	;
they	they	they
have	have	have
incited	incit	incited
some	some	some
within	within	within
the	the	the
protest	protest	protest
movement	movement	movement
to	to	to
use	use	use
violence	violenc	violence
against	against	against
police	polic	police
officers	offic	officer
who	who	who
had	had	had
nothing	noth	nothing
to	to	to
do	do	do
with	with	with
the	the	the
shootings	shoot	shooting
of	of	of
black	black	black
men	men	men
,	,	,
and	and	and
have	have	have
done	done	done
so	so	so
before	befor	before
all	all	all
of	of	of
the	the	the
facts	fact	fact
of	of	of
each	each	each
case	case	case
were	were	were
known	known	known
,	,	,
the	the	the
letter	letter	letter
said	said	said
.	.	.
While	while	While
the	the	the
association	associ	association
acknowledged	acknowledg	acknowledged
that	that	that
black	black	black
lives	live	life
,	,	,
as	as	a
well	well	well
as	as	a
those	those	those
of	of	of
other	other	other
minorities	minor	minority
,	,	,
matter	matter	matter
just	just	just
as	as	a
much	much	much
as	as	a
white	white	white
lives	live	life
,	,	,
it	it	it
argued	argu	argued
that	that	that
Somerville	somervill	Somerville
s	s	s
open	open	open
support	support	support
for	for	for
the	the	the
movement	movement	movement
could	could	could
imply	impli	imply
that	that	that
the	the	the
department	depart	department
thinks	think	think
otherwise	otherwis	otherwise
.	.	.
At	at	At
the	the	the
same	same	same
time	time	time
,	,	,
we	we	we
strongly	strong	strongly
object	object	object
to	to	to
a	a	a
public	public	public
banner	banner	banner
sponsored	sponsor	sponsored
by	by	by
the	the	the
City	citi	City
that	that	that
implicitly	implicit	implicitly
paints	paint	paint
police	polic	police
officers	offic	officer
as	as	a
the	the	the
killers	killer	killer
of	of	of
innocent	innoc	innocent
citizens	citizen	citizen
of	of	of
color	color	color
when	when	when
there	there	there
is	is	is
no	no	no
evidence	evid	evidence
whatsoever	whatsoev	whatsoever
that	that	that
the	the	the
police	polic	police
officers	offic	officer
in	in	in
the	the	the
City	citi	City
are	are	are
in	in	in
anyway	anyway	anyway
using	use	using
their	their	their
police	polic	police
power	power	power
in	in	in
a	a	a
discriminatory	discriminatori	discriminatory
of	of	of
unlawful	unlaw	unlawful
way	way	way
,	,	,
the	the	the
letter	letter	letter
said	said	said
.	.	.
Instead	instead	Instead
,	,	,
the	the	the
officers	offic	officer
asked	ask	asked
that	that	that
the	the	the
banner	banner	banner
be	be	be
replaced	replac	replaced
with	with	with
one	one	one
that	that	that
reads	read	read
All	all	All
Lives	live	Lives
Matter	matter	Matter
,	,	,
a	a	a
move	move	move
they	they	they
believe	believ	believe
would	would	would
have	have	have
the	the	the
mayor	mayor	mayor
standing	stand	standing
in	in	in
solidarity	solidar	solidarity
with	with	with
the	the	the
police	polic	police
department	depart	department
.	.	.
The	the	The
vast	vast	vast
majority	major	majority
of	of	of
police	polic	police
officers	offic	officer
across	across	across
this	this	this
country	countri	country
are	are	are
tasked	task	tasked
with	with	with
shielding	shield	shielding
,	,	,
protecting	protect	protecting
,	,	,
and	and	and
assisting	assist	assisting
elements	element	element
of	of	of
the	the	the
protest	protest	protest
movement	movement	movement
that	that	that
loath	loath	loath
them	them	them
,	,	,
spit	spit	spit
on	on	on
them	them	them
,	,	,
intentionally	intent	intentionally
injure	injur	injure
them	them	them
and	and	and
wish	wish	wish
death	death	death
upon	upon	upon
them	them	them
,	,	,
the	the	the
association	associ	association
wrote	wrote	wrote
.	.	.
Nonetheless	nonetheless	Nonetheless
,	,	,
it	it	it
is	is	is
generally	general	generally
true	true	true
that	that	that
officers	offic	officer
perform	perform	perform
these	these	these
very	veri	very
tasks	task	task
with	with	with
professionalism	profession	professionalism
,	,	,
honor	honor	honor
,	,	,
integrity	integr	integrity
,	,	,
courage	courag	courage
,	,	,
and	and	and
without	without	without
hesitation	hesit	hesitation
.	.	.
The	the	The
letter	letter	letter
didn	didn	didn
t	t	t
sway	sway	sway
Curtatone	curtaton	Curtatone
,	,	,
who	who	who
said	said	said
he	he	he
doesn	doesn	doesn
t	t	t
plan	plan	plan
to	to	to
remove	remov	remove
the	the	the
banner	banner	banner
.	.	.
My	my	My
unwavering	unwav	unwavering
support	support	support
for	for	for
our	our	our
police	polic	police
officers	offic	officer
does	doe	doe
not	not	not
and	and	and
cannot	cannot	cannot
preempt	preempt	preempt
our	our	our
commitment	commit	commitment
to	to	to
addressing	address	addressing
systemic	system	systemic
racism	racism	racism
in	in	in
our	our	our
nation	nation	nation
,	,	,
Curtatone	curtaton	Curtatone
said	said	said
in	in	in
a	a	a
statement	statement	statement
to	to	to
Boston	boston	Boston
.	.	.
com	com	com
.	.	.
I	i	I
ve	ve	ve
made	made	made
very	veri	very
clear	clear	clear
to	to	to
our	our	our
officers	offic	officer
that	that	that
we	we	we
should	should	should
be	be	be
thankful	thank	thankful
for	for	for
and	and	and
reinforce	reinforc	reinforce
what	what	what
we	we	we
have	have	have
here	here	here
in	in	in
Somerville	somervill	Somerville
a	a	a
safer	safer	safer
community	communiti	community
thanks	thank	thanks
to	to	to
the	the	the
highest	highest	highest
quality	qualiti	quality
policing	polic	policing
by	by	by
a	a	a
force	forc	force
dedicated	dedic	dedicated
to	to	to
community	communiti	community
policing	polic	policing
,	,	,
de	de	de
-escalation	-escal	-escalation
,	,	,
proper	proper	proper
use	use	use
of	of	of
force	forc	force
,	,	,
and	and	and
anti	anti	anti
-bias	-bia	-bias
awareness	awar	awareness
.	.	.
Via	via	Via
Boston	boston	Boston
Heraldh	heraldh	Heraldh
t	t	t
Police	polic	Police
Mag	mag	Mag
