Clearly	clear	Clearly
,	,	,
there	there	there
is	is	is
no	no	no
low	low	low
Trump	trump	Trump
supporters	support	supporter
won	won	won
t	t	t
stoop	stoop	stoop
in	in	in
the	the	the
effort	effort	effort
to	to	to
get	get	get
him	him	him
elected	elect	elected
president	presid	president
.	.	.
Ever	ever	Ever
since	sinc	since
the	the	the
Republican	republican	Republican
nominee	nomine	nominee
told	told	told
his	his	his
deplorable	deplor	deplorable
supporters	support	supporter
that	that	that
the	the	the
election	elect	election
is	is	is
rigged	rig	rigged
and	and	and
that	that	that
they	they	they
should	should	should
become	becom	become
poll	poll	poll
watchers	watcher	watcher
there	there	there
has	has	ha
been	been	been
multiple	multipl	multiple
incidents	incid	incident
of	of	of
voter	voter	voter
intimidation	intimid	intimidation
,	,	,
voter	voter	voter
suppression	suppress	suppression
,	,	,
and	and	and
voter	voter	voter
fraud	fraud	fraud
by	by	by
Trump	trump	Trump
supporters	support	supporter
and	and	and
even	even	even
an	an	an
act	act	act
of	of	of
violence	violenc	violence
against	against	against
a	a	a
polling	poll	polling
place	place	place
.	.	.
And	and	And
another	anoth	another
Trump	trump	Trump
supporter	support	supporter
just	just	just
got	got	got
caught	caught	caught
trying	tri	trying
to	to	to
intimidate	intimid	intimidate
early	earli	early
voters	voter	voter
into	into	into
leaving	leav	leaving
an	an	an
Arkansas	arkansa	Arkansas
polling	poll	polling
place	place	place
.	.	.
Thus	thus	Thus
far	far	far
,	,	,
early	earli	early
voting	vote	voting
has	has	ha
benefited	benefit	benefited
Hillary	hillari	Hillary
Clinton	clinton	Clinton
and	and	and
that	that	that
s	s	s
a	a	a
big	big	big
deal	deal	deal
with	with	with
only	onli	only
four	four	four
days	day	day
left	left	left
until	until	until
Election	elect	Election
Day	day	Day
.	.	.

So	so	So
Jefferson	jefferson	Jefferson
County	counti	County
Election	elect	Election
Commission	commiss	Commission
Stu	stu	Stu
Soffer	soffer	Soffer
,	,	,
who	who	who
is	is	is
a	a	a
Trump	trump	Trump
supporter	support	supporter
,	,	,
used	use	used
his	his	his
poll	poll	poll
watcher	watcher	watcher
credentials	credenti	credential
and	and	and
stood	stood	stood
in	in	in
a	a	a
doorway	doorway	doorway
to	to	to
yell	yell	yell
at	at	at
early	earli	early
voters	voter	voter
at	at	at
the	the	the
Pine	pine	Pine
Bluff	bluff	Bluff
polling	poll	polling
location	locat	location
to	to	to
leave	leav	leave
.	.	.

Shut	shut	Shut
up	up	up
and	and	and
go	go	go
home	home	home
,	,	,
Soffer	soffer	Soffer
yelled	yell	yelled
while	while	while
blocking	block	blocking
the	the	the
entrance	entranc	entrance
to	to	to
the	the	the
voting	vote	voting
booths	booth	booth
according	accord	according
to	to	to
Jefferson	jefferson	Jefferson
County	counti	County
Clerk	clerk	Clerk
Patricia	patricia	Patricia
Johnson	johnson	Johnson
and	and	and
a	a	a
voter	voter	voter
named	name	named
Victor	victor	Victor
who	who	who
did	did	did
not	not	not
get	get	get
to	to	to
cast	cast	cast
his	his	his
ballot	ballot	ballot
because	becaus	because
of	of	of
Soffer	soffer	Soffer
s	s	s
interference	interfer	interference
.	.	.

As	as	As
a	a	a
result	result	result
of	of	of
the	the	the
disruption	disrupt	disruption
and	and	and
confusion	confus	confusion
caused	caus	caused
by	by	by
Stu	stu	Stu
Soffer	soffer	Soffer
and	and	and
other	other	other
Republicans	republican	Republicans
I	i	I
was	was	wa
not	not	not
able	abl	able
to	to	to
cast	cast	cast
my	my	my
ballot	ballot	ballot
that	that	that
day	day	day
,	,	,
Victor	victor	Victor
said	said	said
.	.	.
According	accord	According
to	to	to
attorney	attorney	attorney
Chris	chris	Chris
Burke	burk	Burke
,	,	,
who	who	who
represents	repres	represents
Victor	victor	Victor
in	in	in
the	the	the
lawsuit	lawsuit	lawsuit
filed	file	filed
against	against	against
Soffer	soffer	Soffer
,	,	,
Mr	mr	Mr
.	.	.
Soffer	soffer	Soffer
stood	stood	stood
in	in	in
the	the	the
doorway	doorway	doorway
of	of	of
the	the	the
early	earli	early
-voting	-vote	-voting
location	locat	location
and	and	and
told	told	told
voters	voter	voter
to	to	to
shut	shut	shut
up	up	up
and	and	and
go	go	go
home	home	home
.	.	.

As	as	As
a	a	a
result	result	result
,	,	,
Victor	victor	Victor
and	and	and
many	mani	many
other	other	other
voters	voter	voter
were	were	were
unable	unabl	unable
to	to	to
cast	cast	cast
their	their	their
votes	vote	vote
that	that	that
day	day	day
.	.	.

This	this	This
is	is	is
deeply	deepli	deeply
troubling	troubl	troubling
to	to	to
the	the	the
voters	voter	voter
of	of	of
Jefferson	jefferson	Jefferson
County	counti	County
and	and	and
also	also	also
to	to	to
the	the	the
election	elect	election
administrators	administr	administrator
whose	whose	whose
job	job	job
it	it	it
is	is	is
to	to	to
administer	administ	administer
the	the	the
elections	elect	election
free	free	free
of	of	of
fear	fear	fear
and	and	and
intimidation	intimid	intimidation
,	,	,
Burke	burk	Burke
added	ad	added
.	.	.
This	this	This
is	is	is
just	just	just
the	the	the
latest	latest	latest
incident	incid	incident
of	of	of
a	a	a
Trump	trump	Trump
supporter	support	supporter
trying	tri	trying
to	to	to
rig	rig	rig
the	the	the
election	elect	election
for	for	for
Donald	donald	Donald
Trump	trump	Trump
.	.	.
In	in	In
Green	green	Green
Bay	bay	Bay
,	,	,
Wisconsin	wisconsin	Wisconsin
a	a	a
city	citi	city
clerk	clerk	clerk
tried	tri	tried
to	to	to
deny	deni	deny
a	a	a
request	request	request
for	for	for
an	an	an
extra	extra	extra
polling	poll	polling
place	place	place
near	near	near
the	the	the
local	local	local
university	univers	university
solely	sole	solely
on	on	on
the	the	the
grounds	ground	ground
that	that	that
she	she	she
believes	believ	belief
college	colleg	college
students	student	student
are	are	are
more	more	more
likely	like	likely
to	to	to
vote	vote	vote
for	for	for
Democrats	democrat	Democrats
.	.	.
In	in	In
Iowa	iowa	Iowa
,	,	,
a	a	a
Trump	trump	Trump
supporter	support	supporter
literally	liter	literally
got	got	got
caught	caught	caught
trying	tri	trying
to	to	to
vote	vote	vote
twice	twice	twice
and	and	and
was	was	wa
arrested	arrest	arrested
.	.	.
And	and	And
a	a	a
right	right	right
-wing	-wing	-wing
group	group	group
is	is	is
creating	creat	creating
fake	fake	fake
badges	badg	badge
so	so	so
they	they	they
can	can	can
infiltrate	infiltr	infiltrate
polling	poll	polling
places	place	place
in	in	in
order	order	order
to	to	to
intimidate	intimid	intimidate
voters	voter	voter
on	on	on
Election	elect	Election
Day	day	Day
for	for	for
Trump	trump	Trump
.	.	.
These	these	These
incidents	incid	incident
,	,	,
including	includ	including
this	this	this
recent	recent	recent
one	one	one
in	in	in
Arkansas	arkansa	Arkansas
prove	prove	prove
that	that	that
Trump	trump	Trump
supporters	support	supporter
are	are	are
trying	tri	trying
to	to	to
rig	rig	rig
the	the	the
election	elect	election
for	for	for
their	their	their
candidate	candid	candidate
and	and	and
it	it	it
s	s	s
only	onli	only
going	go	going
to	to	to
get	get	get
worse	wors	worse
in	in	in
the	the	the
days	day	day
ahead	ahead	ahead
,	,	,
especially	especi	especially
on	on	on
Election	elect	Election
Day	day	Day
as	as	a
conservatives	conserv	conservative
desperately	desper	desperately
try	tri	try
to	to	to
secure	secur	secure
a	a	a
victory	victori	victory
for	for	for
the	the	the
Republican	republican	Republican
nominee	nomine	nominee
by	by	by
hook	hook	hook
or	or	or
by	by	by
crook	crook	crook
.	.	.
Featured	featur	Featured
Image	imag	Image
Facebook	facebook	Facebook

