During	dure	During
the	the	the
most	most	most
recent	recent	recent
Republican	republican	Republican
Presidential	presidenti	Presidential
debate	debat	debate
,	,	,
Donald	donald	Donald
Trump	trump	Trump
proposed	propos	proposed
getting	get	getting
rid	rid	rid
of	of	of
the	the	the
Environmental	environment	Environmental
Protection	protect	Protection
Agency	agenc	Agency
altogether	altogeth	altogether
,	,	,
a	a	a
government	govern	government
agency	agenc	agency
founded	found	founded
in	in	in
1970	1970	1970
by	by	by
Republican	republican	Republican
President	presid	President
Richard	richard	Richard
Nixon	nixon	Nixon
.	.	.

Trump	trump	Trump
s	s	s
skewed	skew	skewed
logic	logic	logic
was	was	wa
the	the	the
agency	agenc	agency
s	s	s
8	8	8
billion	billion	billion
budget	budget	budget
is	is	is
wasted	wast	wasted
and	and	and
should	should	should
be	be	be
reallocated	realloc	reallocated
to	to	to
the	the	the
states	state	state
.	.	.
In	in	In
response	respons	response
to	to	to
Rubio	rubio	Rubio
s	s	s
pressing	press	pressing
of	of	of
Trump	trump	Trump
for	for	for
what	what	what
his	his	his
plan	plan	plan
is	is	is
to	to	to
cut	cut	cut
taxes	tax	tax
and	and	and
balance	balanc	balance
the	the	the
federal	feder	federal
budget	budget	budget
,	,	,
Trump	trump	Trump
replied	repli	replied
Environmental	environment	Environmental
protection	protect	protection
we	we	we
waste	wast	waste
all	all	all
of	of	of
this	this	this
money	money	money
.	.	.

We	we	We
re	re	re
going	go	going
to	to	to
bring	bring	bring
that	that	that
back	back	back
to	to	to
the	the	the
states	state	state
.	.	.

We	we	We
are	are	are
going	go	going
to	to	to
cut	cut	cut
many	mani	many
of	of	of
the	the	the
agencies	agenc	agency
,	,	,
we	we	we
will	will	will
balance	balanc	balance
our	our	our
budget	budget	budget
and	and	and
we	we	we
will	will	will
be	be	be
dynamic	dynam	dynamic
again	again	again
.	.	.

The	the	The
radical	radic	radical
proposal	propos	proposal
of	of	of
Trump	trump	Trump
defies	defi	defies
anything	anyth	anything
remotely	remot	remotely
close	close	close
to	to	to
being	be	being
realistic	realist	realistic
.	.	.

Trump	trump	Trump
has	has	ha
also	also	also
accused	accus	accused
the	the	the
EPA	epa	EPA
of	of	of
creating	creat	creating
more	more	more
damage	damag	damage
than	than	than
they	they	they
protect	protect	protect
and	and	and
making	make	making
it	it	it
impossible	imposs	impossible
for	for	for
the	the	the
country	countri	country
to	to	to
compete	compet	compete
.	.	.

His	his	His
rhetoric	rhetor	rhetoric
is	is	is
part	part	part
of	of	of
the	the	the
mode	mode	mode
of	of	of
thinking	think	thinking
many	mani	many
of	of	of
his	his	his
supporters	support	supporter
have	have	have
,	,	,
that	that	that
the	the	the
government	govern	government
somehow	somehow	somehow
is	is	is
impeding	imped	impeding
their	their	their
ability	abil	ability
to	to	to
improve	improv	improve
their	their	their
lives	live	life
,	,	,
and	and	and
the	the	the
solution	solut	solution
is	is	is
de	de	de
-regulating	-regul	-regulating
everything	everyth	everything
in	in	in
order	order	order
for	for	for
a	a	a
free	free	free
market	market	market
of	of	of
competition	competit	competition
will	will	will
solve	solv	solve
everything	everyth	everything
.	.	.

In	in	In
reality	realiti	reality
,	,	,
dissolving	dissolv	dissolving
the	the	the
EPA	epa	EPA
,	,	,
which	which	which
would	would	would
involve	involv	involve
repealing	repeal	repealing
many	mani	many
environmental	environment	environmental
laws	law	law
,	,	,
would	would	would
leave	leav	leave
environmental	environment	environmental
protection	protect	protection
up	up	up
to	to	to
the	the	the
states	state	state
,	,	,
where	where	where
most	most	most
do	do	do
not	not	not
have	have	have
the	the	the
resources	resourc	resource
to	to	to
enforce	enforc	enforce
meaningful	meaning	meaningful
environmental	environment	environmental
regulations	regul	regulation
.	.	.

This	this	This
would	would	would
also	also	also
cause	caus	cause
a	a	a
vacuum	vacuum	vacuum
of	of	of
competition	competit	competition
where	where	where
states	state	state
would	would	would
try	tri	try
to	to	to
appeal	appeal	appeal
to	to	to
hazardous	hazard	hazardous
industries	industri	industry
to	to	to
come	come	come
to	to	to
their	their	their
state	state	state
by	by	by
downgrading	downgrad	downgrading
environmental	environment	environmental
regulations	regul	regulation
.	.	.
Because	becaus	Because
the	the	the
entire	entir	entire
Republican	republican	Republican
Party	parti	Party
has	has	ha
lost	lost	lost
their	their	their
minds	mind	mind
,	,	,
Trump	trump	Trump
s	s	s
proposal	propos	proposal
is	is	is
one	one	one
that	that	that
has	has	ha
also	also	also
been	been	been
adopted	adopt	adopted
by	by	by
Senator	senat	Senator
Marco	marco	Marco
Rubio	rubio	Rubio
and	and	and
Senator	senat	Senator
Ted	ted	Ted
Cruz	cruz	Cruz
.	.	.

This	this	This
past	past	past
January	januari	January
,	,	,
Rubio	rubio	Rubio
dubbed	dub	dubbed
the	the	the
EPA	epa	EPA
,	,	,
the	the	the
Employment	employ	Employment
Prevention	prevent	Prevention
Agency	agenc	Agency
,	,	,
adding	ad	adding
the	the	the
agency	agenc	agency
s	s	s
regulations	regul	regulation
are	are	are
out	out	out
of	of	of
control	control	control
and	and	and
hurt	hurt	hurt
our	our	our
economy	economi	economy
.	.	.
Cruz	cruz	Cruz
,	,	,
who	who	who
already	alreadi	already
is	is	is
notorious	notori	notorious
for	for	for
wanting	want	wanting
to	to	to
repeal	repeal	repeal
all	all	all
federal	feder	federal
climate	climat	climate
change	chang	change
regulation	regul	regulation
and	and	and
the	the	the
Clean	clean	Clean
Air	air	Air
Act	act	Act
,	,	,
told	told	told
Breitbart	breitbart	Breitbart
News	news	News
in	in	in
2015	2015	2015
,	,	,
I	i	I
think	think	think
states	state	state
should	should	should
press	press	press
back	back	back
using	use	using
every	everi	every
tool	tool	tool
they	they	they
have	have	have
available	avail	available
.	.	.

We	we	We
ve	ve	ve
got	got	got
to	to	to
rein	rein	rein
in	in	in
a	a	a
lawless	lawless	lawless
executive	execut	executive
that	that	that
is	is	is
abusing	abus	abusing
its	it	it
power	power	power
,	,	,
in	in	in
response	respons	response
to	to	to
a	a	a
question	question	question
as	as	a
to	to	to
whether	whether	whether
states	state	state
should	should	should
comply	compli	comply
with	with	with
EPA	epa	EPA
coal	coal	coal
regulations	regul	regulation
.	.	.
The	the	The
proposal	propos	proposal
to	to	to
get	get	get
rid	rid	rid
of	of	of
the	the	the
EPA	epa	EPA
would	would	would
be	be	be
disastrous	disastr	disastrous
for	for	for
the	the	the
environment	environ	environment
and	and	and
the	the	the
daily	daili	daily
lives	live	life
of	of	of
every	everi	every
American	american	American
.	.	.

The	the	The
endemic	endem	endemic
species	speci	specie
throughout	throughout	throughout
this	this	this
country	countri	country
and	and	and
the	the	the
ecosystems	ecosystem	ecosystem
they	they	they
inhabit	inhabit	inhabit
are	are	are
already	alreadi	already
under	under	under
insurmountable	insurmount	insurmountable
stress	stress	stress
,	,	,
and	and	and
the	the	the
science	scienc	science
overwhelmingly	overwhelm	overwhelmingly
shows	show	show
environmental	environment	environmental
regulations	regul	regulation
,	,	,
caps	cap	cap
,	,	,
and	and	and
oversight	oversight	oversight
are	are	are
needed	need	needed
to	to	to
mitigate	mitig	mitigate
the	the	the
effects	effect	effect
of	of	of
climate	climat	climate
change	chang	change
and	and	and
other	other	other
environmental	environment	environmental
influences	influenc	influence
.	.	.
Dissolving	dissolv	Dissolving
the	the	the
EPA	epa	EPA
is	is	is
just	just	just
one	one	one
of	of	of
the	the	the
many	mani	many
dangers	danger	danger
the	the	the
Republican	republican	Republican
presidential	presidenti	presidential
candidates	candid	candidate
pose	pose	pose
to	to	to
the	the	the
American	american	American
public	public	public
if	if	if
elected	elect	elected
,	,	,
and	and	and
if	if	if
they	they	they
were	were	were
ever	ever	ever
successful	success	successful
in	in	in
doing	do	doing
so	so	so
,	,	,
the	the	the
damage	damag	damage
incurred	incur	incurred
could	could	could
potentially	potenti	potentially
destroy	destroy	destroy
parts	part	part
of	of	of
the	the	the
country	countri	country
indefinitely	indefinit	indefinitely
with	with	with
hazardous	hazard	hazardous
sites	site	site
,	,	,
toxic	toxic	toxic
waste	wast	waste
pollution	pollut	pollution
,	,	,
and	and	and
increasing	increas	increasing
emission	emiss	emission
rates	rate	rate
becoming	becom	becoming
more	more	more
of	of	of
the	the	the
norm	norm	norm
.	.	.

If	if	If
anything	anyth	anything
,	,	,
the	the	the
EPA	epa	EPA
s	s	s
funding	fund	funding
needs	need	need
to	to	to
be	be	be
increased	increas	increased
,	,	,
and	and	and
the	the	the
agency	agenc	agency
improved	improv	improved
by	by	by
making	make	making
it	it	it
more	more	more
effective	effect	effective
,	,	,
because	becaus	because
the	the	the
stakes	stake	stake
couldn	couldn	couldn
t	t	t
be	be	be
higher	higher	higher
.	.	.

America	america	America
cannot	cannot	cannot
afford	afford	afford
a	a	a
president	presid	president
who	who	who
doesn	doesn	doesn
t	t	t
understand	understand	understand
action	action	action
needs	need	need
to	to	to
be	be	be
made	made	made
to	to	to
combat	combat	combat
climate	climat	climate
change	chang	change
,	,	,
not	not	not
worsen	worsen	worsen
it	it	it
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Screen	screen	Screen
Capture	captur	Capture

