Margaret	margaret	Margaret
Sawyer	sawyer	Sawyer
was	was	wa
shocked	shock	shocked
when	when	when
she	she	she
encountered	encount	encountered
a	a	a
blatantly	blatant	blatantly
racist	racist	racist
swim	swim	swim
safe	safe	safe
poster	poster	poster
at	at	at
a	a	a
public	public	public
swimming	swim	swimming
pool	pool	pool
in	in	in
Salida	salida	Salida
,	,	,
Colorado	colorado	Colorado
.	.	.
Titled	titl	Titled
Be	be	Be
Cool	cool	Cool
,	,	,
Follow	follow	Follow
The	the	The
Rules	rule	Rules
,	,	,
the	the	the
poster	poster	poster
,	,	,
produced	produc	produced
by	by	by
the	the	the
Red	red	Red
Cross	cross	Cross
,	,	,
shows	show	show
Black	black	Black
and	and	and
white	white	white
children	children	child
engaged	engag	engaged
in	in	in
various	various	various
activities	activ	activity
around	around	around
a	a	a
public	public	public
swimming	swim	swimming
pool	pool	pool
.	.	.
Arrows	arrow	Arrows
pointing	point	pointing
to	to	to
the	the	the
children	children	child
are	are	are
accompanied	accompani	accompanied
by	by	by
the	the	the
words	word	word
Cool	cool	Cool
,	,	,
or	or	or
Not	not	Not
Cool	cool	Cool
.	.	.
As	as	As
you	you	you
can	can	can
see	see	see
from	from	from
the	the	the
image	imag	image
below	below	below
,	,	,
all	all	all
of	of	of
the	the	the
dark	dark	dark
-skinned	-skin	-skinned
children	children	child
are	are	are
misbehaving	misbehav	misbehaving
in	in	in
the	the	the
picture	pictur	picture
.	.	.
The	the	The
labels	label	label
placed	place	placed
on	on	on
these	these	these
kids	kid	kid
read	read	read
Not	not	Not
Cool	cool	Cool
.	.	.
In	in	In
contrast	contrast	contrast
,	,	,
the	the	the
white	white	white
boys	boy	boy
and	and	and
girls	girl	girl
are	are	are
shown	shown	shown
doing	do	doing
something	someth	something
acceptable	accept	acceptable
.	.	.
These	these	These
kids	kid	kid
are	are	are
labelled	label	labelled
Cool	cool	Cool
.	.	.
Image	imag	Image
credit	credit	credit
John	john	John
Sawyer	sawyer	Sawyer
via	via	via
TwitterAfter	twitteraft	TwitterAfter
seeing	see	seeing
the	the	the
poster	poster	poster
,	,	,
Sawyer	sawyer	Sawyer
says	say	say
she	she	she
reported	report	reported
her	her	her
concerns	concern	concern
to	to	to
the	the	the
lifeguard	lifeguard	lifeguard
on	on	on
duty	duti	duty
.	.	.
She	she	She
also	also	also
followed	follow	followed
up	up	up
by	by	by
writing	write	writing
a	a	a
letter	letter	letter
to	to	to
the	the	the
management	manag	management
of	of	of
the	the	the
facility	facil	facility
.	.	.
She	she	She
assumed	assum	assumed
that	that	that
would	would	would
be	be	be
the	the	the
end	end	end
of	of	of
it	it	it
.	.	.
At	at	At
the	the	the
time	time	time
she	she	she
,	,	,
she	she	she
says	say	say
,	,	,
she	she	she
believed	believ	believed
that	that	that
the	the	the
poster	poster	poster
was	was	wa
printed	print	printed
years	year	year
ago	ago	ago
and	and	and
just	just	just
never	never	never
taken	taken	taken
down	down	down
.	.	.
When	when	When
she	she	she
and	and	and
her	her	her
family	famili	family
visited	visit	visited
another	anoth	another
Colorado	colorado	Colorado
pool	pool	pool
,	,	,
this	this	this
time	time	time
in	in	in
Fort	fort	Fort
Morgan	morgan	Morgan
,	,	,
Sawyer	sawyer	Sawyer
was	was	wa
shocked	shock	shocked
to	to	to
find	find	find
the	the	the
exact	exact	exact
same	same	same
poster	poster	poster
on	on	on
display	display	display
there	there	there
.	.	.
She	she	She
again	again	again
reported	report	reported
it	it	it
to	to	to
