Many	mani	Many
Republicans	republican	Republicans
have	have	have
expressed	express	expressed
the	the	the
opinion	opinion	opinion
that	that	that
Donald	donald	Donald
Trump	trump	Trump
is	is	is
an	an	an
absolute	absolut	absolute
idiot	idiot	idiot
,	,	,
but	but	but
this	this	this
new	new	new
diss	diss	dis
from	from	from
Senate	senat	Senate
Majority	major	Majority
Leader	leader	Leader
Mitch	mitch	Mitch
McConnell	mcconnel	McConnell
gives	give	give
new	new	new
weight	weight	weight
to	to	to
that	that	that
harsh	harsh	harsh
truth	truth	truth
.	.	.
Yesterday	yesterday	Yesterday
,	,	,
in	in	in
speaking	speak	speaking
on	on	on
Bloomberg	bloomberg	Bloomberg
Politics	polit	Politics
Masters	master	Masters
in	in	in
Politics	polit	Politics
podcast	podcast	podcast
,	,	,
McConnell	mcconnel	McConnell
basically	basic	basically
said	said	said
that	that	that
Trump	trump	Trump
needed	need	needed
to	to	to
have	have	have
a	a	a
Vice	vice	Vice
President	presid	President
that	that	that
was	was	wa
more	more	more
qualified	qualifi	qualified
than	than	than
him	him	him
,	,	,
because	becaus	because
it	it	it
is	is	is
pretty	pretti	pretty
obvious	obvious	obvious
that	that	that
Trump	trump	Trump
doesn	doesn	doesn
t	t	t
know	know	know
a	a	a
lot	lot	lot
about	about	about
the	the	the
issues	issu	issue
.	.	.

Ouch	ouch	Ouch
!	!	!
McConnell	mcconnel	McConnell
said	said	said
He	he	He
needs	need	need
someone	someon	someone
highly	high	highly
experienced	experienc	experienced
and	and	and
very	veri	very
knowledgeable	knowledg	knowledgeable
because	becaus	because
it	it	it
s	s	s
pretty	pretti	pretty
obvious	obvious	obvious
he	he	he
doesn	doesn	doesn
t	t	t
know	know	know
a	a	a
lot	lot	lot
about	about	about
the	the	the
issues	issu	issue
.	.	.

You	you	You
see	see	see
that	that	that
in	in	in
the	the	the
debates	debat	debate
in	in	in
which	which	which
he	he	he
s	s	s
participated	particip	participated
.	.	.

It	it	It
s	s	s
why	whi	why
I	i	I
have	have	have
argued	argu	argued
to	to	to
him	him	him
publicly	public	publicly
and	and	and
privately	privat	privately
that	that	that
he	he	he
ought	ought	ought
to	to	to
use	use	use
a	a	a
script	script	script
more	more	more
often	often	often
there	there	there
is	is	is
nothing	noth	nothing
wrong	wrong	wrong
with	with	with
having	have	having
prepared	prepar	prepared
texts	text	text
.	.	.

McConnell	mcconnel	McConnell
has	has	ha
previously	previous	previously
criticized	critic	criticized
Trump	trump	Trump
for	for	for
several	sever	several
things	thing	thing
,	,	,
his	his	his
blatant	blatant	blatant
racism	racism	racism
being	be	being
just	just	just
one	one	one
of	of	of
them	them	them
.	.	.

More	more	More
recently	recent	recently
,	,	,
the	the	the
Senate	senat	Senate
Majority	major	Majority
Leader	leader	Leader
called	call	called
Trump	trump	Trump
s	s	s
controversial	controversi	controversial
comments	comment	comment
about	about	about
Judge	judg	Judge
Gonzalo	gonzalo	Gonzalo
Curiel	curiel	Curiel
not	not	not
being	be	being
fair	fair	fair
in	in	in
overseeing	overse	overseeing
the	the	the
fraudulent	fraudul	fraudulent
Trump	trump	Trump
University	univers	University
case	case	case
because	becaus	because
of	of	of
his	his	his
Mexican	mexican	Mexican
heritage	heritag	heritage
totally	total	totally
inappropriate	inappropri	inappropriate
.	.	.

McConnell	mcconnel	McConnell
added	ad	added
on	on	on
the	the	the
podcast	podcast	podcast
I	i	I
object	object	object
to	to	to
a	a	a
whole	whole	whole
series	seri	series
of	of	of
things	thing	thing
that	that	that
he	he	he
s	s	s
said	said	said
vehemently	vehement	vehemently
object	object	object
to	to	to
them	them	them
.	.	.

I	i	I
think	think	think
all	all	all
of	of	of
that	that	that
needs	need	need
to	to	to
stop	stop	stop
.	.	.

Both	both	Both
the	the	the
shots	shot	shot
at	at	at
people	peopl	people
he	he	he
defeated	defeat	defeated
in	in	in
the	the	the
primary	primari	primary
and	and	and
these	these	these
attacks	attack	attack
on	on	on
various	various	various
ethnic	ethnic	ethnic
groups	group	group
in	in	in
the	the	the
country	countri	country
.	.	.

Unfortunately	unfortun	Unfortunately
,	,	,
despite	despit	despite
the	the	the
fact	fact	fact
that	that	that
McConnell	mcconnel	McConnell
practically	practic	practically
admitted	admit	admitted
that	that	that
he	he	he
thinks	think	think
Trump	trump	Trump
is	is	is
an	an	an
idiot	idiot	idiot
and	and	and
incapable	incap	incapable
of	of	of
running	run	running
the	the	the
country	countri	country
,	,	,
he	he	he
still	still	still
found	found	found
it	it	it
in	in	in
himself	himself	himself
to	to	to
say	say	say
,	,	,
I	i	I
m	m	m
comfortable	comfort	comfortable
supporting	support	supporting
him	him	him
.	.	.

I	i	I
m	m	m
not	not	not
going	go	going
to	to	to
speculate	specul	speculate
about	about	about
what	what	what
he	he	he
might	might	might
say	say	say
,	,	,
or	or	or
what	what	what
I	i	I
might	might	might
do	do	do
.	.	.

But	but	But
I	i	I
think	think	think
it	it	it
s	s	s
pretty	pretti	pretty
clear	clear	clear
and	and	and
I	i	I
ve	ve	ve
been	been	been
pretty	pretti	pretty
clear	clear	clear
publicly	public	publicly
about	about	about
how	how	how
I	i	I
think	think	think
he	he	he
ought	ought	ought
to	to	to
change	chang	change
direction	direct	direction
and	and	and
I	i	I
hope	hope	hope
that	that	that
s	s	s
what	what	what
we	we	we
are	are	are
going	go	going
to	to	to
see	see	see
.	.	.
For	for	For
all	all	all
of	of	of
his	his	his
obvious	obvious	obvious
shortcomings	shortcom	shortcoming
,	,	,
Donald	donald	Donald
Trump	trump	Trump
is	is	is
certainly	certain	certainly
a	a	a
different	differ	different
direction	direct	direction
,	,	,
and	and	and
I	i	I
think	think	think
if	if	if
he	he	he
is	is	is
in	in	in
the	the	the
White	white	White
House	hous	House
he	he	he
ll	ll	ll
have	have	have
to	to	to
respond	respond	respond
to	to	to
the	the	the
right	right	right
-of-center	-of-cent	-of-center
world	world	world
which	which	which
elected	elect	elected
him	him	him
,	,	,
and	and	and
the	the	the
things	thing	thing
that	that	that
we	we	we
believe	believ	believe
in	in	in
.	.	.

So	so	So
I	i	I
m	m	m
comfortable	comfort	comfortable
supporting	support	supporting
him	him	him
.	.	.

They	they	They
may	may	may
be	be	be
on	on	on
different	differ	different
sides	side	side
of	of	of
the	the	the
political	polit	political
spectrum	spectrum	spectrum
,	,	,
but	but	but
Trump	trump	Trump
s	s	s
incompetency	incompet	incompetency
is	is	is
something	someth	something
that	that	that
McConnell	mcconnel	McConnell
and	and	and
our	our	our
President	presid	President
can	can	can
actually	actual	actually
agree	agre	agree
on	on	on
.	.	.

McConnell	mcconnel	McConnell
s	s	s
comments	comment	comment
about	about	about
Trump	trump	Trump
not	not	not
knowing	know	knowing
anything	anyth	anything
about	about	about
the	the	the
issues	issu	issue
that	that	that
America	america	America
s	s	s
commander	command	commander
-in-chief	-in-chief	-in-chief
would	would	would
face	face	face
is	is	is
something	someth	something
that	that	that
Obama	obama	Obama
has	has	ha
previously	previous	previously
said	said	said
about	about	about
the	the	the
business	busi	business
mogul	mogul	mogul
.	.	.
At	at	At
a	a	a
nuclear	nuclear	nuclear
summit	summit	summit
in	in	in
Washington	washington	Washington
D	d	D
.	.	.
C	c	C
.	.	.
,	,	,
Obama	obama	Obama
called	call	called
out	out	out
Trump	trump	Trump
s	s	s
ignorance	ignor	ignorance
on	on	on
nuclear	nuclear	nuclear
proliferation	prolifer	proliferation
and	and	and
global	global	global
politics	polit	politics
.	.	.

In	in	In
