Once	onc	Once
again	again	again
,	,	,
Republicans	republican	Republicans
have	have	have
found	found	found
another	anoth	another
cruel	cruel	cruel
way	way	way
to	to	to
punish	punish	punish
poor	poor	poor
people	peopl	people
who	who	who
need	need	need
government	govern	government
assistance	assist	assistance
to	to	to
prevent	prevent	prevent
themselves	themselv	themselves
and	and	and
their	their	their
children	children	child
from	from	from
starving	starv	starving
to	to	to
death	death	death
.	.	.
Alabama	alabama	Alabama
Republicans	republican	Republicans
passed	pass	passed
a	a	a
bill	bill	bill
in	in	in
committee	committe	committee
last	last	last
week	week	week
that	that	that
would	would	would
significantly	signific	significantly
hammer	hammer	hammer
families	famili	family
who	who	who
rely	reli	rely
on	on	on
food	food	food
stamps	stamp	stamp
to	to	to
get	get	get
by	by	by
.	.	.

Yet	yet	Yet
Republicans	republican	Republicans
still	still	still
expect	expect	expect
those	those	those
people	peopl	people
to	to	to
have	have	have
jobs	job	job
,	,	,
which	which	which
is	is	is
kinda	kinda	kinda
hard	hard	hard
if	if	if
they	they	they
have	have	have
no	no	no
mode	mode	mode
of	of	of
transportation	transport	transportation
to	to	to
get	get	get
to	to	to
work	work	work
every	everi	every
day	day	day
.	.	.
According	accord	According
to	to	to
the	the	the
Montgomery	montgomeri	Montgomery
Advertiser	advertis	Advertiser
,	,	,
The	the	The
legislation	legisl	legislation
would	would	would
cut	cut	cut
eligibility	elig	eligibility
for	for	for
Temporary	temporari	Temporary
Aid	aid	Aid
for	for	for
Needy	needi	Needy
Families	famili	Families
TANF	tanf	TANF
from	from	from
five	five	five
years	year	year
to	to	to
three	three	three
.	.	.

It	it	It
would	would	would
also	also	also
require	requir	require
TANF	tanf	TANF
recipients	recipi	recipient
to	to	to
sign	sign	sign
a	a	a
paper	paper	paper
acknowledging	acknowledg	acknowledging
they	they	they
would	would	would
stick	stick	stick
to	to	to
the	the	the
requirements	requir	requirement
of	of	of
the	the	the
program	program	program
,	,	,
including	includ	including
those	those	those
related	relat	related
to	to	to
work	work	work
.	.	.

The	the	The
bill	bill	bill
would	would	would
also	also	also
prevent	prevent	prevent
the	the	the
Alabama	alabama	Alabama
Department	depart	Department
of	of	of
Human	human	Human
Resources	resourc	Resources
DHR	dhr	DHR
from	from	from
seeking	seek	seeking
work	work	work
waivers	waiver	waiver
for	for	for
those	those	those
receiving	receiv	receiving
SNAP	snap	SNAP
,	,	,
and	and	and
would	would	would
also	also	also
require	requir	require
EBT	ebt	EBT
cards	card	card
for	for	for
recipients	recipi	recipient
of	of	of
public	public	public
benefits	benefit	benefit
to	to	to
have	have	have
photos	photo	photo
on	on	on
them	them	them
The	the	The
bill	bill	bill
would	would	would
also	also	also
change	chang	change
asset	asset	asset
calculations	calcul	calculation
,	,	,
which	which	which
currently	current	currently
allow	allow	allow
those	those	those
receiving	receiv	receiving
benefits	benefit	benefit
to	to	to
own	own	own
items	item	item
like	like	like
cars	car	car
.	.	.

The	the	The
legislation	legisl	legislation
would	would	would
end	end	end
that	that	that
.	.	.
In	in	In
short	short	short
,	,	,
if	if	if
you	you	you
re	re	re
poor	poor	poor
and	and	and
you	you	you
own	own	own
a	a	a
car	car	car
,	,	,
you	you	you
have	have	have
to	to	to
choose	choos	choose
between	between	between
feeding	feed	feeding
your	your	your
family	famili	family
or	or	or
having	have	having
transportation	transport	transportation
.	.	.

And	and	And
if	if	if
you	you	you
re	re	re
forced	forc	forced
to	to	to
choose	choos	choose
,	,	,
more	more	more
than	than	than
likely	like	likely
you	you	you
would	would	would
choose	choos	choose
feeding	feed	feeding
your	your	your
family	famili	family
and	and	and
ditch	ditch	ditch
the	the	the
car	car	car
.	.	.

However	howev	However
,	,	,
Republicans	republican	Republicans
also	also	also
want	want	want
food	food	food
stamp	stamp	stamp
recipients	recipi	recipient
to	to	to
sign	sign	sign
a	a	a
promise	promis	promise
that	that	that
they	they	they
ll	ll	ll
get	get	get
a	a	a
job	job	job
,	,	,
and	and	and
that	that	that
s	s	s
the	the	the
catch	catch	catch
.	.	.

