After	after	After
finding	find	finding
out	out	out
that	that	that
Senator	senat	Senator
Bernie	berni	Bernie
Sanders	sander	Sanders
I	i	I
-VT	-vt	-VT
was	was	wa
endorsing	endors	endorsing
Hillary	hillari	Hillary
Clinton	clinton	Clinton
for	for	for
president	presid	president
on	on	on
Tuesday	tuesday	Tuesday
morning	morn	morning
,	,	,
Donald	donald	Donald
Trump	trump	Trump
took	took	took
to	to	to
Twitter	twitter	Twitter
,	,	,
as	as	a
he	he	he
always	alway	always
does	doe	doe
,	,	,
to	to	to
try	tri	try
to	to	to
lure	lure	lure
in	in	in
as	as	a
many	mani	many
angry	angri	angry
Bernie	berni	Bernie
supporters	support	supporter
as	as	a
possible	possibl	possible
.	.	.
He	he	He
put	put	put
out	out	out
such	such	such
a	a	a
tweet	tweet	tweet
storm	storm	storm
that	that	that
it	it	it
actually	actual	actually
appeared	appear	appeared
that	that	that
he	he	he
lost	lost	lost
his	his	his
damn	damn	damn
mind	mind	mind
more	more	more
than	than	than
he	he	he
already	alreadi	already
likely	like	likely
has	has	ha
.	.	.
In	in	In
a	a	a
series	seri	series
of	of	of
tweets	tweet	tweet
,	,	,
Trump	trump	Trump
showed	show	showed
how	how	how
desperately	desper	desperately
he	he	he
is	is	is
trying	tri	trying
to	to	to
pander	pander	pander
to	to	to
Bernie	berni	Bernie
Sanders	sander	Sanders
voters	voter	voter
who	who	who
are	are	are
mad	mad	mad
at	at	at
the	the	the
Senator	senat	Senator
from	from	from
Vermont	vermont	Vermont
for	for	for
endorsing	endors	endorsing
Hillary	hillari	Hillary
Clinton	clinton	Clinton
.	.	.
It	it	It
s	s	s
so	so	so
obvious	obvious	obvious
,	,	,
in	in	in
fact	fact	fact
,	,	,
that	that	that
he	he	he
s	s	s
trying	tri	trying
to	to	to
play	play	play
to	to	to
that	that	that
crowd	crowd	crowd
,	,	,
that	that	that
if	if	if
it	it	it
works	work	work
,	,	,
it	it	it
probably	probabl	probably
says	say	say
more	more	more
about	about	about
those	those	those
who	who	who
could	could	could
so	so	so
easily	easili	easily
switch	switch	switch
to	to	to
the	the	the
anti	anti	anti
-Bernie	-berni	-Bernie
that	that	that
is	is	is
Trump	trump	Trump
,	,	,
than	than	than
it	it	it
actually	actual	actually
says	say	say
about	about	about
Trump	trump	Trump
himself	himself	himself
.	.	.
He	he	He
tweeted	tweet	tweeted
Bernie	berni	Bernie
Sanders	sander	Sanders
,	,	,
who	who	who
has	has	ha
lost	lost	lost
most	most	most
of	of	of
his	his	his
leverage	leverag	leverage
,	,	,
has	has	ha
totally	total	totally
sold	sold	sold
out	out	out
to	to	to
Crooked	crook	Crooked
Hillary	hillari	Hillary
Clinton	clinton	Clinton
.	.	.
He	he	He
will	will	will
endorse	endors	endorse
her	her	her
today	today	today
fans	fan	fan
angry	angri	angry
!	!	!
Donald	donald	Donald
J	j	J
.	.	.
Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
July	juli	July
12	12	12
,	,	,
2016I	2016i	2016I
am	am	am
somewhat	somewhat	somewhat
surprised	surpris	surprised
that	that	that
Bernie	berni	Bernie
Sanders	sander	Sanders
was	was	wa
not	not	not
true	true	true
to	to	to
himself	himself	himself
and	and	and
his	his	his
supporters	support	supporter
.	.	.
They	they	They
are	are	are
not	not	not
happy	happi	happy
that	that	that
he	he	he
is	is	is
selling	sell	selling
out	out	out
!	!	!
Donald	donald	Donald
J	j	J
.	.	.
Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
July	juli	July
12	12	12
,	,	,
2016Bernie	2016berni	2016Bernie
Sanders	sander	Sanders
endorsing	endors	endorsing
Crooked	crook	Crooked
Hillary	hillari	Hillary
Clinton	clinton	Clinton
is	is	is
like	like	like
Occupy	occupi	Occupy
Wall	wall	Wall
Street	street	Street
endorsing	endors	endorsing
Goldman	goldman	Goldman
Sachs	sach	Sachs
.	.	.
Donald	donald	Donald
J	j	J
.	.	.
Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
July	juli	July
12	12	12
,	,	,
2016Bernie	2016berni	2016Bernie
sanders	sander	sander
has	has	ha
abandoned	abandon	abandoned
his	his	his
supporters	support	supporter
by	by	by
endorsing	endors	endorsing
pro	pro	pro
-war	-war	-war
pro	pro	pro
-TPP	-tpp	-TPP
pro	pro	pro
-Wall	-wall	-Wall
Street	street	Street
Crooked	crook	Crooked
Hillary	hillari	Hillary
Clinton	clinton	Clinton
.	.	.
Donald	donald	Donald
J	j	J
.	.	.
Trump	trump	Trump
