Twenty	twenti	Twenty
years	year	year
ago	ago	ago
when	when	when
,	,	,
uh	uh	uh
,	,	,
we	we	we
won	won	won
the	the	the
first	first	first
Republican	republican	Republican
majority	major	majority
in	in	in
40	40	40
years	year	year
,	,	,
there	there	there
was	was	wa
one	one	one
radio	radio	radio
talk	talk	talk
show	show	show
host	host	host
that	that	that
nobody	nobodi	nobody
d	d	d
ever	ever	ever
heard	heard	heard
of	of	of
.	.	.

Uh	uh	Uh
,	,	,
there	there	there
was	was	wa
one	one	one
cable	cabl	cable
news	news	news
channel	channel	channel
that	that	that
just	just	just
did	did	did
news	news	news
.	.	.

And	and	And
you	you	you
look	look	look
at	at	at
t	t	t
-today	-today	-today
,	,	,
you	you	you
ve	ve	ve
got	got	got
hundreds	hundr	hundred
of	of	of
radio	radio	radio
talk	talk	talk
show	show	show
hosts	host	host
all	all	all
trying	tri	trying
to	to	to
outdo	outdo	outdo
themselves	themselv	themselves
,	,	,
right	right	right
going	go	going
further	further	further
right	right	right
and	and	and
further	further	further
right	right	right
and	and	and
further	further	further
right	right	right
.	.	.

Uh	uh	Uh
,	,	,
you	you	you
ve	ve	ve
got	got	got
all	all	all
these	these	these
cable	cabl	cable
news	news	news
channels	channel	channel
,	,	,
and	and	and
all	all	all
they	they	they
do	do	do
are	are	are
politics	polit	politics
,	,	,
and	and	and
it	it	it
s	s	s
tending	tend	tending
to	to	to
either	either	either
push	push	push
or	or	or
pull	pull	pull
people	peopl	people
into	into	into
one	one	one
of	of	of
two	two	two
camps	camp	camp
.	.	.

If	if	If
I	i	I
go	go	go
down	down	down
to	to	to
see	see	see
President	presid	President
Obama	obama	Obama
,	,	,
the	the	the
right	right	right
begins	begin	begin
to	to	to
wonder	wonder	wonder
what	what	what
I	i	I
m	m	m
up	up	up
to	to	to
;	;	;
the	the	the
left	left	left
begins	begin	begin
to	to	to
wonder	wonder	wonder
what	what	what
the	the	the
president	presid	president
s	s	s
up	up	up
to	to	to
.	.	.

The	the	The
president	presid	president
s	s	s
suggested	suggest	suggested
,	,	,
Hey	hey	Hey
,	,	,
you	you	you
think	think	think
it	it	it
s	s	s
too	too	too
much	much	much
trouble	troubl	trouble
if	if	if
we	we	we
play	play	play
golf	golf	golf
again	again	again
?	?	?

snickers	snicker	snicker
And	and	And
I	i	I
have	have	have
to	to	to
look	look	look
at	at	at
him	him	him
and	and	and
say	say	say
,	,	,
Yes	yes	Yes
!	!	!

RUSH	rush	RUSH
So	so	So
Boehner	boehner	Boehner
can	can	can
t	t	t
play	play	play
golf	golf	golf
with	with	with
Obama	obama	Obama
cause	caus	cause
of	of	of
us	us	u
.	.	.

He	he	He
can	can	can
t	t	t
play	play	play
golf	golf	golf
because	becaus	because
he	he	he
s	s	s
afraid	afraid	afraid
talk	talk	talk
radio	radio	radio
and	and	and
Fox	fox	Fox
News	news	News
are	are	are
gonna	gonna	gonna
wonder	wonder	wonder
what	what	what
he	he	he
s	s	s
up	up	up
to	to	to
and	and	and
maybe	mayb	maybe
well	well	well
,	,	,
I	i	I
don	don	don
t	t	t
know	know	know
,	,	,
reading	read	reading
his	his	his
mind	mind	mind
think	think	think
that	that	that
we	we	we
re	re	re
gonna	gonna	gonna
say	say	say
he	he	he
s	s	s
selling	sell	selling
out	out	out
or	or	or
that	that	that
Obama	obama	Obama
s	s	s
doing	do	doing
whatever	whatev	whatever
.	.	.
Some	some	Some
people	peopl	people
were	were	were
pushing	push	pushing
me	me	me
to	to	to
run	run	run
for	for	for
the	the	the
Senate	senat	Senate
.	.	.

I	i	I
decided	decid	decided
I	i	I
didn	didn	didn
t	t	t
want	want	want
to	to	to
do	do	do
that	that	that
,	,	,
and	and	and
I	i	I
made	made	made
a	a	a
decision	decis	decision
that	that	that
the	the	the
rest	rest	rest
of	of	of
my	my	my
career	career	career
was	was	wa
gonna	gonna	gonna
be	be	be
in	in	in
the	the	the
US	us	US
House	hous	House
.	.	.

So	so	So
the	the	the
team	team	team
said	said	said
to	to	to
me	me	me
,	,	,
All	all	All
right	right	right
,	,	,
well	well	well
,	,	,
the	the	the
rest	rest	rest
of	of	of
your	your	your
career	career	career
s	s	s
gonna	gonna	gonna
be	be	be
in	in	in
the	the	the
House	hous	House
.	.	.

What	what	What
s	s	s
your	your	your
goal	goal	goal
?	?	?

I	i	I
didn	didn	didn
t	t	t
know	know	know
!	!	!

So	so	So
I	i	I
said	said	said
,	,	,
Well	well	Well
,	,	,
if	if	if
you	you	you
don	don	don
t	t	t
shoot	shoot	shoot
for	for	for
the	the	the
top	top	top
snickers	snicker	snicker
,	,	,
why	whi	why
shoot	shoot	shoot
for	for	for
anything	anyth	anything
?	?	?

So	so	So
I	i	I
set	set	set
my	my	my
goal	goal	goal
to	to	to
be	be	be
speaker	speaker	speaker
.	.	.

