During	dure	During
President	presid	President
Obama	obama	Obama
s	s	s
final	final	final
National	nation	National
Security	secur	Security
speech	speech	speech
as	as	a
president	presid	president
,	,	,
he	he	he
took	took	took
a	a	a
moment	moment	moment
to	to	to
let	let	let
President	presid	President
-Elect	-elect	-Elect
Trump	trump	Trump
know	know	know
that	that	that
it	it	it
s	s	s
imperative	imper	imperative
citizens	citizen	citizen
are	are	are
able	abl	able
to	to	to
criticize	critic	criticize
authority	author	authority
without	without	without
fearing	fear	fearing
they	they	they
ll	ll	ll
get	get	get
in	in	in
trouble	troubl	trouble
.	.	.
It	it	It
was	was	wa
clearly	clear	clearly
a	a	a
remark	remark	remark
aimed	aim	aimed
at	at	at
Trump	trump	Trump
because	becaus	because
of	of	of
the	the	the
president	presid	president
-elect	-elect	-elect
s	s	s
inability	inabl	inability
to	to	to
be	be	be
able	abl	able
to	to	to
take	take	take
criticism	critic	criticism
and	and	and
will	will	will
often	often	often
lash	lash	lash
out	out	out
in	in	in
some	some	some
way	way	way
shape	shape	shape
or	or	or
form	form	form
against	against	against
whoever	whoever	whoever
dare	dare	dare
to	to	to
speak	speak	speak
up	up	up
against	against	against
him	him	him
or	or	or
have	have	have
a	a	a
different	differ	different
opinion	opinion	opinion
.	.	.
President	presid	President
Obama	obama	Obama
said	said	said
freedom	freedom	freedom
can	can	can
never	never	never
be	be	be
taken	taken	taken
for	for	for
granted	grant	granted
.	.	.

Each	each	Each
of	of	of
us	us	u
has	has	ha
a	a	a
responsibility	respons	responsibility
to	to	to
sustain	sustain	sustain
it	it	it
.	.	.

The	the	The
universal	univers	universal
right	right	right
to	to	to
speak	speak	speak
your	your	your
mind	mind	mind
protest	protest	protest
against	against	against
authority	author	authority
.	.	.

To	to	To
live	live	live
in	in	in
a	a	a
society	societi	society
that	that	that
s	s	s
open	open	open
and	and	and
free	free	free
.	.	.

That	that	That
can	can	can
criticize	critic	criticize
a	a	a
president	presid	president
without	without	without
retribution	retribut	retribution
.	.	.

If	if	If
Trump	trump	Trump
actually	actual	actually
wants	want	want
to	to	to
be	be	be
president	presid	president
,	,	,
he	he	he
s	s	s
going	go	going
to	to	to
have	have	have
to	to	to
learn	learn	learn
how	how	how
to	to	to
handle	handl	handle
criticism	critic	criticism
,	,	,
and	and	and
he	he	he
s	s	s
going	go	going
to	to	to
have	have	have
to	to	to
learn	learn	learn
fast	fast	fast
.	.	.

He	he	He
s	s	s
not	not	not
only	onli	only
going	go	going
to	to	to
get	get	get
criticized	critic	criticized
by	by	by
both	both	both
sides	side	side
of	of	of
the	the	the
aisle	aisl	aisle
,	,	,
but	but	but
by	by	by
the	the	the
public	public	public
at	at	at
large	larg	large
and	and	and
the	the	the
rest	rest	rest
of	of	of
the	the	the
world	world	world
.	.	.

He	he	He
needs	need	need
to	to	to
be	be	be
able	abl	able
to	to	to
handle	handl	handle
that	that	that
and	and	and
not	not	not
do	do	do
anything	anyth	anything
to	to	to
threaten	threaten	threaten
our	our	our
national	nation	national
security	secur	security
nor	nor	nor
the	the	the
freedom	freedom	freedom
of	of	of
American	american	American
citizens	citizen	citizen
to	to	to
speak	speak	speak
their	their	their
mind	mind	mind
.	.	.
President	presid	President
Obama	obama	Obama
has	has	ha
been	been	been
one	one	one
of	of	of
our	our	our
most	most	most
criticized	critic	criticized
national	nation	national
leaders	leader	leader
in	in	in
a	a	a
long	long	long
time	time	time
,	,	,
and	and	and
he	he	he
,	,	,
more	more	more
than	than	than
most	most	most
,	,	,
knows	know	know
that	that	that
you	you	you
must	must	must
keep	keep	keep
a	a	a
level	level	level
head	head	head
,	,	,
and	and	and
he	he	he
clearly	clear	clearly
wants	want	want
Trump	trump	Trump
to	to	to
learn	learn	learn
how	how	how
to	to	to
do	do	do
that	that	that
too	too	too
.	.	.
Watch	watch	Watch
President	presid	President
Obama	obama	Obama
throw	throw	throw
major	major	major
shade	shade	shade
at	at	at
Trump	trump	Trump
here	here	here
Obama	obama	Obama
says	say	say
the	the	the
US	us	US
is	is	is
a	a	a
country	countri	country
where	where	where
citizens	citizen	citizen
have	have	have
a	a	a
right	right	right
to	to	to
protest	protest	protest
against	against	against
authority	author	authority
and	and	and
criticize	critic	criticize
a	a	a
president	presid	president
without	without	without
retribution	retribut	retribution
pic.twitter.com/8XQAw0BdAt	pic.twitter.com/8xqaw0bdat	pic.twitter.com/8XQAw0BdAt
Brianna	brianna	Brianna
Sacks	sack	Sacks
@bri_sacks	@bri_sack	@bri_sacks
December	decemb	December
6	6	6
,	,	,
2016Featured	2016featur	2016Featured
image	imag	image
via	via	via
video	video	video
screen	screen	screen
capture	captur	capture

