When	when	When
a	a	a
woman	woman	woman
in	in	in
the	the	the
audience	audienc	audience
objected	object	objected
,	,	,
Lopez	lopez	Lopez
went	went	went
off	off	off
on	on	on
an	an	an
unbelievable	unbeliev	unbelievable
,	,	,
vile	vile	vile
rant	rant	rant
against	against	against
her	her	her
WARNING	warn	WARNING
Strong	strong	Strong
language	languag	language
There	there	There
are	are	are
only	onli	only
two	two	two
rules	rule	rule
in	in	in
the	the	the
Latino	latino	Latino
family	famili	family
.	.	.

Don	don	Don
t	t	t
marry	marri	marry
somebody	somebodi	somebody
black	black	black
,	,	,
and	and	and
don	don	don
t	t	t
park	park	park
in	in	in
front	front	front
of	of	of
our	our	our
house	hous	house
,	,	,
Lopez	lopez	Lopez
said	said	said
during	dure	during
his	his	his
set	set	set
,	,	,
which	which	which
prompted	prompt	prompted
a	a	a
woman	woman	woman
in	in	in
the	the	the
audience	audienc	audience
to	to	to
put	put	put
up	up	up
her	her	her
middle	middl	middle
finger	finger	finger
.	.	.
In	in	In
a	a	a
clip	clip	clip
of	of	of
the	the	the
incident	incid	incident
obtained	obtain	obtained
by	by	by
TMZ	tmz	TMZ
,	,	,
Lopez	lopez	Lopez
is	is	is
seen	seen	seen
responding	respond	responding
to	to	to
the	the	the
woman	woman	woman
s	s	s
gesture	gestur	gesture
by	by	by
calling	call	calling
her	her	her
a	a	a
bitch	bitch	bitch
and	and	and
telling	tell	telling
her	her	her
,	,	,
Sit	sit	Sit
your	your	your
f	f	f
king	king	king
ass	ass	as
down	down	down
or	or	or
get	get	get
the	the	the
f	f	f
k	k	k
out	out	out
.	.	.

Sit	sit	Sit
your	your	your
f	f	f
king	king	king
ass	ass	as
down	down	down
,	,	,
Lopez	lopez	Lopez
repeated	repeat	repeated
three	three	three
times	time	time
.	.	.

I	i	I
m	m	m
talking	talk	talking
,	,	,
bitch	bitch	bitch
.	.	.

You	you	You
paid	paid	paid
to	to	to
see	see	see
a	a	a
show	show	show
.	.	.

Sit	sit	Sit
your	your	your
ass	ass	as
down	down	down
.	.	.

You	you	You
can	can	can
t	t	t
take	take	take
a	a	a
joke	joke	joke
,	,	,
you	you	you
re	re	re
in	in	in
the	the	the
wrong	wrong	wrong
motherf	motherf	motherf
king	king	king
place	place	place
.	.	.

Sit	sit	Sit
your	your	your
f	f	f
king	king	king
ass	ass	as
down	down	down
or	or	or
get	get	get
the	the	the
f	f	f
k	k	k
out	out	out
of	of	of
here	here	here
.	.	.

You	you	You
have	have	have
two	two	two
choices	choic	choice
,	,	,
he	he	he
continued	continu	continued
.	.	.

Shut	shut	Shut
the	the	the
f	f	f
k	k	k
up	up	up
or	or	or
get	get	get
the	the	the
f	f	f
k	k	k
out	out	out
.	.	.

I	i	I
ll	ll	ll
tell	tell	tell
you	you	you
what	what	what
.	.	.

I	i	I
ll	ll	ll
make	make	make
the	the	the
choice	choic	choice
for	for	for
you	you	you
.	.	.

Get	get	Get
the	the	the
f	f	f
k	k	k
out	out	out
of	of	of
here	here	here
.	.	.

I	i	I
ll	ll	ll
make	make	make
the	the	the
choice	choic	choice
for	for	for
you	you	you
.	.	.

Bye	bye	Bye
.	.	.

Bye	bye	Bye
.	.	.

Bye	bye	Bye
.	.	.

Watch	watch	Watch
Via	via	Via
Huffington	huffington	Huffington
Post	post	Post

