Yesterday	yesterday	Yesterday
,	,	,
the	the	the
Imam	imam	Imam
who	who	who
calls	call	call
himself	himself	himself
the	the	the
Imam	imam	Imam
of	of	of
peace	peac	peace
called	call	called
out	out	out
NYC	nyc	NYC
s	s	s
Democrat	democrat	Democrat
mayor	mayor	mayor
,	,	,
Bill	bill	Bill
DeBlasio	deblasio	DeBlasio
,	,	,
for	for	for
ignoring	ignor	ignoring
the	the	the
Imam	imam	Imam
s	s	s
warnings	warn	warning
about	about	about
Islamic	islam	Islamic
terror	terror	terror
in	in	in
NYC	nyc	NYC
.	.	.
About	about	About
#NYC	#nyc	#NYC
terrorist	terrorist	terrorist
attack	attack	attack
,	,	,
I	i	I
personally	person	personally
sent	sent	sent
letters	letter	letter
to	to	to
Mayor	mayor	Mayor
De	de	De
Blasio	blasio	Blasio
online	onlin	online
in	in	in
person	person	person
about	about	about
terrorist	terrorist	terrorist
breeding	breed	breeding
in	in	in
NYC	nyc	NYC
.	.	.
He	he	He
did	did	did
nothing	noth	nothing
.	.	.

Imam	imam	Imam
Tawhidi	tawhidi	Tawhidi
@Imamofpeace	@imamofpeac	@Imamofpeace
October	octob	October
31	31	31
,	,	,
2017In	2017in	2017In
2016	2016	2016
,	,	,
I	i	I
told	told	told
Mayor	mayor	Mayor
De	de	De
Blasio	blasio	Blasio
that	that	that
I	i	I
was	was	wa
in	in	in
NYC	nyc	NYC
and	and	and
noticed	notic	noticed
some	some	some
hot	hot	hot
radical	radic	radical
centres	centr	centre
.	.	.

I	i	I
was	was	wa
willing	will	willing
to	to	to
point	point	point
out	out	out
serious	serious	serious
cases	case	case
.	.	.

Ignored	ignor	Ignored
!	!	!

Imam	imam	Imam
Tawhidi	tawhidi	Tawhidi
@Imamofpeace	@imamofpeac	@Imamofpeace
October	octob	October
31	31	31
,	,	,
2017When	2017when	2017When
critics	critic	critic
came	came	came
after	after	after
him	him	him
,	,	,
Imam	imam	Imam
Tawhidi	tawhidi	Tawhidi
announced	announc	announced
that	that	that
he	he	he
would	would	would
release	releas	release
his	his	his
letter	letter	letter
to	to	to
DeBlasio	deblasio	DeBlasio
warning	warn	warning
him	him	him
of	of	of
Islamic	islam	Islamic
extremists	extremist	extremist
in	in	in
NY	ny	NY
.	.	.
I	i	I
ll	ll	ll
be	be	be
releasing	releas	releasing
my	my	my
2016	2016	2016
letter	letter	letter
to	to	to
Mayor	mayor	Mayor
De	de	De
Blasio	blasio	Blasio
warning	warn	warning
him	him	him
of	of	of
Islamic	islam	Islamic
extremists	extremist	extremist
in	in	in
NY	ny	NY
upon	upon	upon
my	my	my
landing	land	landing
.	.	.

His	his	His
office	offic	office
is	is	is
a	a	a
proven	proven	proven
FAIL	fail	FAIL
!	!	!

https://t.co/QQCLN1OiNf	https://t.co/qqcln1oinf	https://t.co/QQCLN1OiNf
Imam	imam	Imam
Tawhidi	tawhidi	Tawhidi
@Imamofpeace	@imamofpeac	@Imamofpeace
November	novemb	November
1	1	1
,	,	,
2017The	2017the	2017The
popular	popular	popular
Imam	imam	Imam
is	is	is
not	not	not
shy	shi	shy
about	about	about
his	his	his
thoughts	thought	thought
on	on	on
radical	radic	radical
Islam	islam	Islam
.	.	.
The	the	The
Islamic	islam	Islamic
world	world	world
is	is	is
infested	infest	infested
with	with	with
extremists	extremist	extremist
.	.	.

Whoever	whoever	Whoever
denies	deni	denies
this	this	this
is	is	is
either	either	either
unaware	unawar	unaware
of	of	of
what	what	what
s	s	s
going	go	going
on	on	on
or	or	or
simply	simpli	simply
a	a	a
benefiting	benefit	benefiting
politician	politician	politician
.	.	.

Imam	imam	Imam
Tawhidi	tawhidi	Tawhidi
@Imamofpeace	@imamofpeac	@Imamofpeace
November	novemb	November
1	1	1
,	,	,
2017He	2017he	2017He
s	s	s
not	not	not
shy	shi	shy
about	about	about
calling	call	calling
out	out	out
the	the	the
hypocrisy	hypocrisi	hypocrisy
in	in	in
Islamic	islam	Islamic
politics	polit	politics
eitherIslamic	eitherislam	eitherIslamic
politics	polit	politics
is	is	is
amazing	amaz	amazing
.	.	.

We	we	We
behead	behead	behead
each	each	each
other	other	other
with	with	with
our	our	our
own	own	own
knives	knive	knife
,	,	,
stone	stone	stone
with	with	with
our	our	our
own	own	own
stones	stone	stone
,	,	,
then	then	then
our	our	our
leaders	leader	leader
blame	blame	blame
the	the	the
USA	usa	USA
.	.	.

Spot	spot	Spot
on	on	on
.	.	.

Imam	imam	Imam
Tawhidi	tawhidi	Tawhidi
@Imamofpeace	@imamofpeac	@Imamofpeace
August	august	August
11	11	11
,	,	,
2017Today	2017today	2017Today
,	,	,
Imam	imam	Imam
Tawhidi	tawhidi	Tawhidi
called	call	called
out	out	out
CBS	cbs	CBS
for	for	for
making	make	making
the	the	the
NYC	nyc	NYC
terrorist	terrorist	terrorist
appear	appear	appear
to	to	to
be	be	be
white	white	white
in	in	in
their	their	their
New	new	New
York	york	York
attack	attack	attack
suspect	suspect	suspect
Who	who	Who
is	is	is
Sayfullo	sayfullo	Sayfullo
Habibullaevic	habibullaev	Habibullaevic
Saipov	saipov	Saipov
?	?	?

article	articl	article
.	.	.
Here	here	Here
s	s	s
the	the	the
image	imag	image
CBS	cbs	CBS
used	use	used
in	in	in
their	their	their
story	stori	story
Here	here	Here
s	s	s
the	the	the
Imam	imam	Imam
s	s	s
tweet	tweet	tweet
CBS	cbs	CBS
tried	tri	tried
to	to	to
make	make	make
terrorist	terrorist	terrorist
Saipov	saipov	Saipov
white	white	white
,	,	,
I	i	I
m	m	m
glad	glad	glad
they	they	they
didn	didn	didn
t	t	t
make	make	make
his	his	his
eyes	eye	eye
blue	blue	blue
as	as	a
well	well	well
.	.	.

pic.twitter.com/EQH3v57itk	pic.twitter.com/eqh3v57itk	pic.twitter.com/EQH3v57itk
Imam	imam	Imam
Tawhidi	tawhidi	Tawhidi
@Imamofpeace	@imamofpeac	@Imamofpeace
November	novemb	November
1	1	1
,	,	,
2017This	2017this	2017This
isn	isn	isn
t	t	t
the	the	the
first	first	first
time	time	time
that	that	that
a	a	a
liberal	liber	liberal
media	media	medium
outlet	outlet	outlet
has	has	ha
been	been	been
accused	accus	accused
of	of	of
white	white	white
-washing	-wash	-washing
an	an	an
image	imag	image
of	of	of
a	a	a
high	high	high
-profile	-profil	-profile
killer	killer	killer
to	to	to
fit	fit	fit
a	a	a
certain	certain	certain
liberal	liber	liberal
narrative	narrat	narrative
.	.	.
Conservative	conserv	Conservative
Treehouse	treehous	Treehouse
accused	accus	accused
CNN	cnn	CNN
of	of	of
whitewashing	whitewash	whitewashing
the	the	the
selfie	selfi	selfie
image	imag	image
of	of	of
Oregon	oregon	Oregon
Umpqua	umpqua	Umpqua
College	colleg	College
killer	killer	killer
,	,	,
Christopher	christoph	Christopher
Mercer	mercer	Mercer
,	,	,
that	that	that
he	he	he
uploaded	upload	uploaded
to	to	to
his	his	his
Facebook	facebook	Facebook
page	page	page
.	.	.

On	on	On
the	the	the
right	right	right
is	is	is
how	how	how
CNN	cnn	CNN
presented	present	presented
the	the	the
same	same	same
selfie	selfi	selfie
in	in	in
broadcast	broadcast	broadcast
stories	stori	story
about	about	about
him	him	him
.	.	.

Why	whi	Why
did	did	did
CNN	cnn	CNN
need	need	need
to	to	to
change	chang	change
the	the	the
complexion	complexion	complexion
color	color	color
of	of	of
their	their	their
broadcast	broadcast	broadcast
?	?	?
What	what	What
are	are	are
your	your	your
thoughts	thought	thought
?	?	?

Do	do	Do
you	you	you
believe	believ	believe
CBS	cbs	CBS
intentionally	intent	intentionally
white	white	white
-washed	-wash	-washed
the	the	the
image	imag	image
of	of	of
the	the	the
New	new	New
York	york	York
City	citi	City
terrorist	terrorist	terrorist
?	?	?

We	we	We
d	d	d
like	like	like
to	to	to
hear	hear	hear
what	what	what
you	you	you
have	have	have
to	to	to
say	say	say
.	.	.

Please	pleas	Please
tell	tell	tell
us	us	u
what	what	what
you	you	you
think	think	think
in	in	in
the	the	the
comment	comment	comment
section	section	section
below	below	below
.	.	.

