When	when	When
Donald	donald	Donald
Trump	trump	Trump
stepped	step	stepped
on	on	on
the	the	the
stage	stage	stage
in	in	in
Iowa	iowa	Iowa
Monday	monday	Monday
night	night	night
,	,	,
we	we	we
almost	almost	almost
thought	thought	thought
he	he	he
might	might	might
behave	behav	behave
like	like	like
an	an	an
adult	adult	adult
after	after	after
being	be	being
defeated	defeat	defeated
by	by	by
Ted	ted	Ted
Cruz	cruz	Cruz
.	.	.
He	he	He
gave	gave	gave
a	a	a
very	veri	very
,	,	,
very	veri	very
short	short	short
speech	speech	speech
a	a	a
strange	strang	strange
breath	breath	breath
of	of	of
fresh	fresh	fresh
air	air	air
after	after	after
Rubio	rubio	Rubio
s	s	s
,	,	,
and	and	and
stayed	stay	stayed
pretty	pretti	pretty
upbeat	upbeat	upbeat
and	and	and
positive	posit	positive
until	until	until
Tuesday	tuesday	Tuesday
.	.	.
The	the	The
day	day	day
after	after	after
his	his	his
loss	loss	loss
Trump	trump	Trump
started	start	started
tweeting	tweet	tweeting
whining	whine	whining
about	about	about
losing	lose	losing
.	.	.
In	in	In
one	one	one
tweet	tweet	tweet
he	he	he
claimed	claim	claimed
that	that	that
the	the	the
people	peopl	people
of	of	of
Iowa	iowa	Iowa
didn	didn	didn
t	t	t
appreciate	appreci	appreciate
that	that	that
he	he	he
hadn	hadn	hadn
t	t	t
taken	taken	taken
money	money	money
from	from	from
super	super	super
PACS	pac	PACS
.	.	.
He	he	He
even	even	even
implied	impli	implied
that	that	that
he	he	he
was	was	wa
wasting	wast	wasting
his	his	his
money	money	money
by	by	by
self	self	self
-funding	-fund	-funding
his	his	his
campaign	campaign	campaign
.	.	.
On	on	On
Wednesday	wednesday	Wednesday
morning	morn	morning
,	,	,
Trump	trump	Trump
continued	continu	continued
his	his	his
temper	temper	temper
tantrum	tantrum	tantrum
and	and	and
tweeted	tweet	tweeted
that	that	that
Cruz	cruz	Cruz
stole	stole	stole
the	the	the
caucus	caucus	caucus
.	.	.
Ted	ted	Ted
Cruz	cruz	Cruz
didn	didn	didn
t	t	t
win	win	win
Iowa	iowa	Iowa
,	,	,
he	he	he
illegally	illeg	illegally
stole	stole	stole
it	it	it
.	.	.
That	that	That
is	is	is
why	whi	why
all	all	all
of	of	of
the	the	the
polls	poll	poll
were	were	were
so	so	so
wrong	wrong	wrong
any	ani	any
why	whi	why
he	he	he
more	more	more
votes	vote	vote
than	than	than
anticipated	anticip	anticipated
.	.	.
Bad	bad	Bad
!	!	!
Shortly	short	Shortly
after	after	after
the	the	the
tweet	tweet	tweet
went	went	went
out	out	out
,	,	,
he	he	he
deleted	delet	deleted
it	it	it
and	and	and
posted	post	posted
one	one	one
that	that	that
left	left	left
the	the	the
word	word	word
illegally	illeg	illegally
out	out	out
.	.	.
Ted	ted	Ted
Cruz	cruz	Cruz
didn	didn	didn
t	t	t
win	win	win
Iowa	iowa	Iowa
,	,	,
he	he	he
stole	stole	stole
it	it	it
.	.	.
That	that	That
is	is	is
why	whi	why
all	all	all
of	of	of
the	the	the
polls	poll	poll
were	were	were
so	so	so
wrong	wrong	wrong
and	and	and
why	whi	why
he	he	he
got	got	got
far	far	far
more	more	more
votes	vote	vote
than	than	than
anticipated	anticip	anticipated
.	.	.
Bad	bad	Bad
!	!	!
Donald	donald	Donald
J	j	J
.	.	.
Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
February	februari	February
3	3	3
,	,	,
2016But	2016but	2016But
he	he	he
couldn	couldn	couldn
t	t	t
leave	leav	leave
it	it	it
at	at	at
just	just	just
one	one	one
tweet	tweet	tweet
,	,	,
he	he	he
kept	kept	kept
going	go	going
During	dure	During
primetime	primetim	primetime
of	of	of
the	the	the
Iowa	iowa	Iowa
Caucus	caucus	Caucus
,	,	,
Cruz	cruz	Cruz
put	put	put
out	out	out
a	a	a
release	releas	release
that	that	that
@RealBenCarson	@realbencarson	@RealBenCarson
was	was	wa
quitting	quit	quitting
the	the	the
race	race	race
,	,	,
and	and	and
to	to	to
caucus	caucus	caucus
or	or	or
vote	vote	vote
for	for	for
Cruz	cruz	Cruz
.	.	.
Donald	donald	Donald
J	j	J
.	.	.
Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
February	februari	February
3	3	3
,	,	,
2016	2016	2016
Many	mani	Many
people	peopl	people
voted	vote	voted
for	for	for
Cruz	cruz	Cruz
over	over	over
Carson	carson	Carson
because	becaus	because
of	of	of
this	this	this
Cruz	cruz	Cruz
fraud	fraud	fraud
.	.	.
Also	also	Also
,	,	,
Cruz	cruz	Cruz
sent	sent	sent
out	out	out
a	a	a
VOTER	voter	VOTER
VIOLATION	violat	VIOLATION
certificate	certif	certificate
to	to	to
thousands	thousand	thousand
of	of	of
voters	voter	voter
.	.	.
Donald	donald	Donald
J	j	J
.	.	.
Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
February	februari	February
3	3	3
,	,	,
2016The	2016the	2016The
Voter	voter	Voter
Violation	violat	Violation
certificate	certif	certificate
gave	gave	gave
poor	poor	poor
marks	mark	mark
to	to	to
