Many	mani	Many
people	peopl	people
around	around	around
the	the	the
world	world	world
are	are	are
using	use	using
this	this	this
viral	viral	viral
video	video	video
as	as	a
an	an	an
example	exampl	example
of	of	of
a	a	a
beautiful	beauti	beautiful
exchange	exchang	exchange
between	between	between
a	a	a
father	father	father
and	and	and
son	son	son
in	in	in
Paris	pari	Paris
following	follow	following
the	the	the
terrorist	terrorist	terrorist
tragedy	tragedi	tragedy
.	.	.
Humanity	human	Humanity
in	in	in
the	the	the
face	face	face
of	of	of
inhumanity	inhuman	inhumanity
is	is	is
how	how	how
this	this	this
exchange	exchang	exchange
between	between	between
a	a	a
father	father	father
,	,	,
his	his	his
young	young	young
son	son	son
and	and	and
a	a	a
reporter	report	reporter
is	is	is
being	be	being
described	describ	described
.	.	.
The	the	The
young	young	young
boy	boy	boy
is	is	is
asked	ask	asked
by	by	by
a	a	a
reporter	report	reporter
,	,	,
Do	do	Do
you	you	you
understand	understand	understand
what	what	what
happened	happen	happened
?	?	?
Do	do	Do
you	you	you
understand	understand	understand
what	what	what
they	they	they
the	the	the
terrorists	terrorist	terrorist
did	did	did
?	?	?
The	the	The
boy	boy	boy
replies	repli	reply
,	,	,
Yes	yes	Yes
,	,	,
because	becaus	because
they	they	they
are	are	are
very	veri	very
,	,	,
very	veri	very
,	,	,
very	veri	very
bad	bad	bad
.	.	.
The	the	The
father	father	father
then	then	then
explains	explain	explains
,	,	,
There	there	There
are	are	are
bad	bad	bad
people	peopl	people
everywhere	everywher	everywhere
.	.	.
The	the	The
boy	boy	boy
then	then	then
replies	repli	reply
,	,	,
They	they	They
have	have	have
guns	gun	gun
,	,	,
they	they	they
can	can	can
shoot	shoot	shoot
at	at	at
us	us	u
because	becaus	because
they	they	they
are	are	are
very	veri	very
very	veri	very
bad	bad	bad
,	,	,
daddy	daddi	daddy
.	.	.
It	it	It
is	is	is
then	then	then
the	the	the
father	father	father
tells	tell	tell
the	the	the
son	son	son
,	,	,
They	they	They
have	have	have
guns	gun	gun
,	,	,
but	but	but
we	we	we
have	have	have
flowers	flower	flower
.	.	.
The	the	The
boy	boy	boy
then	then	then
says	say	say
something	someth	something
that	that	that
is	is	is
undeniable	undeni	undeniable
except	except	except
of	of	of
course	cours	course
,	,	,
to	to	to
a	a	a
progressive	progress	progressive
,	,	,
But	but	But
flowers	flower	flower
do	do	do
nothing	noth	nothing
,	,	,
to	to	to
which	which	which
the	the	the
dad	dad	dad
responds	respond	responds
that	that	that
the	the	the
flowers	flower	flower
are	are	are
there	there	there
to	to	to
fight	fight	fight
against	against	against
the	the	the
guns	gun	gun
.	.	.
While	while	While
the	the	the
father	father	father
is	is	is
clearly	clear	clearly
making	make	making
an	an	an
effort	effort	effort
to	to	to
calm	calm	calm
the	the	the
fears	fear	fear
of	of	of
his	his	his
toddler	toddler	toddler
son	son	son
,	,	,
for	for	for
us	us	u
,	,	,
it	it	it
s	s	s
a	a	a
perfect	perfect	perfect
example	exampl	example
of	of	of
the	the	the
delusional	delusion	delusional
progressive	progress	progressive
European	european	European
mindset	mindset	mindset
.	.	.
Progressives	progress	Progressives
live	live	live
in	in	in
a	a	a
make	make	make
-believe	-believ	-believe
world	world	world
where	where	where
tolerance	toler	tolerance
is	is	is
the	the	the
only	onli	only
way	way	way
to	to	to
address	address	address
an	an	an
evil	evil	evil
ideology	ideolog	ideology
that	that	that
is	is	is
intent	intent	intent
on	on	on
murdering	murder	murdering
innocent	innoc	innocent
people	peopl	people
who	who	who
refuse	refus	refuse
to	to	to
convert	convert	convert
to	to	to
Islam	islam	Islam
.	.	.
This	this	This
caliphate	caliph	caliphate
is	is	is
spreading	spread	spreading
like	like	like
wildfire	wildfir	wildfire
across	across	across
an	an	an
un	un	un
-armed	-arm	-armed
Europe	europ	Europe
,	,	,
and	and	and
flowers	flower	flower
are	are	are
not	not	not
going	go	going
to	to	to
stop	stop	stop
them	them	them
.	.	.
Less	less	Less
than	than	than
one	one	one
year	year	year
ago	ago	ago
,	,	,
the	the	the
entire	entir	entire
world	world	world
witnessed	wit	witnessed
the	the	the
blood	blood	blood
bath	bath	bath
that	that	that
took	took	took
place	place	place
at	at	at
the	the	the
unarmed	unarm	unarmed
Charlie	charli	Charlie
Hebdo	hebdo	Hebdo
headquarters	headquart	headquarters
in	in	in
France	franc	France
.	.	.
Make	make	Make
no	no	no
mistake	mistak	mistake
about	about	about
it	it	it
unarmed	unarm	unarmed
citizens	citizen	citizen
are	are	are
sitting	sit	sitting
ducks	duck	duck
for	for	for
terrorists	terrorist	terrorist
period	period	period
.	.	.
Having	have	Having
a	a	a
well	well	well
armed	arm	armed
citizenry	citizenri	citizenry
is	is	is
certainly	certain	certainly
not	not	not
a	a	a
guarantee	guarante	guarantee
that	that	that
no	no	no
one	one	one
will	will	will
ever	ever	ever
be	be	be
killed	kill	killed
by	by	by
terrorists	terrorist	terrorist
or	or	or
by	by	by
some	some	some
crazy	crazi	crazy
mass	mass	mass
murderer	murder	murderer
,	,	,
but	but	but
it	it	it
sure	sure	sure
could	could	could
put	put	put
a	a	a
dent	dent	dent
in	in	in
their	their	their
plans	plan	plan
.	.	.
No	no	No
,	,	,
we	we	we
haven	haven	haven
t	t	t
missed	miss	missed
the	the	the
point	point	point
of	of	of
this	this	this
video	video	video
.	.	.
We	we	We
have	have	have
small	small	small
children	children	child
and	and	and
understand	understand	understand
that	that	that
you	you	you
have	have	have
to	to	to
be	be	be
careful	care	careful
about	about	about
how	how	how
you	you	you
address	address	address
these	these	these
sensitive	sensit	sensitive
issues	issu	issue
.	.	.
Our	our	Our
point	point	point
is	is	is
,	,	,
that	that	that
telling	tell	telling
your	your	your
child	child	child
the	the	the
bad	bad	bad
guys	guy	guy
have	have	have
guns	gun	gun
,	,	,
but	but	but
we	we	we
have	have	have
flowers	flower	flower
isn	isn	isn
t	t	t
just	just	just
something	someth	something
toddlers	toddler	toddler
naively	naiv	naively
believe	believ	believe
in	in	in
France	franc	France
and	and	and
the	the	the
UK	uk	UK
,	,	,
it	it	it
s	s	s
a	a	a
commonly	common	commonly
held	held	held
belief	belief	belief
progressives	progress	progressive
have	have	have
had	had	had
for	for	for
quite	quit	quite
some	some	some
time	time	time
now	now	now
.	.	.
Perhaps	perhap	Perhaps
it	it	it
s	s	s
time	time	time
for	for	for
Europeans	european	Europeans
to	to	to
revisit	revisit	revisit
their	their	their
radical	radic	radical
gun	gun	gun
-free	-free	-free
laws	law	law
.	.	.
Most	most	Most
Americans	american	Americans
understand	understand	understand
the	the	the
bad	bad	bad
guys	guy	guy
will	will	will
always	alway	always
find	find	find
a	a	a
way	way	way
to	to	to
get	get	get
the	the	the
guns	gun	gun
,	,	,
and	and	and
when	when	when
all	all	all
hell	hell	hell
breaks	break	break
loose	loos	loose
,	,	,
the	the	the
good	good	good
unarmed	unarm	unarmed
guys	guy	guy
are	are	are
always	alway	always
going	go	going
to	to	to
find	find	find
themselves	themselv	themselves
on	on	on
the	the	the
losing	lose	losing
side	side	side
.	.	.
Maybe	mayb	Maybe
that	that	that
s	s	s
why	whi	why
Barack	barack	Barack
Obama	obama	Obama
hasn	hasn	hasn
t	t	t
been	been	been
able	abl	able
to	to	to
penetrate	penetr	penetrate
that	that	that
pesky	peski	pesky
2nd	2nd	2nd
Amendment	amend	Amendment
with	with	with
his	his	his
never	never	never
-ending	-end	-ending
desire	desir	desire
for	for	for
gun	gun	gun
-control	-control	-control
,	,	,
by	by	by
attempting	attempt	attempting
to	to	to
convince	convinc	convince
Americans	american	Americans
we	we	we
should	should	should
follow	follow	follow
the	the	the
European	european	European
model	model	model
.	.	.
