Last	last	Last
week	week	week
,	,	,
MO	mo	MO
State	state	State
Senator	senat	Senator
Chappelle	chappell	Chappelle
-Nadal	-nadal	-Nadal
said	said	said
she	she	she
hoped	hope	hoped
Trump	trump	Trump
would	would	would
be	be	be
assassinated	assassin	assassinated
on	on	on
her	her	her
Facebook	facebook	Facebook
page	page	page
.	.	.

Thepost	thepost	Thepost
referring	refer	referring
to	to	to
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
,	,	,
has	has	ha
since	sinc	since
been	been	been
removed	remov	removed
.	.	.

But	but	But
Chappelle	chappell	Chappelle
-Nadal	-nadal	-Nadal
confirmed	confirm	confirmed
to	to	to
the	the	the
Post	post	Post
-Dispatch	-dispatch	-Dispatch
that	that	that
she	she	she
had	had	had
written	written	written
it	it	it
in	in	in
response	respons	response
to	to	to
another	anoth	another
commenter	comment	commenter
before	befor	before
deleting	delet	deleting
it	it	it
.	.	.
The	the	The
U	u	U
.	.	.
S	s	S
.	.	.
Secret	secret	Secret
Service	servic	Service
s	s	s
St	st	St
.	.	.
Louis	loui	Louis
field	field	field
office	offic	office
is	is	is
looking	look	looking
into	into	into
this	this	this
,	,	,
the	the	the
office	offic	office
confirmed	confirm	confirmed
.	.	.
Kristina	kristina	Kristina
Schmidt	schmidt	Schmidt
,	,	,
special	special	special
agent	agent	agent
in	in	in
charge	charg	charge
,	,	,
told	told	told
the	the	the
Post	post	Post
-Dispatch	-dispatch	-Dispatch
that	that	that
hypothetically	hypothet	hypothetically
in	in	in
such	such	such
investigations	investig	investigation
,	,	,
agents	agent	agent
try	tri	try
to	to	to
determine	determin	determine
intent	intent	intent
,	,	,
to	to	to
determine	determin	determine
if	if	if
there	there	there
was	was	wa
a	a	a
violation	violat	violation
of	of	of
federal	feder	federal
law	law	law
.	.	.

If	if	If
there	there	there
is	is	is
,	,	,
then	then	then
we	we	we
refer	refer	refer
it	it	it
to	to	to
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Attorney	attorney	Attorney
.	.	.

Our	our	Our
primary	primari	primary
goal	goal	goal
is	is	is
to	to	to
determine	determin	determine
if	if	if
there	there	there
is	is	is
intent	intent	intent
and	and	and
meaning	mean	meaning
behind	behind	behind
it	it	it
,	,	,
Schmidt	schmidt	Schmidt
said	said	said
.	.	.
According	accord	According
to	to	to
a	a	a
screenshot	screenshot	screenshot
of	of	of
the	the	the
now	now	now
-deleted	-delet	-deleted
conversation	convers	conversation
obtained	obtain	obtained
by	by	by
the	the	the
Post	post	Post
-Dispatch	-dispatch	-Dispatch
,	,	,
another	anoth	another
commenter	comment	commenter
named	name	named
Christopher	christoph	Christopher
Gagn	gagn	Gagn
was	was	wa
writing	write	writing
about	about	about
a	a	a
cousin	cousin	cousin
of	of	of
his	his	his
who	who	who
he	he	he
said	said	said
was	was	wa
on	on	on
Trump	trump	Trump
s	s	s
Secret	secret	Secret
Service	servic	Service
detail	detail	detail
.	.	.
Here	here	Here
is	is	is
a	a	a
screen	screen	screen
shot	shot	shot
of	of	of
the	the	the
post	post	post
that	that	that
Chappelle	chappell	Chappelle
-Nadal	-nadal	-Nadal
deleted	delet	deleted
after	after	after
she	she	she
was	was	wa
outed	out	outed
on	on	on
social	social	social
media	media	medium
After	after	After
Chappelle	chappell	Chappelle
-Nadal	-nadal	-Nadal
was	was	wa
criticized	critic	criticized
by	by	by
thousands	thousand	thousand
of	of	of
Americans	american	Americans
,	,	,
she	she	she
still	still	still
refused	refus	refused
to	to	to
back	back	back
down	down	down
and	and	and
told	told	told
the	the	the
media	media	medium
she	she	she
would	would	would
not	not	not
apologize	apolog	apologize
to	to	to
President	presid	President
Trump	trump	Trump
for	for	for
the	the	the
heinous	heinous	heinous
remarks	remark	remark
she	she	she
made	made	made
.	.	.
After	after	After
some	some	some
members	member	member
not	not	not
all	all	all
of	of	of
the	the	the
Democrat	democrat	Democrat
Party	parti	Party
suggested	suggest	suggested
she	she	she
should	should	should
step	step	step
down	down	down
from	from	from
her	her	her
position	posit	position
as	as	a
state	state	state
senator	senat	senator
,	,	,
Maria	maria	Maria
Chappelle	chappell	Chappelle
-Nadal	-nadal	-Nadal
suddenly	sudden	suddenly
had	had	had
a	a	a
change	chang	change
of	of	of
heart	heart	heart
.	.	.

All	all	All
of	of	of
a	a	a
sudden	sudden	sudden
,	,	,
after	after	after
her	her	her
career	career	career
as	as	a
a	a	a
MO	mo	MO
lawmaker	lawmak	lawmaker
was	was	wa
being	be	being
