Wow	wow	Wow
it	it	it
looks	look	look
like	like	like
Dem	dem	Dem
candidate	candid	candidate
for	for	for
governor	governor	governor
,	,	,
John	john	John
Bel	bel	Bel
Edwards	edward	Edwards
has	has	ha
some	some	some
friends	friend	friend
who	who	who
really	realli	really
know	know	know
how	how	how
to	to	to
throw	throw	throw
a	a	a
party	parti	party
for	for	for
early	earli	early
voters	voter	voter
.	.	.
The	the	The
stripper	stripper	stripper
poles	pole	pole
on	on	on
the	the	the
purple	purpl	purple
party	parti	party
bus	bus	bus
are	are	are
a	a	a
special	special	special
feature	featur	feature
that	that	that
goodness	good	goodness
knows	know	know
,	,	,
every	everi	every
early	earli	early
voter	voter	voter
requires	requir	requires
Yesterday	yesterday	Yesterday
,	,	,
the	the	the
Hayride	hayrid	Hayride
exclusively	exclus	exclusively
reported	report	reported
on	on	on
gubernatorial	gubernatori	gubernatorial
candidate	candid	candidate
John	john	John
Bel	bel	Bel
Edwards	edward	Edwards
campaign	campaign	campaign
rally	ralli	rally
at	at	at
the	the	the
New	new	New
Orleans	orlean	Orleans
night	night	night
club	club	club
known	known	known
as	as	a
Lyve	lyve	Lyve
New	new	New
Orleans	orlean	Orleans
.	.	.
Lyve	lyve	Lyve
New	new	New
Orleans	orlean	Orleans
is	is	is
a	a	a
night	night	night
club	club	club
on	on	on
Tulane	tulan	Tulane
Ave	ave	Ave
.	.	.
and	and	and
yesterday	yesterday	yesterday
,	,	,
the	the	the
night	night	night
club	club	club
posted	post	posted
a	a	a
couple	coupl	couple
of	of	of
photos	photo	photo
of	of	of
their	their	their
John	john	John
Bel	bel	Bel
Edwards	edward	Edwards
event	event	event
,	,	,
in	in	in
which	which	which
they	they	they
promised	promis	promised
a	a	a
Meet	meet	Meet
and	and	and
Greet	greet	Greet
with	with	with
Edwards	edward	Edwards
and	and	and
a	a	a
party	parti	party
bus	bus	bus
that	that	that
would	would	would
take	take	take
voters	voter	voter
to	to	to
go	go	go
early	earli	early
vote	vote	vote
.	.	.
Today	today	Today
,	,	,
the	the	the
Hayride	hayrid	Hayride
has	has	ha
obtained	obtain	obtained
all	all	all
of	of	of
the	the	the
videos	video	video
from	from	from
the	the	the
night	night	night
club	club	club
campaign	campaign	campaign
rally	ralli	rally
for	for	for
Edwards	edward	Edwards
,	,	,
in	in	in
which	which	which
a	a	a
party	parti	party
bus	bus	bus
is	is	is
seen	seen	seen
covered	cover	covered
in	in	in
Edwards	edward	Edwards
campaign	campaign	campaign
signs	sign	sign
,	,	,
blaring	blare	blaring
Missy	missi	Missy
Elliot	elliot	Elliot
beats	beat	beat
accompanied	accompani	accompanied
by	by	by
strobe	strobe	strobe
lights	light	light
.	.	.
The	the	The
Edwards	edward	Edwards
campaign	campaign	campaign
was	was	wa
invited	invit	invited
to	to	to
a	a	a
Family	famili	Family
Forum	forum	Forum
yesterday	yesterday	yesterday
to	to	to
discuss	discuss	discus
social	social	social
issues	issu	issue
with	with	with
his	his	his
opponent	oppon	opponent
Sen	sen	Sen
.	.	.
David	david	David
Vitter	vitter	Vitter
R	r	R
-LA	-la	-LA
,	,	,
but	but	but
skipped	skip	skipped
out	out	out
on	on	on
the	the	the
event	event	event
.	.	.
Vitter	vitter	Vitter
,	,	,
however	howev	however
,	,	,
did	did	did
attend	attend	attend
.	.	.
The	the	The
videos	video	video
below	below	below
caught	caught	caught
by	by	by
America	america	America
Rising	rise	Rising
show	show	show
Edwards	edward	Edwards
and	and	and
his	his	his
wife	wife	wife
Donna	donna	Donna
Edwards	edward	Edwards
meeting	meet	meeting
with	with	with
voters	voter	voter
before	befor	before
entering	enter	entering
the	the	the
club	club	club
.	.	.
Following	follow	Following
the	the	the
meet	meet	meet
and	and	and
greet	greet	greet
event	event	event
some	some	some
of	of	of
the	the	the
attendees	attende	attendee
hopped	hop	hopped
on	on	on
the	the	the
party	parti	party
bus	bus	bus
to	to	to
City	citi	City
Hall	hall	Hall
for	for	for
early	earli	early
voting	vote	voting
,	,	,
and	and	and
the	the	the
bus	bus	bus
illegally	illeg	illegally
parked	park	parked
in	in	in
front	front	front
of	of	of
City	citi	City
Hall	hall	Hall
and	and	and
had	had	had
to	to	to
be	be	be
moved	move	moved
.	.	.
Here	here	Here
s	s	s
a	a	a
copy	copi	copy
of	of	of
the	the	the
invitation	invit	invitation
to	to	to
the	the	the
rally	ralli	rally
for	for	for
John	john	John
Bel	bel	Bel
Edwards	edward	Edwards
for	for	for
Governor	governor	Governor
of	of	of
LA	la	LA
Take	take	Take
a	a	a
look	look	look
at	at	at
all	all	all
of	of	of
the	the	the
footage	footag	footage
from	from	from
Edwards	edward	Edwards
campaign	campaign	campaign
rally	ralli	rally
below	below	below
Here	here	Here
is	is	is
John	john	John
Bel	bel	Bel
Edwards	edward	Edwards
arriving	arriv	arriving
at	at	at
Lyve	lyve	Lyve
Nite	nite	Nite
Club	club	Club
Here	here	Here
s	s	s
an	an	an
inside	insid	inside
look	look	look
at	at	at
the	the	the
John	john	John
Bel	bel	Bel
Edwards	edward	Edwards
purple	purpl	purple
party	parti	party
bus	bus	bus
that	that	that
was	was	wa
apparently	appar	apparently
to	to	to
be	be	be
used	use	used
for	for	for
transporting	transport	transporting
voters	voter	voter
to	to	to
the	the	the
early	earli	early
voting	vote	voting
polls	poll	poll
.	.	.
The	the	The
bus	bus	bus
is	is	is
complete	complet	complete
with	with	with
stripper	stripper	stripper
poles	pole	pole
,	,	,
a	a	a
wall	wall	wall
of	of	of
speakers	speaker	speaker
and	and	and
strobe	strobe	strobe
lights	light	light
After	after	After
parking	park	parking
illegally	illeg	illegally
,	,	,
the	the	the
John	john	John
Bel	bel	Bel
Edwards	edward	Edwards
Party	parti	Party
ride	ride	ride
to	to	to
early	earli	early
voting	vote	voting
precincts	precinct	precinct
bus	bus	bus
was	was	wa
made	made	made
to	to	to
move	move	move
The	the	The
photos	photo	photo
obtained	obtain	obtained
by	by	by
the	the	the
Hayride	hayrid	Hayride
yesterday	yesterday	yesterday
via	via	via
Lyve	lyve	Lyve
New	new	New
Orleans	orlean	Orleans
Facebook	facebook	Facebook
and	and	and
Instagram	instagram	Instagram
account	account	account
can	can	can
be	be	be
seen	seen	seen
below	below	below
,	,	,
depicting	depict	depicting
Edwards	edward	Edwards
invite	invit	invite
bottom	bottom	bottom
left	left	left
among	among	among
the	the	the
rest	rest	rest
of	of	of
the	the	the
night	night	night
club	club	club
s	s	s
featured	featur	featured
performers	perform	performer
and	and	and
rappers	rapper	rapper
After	after	After
the	the	the
Hayride	hayrid	Hayride
posted	post	posted
the	the	the
exclusive	exclus	exclusive
story	stori	story
,	,	,
multiple	multipl	multiple
Facebook	facebook	Facebook
users	user	user
and	and	and
Twitter	twitter	Twitter
users	user	user
quickly	quick	quickly
attempted	attempt	attempted
to	to	to
shoot	shoot	shoot
down	down	down
the	the	the
story	stori	story
,	,	,
claiming	claim	claiming
the	the	the
story	stori	story
was	was	wa
intellectually	intellectu	intellectually
dishonest	dishonest	dishonest
and	and	and
that	that	that
Edwards	edward	Edwards
was	was	wa
not	not	not
associated	associ	associated
with	with	with
the	the	the
night	night	night
club	club	club
event	event	event
.	.	.
Via	via	Via
The	the	The
Hayride	hayrid	Hayride
