When	when	When
asked	ask	asked
by	by	by
the	the	the
other	other	other
hosts	host	host
on	on	on
the	the	the
show	show	show
,	,	,
Where	where	Where
would	would	would
you	you	you
go	go	go
?	?	?
Whoopie	whoopi	Whoopie
pauses	paus	pause
,	,	,
then	then	then
realizes	realiz	realizes
there	there	there
really	realli	really
is	is	is
no	no	no
better	better	better
country	countri	country
on	on	on
the	the	the
earth	earth	earth
,	,	,
as	as	a
she	she	she
sheepishly	sheepish	sheepishly
replies	repli	reply
,	,	,
I	i	I
don	don	don
t	t	t
know	know	know
,	,	,
I	i	I
ve	ve	ve
always	alway	always
been	been	been
in	in	in
America	america	America
.	.	.
There	there	There
s	s	s
usually	usual	usually
a	a	a
good	good	good
reason	reason	reason
that	that	that
people	peopl	people
don	don	don
t	t	t
give	give	give
up	up	up
their	their	their
citizenship	citizenship	citizenship
Whoopie	whoopi	Whoopie
.	.	.
There	there	There
s	s	s
probably	probabl	probably
a	a	a
reason	reason	reason
so	so	so
many	mani	many
people	peopl	people
are	are	are
willing	will	willing
to	to	to
break	break	break
the	the	the
law	law	law
and	and	and
illegally	illeg	illegally
enter	enter	enter
our	our	our
country	countri	country
.	.	.
Despite	despit	Despite
the	the	the
drivel	drivel	drivel
you	you	you
and	and	and
your	your	your
cohorts	cohort	cohort
push	push	push
on	on	on
The	the	The
View	view	View
,	,	,
every	everi	every
American	american	American
doesn	doesn	doesn
t	t	t
believe	believ	believe
they	they	they
re	re	re
somehow	somehow	somehow
a	a	a
victim	victim	victim
,	,	,
and	and	and
most	most	most
Americans	american	Americans
agree	agre	agree
with	with	with
Trump	trump	Trump
that	that	that
we	we	we
shouldn	shouldn	shouldn
t	t	t
be	be	be
willing	will	willing
to	to	to
give	give	give
up	up	up
all	all	all
that	that	that
makes	make	make
America	america	America
great	great	great
just	just	just
because	becaus	because
the	the	the
Left	left	Left
wants	want	want
to	to	to
shore	shore	shore
up	up	up
their	their	their
voting	vote	voting
block	block	block
.	.	.
If	if	If
you	you	you
wanna	wanna	wanna
know	know	know
what	what	what
is	is	is
really	realli	really
getting	get	getting
under	under	under
Whoopie	whoopi	Whoopie
s	s	s
skin	skin	skin
,	,	,
it	it	it
s	s	s
the	the	the
idea	idea	idea
that	that	that
no	no	no
one	one	one
in	in	in
the	the	the
media	media	medium
can	can	can
control	control	control
Trump	trump	Trump
.	.	.
That	that	That
s	s	s
what	what	what
s	s	s
really	realli	really
got	got	got
the	the	the
girls	girl	girl
on	on	on
The	the	The
View	view	View
freaking	freak	freaking
out	out	out
Wednesday	wednesday	Wednesday
on	on	on
ABC	abc	ABC
s	s	s
The	the	The
View	view	View
,	,	,
co	co	co
-host	-host	-host
Whoopi	whoopi	Whoopi
Goldberg	goldberg	Goldberg
said	said	said
Republican	republican	Republican
presidential	presidenti	presidential
candidate	candid	candidate
Donald	donald	Donald
Trump	trump	Trump
needs	need	need
to	to	to
stop	stop	stop
blaming	blame	blaming
others	other	others
for	for	for
the	the	the
problems	problem	problem
in	in	in
America	america	America
and	and	and
threatened	threaten	threatened
to	to	to
move	move	move
out	out	out
of	of	of
the	the	the
country	countri	country
.	.	.
https://youtu.be/NwE2ZvcpKUsGoldberg	https://youtu.be/nwe2zvcpkusgoldberg	https://youtu.be/NwE2ZvcpKUsGoldberg
said	said	said
,	,	,
People	peopl	People
don	don	don
t	t	t
like	like	like
being	be	being
the	the	the
butt	butt	butt
of	of	of
the	the	the
jokes	joke	joke
and	and	and
now	now	now
that	that	that
people	peopl	people
say	say	say
,	,	,
listen	listen	listen
,	,	,
you	you	you
can	can	can
t	t	t
make	make	make
me	me	me
the	the	the
butt	butt	butt
of	of	of
your	your	your
jokes	joke	joke
,	,	,
I	i	I
don	don	don
t	t	t
like	like	like
it	it	it
.	.	.
You	you	You
can	can	can
t	t	t
use	use	use
me	me	me
as	as	a
some	some	some
sort	sort	sort
of	of	of
stereotype	stereotyp	stereotype
.	.	.
I	i	I
don	don	don
t	t	t
like	like	like
it	it	it
.	.	.
That	that	That
s	s	s
the	the	the
PC	pc	PC
people	peopl	people
are	are	are
talking	talk	talking
about	about	about
.	.	.
And	and	And
the	the	the
bottom	bottom	bottom
line	line	line
is	is	is
this	this	this
find	find	find
a	a	a
different	differ	different
way	way	way
to	to	to
say	say	say
what	what	what
you	you	you
re	re	re
going	go	going
to	to	to
say	say	say
.	.	.
People	peopl	People
are	are	are
not	not	not
going	go	going
to	to	to
take	take	take
it	it	it
anymore	anymor	anymore
.	.	.
So	so	So
if	if	if
that	that	that
s	s	s
what	what	what
s	s	s
pisses	piss	piss
you	you	you
off	off	off
,	,	,
you	you	you
re	re	re
going	go	going
to	to	to
stay	stay	stay
angry	angri	angry
.	.	.
Co	co	Co
-host	-host	-host
Joy	joy	Joy
Behar	behar	Behar
said	said	said
,	,	,
A	a	A
lot	lot	lot
of	of	of
it	it	it
has	has	ha
to	to	to
do	do	do
with	with	with
their	their	their
pocketbook	pocketbook	pocketbook
.	.	.
They	they	They
re	re	re
not	not	not
making	make	making
as	as	a
much	much	much
money	money	money
as	as	a
they	they	they
used	use	used
to	to	to
make	make	make
,	,	,
that	that	that
particular	particular	particular
group	group	group
of	of	of
people	peopl	people
.	.	.
Maybe	mayb	Maybe
jobs	job	job
are	are	are
overseas	oversea	overseas
,	,	,
maybe	mayb	maybe
technology	technolog	technology
has	has	ha
taken	taken	taken
over	over	over
,	,	,
they	they	they
don	don	don
t	t	t
have	have	have
the	the	the
background	background	background
for	for	for
it	it	it
.	.	.
They	they	They
re	re	re
ticked	tick	ticked
off	off	off
.	.	.
Goldberg	goldberg	Goldberg
interjected	interject	interjected
,	,	,
But	but	But
then	then	then
you	you	you
can	can	can
t	t	t
blame	blame	blame
immigrants	immigr	immigrant
for	for	for
that	that	that
.	.	.
Behar	behar	Behar
continued	continu	continued
,	,	,
That	that	That
s	s	s
scapegoating	scapego	scapegoating
.	.	.
It	it	It
s	s	s
as	as	a
old	old	old
as	as	a
the	the	the
hills	hill	hill
.	.	.
What	what	What
do	do	do
you	you	you
think	think	think
World	world	World
War	war	War
II	ii	II
is	is	is
all	all	all
about	about	about
?	?	?
You	you	You
know	know	know
that	that	that
.	.	.
It	it	It
s	s	s
all	all	all
about	about	about
blaming	blame	blaming
the	the	the
Jews	jew	Jews
.	.	.
Now	now	Now
it	it	it
s	s	s
the	the	the
Mexicans	mexican	Mexicans
and	and	and
the	the	the
Muslims	muslim	Muslims
.	.	.
Blame	blame	Blame
everybody	everybodi	everybody
but	but	but
yourself	yourself	yourself
.	.	.
Later	later	Later
in	in	in
the	the	the
segment	segment	segment
,	,	,
Goldberg	goldberg	Goldberg
continued	continu	continued
her	her	her
rant	rant	rant
.	.	.
Listen	listen	Listen
,	,	,
he	he	he
can	can	can
be	be	be
whatever	whatev	whatever
party	parti	party
he	he	he
wants	want	want
to	to	to
be	be	be
,	,	,
she	she	she
said	said	said
.	.	.
What	what	What
he	he	he
can	can	can
t	t	t
be	be	be
is	is	is
he	he	he
can	can	can
t	t	t
be	be	be
the	the	the
guy	guy	guy
that	that	that
says	say	say
it	it	it
s	s	s
your	your	your
fault	fault	fault
stuff	stuff	stuff
isn	isn	isn
t	t	t
working	work	working
.	.	.
That	that	That
s	s	s
not	not	not
the	the	the
president	presid	president
I	i	I
want	want	want
.	.	.
Find	find	Find
a	a	a
way	way	way
to	to	to
make	make	make
stuff	stuff	stuff
work	work	work
.	.	.
Stop	stop	Stop
blaming	blame	blaming
everybody	everybodi	everybody
because	becaus	because
all	all	all
of	of	of
this	this	this
,	,	,
as	as	a
American	american	American
citizens	citizen	citizen
,	,	,
this	this	this
is	is	is
our	our	our
we	we	we
did	did	did
all	all	all
of	of	of
this	this	this
.	.	.
