Newly	newli	Newly
released	releas	released
video	video	video
shows	show	show
a	a	a
group	group	group
of	of	of
Texas	texa	Texas
inmates	inmat	inmate
breaking	break	breaking
out	out	out
of	of	of
their	their	their
cell	cell	cell
to	to	to
save	save	save
the	the	the
life	life	life
of	of	of
their	their	their
jailer	jailer	jailer
.	.	.
According	accord	According
to	to	to
KUSA	kusa	KUSA
,	,	,
on	on	on
June	june	June
23	23	23
an	an	an
armed	arm	armed
guard	guard	guard
who	who	who
was	was	wa
monitoring	monitor	monitoring
a	a	a
group	group	group
of	of	of
inmates	inmat	inmate
in	in	in
Parker	parker	Parker
County	counti	County
,	,	,
Texas	texa	Texas
suddenly	sudden	suddenly
slumped	slump	slumped
over	over	over
.	.	.
Nick	nick	Nick
Kelton	kelton	Kelton
,	,	,
one	one	one
of	of	of
eight	eight	eight
inmates	inmat	inmate
who	who	who
put	put	put
their	their	their
own	own	own
lives	live	life
on	on	on
the	the	the
line	line	line
to	to	to
help	help	help
their	their	their
jailer	jailer	jailer
,	,	,
said	said	said
at	at	at
first	first	first
the	the	the
men	men	men
in	in	in
the	the	the
cell	cell	cell
thought	thought	thought
the	the	the
guard	guard	guard
was	was	wa
putting	put	putting
on	on	on
some	some	some
kind	kind	kind
of	of	of
act	act	act
.	.	.
After	after	After
shouting	shout	shouting
and	and	and
trying	tri	trying
to	to	to
rouse	rous	rouse
the	the	the
guard	guard	guard
,	,	,
however	howev	however
,	,	,
the	the	the
group	group	group
of	of	of
men	men	men
in	in	in
the	the	the
cell	cell	cell
realized	realiz	realized
something	someth	something
was	was	wa
very	veri	very
wrong	wrong	wrong
.	.	.
Kelton	kelton	Kelton
says	say	say
they	they	they
attempted	attempt	attempted
to	to	to
call	call	call
for	for	for
help	help	help
,	,	,
but	but	but
no	no	no
one	one	one
outside	outsid	outside
of	of	of
the	the	the
locked	lock	locked
room	room	room
heard	heard	heard
their	their	their
shouts	shout	shout
.	.	.
In	in	In
desperation	desper	desperation
,	,	,
the	the	the
eight	eight	eight
prisoners	prison	prisoner
forced	forc	forced
open	open	open
the	the	the
door	door	door
of	of	of
their	their	their
cell	cell	cell
.	.	.
Kelton	kelton	Kelton
told	told	told
KUSA	kusa	KUSA
that	that	that
when	when	when
they	they	they
reached	reach	reached
the	the	the
guard	guard	guard
he	he	he
did	did	did
not	not	not
have	have	have
a	a	a
pulse	puls	pulse
.	.	.
Some	some	Some
of	of	of
the	the	the
panicked	panick	panicked
inmates	inmat	inmate
began	began	began
banging	bang	banging
on	on	on
doors	door	door
and	and	and
yelling	yell	yelling
for	for	for
help	help	help
while	while	while
others	other	others
tried	tri	tried
to	to	to
administer	administ	administer
medical	medic	medical
aid	aid	aid
.	.	.
According	accord	According
to	to	to
Kelton	kelton	Kelton
,	,	,
the	the	the
eight	eight	eight
men	men	men
were	were	were
aware	awar	aware
of	of	of
the	the	the
risk	risk	risk
they	they	they
were	were	were
taking	take	taking
.	.	.
We	we	We
were	were	were
worried	worri	worried
they	they	they
re	re	re
going	go	going
to	to	to
come	come	come
with	with	with
guns	gun	gun
drawn	drawn	drawn
on	on	on
us	us	u
,	,	,
he	he	he
told	told	told
KUSA	kusa	KUSA
.	.	.
The	the	The
inmate	inmat	inmate
s	s	s
actions	action	action
finally	final	finally
got	got	got
the	the	the
attention	attent	attention
of	of	of
officers	offic	officer
outside	outsid	outside
the	the	the
room	room	room
.	.	.
A	a	A
group	group	group
of	of	of
guards	guard	guard
did	did	did
rush	rush	rush
in	in	in
with	with	with
guns	gun	gun
drawn	drawn	drawn
.	.	.
They	they	They
thought	thought	thought
it	it	it
was	was	wa
a	a	a
fight	fight	fight
,	,	,
a	a	a
second	second	second
inmate	inmat	inmate
,	,	,
Floyd	floyd	Floyd
Smith	smith	Smith
,	,	,
told	told	told
KUSA	kusa	KUSA
.	.	.
They	they	They
thought	thought	thought
we	we	we
were	were	were
taking	take	taking
over	over	over
.	.	.
The	the	The
officer	offic	officer
s	s	s
immediately	immedi	immediately
herded	herd	herded
the	the	the
eight	eight	eight
prisoners	prison	prisoner
back	back	back
into	into	into
the	the	the
cell	cell	cell
.	.	.
The	the	The
unidentified	unidentifi	unidentified
guard	guard	guard
was	was	wa
given	given	given
CPR	cpr	CPR
until	until	until
paramedics	paramed	paramedic
arrived	arriv	arrived
on	on	on
the	the	the
scene	scene	scene
.	.	.
He	he	He
is	is	is
expected	expect	expected
to	to	to
make	make	make
a	a	a
full	full	full
recovery	recoveri	recovery
.	.	.
Police	polic	Police
Captain	captain	Captain
Mark	mark	Mark
Arnett	arnett	Arnett
credits	credit	credit
the	the	the
inmates	inmat	inmate
for	for	for
saving	save	saving
the	the	the
life	life	life
of	of	of
the	the	the
guard	guard	guard
,	,	,
who	who	who
works	work	work
for	for	for
a	a	a
private	privat	private
security	secur	security
firm	firm	firm
.	.	.
He	he	He
could	could	could
have	have	have
been	been	been
there	there	there
15	15	15
minutes	minut	minute
before	befor	before
any	ani	any
other	other	other
staff	staff	staff
walked	walk	walked
in	in	in
and	and	and
found	found	found
him	him	him
,	,	,
Arnett	arnett	Arnett
told	told	told
KUSA	kusa	KUSA
.	.	.
Arnett	arnett	Arnett
pointed	point	pointed
out	out	out
that	that	that
the	the	the
unconscious	unconsci	unconscious
guard	guard	guard
had	had	had
the	the	the
keys	key	key
and	and	and
a	a	a
gun	gun	gun
.	.	.
The	the	The
eight	eight	eight
inmates	inmat	inmate
could	could	could
have	have	have
behaved	behav	behaved
much	much	much
differently	differ	differently
in	in	in
those	those	those
circumstances	circumst	circumstance
.	.	.
When	when	When
asked	ask	asked
why	whi	why
the	the	the
prisoners	prison	prisoner
put	put	put
themselves	themselv	themselves
at	at	at
risk	risk	risk
to	to	to
save	save	save
their	their	their
jailer	jailer	jailer
,	,	,
Kelton	kelton	Kelton
replied	repli	replied
I	i	I
watched	watch	watched
him	him	him
die	die	die
twice	twice	twice
.	.	.
It	it	It
never	never	never
crossed	cross	crossed
my	my	my
mind	mind	mind
not	not	not
to	to	to
help	help	help
whether	whether	whether
he	he	he
s	s	s
got	got	got
a	a	a
gun	gun	gun
or	or	or
a	a	a
badge	badg	badge
.	.	.
If	if	If
he	he	he
falls	fall	fall
down	down	down
,	,	,
I	i	I
m	m	m
gonna	gonna	gonna
help	help	help
him	him	him
.	.	.
Smith	smith	Smith
added	ad	added
,	,	,
Seems	seem	Seems
natural	natur	natural
to	to	to
me	me	me
.	.	.
Image	imag	Image
credit	credit	credit
video	video	video
screen	screen	screen
capture	captur	capture
KUSA	kusa	KUSA
