If	if	If
Donald	donald	Donald
trump	trump	trump
wants	want	want
to	to	to
have	have	have
a	a	a
good	good	good
relationship	relationship	relationship
with	with	with
the	the	the
press	press	press
he	he	he
can	can	can
start	start	start
by	by	by
apologizing	apolog	apologizing
for	for	for
bullying	bulli	bullying
them	them	them
.	.	.
But	but	But
until	until	until
he	he	he
does	doe	doe
,	,	,
Nicolle	nicoll	Nicolle
Wallace	wallac	Wallace
believes	believ	belief
Trump	trump	Trump
will	will	will
continue	continu	continue
to	to	to
be	be	be
a	a	a
threat	threat	threat
to	to	to
the	the	the
free	free	free
press	press	press
.	.	.
During	dure	During
an	an	an
appearance	appear	appearance
on	on	on
Meet	meet	Meet
The	the	The
Press	press	Press
with	with	with
some	some	some
former	former	former
White	white	White
House	hous	House
Press	press	Press
Secretaries	secretari	Secretaries
to	to	to
discuss	discuss	discus
Trump	trump	Trump
s	s	s
relationship	relationship	relationship
with	with	with
reporters	report	reporter
,	,	,
Wallace	wallac	Wallace
pointed	point	pointed
out	out	out
that	that	that
what	what	what
is	is	is
happening	happen	happening
is	is	is
unprecedented	unpreced	unprecedented
in	in	in
American	american	American
history	histori	history
.	.	.
Chuck	chuck	Chuck
Todd	todd	Todd
noted	note	noted
that	that	that
Trump	trump	Trump
already	alreadi	already
has	has	ha
an	an	an
antagonistic	antagonist	antagonistic
relationship	relationship	relationship
with	with	with
the	the	the
press	press	press
and	and	and
he	he	he
hasn	hasn	hasn
t	t	t
even	even	even
taken	taken	taken
office	offic	office
yet	yet	yet
.	.	.
Former	former	Former
Clinton	clinton	Clinton
Press	press	Press
Secretary	secretari	Secretary
Joe	joe	Joe
Lockhart	lockhart	Lockhart
explained	explain	explained
that	that	that
the	the	the
relationship	relationship	relationship
between	between	between
the	the	the
press	press	press
and	and	and
the	the	the
president	presid	president
is	is	is
mutually	mutual	mutually
beneficial	benefici	beneficial
and	and	and
that	that	that
press	press	press
briefings	brief	briefing
are	are	are
important	import	important
because	becaus	because
both	both	both
sides	side	side
get	get	get
something	someth	something
out	out	out
of	of	of
it	it	it
.	.	.

But	but	But
Lockhart	lockhart	Lockhart
believes	believ	belief
that	that	that
will	will	will
change	chang	change
on	on	on
January	januari	January
20th	20th	20th
because	becaus	because
Trump	trump	Trump
is	is	is
manufacturing	manufactur	manufacturing
his	his	his
own	own	own
facts	fact	fact
like	like	like
Nixon	nixon	Nixon
did	did	did
.	.	.
Todd	todd	Todd
pointed	point	pointed
out	out	out
that	that	that
partisans	partisan	partisan
delegitimized	delegitim	delegitimized
the	the	the
press	press	press
and	and	and
that	that	that
s	s	s
when	when	when
Wallace	wallac	Wallace
tore	tore	tore
Trump	trump	Trump
a	a	a
new	new	new
one	one	one
.	.	.

We	we	We
have	have	have
just	just	just
elected	elect	elected
a	a	a
man	man	man
who	who	who
bullies	bulli	bully
female	femal	female
reporters	report	reporter
at	at	at
his	his	his
rallies	ralli	rally
as	as	a
an	an	an
applause	applaus	applause
line	line	line
,	,	,
Wallace	wallac	Wallace
said	said	said
.	.	.

We	we	We
have	have	have
just	just	just
elected	elect	elected
a	a	a
man	man	man
who	who	who
started	start	started
a	a	a
hot	hot	hot
war	war	war
with	with	with
a	a	a
female	femal	female
anchor	anchor	anchor
instead	instead	instead
of	of	of
attending	attend	attending
a	a	a
debate	debat	debate
she	she	she
moderated	moder	moderated
.	.	.

We	we	We
are	are	are
in	in	in
a	a	a
new	new	new
place	place	place
.	.	.

And	and	And
I	i	I
don	don	don
t	t	t
think	think	think
it	it	it
s	s	s
good	good	good
.	.	.

And	and	And
I	i	I
don	don	don
t	t	t
think	think	think
it	it	it
has	has	ha
any	ani	any
parallels	parallel	parallel
to	to	to
the	the	the
past	past	past
.	.	.

I	i	I
don	don	don
t	t	t
think	think	think
Trump	trump	Trump
needs	need	need
the	the	the
press	press	press
but	but	but
he	he	he
wants	want	want
it	it	it
like	like	like
an	an	an
addict	addict	addict
craves	crave	craves
their	their	their
drug	drug	drug
.	.	.

Wallace	wallac	Wallace
went	went	went
on	on	on
to	to	to
slam	slam	slam
Trump	trump	Trump
for	for	for
suggesting	suggest	suggesting
that	that	that
he	he	he
will	will	will
eliminate	elimin	eliminate
the	the	the
protective	protect	protective
press	press	press
pool	pool	pool
that	that	that
accompanies	accompani	accompanies
the	the	the
president	presid	president
wherever	wherev	wherever
he	he	he
goes	goe	go
because	becaus	because
that	that	that
pool	pool	pool
exists	exist	exists
so	so	so
that	that	that
when	when	when
something	someth	something
major	major	major
happens	happen	happens
like	like	like
9	9	9
11	11	11
the	the	the
president	presid	president
can	can	can
speak	speak	speak
to	to	to
the	the	the
American	american	American
people	peopl	people
and	and	and
the	the	the
world	world	world
immediately	immedi	immediately
.	.	.
Lockhart	lockhart	Lockhart
,	,	,
meanwhile	meanwhil	meanwhile
,	,	,
chimed	chime	chimed
in	in	in
with	with	with
the	the	the
suggestion	suggest	suggestion
that	that	that
the	the	the
press	press	press
stop	stop	stop
printing	print	printing
every	everi	every
word	word	word
Trump	trump	Trump
says	say	say
and	and	and
start	start	start
digging	dig	digging
deeper	deeper	deeper
