Thanks	thank	Thanks
to	to	to
a	a	a
conservative	conserv	conservative
group	group	group
that	that	that
tried	tri	tried
to	to	to
ruin	ruin	ruin
an	an	an
organized	organ	organized
dance	danc	dance
for	for	for
LGBTQ	lgbtq	LGBTQ
teens	teen	teen
,	,	,
thousands	thousand	thousand
of	of	of
dollars	dollar	dollar
were	were	were
raised	rais	raised
so	so	so
those	those	those
very	veri	very
teens	teen	teen
could	could	could
have	have	have
the	the	the
night	night	night
of	of	of
their	their	their
lives	live	life
.	.	.
The	the	The
Australian	australian	Australian
Same	same	Same
Sex	sex	Sex
Gender	gender	Gender
Diverse	divers	Diverse
Formal	formal	Formal
is	is	is
an	an	an
annual	annual	annual
gala	gala	gala
hosted	host	hosted
by	by	by
Minus	minus	Minus
18	18	18
for	for	for
LGBTQ	lgbtq	LGBTQ
teenagers	teenag	teenager
,	,	,
giving	give	giving
them	them	them
a	a	a
place	place	place
to	to	to
feel	feel	feel
safe	safe	safe
and	and	and
at	at	at
home	home	home
without	without	without
the	the	the
ridicule	ridicul	ridicule
that	that	that
might	might	might
happen	happen	happen
at	at	at
most	most	most
school	school	school
dances	danc	dance
.	.	.
Minus	minus	Minus
18	18	18
wrote	wrote	wrote
on	on	on
the	the	the
event	event	event
page	page	page
Imagine	imagin	Imagine
being	be	being
told	told	told
by	by	by
your	your	your
school	school	school
that	that	that
the	the	the
clothes	cloth	clothes
you	you	you
feel	feel	feel
comfortable	comfort	comfortable
wearing	wear	wearing
to	to	to
a	a	a
formal	formal	formal
aren	aren	aren
t	t	t
considered	consid	considered
normal	normal	normal
or	or	or
don	don	don
t	t	t
conform	conform	conform
to	to	to
a	a	a
dress	dress	dress
code	code	code
.	.	.
Imagine	imagin	Imagine
not	not	not
being	be	being
allowed	allow	allowed
to	to	to
take	take	take
a	a	a
partner	partner	partner
of	of	of
the	the	the
same	same	same
sex	sex	sex
,	,	,
or	or	or
being	be	being
too	too	too
afraid	afraid	afraid
to	to	to
attend	attend	attend
altogether	altogeth	altogether
.	.	.
It	it	It
isn	isn	isn
t	t	t
unusual	unusu	unusual
for	for	for
LGBTQ	lgbtq	LGBTQ
teens	teen	teen
to	to	to
be	be	be
bullied	bulli	bullied
or	or	or
banned	ban	banned
when	when	when
they	they	they
try	tri	try
to	to	to
bring	bring	bring
a	a	a
same	same	same
-sex	-sex	-sex
date	date	date
or	or	or
wear	wear	wear
attire	attir	attire
that	that	that
doesn	doesn	doesn
t	t	t
satisfy	satisfi	satisfy
strict	strict	strict
gender	gender	gender
norms	norm	norm
.	.	.
The	the	The
Formal	formal	Formal
is	is	is
a	a	a
place	place	place
where	where	where
teens	teen	teen
can	can	can
be	be	be
themselves	themselv	themselves
and	and	and
feel	feel	feel
comfortable	comfort	comfortable
wearing	wear	wearing
whatever	whatev	whatever
with	with	with
whomever	whomev	whomever
,	,	,
without	without	without
worrying	worri	worrying
that	that	that
others	other	others
will	will	will
take	take	take
issue	issu	issue
with	with	with
it	it	it
.	.	.
Knowing	know	Knowing
just	just	just
how	how	how
important	import	important
LGBTQ	lgbtq	LGBTQ
events	event	event
are	are	are
,	,	,
Minus	minus	Minus
18	18	18
was	was	wa
also	also	also
crowdfunding	crowdfund	crowdfunding
for	for	for
any	ani	any
students	student	student
who	who	who
couldn	couldn	couldn
t	t	t
afford	afford	afford
their	their	their
40	40	40
tickets	ticket	ticket
to	to	to
the	the	the
dance	danc	dance
.	.	.
Unfortunately	unfortun	Unfortunately
,	,	,
some	some	some
people	peopl	people
just	just	just
can	can	can
t	t	t
let	let	let
others	other	others
be	be	be
.	.	.
The	the	The
Stop	stop	Stop
Safe	safe	Safe
Schools	school	Schools
Coalition	coalit	Coalition
,	,	,
a	a	a
conservative	conserv	conservative
group	group	group
of	of	of
bigots	bigot	bigot
that	that	that
go	go	go
out	out	out
of	of	of
their	their	their
way	way	way
to	to	to
ruin	ruin	ruin
schools	school	school
and	and	and
groups	group	group
that	that	that
foster	foster	foster
safe	safe	safe
and	and	and
inclusive	inclus	inclusive
environments	environ	environment
for	for	for
same	same	same
-sex	-sex	-sex
attracted	attract	attracted
,	,	,
intersex	intersex	intersex
,	,	,
and	and	and
gender	gender	gender
diverse	divers	diverse
students	student	student
,	,	,
staff	staff	staff
and	and	and
families	famili	family
,	,	,
decided	decid	decided
to	to	to
try	tri	try
and	and	and
ruin	ruin	ruin
the	the	the
gala	gala	gala
.	.	.
Using	use	Using
their	their	their
700	700	700
Facebook	facebook	Facebook
fans	fan	fan
,	,	,
the	the	the
right	right	right
-wing	-wing	-wing
group	group	group
begged	beg	begged
people	peopl	people
to	to	to
buy	buy	buy
up	up	up
as	as	a
many	mani	many
tickets	ticket	ticket
as	as	a
possible	possibl	possible
so	so	so
that	that	that
LGBTQ	lgbtq	LGBTQ
teens	teen	teen
wouldn	wouldn	wouldn
t	t	t
be	be	be
able	abl	able
to	to	to
.	.	.
The	the	The
group	group	group
posted	post	posted
The	the	The
more	more	more
tickets	ticket	ticket
sold	sold	sold
to	to	to
us	us	u
the	the	the
more	more	more
youth	youth	youth
we	we	we
protect	protect	protect
.	.	.
They	they	They
are	are	are
non	non	non
-refundable	-refund	-refundable
unfortunately	unfortun	unfortunately
so	so	so
if	if	if
you	you	you
are	are	are
then	then	then
unable	unabl	unable
to	to	to
attend	attend	attend
you	you	you
can	can	can
t	t	t
get	get	get
your	your	your
money	money	money
back	back	back
or	or	or
a	a	a
ticket	ticket	ticket
sold	sold	sold
to	to	to
someone	someon	someone
else	els	else
.	.	.
Little	littl	Little
did	did	did
they	they	they
know	know	know
,	,	,
that	that	that
while	while	while
these	these	these
homophobes	homophob	homophobe
thought	thought	thought
they	they	they
were	were	were
robbing	rob	robbing
tickets	ticket	ticket
from	from	from
LGBTQ	lgbtq	LGBTQ
teens	teen	teen
,	,	,
they	they	they
were	were	were
actually	actual	actually
buying	buy	buying
them	them	them
FOR	for	FOR
the	the	the
teens	teen	teen
!	!	!
What	what	What
The	the	The
Stop	stop	Stop
Safe	safe	Safe
Schools	school	Schools
Coalition	coalit	Coalition
had	had	had
actually	actual	actually
done	done	done
was	was	wa
share	share	share
Minus	minus	Minus
18	18	18
s	s	s
crowdfunding	crowdfund	crowdfunding
campaign	campaign	campaign
which	which	which
allowed	allow	allowed
conservatives	conserv	conservative
to	to	to
unknowingly	unknow	unknowingly
making	make	making
donations	donat	donation
to	to	to
send	send	send
needy	needi	needy
LGBTQ	lgbtq	LGBTQ
students	student	student
TO	to	TO
the	the	the
dance	danc	dance
.	.	.
As	as	As
one	one	one
person	person	person
hilariously	hilari	hilariously
pointed	point	pointed
out	out	out
on	on	on
the	the	the
Facebook	facebook	Facebook
page	page	page
You	you	You
realize	realiz	realize
that	that	that
if	if	if
