If	if	If
there	there	there
s	s	s
one	one	one
person	person	person
in	in	in
this	this	this
entire	entir	entire
nation	nation	nation
who	who	who
does	doe	doe
not	not	not
deserve	deserv	deserve
a	a	a
seat	seat	seat
at	at	at
the	the	the
State	state	State
of	of	of
the	the	the
Union	union	Union
,	,	,
it	it	it
s	s	s
Kentucky	kentucki	Kentucky
county	counti	county
clerk	clerk	clerk
Kim	kim	Kim
Davis	davi	Davis
.	.	.

Her	her	Her
reckless	reckless	reckless
abuse	abus	abuse
of	of	of
her	her	her
position	posit	position
of	of	of
power	power	power
to	to	to
deny	deni	deny
same	same	same
-sex	-sex	-sex
couples	coupl	couple
the	the	the
right	right	right
to	to	to
marry	marri	marry
was	was	wa
outright	outright	outright
unconstitutional	unconstitut	unconstitutional
.	.	.

So	so	So
unconstitutional	unconstitut	unconstitutional
,	,	,
in	in	in
fact	fact	fact
,	,	,
that	that	that
it	it	it
put	put	put
her	her	her
in	in	in
prison	prison	prison
.	.	.
To	to	To
top	top	top
it	it	it
off	off	off
,	,	,
she	she	she
s	s	s
not	not	not
even	even	even
attending	attend	attending
to	to	to
listen	listen	listen
to	to	to
the	the	the
president	presid	president
,	,	,
but	but	but
rather	rather	rather
just	just	just
be	be	be
a	a	a
bigot	bigot	bigot
counterweight	counterweight	counterweight
in	in	in
the	the	the
crowd	crowd	crowd
.	.	.

According	accord	According
to	to	to
her	her	her
lawyer	lawyer	lawyer
,	,	,
Mat	mat	Mat
Staver	staver	Staver
She	she	She
is	is	is
not	not	not
so	so	so
much	much	much
looking	look	looking
forward	forward	forward
to	to	to
going	go	going
so	so	so
much	much	much
because	becaus	because
of	of	of
what	what	what
President	presid	President
Obama	obama	Obama
has	has	ha
to	to	to
say	say	say
,	,	,
she	she	she
doesn	doesn	doesn
t	t	t
have	have	have
much	much	much
interest	interest	interest
in	in	in
that	that	that
,	,	,
as	as	a
much	much	much
as	as	a
just	just	just
to	to	to
be	be	be
there	there	there
,	,	,
to	to	to
be	be	be
a	a	a
visible	visibl	visible
counterweight	counterweight	counterweight
.	.	.

The	the	The
most	most	most
bizarre	bizarr	bizarre
part	part	part
of	of	of
her	her	her
invitation	invit	invitation
is	is	is
that	that	that
the	the	the
Congressman	congressman	Congressman
who	who	who
invited	invit	invited
her	her	her
didn	didn	didn
t	t	t
even	even	even
know	know	know
that	that	that
s	s	s
who	who	who
he	he	he
was	was	wa
inviting	invit	inviting
.	.	.

House	hous	House
Freedom	freedom	Freedom
Caucus	caucus	Caucus
Chairman	chairman	Chairman
Jim	jim	Jim
Jordan	jordan	Jordan
R	r	R
-OH	-oh	-OH
apparently	appar	apparently
didn	didn	didn
t	t	t
have	have	have
a	a	a
clue	clue	clue
.	.	.

He	he	He
told	told	told
HuffPo	huffpo	HuffPo
I	i	I
didn	didn	didn
t	t	t
invite	invit	invite
anyone	anyon	anyone
,	,	,
Jordan	jordan	Jordan
initially	initi	initially
said	said	said
late	late	late
Tuesday	tuesday	Tuesday
afternoon	afternoon	afternoon
,	,	,
as	as	a
he	he	he
was	was	wa
jogging	jog	jogging
to	to	to
House	hous	House
votes	vote	vote
.	.	.

When	when	When
pressed	press	pressed
on	on	on
whether	whether	whether
he	he	he
had	had	had
given	given	given
his	his	his
ticket	ticket	ticket
to	to	to
the	the	the
Family	famili	Family
Research	research	Research
Council	council	Council
,	,	,
which	which	which
then	then	then
gave	gave	gave
it	it	it
to	to	to
Davis	davi	Davis
which	which	which
is	is	is
what	what	what
a	a	a
Democratic	democrat	Democratic
aide	aid	aide
told	told	told
HuffPost	huffpost	HuffPost
had	had	had
happened	happen	happened
Jordan	jordan	Jordan
said	said	said
he	he	he
would	would	would
have	have	have
to	to	to
confirm	confirm	confirm
with	with	with
his	his	his
office	offic	office
.	.	.

I	i	I
don	don	don
t	t	t
know	know	know
,	,	,
he	he	he
said	said	said
.	.	.
When	when	When
Jordan	jordan	Jordan
was	was	wa
seen	seen	seen
later	later	later
,	,	,
he	he	he
confirmed	confirm	confirmed
the	the	the
invitation	invit	invitation
Yeah	yeah	Yeah
,	,	,
so	so	so
we	we	we
gave	gave	gave
a	a	a
ticket	ticket	ticket
to	to	to
at	at	at
the	the	the
request	request	request
of	of	of
the	the	the
Family	famili	Family
Research	research	Research
Council	council	Council
we	we	we
gave	gave	gave
the	the	the
ticket	ticket	ticket
to	to	to
Kim	kim	Kim
Davis	davi	Davis
family	famili	family
I	i	I
found	found	found
out	out	out
today	today	today
.	.	.

I	i	I
m	m	m
being	be	being
totally	total	totally
honest	honest	honest
with	with	with
you	you	you
That	that	That
s	s	s
Family	famili	Family
Research	research	Research
Council	council	Council
asked	ask	asked
us	us	u
,	,	,
her	her	her
family	famili	family
wanted	want	wanted
a	a	a
ticket	ticket	ticket
,	,	,
and	and	and
we	we	we
said	said	said
OK	ok	OK
.	.	.
'	'	'
Jordan	jordan	Jordan
seems	seem	seems
clearly	clear	clearly
okay	okay	okay
with	with	with
the	the	the
decision	decis	decision
,	,	,
because	becaus	because
even	even	even
though	though	though
she	she	she
s	s	s
a	a	a
criminal	crimin	criminal
who	who	who
didn	didn	didn
t	t	t
follow	follow	follow
the	the	the
law	law	law
,	,	,
conservatives	conserv	conservative
nationwide	nationwid	nationwide
see	see	see
her	her	her
as	as	a
some	some	some
sort	sort	sort
of	of	of
religious	religi	religious
martyr	martyr	martyr
doing	do	doing
her	her	her
due	due	due
diligence	dilig	diligence
in	in	in
the	the	the
name	name	name
of	of	of
the	the	the
Lord	lord	Lord
,	,	,
Constitution	constitut	Constitution
be	be	be
damned	damn	damned
.	.	.
Should	should	Should
Davis	davi	Davis
be	be	be
able	abl	able
to	to	to
attend	attend	attend
one	one	one
of	of	of
the	the	the
most	most	most
prestigious	prestigi	prestigious
annual	annual	annual
events	event	event
in	in	in
the	the	the
nation	nation	nation
?	?	?

Of	of	Of
course	cours	course
not	not	not
.	.	.

But	but	But
leave	leav	leave
it	it	it
to	to	to
Republicans	republican	Republicans
and	and	and
their	their	their
quest	quest	quest
to	to	to
bring	bring	bring
bigotry	bigotri	bigotry
front	front	front
and	and	and
center	center	center
as	as	a
part	part	part
of	of	of
their	their	their
party	parti	party
platform	platform	platform
.	.	.
Featured	featur	Featured
image	imag	image
YouTube	youtub	YouTube

