Donald	donald	Donald
Trump	trump	Trump
was	was	wa
right	right	right
again	again	again
!	!	!
This	this	This
is	is	is
yet	yet	yet
another	anoth	another
example	exampl	example
of	of	of
the	the	the
media	media	medium
distorting	distort	distorting
or	or	or
just	just	just
not	not	not
telling	tell	telling
the	the	the
truth	truth	truth
.	.	.
Several	sever	Several
news	news	news
sources	sourc	source
have	have	have
slammed	slam	slammed
Trump	trump	Trump
and	and	and
said	said	said
he	he	he
s	s	s
lying	lie	lying
about	about	about
what	what	what
happened	happen	happened
on	on	on
9	9	9
11	11	11
.	.	.
Not	not	Not
only	onli	only
is	is	is
this	this	this
disturbing	disturb	disturbing
,	,	,
but	but	but
it	it	it
brings	bring	brings
into	into	into
question	question	question
so	so	so
much	much	much
more	more	more
about	about	about
9	9	9
11	11	11
.	.	.
American	american	American
Thinker	thinker	Thinker
s	s	s
Ed	ed	Ed
Straker	straker	Straker
gets	get	get
to	to	to
the	the	the
heart	heart	heart
of	of	of
the	the	the
media	media	medium
s	s	s
refusal	refus	refusal
to	to	to
report	report	report
on	on	on
Muslim	muslim	Muslim
support	support	support
for	for	for
9	9	9
11	11	11
Why	whi	Why
does	doe	doe
any	ani	any
of	of	of
this	this	this
matter	matter	matter
?	?	?
The	the	The
media	media	medium
continue	continu	continue
to	to	to
try	tri	try
to	to	to
paint	paint	paint
Trump	trump	Trump
as	as	a
a	a	a
bigot	bigot	bigot
.	.	.
This	this	This
all	all	all
ties	tie	tie
into	into	into
the	the	the
refugee	refuge	refugee
question	question	question
.	.	.
If	if	If
we	we	we
admit	admit	admit
more	more	more
refugees	refuge	refugee
,	,	,
will	will	will
some	some	some
be	be	be
sympathetic	sympathet	sympathetic
to	to	to
terrorists	terrorist	terrorist
?	?	?
It	it	It
s	s	s
easy	easi	easy
to	to	to
get	get	get
to	to	to
yes	yes	yes
if	if	if
you	you	you
know	know	know
,	,	,
as	as	a
I	i	I
do	do	do
,	,	,
that	that	that
some	some	some
here	here	here
already	alreadi	already
support	support	support
terrorism	terror	terrorism
.	.	.
Since	sinc	Since
our	our	our
refugees	refuge	refugee
come	come	come
from	from	from
other	other	other
countries	countri	country
,	,	,
not	not	not
New	new	New
Jersey	jersey	Jersey
,	,	,
you	you	you
would	would	would
think	think	think
the	the	the
media	media	medium
would	would	would
want	want	want
to	to	to
examine	examin	examine
foreign	foreign	foreign
Muslim	muslim	Muslim
support	support	support
for	for	for
radical	radic	radical
Islam	islam	Islam
.	.	.
You	you	You
would	would	would
think	think	think
they	they	they
would	would	would
want	want	want
to	to	to
see	see	see
these	these	these
polls	poll	poll
showing	show	showing
alarming	alarm	alarming
percentages	percentag	percentage
of	of	of
foreign	foreign	foreign
Muslims	muslim	Muslims
who	who	who
support	support	support
attacks	attack	attack
on	on	on
America	america	America
.	.	.
And	and	And
have	have	have
a	a	a
look	look	look
at	at	at
this	this	this
poll	poll	poll
,	,	,
which	which	which
shows	show	show
that	that	that
5	5	5
of	of	of
Muslim	muslim	Muslim
Americans	american	Americans
support	support	support
radical	radic	radical
Islam	islam	Islam
and	and	and
14	14	14
of	of	of
American	american	American
Muslims	muslim	Muslims
claim	claim	claim
to	to	to
have	have	have
no	no	no
opinion	opinion	opinion
of	of	of
radical	radic	radical
Islam	islam	Islam
.	.	.
Admitting	admit	Admitting
more	more	more
Muslims	muslim	Muslims
to	to	to
America	america	America
during	dure	during
this	this	this
time	time	time
of	of	of
war	war	war
exposes	expos	expose
Americans	american	Americans
to	to	to
large	larg	large
and	and	and
unwarranted	unwarr	unwarranted
risks	risk	risk
.	.	.
But	but	But
this	this	this
is	is	is
not	not	not
the	the	the
question	question	question
the	the	the
media	media	medium
want	want	want
to	to	to
look	look	look
at	at	at
.	.	.
They	they	They
are	are	are
only	onli	only
interested	interest	interested
in	in	in
Muslims	muslim	Muslims
in	in	in
Jersey	jersey	Jersey
City	citi	City
,	,	,
New	new	New
Jersey	jersey	Jersey
.	.	.
Perhaps	perhap	Perhaps
they	they	they
should	should	should
look	look	look
into	into	into
the	the	the
arrest	arrest	arrest
of	of	of
this	this	this
Islamic	islam	Islamic
bomber	bomber	bomber
who	who	who
lived	live	lived
in	in	in
Jersey	jersey	Jersey
City	citi	City
,	,	,
or	or	or
how	how	how
the	the	the
Islamic	islam	Islamic
Center	center	Center
of	of	of
Jersey	jersey	Jersey
City	citi	City
promotes	promot	promotes
jihad	jihad	jihad
,	,	,
or	or	or
the	the	the
arrest	arrest	arrest
of	of	of
this	this	this
West	west	West
New	new	New
Yorker	yorker	Yorker
that	that	that
s	s	s
right	right	right
next	next	next
to	to	to
Jersey	jersey	Jersey
City	citi	City
who	who	who
was	was	wa
providing	provid	providing
support	support	support
for	for	for
ISIS	isi	ISIS
.	.	.
The	the	The
Washington	washington	Washington
Post	post	Post
reported	report	reported
on	on	on
September	septemb	September
18	18	18
,	,	,
2001	2001	2001
one	one	one
week	week	week
after	after	after
the	the	the
9	9	9
11	11	11
Islamic	islam	Islamic
terror	terror	terror
attacks	attack	attack
,	,	,
that	that	that
the	the	the
law	law	law
enforcement	enforc	enforcement
officers	offic	officer
were	were	were
investigating	investig	investigating
people	peopl	people
in	in	in
Muslim	muslim	Muslim
enclaves	enclav	enclave
of	of	of
Jersey	jersey	Jersey
City	citi	City
,	,	,
New	new	New
Jersey	jersey	Jersey
who	who	who
were	were	were
seen	seen	seen
the	the	the
day	day	day
of	of	of
the	the	the
attacks	attack	attack
celebrating	celebr	celebrating
and	and	and
holding	hold	holding
rooftop	rooftop	rooftop
parties	parti	party
to	to	to
watch	watch	watch
the	the	the
aftermath	aftermath	aftermath
of	of	of
the	the	the
attack	attack	attack
on	on	on
the	the	the
Twin	twin	Twin
Towers	tower	Towers
unfold	unfold	unfold
across	across	across
the	the	the
Hudson	hudson	Hudson
River	river	River
in	in	in
New	new	New
York	york	York
City	citi	City
.	.	.
One	one	One
of	of	of
the	the	the
Post	post	Post
s	s	s
reporters	report	reporter
later	later	later
stated	state	stated
his	his	his
sources	sourc	source
were	were	were
eyewitnesses	eyewit	eyewitness
and	and	and
Jersey	jersey	Jersey
City	citi	City
police	polic	police
officers	offic	officer
.	.	.
The	the	The
issue	issu	issue
of	of	of
Muslims	muslim	Muslims
in	in	in
New	new	New
Jersey	jersey	Jersey
celebrating	celebr	celebrating
the	the	the
attacks	attack	attack
was	was	wa
raised	rais	raised
recently	recent	recently
by	by	by
leading	lead	leading
Republican	republican	Republican
presidential	presidenti	presidential
candidate	candid	candidate
Donald	donald	Donald
Trump	trump	Trump
.	.	.
Excerpt	excerpt	Excerpt
from	from	from
the	the	the
Washington	washington	Washington
Post	post	Post
The	the	The
FBI	fbi	FBI
investigation	investig	investigation
into	into	into
the	the	the
terrorist	terrorist	terrorist
attacks	attack	attack
on	on	on
the	the	the
World	world	World
Trade	trade	Trade
Center	center	Center
and	and	and
Pentagon	pentagon	Pentagon
has	has	ha
led	led	led
agents	agent	agent
back	back	back
to	to	to
a	a	a
familiar	familiar	familiar
area	area	area
northern	northern	northern
New	new	New
Jersey	jersey	Jersey
.	.	.
It	it	It
was	was	wa
there	there	there
,	,	,
in	in	in
Jersey	jersey	Jersey
City	citi	City
,	,	,
just	just	just
across	across	across
the	the	the
Hudson	hudson	Hudson
River	river	River
from	from	from
Manhattan	manhattan	Manhattan
,	,	,
that	that	that
a	a	a
Muslim	muslim	Muslim
cell	cell	cell
plotted	plot	plotted
the	the	the
1993	1993	1993
bombing	bomb	bombing
of	of	of
the	the	the
twin	twin	twin
towers	tower	tower
and	and	and
sought	sought	sought
to	to	to
destroy	destroy	destroy
other	other	other
New	new	New
York	york	York
landmarks	landmark	landmark
as	as	a
part	part	part
of	of	of
an	an	an
urban	urban	urban
guerrilla	guerrilla	guerrilla
war	war	war
against	against	against
the	the	the
United	unit	United
States	state	States
.	.	.
It	it	It
is	is	is
believed	believ	believed
that	that	that
13	13	13
of	of	of
those	those	those
detained	detain	detained
by	by	by
federal	feder	federal
authorities	author	authority
for	for	for
questioning	question	questioning
in	in	in
its	it	it
probe	probe	probe
into	into	into
the	the	the
worst	worst	worst
terrorist	terrorist	terrorist
act	act	act
in	in	in
U	u	U
.	.	.
S	s	S
.	.	.
history	histori	history
are	are	are
from	from	from
northeastern	northeastern	northeastern
New	new	New
Jersey	jersey	Jersey
,	,	,
some	some	some
from	from	from
the	the	the
same	same	same
Journal	journal	Journal
Square	squar	Square
area	area	area
where	where	where
suspects	suspect	suspect
in	in	in
the	the	the
1993	1993	1993
bombing	bomb	bombing
lived	live	lived
.	.	.
In	in	In
October	octob	October
1995	1995	1995
,	,	,
Sheik	sheik	Sheik
Omar	omar	Omar
Abdel	abdel	Abdel
-Rahman	-rahman	-Rahman
,	,	,
an	an	an
Egyptian	egyptian	Egyptian
cleric	cleric	cleric
who	who	who
delivered	deliv	delivered
fiery	fieri	fiery
sermons	sermon	sermon
at	at	at
a	a	a
run	run	run
-down	-down	-down
mosque	mosqu	mosque
in	in	in
Jersey	jersey	Jersey
City	citi	City
,	,	,
was	was	wa
convicted	convict	convicted
of	of	of
directing	direct	directing
the	the	the
conspiracy	conspiraci	conspiracy
to	to	to
blow	blow	blow
up	up	up
the	the	the
United	unit	United
Nations	nation	Nations
,	,	,
an	an	an
FBI	fbi	FBI
building	build	building
,	,	,
and	and	and
three	three	three
bridges	bridg	bridge
and	and	and
tunnels	tunnel	tunnel
linking	link	linking
New	new	New
York	york	York
and	and	and
New	new	New
Jersey	jersey	Jersey
.	.	.
He	he	He
was	was	wa
also	also	also
convicted	convict	convicted
of	of	of
being	be	being
part	part	part
of	of	of
a	a	a
plot	plot	plot
to	to	to
kill	kill	kill
Egyptian	egyptian	Egyptian
President	presid	President
Hosni	hosni	Hosni
Mubarak	mubarak	Mubarak
.	.	.
Sayyid	sayyid	Sayyid
Nosair	nosair	Nosair
of	of	of
Jersey	jersey	Jersey
City	citi	City
and	and	and
Cliffside	cliffsid	Cliffside
Park	park	Park
was	was	wa
also	also	also
charged	charg	charged
in	in	in
the	the	the
1990	1990	1990
killing	kill	killing
of	of	of
Rabbi	rabbi	Rabbi
Meir	meir	Meir
Kahane	kahan	Kahane
in	in	in
Manhattan	manhattan	Manhattan
.	.	.
The	the	The
Kahane	kahan	Kahane
murder	murder	murder
was	was	wa
the	the	the
beginning	begin	beginning
of	of	of
a	a	a
series	seri	series
of	of	of
militant	milit	militant
acts	act	act
by	by	by
the	the	the
Muslim	muslim	Muslim
cell	cell	cell
that	that	that
was	was	wa
encouraged	encourag	encouraged
by	by	by
Abdel	abdel	Abdel
-Rahman	-rahman	-Rahman
,	,	,
the	the	the
group	group	group
s	s	s
spiritual	spiritu	spiritual
leader	leader	leader
.	.	.
Jersey	jersey	Jersey
City	citi	City
,	,	,
an	an	an
urban	urban	urban
enclave	enclav	enclave
of	of	of
240	240	240
,	,	,
055	055	055
people	peopl	people
that	that	that
is	is	is
home	home	home
to	to	to
one	one	one
of	of	of
the	the	the
largest	largest	largest
Arab	arab	Arab
populations	popul	population
among	among	among
U	u	U
.	.	.
S	s	S
.	.	.
cities	citi	city
In	in	In
Jersey	jersey	Jersey
City	citi	City
,	,	,
within	within	within
hours	hour	hour
of	of	of
two	two	two
jetliners	jetlin	jetliner
plowing	plow	plowing
into	into	into
the	the	the
World	world	World
Trade	trade	Trade
Center	center	Center
,	,	,
law	law	law
enforcement	enforc	enforcement
authorities	author	authority
detained	detain	detained
and	and	and
questioned	question	questioned
a	a	a
number	number	number
of	of	of
people	peopl	people
who	who	who
were	were	were
allegedly	alleg	allegedly
seen	seen	seen
celebrating	celebr	celebrating
the	the	the
attacks	attack	attack
and	and	and
holding	hold	holding
tailgate	tailgat	tailgate
-style	-style	-style
parties	parti	party
on	on	on
rooftops	rooftop	rooftop
while	while	while
they	they	they
watched	watch	watched
the	the	the
devastation	devast	devastation
on	on	on
the	the	the
other	other	other
side	side	side
of	of	of
the	the	the
river	river	river
.	.	.
H	h	H
t	t	t
PowerlineJohn	powerlinejohn	PowerlineJohn
Hindraker	hindrak	Hindraker
at	at	at
Powerline	powerlin	Powerline
reported	report	reported
the	the	the
Post	post	Post
article	articl	article
earlier	earlier	earlier
Sunday	sunday	Sunday
and	and	and
added	ad	added
that	that	that
one	one	one
of	of	of
the	the	the
reporters	report	reporter
on	on	on
the	the	the
story	stori	story
,	,	,
Serge	serg	Serge
F	f	F
.	.	.
Kovaleski	kovaleski	Kovaleski
,	,	,
had	had	had
informed	inform	informed
a	a	a
researcher	research	researcher
,	,	,
Irfan	irfan	Irfan
Khawaja	khawaja	Khawaja
,	,	,
who	who	who
was	was	wa
looking	look	looking
into	into	into
whether	whether	whether
Muslims	muslim	Muslims
in	in	in
northern	northern	northern
New	new	New
Jersey	jersey	Jersey
had	had	had
celebrated	celebr	celebrated
the	the	the
9	9	9
11	11	11
attacks	attack	attack
that	that	that
his	his	his
sources	sourc	source
for	for	for
the	the	the
report	report	report
on	on	on
Jersey	jersey	Jersey
City	citi	City
were	were	were
Jersey	jersey	Jersey
City	citi	City
police	polic	police
officers	offic	officer
.	.	.
Then	then	Then
there	there	there
is	is	is
this	this	this
follow	follow	follow
-up	-up	-up
from	from	from
Irfan	irfan	Irfan
Khawaja	khawaja	Khawaja
in	in	in
July	juli	July
2004	2004	2004
In	in	In
an	an	an
email	email	email
to	to	to
me	me	me
on	on	on
Dec	dec	Dec
.	.	.
16	16	16
,	,	,
2003	2003	2003
,	,	,
Kovaleski	kovaleski	Kovaleski
indicated	indic	indicated
that	that	that
his	his	his
information	inform	information
had	had	had
come	come	come
from	from	from
the	the	the
Jersey	jersey	Jersey
City	citi	City
Police	polic	Police
Department	depart	Department
,	,	,
and	and	and
that	that	that
he	he	he
had	had	had
confirmed	confirm	confirmed
the	the	the
JCPD	jcpd	JCPD
s	s	s
information	inform	information
via	via	via
interviews	interview	interview
of	of	of
eyewitnesses	eyewit	eyewitness
of	of	of
the	the	the
celebration	celebr	celebration
.	.	.
I	i	I
don	don	don
t	t	t
think	think	think
Trump	trump	Trump
saw	saw	saw
anyone	anyon	anyone
celebrating	celebr	celebrating
in	in	in
Jersey	jersey	Jersey
City	citi	City
on	on	on
television	televis	television
,	,	,
but	but	but
I	i	I
could	could	could
be	be	be
wrong	wrong	wrong
about	about	about
that	that	that
.	.	.
In	in	In
any	ani	any
event	event	event
,	,	,
NPR	npr	NPR
,	,	,
the	the	the
New	new	New
York	york	York
Times	time	Times
and	and	and
the	the	the
Associated	associ	Associated
Press	press	Press
are	are	are
simply	simpli	simply
wrong	wrong	wrong
when	when	when
they	they	they
tell	tell	tell
their	their	their
audiences	audienc	audience
that	that	that
there	there	there
is	is	is
no	no	no
evidence	evid	evidence
of	of	of
Muslims	muslim	Muslims
in	in	in
America	america	America
celebrating	celebr	celebrating
on	on	on
September	septemb	September
11	11	11
,	,	,
and	and	and
no	no	no
contemporaneous	contemporan	contemporaneous
news	news	news
stories	stori	story
to	to	to
that	that	that
effect	effect	effect
.	.	.
Why	whi	Why
does	doe	doe
this	this	this
happen	happen	happen
?	?	?
Are	are	Are
NPR	npr	NPR
,	,	,
the	the	the
Times	time	Times
and	and	and
the	the	the
AP	ap	AP
incapable	incap	incapable
of	of	of
using	use	using
Google	googl	Google
?	?	?
Perhaps	perhap	Perhaps
.	.	.
But	but	But
here	here	here
is	is	is
another	anoth	another
possibility	possibl	possibility
note	note	note
that	that	that
the	the	the
Times	time	Times
and	and	and
the	the	the
AP	ap	AP
coyly	coyli	coyly
limited	limit	limited
their	their	their
denials	denial	denial
to	to	to
news	news	news
accounts	account	account
of	of	of
mass	mass	mass
cheering	cheer	cheering
or	or	or
mass	mass	mass
celebrations	celebr	celebration
in	in	in
Jersey	jersey	Jersey
City	citi	City
.	.	.
I	i	I
think	think	think
they	they	they
found	found	found
the	the	the
Washington	washington	Washington
Post	post	Post
story	stori	story
but	but	but
preferred	prefer	preferred
not	not	not
to	to	to
mention	mention	mention
it	it	it
.	.	.
Instead	instead	Instead
,	,	,
they	they	they
deceived	deceiv	deceived
their	their	their
readers	reader	reader
by	by	by
silently	silent	silently
making	make	making
the	the	the
implicit	implicit	implicit
judgment	judgment	judgment
that	that	that
a	a	a
number	number	number
of	of	of
people	peopl	people
are	are	are
not	not	not
a	a	a
mass	mass	mass
.	.	.
I	i	I
think	think	think
that	that	that
these	these	these
news	news	news
outlets	outlet	outlet
are	are	are
so	so	so
hysterically	hyster	hysterically
eager	eager	eager
to	to	to
discredit	discredit	discredit
any	ani	any
concerns	concern	concern
about	about	about
Islam	islam	Islam
that	that	that
they	they	they
won	won	won
t	t	t
let	let	let
something	someth	something
as	as	a
minor	minor	minor
as	as	a
the	the	the
facts	fact	fact
get	get	get
in	in	in
their	their	their
way	way	way
.	.	.
There	there	There
is	is	is
dishonesty	dishonesti	dishonesty
here	here	here
